actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
27,PT09M28.00S,2023-03-12T00:13:43.0Z,1,REGULAR,foul,personal,['2freethrow'],1630164,,,1610612754,7,6,2023-03-12T00:13:55Z,270000,False,,,0,,J. Wiseman shooting personal FOUL (1 PF) (Jackson 2 FT),"[1630164, 1630543]",1610612765.0,DET,shooting,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,,,,203592.0,1.0,0.0,Jackson,1630543.0,,,,,,,,,,,,
29,PT09M28.00S,2023-03-12T00:14:07.6Z,1,REGULAR,freethrow,1 of 2,[],1630543,,,1610612754,7,7,2023-03-12T00:14:07Z,290000,False,,,0,,I. Jackson Free Throw 1 of 2 (3 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
30,PT09M28.00S,2023-03-12T00:14:25.6Z,1,REGULAR,freethrow,2 of 2,[],1630543,,,1610612754,7,8,2023-03-12T00:14:25Z,300000,False,,,0,,I. Jackson Free Throw 2 of 2 (4 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
31,PT09M13.00S,2023-03-12T00:14:41.5Z,1,REGULAR,2pt,Jump Shot,[],1628963,91.5407358738502,68.62745098039215,1610612765,7,8,2023-03-12T00:14:46Z,310000,False,93.0,27.0,1,right,MISS M. Bagley III 9' turnaround fadeaway Shot,[1628963],1610612765.0,DET,turnaround fadeaway,,,Bagley III,M. Bagley III,,,,,Mid-Range,8-16 Right,9.69,Missed,,,,,,,,,,,,,,,,,,
32,PT09M11.00S,2023-03-12T00:14:43.5Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,7,8,2023-03-12T00:14:46Z,320000,False,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,
33,PT09M07.00S,2023-03-12T00:14:47.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,31.35676741130092,62.99019607843137,1610612754,7,8,2023-03-12T00:15:34Z,330000,False,-65.0,242.0,1,left,MISS B. Hield 25' running pullup 3PT,[1627741],1610612754.0,IND,running pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
34,PT09M05.00S,2023-03-12T00:14:49.2Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,7,8,2023-03-12T00:15:34Z,340000,False,,,0,,I. Jackson REBOUND (Off:2 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,33.0,2.0,0.0,2.0,,,,
35,PT09M03.00S,2023-03-12T00:14:51.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630174,22.552562417871222,88.97058823529412,1610612754,7,8,2023-03-12T00:14:56Z,350000,False,-195.0,159.0,1,left,MISS A. Nesmith 25' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,25.18,Missed,,,,,,,,,,,,,,,,,,
36,PT09M03.00S,2023-03-12T00:14:51.9Z,1,REGULAR,rebound,offensive,[],1627741,,,1610612754,7,8,2023-03-12T00:14:56Z,360000,False,,,0,,B. Hield REBOUND (Off:1 Def:2),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,35.0,3.0,2.0,1.0,,,,
37,PT08M56.00S,2023-03-12T00:14:58.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,24.392247043363994,85.5392156862745,1610612754,7,11,2023-03-12T00:15:59Z,370000,False,-178.0,177.0,1,left,B. Hield 25' 3PT step back (5 PTS),[1627741],1610612754.0,IND,step back,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,25.07,Made,5.0,,,,,,,,,,,,,,,,,
38,PT08M43.00S,2023-03-12T00:15:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630164,88.78120893561103,54.65686274509803,1610612765,9,11,2023-03-12T00:15:22Z,380000,False,23.0,53.0,1,right,J. Wiseman floating Jump Shot (5 PTS) (K. Hayes 3 AST),"[1630164, 1630165]",1610612765.0,DET,floating,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,5.79,Made,5.0,,,,,,,K. Hayes,1630165.0,3.0,,,,,,,,
40,PT08M43.00S,2023-03-12T00:15:22.4Z,1,REGULAR,foul,personal,['1freethrow'],1630537,,,1610612765,9,11,2023-03-12T00:15:32Z,400000,False,,,0,,C. Duarte shooting personal FOUL (1 PF) (Wiseman 1 FT),"[1630537, 1630164]",1610612754.0,IND,shooting,,,Duarte,C. Duarte,,,,,In The Paint (Non-RA),0-8 Center,,,,203592.0,1.0,0.0,Wiseman,1630164.0,,,,,,,,,,,,
42,PT08M43.00S,2023-03-12T00:15:39.2Z,1,REGULAR,freethrow,1 of 1,[],1630164,,,1610612765,10,11,2023-03-12T00:15:39Z,420000,False,,,0,,J. Wiseman Free Throw 1 of 1 (6 PTS),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
43,PT08M21.00S,2023-03-12T00:16:04.9Z,1,REGULAR,foul,personal,['2freethrow'],203585,,,1610612754,10,11,2023-03-12T00:16:15Z,430000,False,,,0,,R. McGruder shooting personal FOUL (2 PF) (Nesmith 2 FT),"[203585, 1630174]",1610612765.0,DET,shooting,,,McGruder,R. McGruder,,,,,In The Paint (Non-RA),0-8 Center,,,,203592.0,2.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,
45,PT08M21.00S,2023-03-12T00:16:31.2Z,1,REGULAR,freethrow,1 of 2,[],1630174,,,1610612754,10,11,2023-03-12T00:16:31Z,450000,False,,,0,,MISS A. Nesmith Free Throw 1 of 2,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2023-03-12T00:16:31.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,10,11,2023-03-12T00:16:31Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,
47,PT08M21.00S,2023-03-12T00:16:49.4Z,1,REGULAR,freethrow,2 of 2,[],1630174,,,1610612754,10,12,2023-03-12T00:16:49Z,470000,False,,,0,,A. Nesmith Free Throw 2 of 2 (1 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
48,PT08M05.00S,2023-03-12T00:17:06.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203585,89.70105124835742,59.31372549019608,1610612765,10,12,2023-03-12T00:17:45Z,480000,False,47.0,44.0,1,right,MISS R. McGruder 6' driving floating Shot,[203585],1610612765.0,DET,driving floating,,,McGruder,R. McGruder,,,,,In The Paint (Non-RA),0-8 Center,6.43,Missed,,,,,,,,,,,,,,,,,,
49,PT08M04.00S,2023-03-12T00:17:12.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,10,12,2023-03-12T00:17:12Z,490000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,48.0,,,,,,,
52,PT07M57.00S,2023-03-12T00:18:21.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630587,70.25295663600527,17.647058823529413,1610612765,10,12,2023-03-12T00:19:14Z,520000,False,-162.0,227.0,1,right,MISS I. Livers 27' step back bank 3PT,[1630587],1610612765.0,DET,step back bank,,,Livers,I. Livers,,,,,Above the Break 3,24+ Left Center,27.88,Missed,,,,,,,,,,,,,,,,,,
53,PT07M55.00S,2023-03-12T00:18:23.5Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612765,10,12,2023-03-12T00:19:14Z,530000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,52.0,2.0,1.0,1.0,,,,
54,PT07M53.00S,2023-03-12T00:18:25.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628963,91.01511169513797,41.17647058823529,1610612765,12,12,2023-03-12T00:19:24Z,540000,False,-44.0,32.0,1,right,M. Bagley III driving bank Hook (4 PTS),[1628963],1610612765.0,DET,driving bank,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,5.45,Made,4.0,,,,,,,,,,,,,,,,,
55,PT07M46.00S,2023-03-12T00:18:38.2Z,1,REGULAR,foul,offensive,[],1630537,,,1610612754,12,12,2023-03-12T00:19:38Z,550000,False,,,0,,C. Duarte offensive FOUL (2 PF),"[1630537, 203585]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Mid-Range,16-24 Left,,,,203593.0,2.0,0.0,McGruder,203585.0,,,,,,,,,,,,
57,PT07M46.00S,2023-03-12T00:18:38.2Z,1,REGULAR,turnover,offensive foul,[],1630537,,,1610612754,12,12,2023-03-12T00:18:38Z,570000,False,,,0,,C. Duarte offensive foul TURNOVER (1 TO),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Mid-Range,16-24 Left,,,,203593.0,,,,,1.0,,,,,,,,,,,
58,PT07M46.00S,2023-03-12T00:18:54.8Z,1,REGULAR,substitution,out,[],1630537,,,1610612765,12,12,2023-03-12T00:19:00Z,580000,False,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M46.00S,2023-03-12T00:18:54.8Z,1,REGULAR,substitution,in,[],201588,,,1610612765,12,12,2023-03-12T00:19:00Z,590000,False,,,0,,SUB in: G. Hill,[201588],1610612754.0,IND,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M26.00S,2023-03-12T00:19:23.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630587,93.11760840998686,53.67647058823529,1610612765,12,12,2023-03-12T00:19:38Z,610000,False,18.0,12.0,1,right,MISS I. Livers cutting Layup,[1630587],1610612765.0,DET,cutting,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,,,,,,,,,,
62,PT07M26.00S,2023-03-12T00:19:23.2Z,1,REGULAR,rebound,offensive,[],1630164,,,1610612765,12,12,2023-03-12T00:19:38Z,620000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:0),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,61.0,1.0,0.0,1.0,,,,
63,PT07M21.00S,2023-03-12T00:19:26.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630164,94.40999984741211,50.0,1610612765,14,12,2023-03-12T00:20:11Z,630000,False,0.0,0.0,1,right,J. Wiseman tip DUNK (8 PTS),[1630164],1610612765.0,DET,tip,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,0.0,Made,8.0,,,,,,,,,,,,,,,,,
64,PT07M11.00S,2023-03-12T00:19:37.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,27.94021024967148,22.30392156862745,1610612754,14,12,2023-03-12T00:19:43Z,640000,False,138.0,210.0,1,left,MISS B. Hield 25' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,25.16,Missed,,,,,,,,,,,,,,,,,,
65,PT07M09.00S,2023-03-12T00:19:39.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,14,12,2023-03-12T00:19:43Z,650000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,64.0,,,,,,,
67,PT07M09.00S,2023-03-12T00:20:03.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,14,12,2023-03-12T00:20:03Z,670000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M52.00S,2023-03-12T00:23:08.7Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612765,14,12,2023-03-12T00:23:17Z,690000,False,,,0,,B. Hield shooting personal FOUL (1 PF) (Hayes 2 FT),"[1627741, 1630165]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,Mid-Range,16-24 Center,,,,2715.0,1.0,0.0,Hayes,1630165.0,,,,,,,,,,,,
71,PT06M52.00S,2023-03-12T00:23:36.1Z,1,REGULAR,freethrow,1 of 2,[],1630165,,,1610612765,14,12,2023-03-12T00:23:36Z,710000,False,,,0,,MISS K. Hayes Free Throw 1 of 2,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
72,PT06M52.00S,2023-03-12T00:23:36.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,14,12,2023-03-12T00:23:36Z,720000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,
73,PT06M52.00S,2023-03-12T00:23:36.7Z,1,REGULAR,substitution,out,[],1630174,,,1610612765,14,12,2023-03-12T00:23:40Z,730000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M52.00S,2023-03-12T00:23:36.7Z,1,REGULAR,substitution,in,[],201949,,,1610612765,14,12,2023-03-12T00:23:40Z,740000,False,,,0,,SUB in: J. Johnson,[201949],1610612754.0,IND,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M52.00S,2023-03-12T00:23:51.3Z,1,REGULAR,freethrow,2 of 2,[],1630165,,,1610612765,15,12,2023-03-12T00:23:51Z,750000,False,,,0,,K. Hayes Free Throw 2 of 2 (3 PTS),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
76,PT06M38.00S,2023-03-12T00:24:05.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630543,6.915243101182654,49.50980392156863,1610612754,15,14,2023-03-12T00:24:11Z,760000,False,2.0,13.0,1,left,I. Jackson alley-oop DUNK (6 PTS) (A. Nembhard 1 AST),"[1630543, 1629614]",1610612754.0,IND,alley-oop,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,1.27,Made,6.0,,,,,,,A. Nembhard,1629614.0,1.0,,,,,,,,
79,PT06M16.00S,2023-03-12T00:24:54.7Z,1,REGULAR,3pt,Jump Shot,[],1630587,69.59592641261499,73.2843137254902,1610612765,15,14,2023-03-12T00:24:59Z,790000,False,116.0,233.0,1,right,MISS I. Livers 26' 3PT,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Right Center,26.07,Missed,,,,,,,,,,,,,,,,,,
80,PT06M13.00S,2023-03-12T00:24:57.7Z,1,REGULAR,rebound,defensive,[],201949,,,1610612754,15,14,2023-03-12T00:24:59Z,800000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[201949],1610612754.0,IND,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,79.0,1.0,1.0,0.0,,,,
81,PT06M02.00S,2023-03-12T00:25:09.6Z,1,REGULAR,foul,personal,['2freethrow'],1630164,,,1610612754,15,14,2023-03-12T00:25:22Z,810000,False,,,0,,J. Wiseman shooting personal FOUL (2 PF) (Jackson 2 FT),"[1630164, 1630543]",1610612765.0,DET,shooting,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,2715.0,2.0,0.0,Jackson,1630543.0,,,,,,,,,,,,
83,PT06M02.00S,2023-03-12T00:25:35.2Z,1,REGULAR,freethrow,1 of 2,[],1630543,,,1610612754,15,14,2023-03-12T00:25:35Z,830000,False,,,0,,MISS I. Jackson Free Throw 1 of 2,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
84,PT06M02.00S,2023-03-12T00:25:35.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,15,14,2023-03-12T00:25:35Z,840000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,
85,PT06M02.00S,2023-03-12T00:25:36.0Z,1,REGULAR,substitution,out,[],1630164,,,1610612754,15,14,2023-03-12T00:25:39Z,850000,False,,,0,,SUB out: J. Wiseman,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M02.00S,2023-03-12T00:25:36.0Z,1,REGULAR,substitution,in,[],1631105,,,1610612754,15,14,2023-03-12T00:25:39Z,860000,False,,,0,,SUB in: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M02.00S,2023-03-12T00:25:57.6Z,1,REGULAR,freethrow,2 of 2,[],1630543,,,1610612754,15,15,2023-03-12T00:25:57Z,870000,False,,,0,,I. Jackson Free Throw 2 of 2 (7 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
88,PT05M51.00S,2023-03-12T00:26:10.1Z,1,REGULAR,3pt,Jump Shot,[],203585,77.61169513797634,7.598039215686274,1610612765,15,15,2023-03-12T00:26:21Z,880000,False,-212.0,158.0,1,right,MISS R. McGruder 26' 3PT,[203585],1610612765.0,DET,,,,McGruder,R. McGruder,,,,,Above the Break 3,24+ Left Center,26.44,Missed,,,,,,,,,,,,,,,,,,
89,PT05M48.00S,2023-03-12T00:26:13.1Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,15,15,2023-03-12T00:28:40Z,890000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,88.0,1.0,1.0,0.0,,,,
90,PT05M43.00S,2023-03-12T00:26:18.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201949,7.30946123521682,47.05882352941176,1610612754,15,17,2023-03-12T00:29:09Z,900000,False,15.0,16.0,1,left,J. Johnson running Layup (2 PTS) (A. Nembhard 2 AST),"[201949, 1629614]",1610612754.0,IND,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,2.19,Made,2.0,,,,,,,A. Nembhard,1629614.0,2.0,,,,,,,,
