actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
33,PT08M05.00S,2023-03-07T00:14:57.0Z,1,REGULAR,rebound,defensive,[],202692,,,1610612765,0,10,2023-03-07T00:14:58Z,330000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M02.00S,2023-03-07T00:14:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628963,6.356767411300922,44.11764705882353,1610612765,2,10,2023-03-07T00:15:10Z,340000,False,29.0,7.0,1,left,M. Bagley III running reverse Layup (2 PTS) (A. Burks 1 AST),"[1628963, 202692]",1610612765.0,DET,running reverse,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,3.03,Made,,,,,,,2.0,A. Burks,202692.0,1.0,,,,,,,,
36,PT07M42.00S,2023-03-07T00:15:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,88.35413929040736,46.32352941176471,1610612757,2,10,2023-03-07T00:15:35Z,360000,False,-18.0,57.0,1,right,MISS D. Lillard driving floating Shot - blocked,"[203081, 1630164]",1610612757.0,POR,driving floating,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,5.99,Missed,,,,,Wiseman,1630164.0,,,,,,,,,,,,
37,PT07M42.00S,2023-03-07T00:15:21.1Z,1,REGULAR,block,,[],1630164,,,1610612757,2,10,2023-03-07T00:15:28Z,370000,False,,,0,,J. Wiseman BLOCK (1 BLK),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT07M42.00S,2023-03-07T00:15:21.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,2,10,2023-03-07T00:15:35Z,380000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,36.0,,,,,,,,,,,,,,,,,
39,PT07M42.00S,2023-03-07T00:15:34.1Z,1,REGULAR,foul,personal,[],1629234,,,1610612765,2,10,2023-03-07T00:18:48Z,390000,False,,,0,,D. Eubanks loose ball personal FOUL (1 PF),"[1629234, 1630164]",1610612757.0,POR,loose ball,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,201245.0,1.0,0.0,Wiseman,1630164.0,,
41,PT07M22.00S,2023-03-07T00:15:59.2Z,1,REGULAR,3pt,Jump Shot,[],202692,27.250328515111704,18.872549019607845,1610612765,5,10,2023-03-07T00:16:08Z,410000,False,156.0,204.0,1,left,A. Burks 25' 3PT  (3 PTS) (J. Ivey 1 AST),"[202692, 1631093]",1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Right Center,25.63,Made,,,,,,,3.0,J. Ivey,1631093.0,1.0,,,,,,,,
43,PT07M12.00S,2023-03-07T00:16:12.9Z,1,REGULAR,foul,personal,[],202692,,,1610612757,5,10,2023-03-07T00:21:24Z,430000,False,,,0,,A. Burks personal FOUL (1 PF),"[202692, 203924]",1610612765.0,DET,,,,Burks,A. Burks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1627961.0,1.0,0.0,Grant,203924.0,,
45,PT07M05.00S,2023-03-07T00:16:39.8Z,1,REGULAR,foul,personal,['2freethrow'],1628963,,,1610612757,5,10,2023-03-07T00:17:05Z,450000,False,,,0,,M. Bagley III shooting personal FOUL (1 PF) (Reddish 2 FT),"[1628963, 1629629]",1610612765.0,DET,shooting,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,101284.0,1.0,0.0,Reddish,1629629.0,,
47,PT07M05.00S,2023-03-07T00:17:06.1Z,1,REGULAR,freethrow,1 of 2,[],1629629,,,1610612757,5,11,2023-03-07T00:17:06Z,470000,False,,,0,,C. Reddish Free Throw 1 of 2 (1 PTS),[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
48,PT07M05.00S,2023-03-07T00:17:16.7Z,1,REGULAR,freethrow,2 of 2,[],1629629,,,1610612757,5,12,2023-03-07T00:17:16Z,480000,False,,,0,,C. Reddish Free Throw 2 of 2 (2 PTS),[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
50,PT06M51.00S,2023-03-07T00:17:31.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630164,9.247700394218143,49.754901960784316,1610612765,7,12,2023-03-07T00:17:36Z,490000,False,1.0,34.0,1,left,J. Wiseman DUNK (2 PTS) (J. Ivey 2 AST),"[1630164, 1631093]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,3.44,Made,,,,,,,2.0,J. Ivey,1631093.0,2.0,,,,,,,,
52,PT06M38.00S,2023-03-07T00:17:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,92.0335085413929,43.872549019607845,1610612757,7,12,2023-03-07T00:21:45Z,510000,False,-31.0,22.0,1,right,MISS D. Lillard driving floating bank Shot,[203081],1610612757.0,POR,driving floating bank,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,3.79,Missed,,,,,,,,,,,,,,,,,,
53,PT06M35.00S,2023-03-07T00:17:48.0Z,1,REGULAR,rebound,defensive,[],202692,,,1610612765,7,12,2023-03-07T00:17:50Z,520000,False,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Restricted Area,0-8 Center,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,
54,PT06M25.00S,2023-03-07T00:17:57.0Z,1,REGULAR,3pt,Jump Shot,[],1631093,22.913929040735866,93.13725490196079,1610612765,7,12,2023-03-07T00:22:55Z,530000,False,-216.0,163.0,1,left,MISS J. Ivey 27' pullup 3PT,[1631093],1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,27.03,Missed,,,,,,,,,,,,,,,,,,
55,PT06M23.00S,2023-03-07T00:17:59.0Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,7,12,2023-03-07T00:18:02Z,540000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:2),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Left Center,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT06M10.00S,2023-03-07T00:18:12.6Z,1,REGULAR,3pt,Jump Shot,[],203081,70.08869908015768,24.019607843137265,1610612757,7,15,2023-03-07T00:18:19Z,550000,False,-130.0,229.0,1,right,D. Lillard 26' 3PT  (11 PTS) (M. Thybulle 2 AST),"[203081, 1629680]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.3,Made,,,,,,,11.0,M. Thybulle,1629680.0,2.0,,,,,,,,
58,PT05M55.00S,2023-03-07T00:18:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630164,18.31471747700394,41.666666666666664,1610612765,9,15,2023-03-07T00:18:31Z,570000,False,42.0,120.0,1,left,J. Wiseman 12' Jump Shot (4 PTS) (J. Ivey 3 AST),"[1630164, 1631093]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),8-16 Center,12.68,Made,,,,,,,4.0,J. Ivey,1631093.0,3.0,,,,,,,,
60,PT05M36.00S,2023-03-07T00:18:46.7Z,1,REGULAR,3pt,Jump Shot,[],203924,69.69448094612352,76.9607843137255,1610612757,9,15,2023-03-07T00:18:51Z,590000,False,135.0,232.0,1,right,MISS J. Grant 26' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,26.87,Missed,,,,,,,,,,,,,,,,,,
61,PT05M33.00S,2023-03-07T00:18:49.7Z,1,REGULAR,rebound,defensive,[],202692,,,1610612765,9,15,2023-03-07T00:18:51Z,600000,False,,,0,,A. Burks REBOUND (Off:0 Def:3),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Right Center,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,,,
62,PT05M23.00S,2023-03-07T00:18:59.4Z,1,REGULAR,2pt,Jump Shot,[],1628963,10.82457293035479,73.0392156862745,1610612765,9,15,2023-03-07T00:19:04Z,610000,False,-115.0,49.0,1,left,MISS M. Bagley III 12' turnaround fadeaway Shot,[1628963],1610612765.0,DET,turnaround fadeaway,,,Bagley III,M. Bagley III,,,,,Mid-Range,8-16 Left,12.53,Missed,,,,,,,,,,,,,,,,,,
63,PT05M20.00S,2023-03-07T00:19:02.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,9,15,2023-03-07T00:19:04Z,620000,False,,,0,,D. Lillard REBOUND (Off:0 Def:4),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,62.0,4.0,4.0,0.0,,,,,,,,,,,,,,
64,PT05M17.00S,2023-03-07T00:19:09.9Z,1,REGULAR,foul,personal,[],1630164,,,1610612757,9,15,2023-03-07T00:23:42Z,630000,False,,,0,,J. Wiseman personal FOUL (1 PF),"[1630164, 203081]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,201245.0,1.0,0.0,Lillard,203081.0,,
66,PT05M17.00S,2023-03-07T00:19:23.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,9,15,2023-03-07T00:19:23Z,650000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M17.00S,2023-03-07T00:20:21.1Z,1,REGULAR,substitution,out,[],1628963,,,1610612757,9,15,2023-03-07T00:22:08Z,660000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M17.00S,2023-03-07T00:20:21.1Z,1,REGULAR,substitution,out,[],1629629,,,1610612757,9,15,2023-03-07T00:22:08Z,670000,False,,,0,,SUB out: C. Reddish,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M17.00S,2023-03-07T00:20:21.1Z,1,REGULAR,substitution,out,[],203924,,,1610612757,9,15,2023-03-07T00:22:08Z,680000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M17.00S,2023-03-07T00:20:21.1Z,1,REGULAR,substitution,in,[],1628977,,,1610612757,9,15,2023-03-07T00:22:08Z,690000,False,,,0,,SUB in: H. Diallo,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M17.00S,2023-03-07T00:20:21.1Z,1,REGULAR,substitution,in,[],1629642,,,1610612757,9,15,2023-03-07T00:22:08Z,700000,False,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M17.00S,2023-03-07T00:20:21.1Z,1,REGULAR,substitution,in,[],1631101,,,1610612757,9,15,2023-03-07T00:22:08Z,710000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M06.00S,2023-03-07T00:22:38.6Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,9,15,2023-03-07T00:24:58Z,720000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 202692]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1.0,,,,,,Burks,202692.0
75,PT05M06.00S,2023-03-07T00:22:38.6Z,1,REGULAR,steal,,[],202692,,,1610612765,9,15,2023-03-07T00:22:40Z,730000,False,,,0,,A. Burks STEAL (1 STL),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
76,PT05M03.00S,2023-03-07T00:22:45.2Z,1,REGULAR,foul,personal,['2freethrow'],1631101,,,1610612765,9,15,2023-03-07T00:22:55Z,740000,False,,,0,,S. Sharpe shooting personal FOUL (1 PF) (Diallo 2 FT),"[1631101, 1628977]",1610612757.0,POR,shooting,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,201245.0,1.0,0.0,Diallo,1628977.0,,
78,PT05M03.00S,2023-03-07T00:23:14.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628977,,,1610612765,9,15,2023-03-07T00:23:48Z,760000,False,,,0,,MISS H. Diallo Free Throw 1 of 2,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
79,PT05M03.00S,2023-03-07T00:23:14.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612765,9,15,2023-03-07T00:23:48Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,
80,PT05M03.00S,2023-03-07T00:23:21.2Z,1,REGULAR,substitution,out,[],1629234,,,1610612765,9,15,2023-03-07T00:23:27Z,780000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M03.00S,2023-03-07T00:23:21.2Z,1,REGULAR,substitution,in,[],1630570,,,1610612765,9,15,2023-03-07T00:23:27Z,790000,False,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M03.00S,2023-03-07T00:23:14.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628977,,,1610612765,9,15,2023-03-07T00:23:48Z,800000,False,,,0,,MISS H. Diallo Free Throw 2 of 2,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
83,PT05M00.00S,2023-03-07T00:23:17.6Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,9,15,2023-03-07T00:23:48Z,810000,False,,,0,,D. Lillard REBOUND (Off:0 Def:5),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,82.0,5.0,5.0,0.0,,,,,,,,,,,,,,
84,PT04M49.00S,2023-03-07T00:23:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,94.13600525624179,52.69607843137255,1610612757,9,17,2023-03-07T00:26:06Z,820000,False,13.0,3.0,1,right,S. Sharpe driving Layup (2 PTS) (D. Lillard 1 AST),"[1631101, 203081]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.37,Made,,,,,,,2.0,D. Lillard,203081.0,1.0,,,,,,,,
