actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
15,PT10M56.00S,2022-10-28T23:12:53.8Z,1,REGULAR,2pt,Jump Shot,[],1629631,80.46977660972405,76.22549019607843,1610612737,0,4,2022-10-28T23:12:59Z,150000,131.0,131.0,1,right,D. Hunter 18' pullup Jump Shot (2 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right Center,18.54,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2022-10-28T23:13:11.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,6.619579500657039,44.36274509803921,1610612765,2,4,2022-10-28T23:13:15Z,160000,28.0,10.0,1,left,I. Stewart Hook (2 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,2.98,Made,2.0,,,,,,,C. Cunningham,1630595.0,1.0,,,,,,,,
18,PT10M21.00S,2022-10-28T23:13:29.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,92.16491458607096,50.49019607843137,1610612737,2,6,2022-10-28T23:19:17Z,180000,2.0,21.0,1,right,D. Murray driving finger roll Layup (2 PTS) (J. Collins 1 AST),"[1627749, 1628381]",1610612737.0,ATL,driving finger roll,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,2.12,Made,2.0,,,,,,,J. Collins,1628381.0,1.0,,,,,,,,
20,PT10M05.00S,2022-10-28T23:13:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,14.241130091984232,44.11764705882353,1610612765,4,6,2022-10-28T23:14:38Z,200000,29.0,81.0,1,left,C. Cunningham 8' pullup Jump Shot (2 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,8.65,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M50.00S,2022-10-28T23:14:09.3Z,1,REGULAR,2pt,Jump Shot,[],1629631,79.5006570302234,51.07230392156863,1610612737,4,6,2022-10-28T23:14:15Z,210000,5.0,140.0,1,right,MISS D. Hunter 14' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Center,14.03,Missed,,,,,,,,,,,,,,,,,,
22,PT09M47.00S,2022-10-28T23:14:12.3Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,4,6,2022-10-28T23:14:15Z,220000,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Center,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT09M30.00S,2022-10-28T23:14:32.1Z,1,REGULAR,foul,offensive,[],1630180,,,1610612765,4,6,2022-10-29T00:33:08Z,230000,,,0,,S. Bey charge offensive FOUL (1 PF),"[1630180, 203991]",1610612765.0,DET,charge,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200832.0,1.0,0.0,Capela,203991.0,,,
25,PT09M30.00S,2022-10-28T23:14:32.1Z,1,REGULAR,turnover,offensive foul,[],1630180,,,1610612765,4,6,2022-10-28T23:14:32Z,250000,,,0,,S. Bey offensive foul TURNOVER (1 TO),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200832.0,,,,,1.0,,
26,PT09M09.00S,2022-10-28T23:15:09.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203991,90.45663600525624,46.81372549019608,1610612737,4,6,2022-10-28T23:15:13Z,260000,-16.0,37.0,1,right,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,4.05,Missed,,,,,,,,,,,,,,,,,,
27,PT09M07.00S,2022-10-28T23:15:11.1Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,4,6,2022-10-28T23:15:13Z,270000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M01.00S,2022-10-28T23:15:16.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,5.174113009198422,97.54901960784314,1610612765,4,6,2022-10-28T23:15:22Z,280000,-238.0,-4.0,1,left,MISS S. Bey 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,
29,PT09M00.00S,2022-10-28T23:15:19.0Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,4,6,2022-10-28T23:15:19Z,290000,,,0,,J. Ivey REBOUND (Off:1 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Left Corner 3,24+ Left,,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,
30,PT08M58.00S,2022-10-28T23:15:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631093,7.670827858081481,51.71568627450981,1610612765,6,6,2022-10-28T23:15:24Z,300000,-9.0,20.0,1,left,J. Ivey Layup (2 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,,,,,,,,,,,,,,,,,
31,PT08M48.00S,2022-10-28T23:15:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,95.97568988173455,35.5392156862745,1610612737,6,8,2022-10-28T23:15:35Z,310000,-72.0,-15.0,1,right,D. Murray 7' pullup Jump Shot (4 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,7.38,Made,4.0,,,,,,,,,,,,,,,,,
32,PT08M24.00S,2022-10-28T23:15:54.2Z,1,REGULAR,2pt,Jump Shot,[],202711,17.000657030223394,29.166666666666657,1610612765,6,8,2022-10-28T23:15:58Z,320000,104.0,107.0,1,left,MISS B. Bogdanovic 14' step back Shot,[202711],1610612765.0,DET,step back,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,14.96,Missed,,,,,,,,,,,,,,,,,,
33,PT08M22.00S,2022-10-28T23:15:56.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,8,2022-10-28T23:15:58Z,330000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,
34,PT08M16.00S,2022-10-28T23:16:02.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,74.1622864651774,14.705882352941174,1610612737,6,11,2022-10-28T23:16:06Z,340000,-176.0,190.0,1,right,D. Murray 25' 3PT  (7 PTS) (T. Young 1 AST),"[1627749, 1629027]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,25.96,Made,7.0,,,,,,,T. Young,1629027.0,1.0,,,,,,,,
36,PT08M04.00S,2022-10-28T23:16:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,5.568331143232584,54.65686274509804,1610612765,6,11,2022-10-28T23:16:19Z,360000,-23.0,0.0,1,left,MISS C. Cunningham driving reverse Layup,[1630595],1610612765.0,DET,driving reverse,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,,
37,PT08M02.00S,2022-10-28T23:16:16.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,11,2022-10-28T23:16:19Z,370000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,36.0,3.0,3.0,0.0,,,,,,,,,,,
38,PT07M58.00S,2022-10-28T23:16:21.1Z,1,REGULAR,turnover,lost ball,[],1629027,,,1610612737,6,11,2022-10-28T23:16:25Z,380000,,,0,,T. Young lost ball TURNOVER (1 TO),"[1629027, 1630595]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Cunningham,1630595.0
39,PT07M58.00S,2022-10-28T23:16:21.1Z,1,REGULAR,steal,,[],1630595,,,1610612765,6,11,2022-10-28T23:16:23Z,390000,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
40,PT07M54.00S,2022-10-28T23:16:24.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630595,6.4881734559789805,46.07843137254902,1610612765,8,11,2022-10-28T23:16:31Z,400000,20.0,8.0,1,left,C. Cunningham running DUNK (4 PTS),[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,2.14,Made,4.0,,,,,,,,,,,,,,,,,
41,PT07M35.00S,2022-10-28T23:16:43.1Z,1,REGULAR,3pt,Jump Shot,[],1627749,88.87976346911958,3.4313725490196134,1610612737,8,14,2022-10-28T23:17:07Z,410000,-233.0,52.0,1,right,D. Murray 3PT step back (10 PTS),[1627749],1610612737.0,ATL,step back,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,23.85,Made,10.0,,,,,,,,,,,,,,,,,
42,PT07M20.00S,2022-10-28T23:16:58.0Z,1,REGULAR,3pt,Jump Shot,[],1630191,33.820630749014455,49.754901960784316,1610612765,8,14,2022-10-28T23:17:02Z,420000,1.0,265.0,1,left,MISS I. Stewart 26' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Center,26.54,Missed,,,,,,,,,,,,,,,,,,
43,PT07M18.00S,2022-10-28T23:17:00.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,8,14,2022-10-28T23:17:00Z,430000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,
44,PT07M07.00S,2022-10-28T23:17:11.7Z,1,REGULAR,3pt,Jump Shot,[],1627749,88.48554533508542,97.05882352941177,1610612737,8,14,2022-10-28T23:17:16Z,440000,235.0,56.0,1,right,MISS D. Murray 24' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,24.18,Missed,,,,,,,,,,,,,,,,,,
45,PT07M04.00S,2022-10-28T23:17:14.0Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,8,14,2022-10-28T23:17:14Z,450000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Right Corner 3,24+ Right,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,
46,PT07M01.00S,2022-10-28T23:17:20.2Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612765,8,14,2022-10-28T23:17:33Z,460000,,,0,,J. Collins shooting personal FOUL (1 PF) (Bey 2 FT),"[1628381, 1630180]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200832.0,1.0,0.0,Bey,1630180.0,,,
48,PT07M01.00S,2022-10-28T23:17:48.9Z,1,REGULAR,freethrow,1 of 2,[],1630180,,,1610612765,9,14,2022-10-28T23:17:49Z,480000,,,0,,S. Bey Free Throw 1 of 2 (1 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
49,PT07M01.00S,2022-10-28T23:17:49.7Z,1,REGULAR,substitution,out,[],1631093,,,1610612765,9,14,2022-10-28T23:17:56Z,490000,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M01.00S,2022-10-28T23:17:49.7Z,1,REGULAR,substitution,out,[],203991,,,1610612765,9,14,2022-10-28T23:17:56Z,500000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M01.00S,2022-10-28T23:17:49.7Z,1,REGULAR,substitution,in,[],1630165,,,1610612765,9,14,2022-10-28T23:17:56Z,510000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M01.00S,2022-10-28T23:17:49.7Z,1,REGULAR,substitution,in,[],1630168,,,1610612765,9,14,2022-10-28T23:17:56Z,520000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M01.00S,2022-10-28T23:18:08.2Z,1,REGULAR,freethrow,2 of 2,[],1630180,,,1610612765,10,14,2022-10-28T23:18:08Z,530000,,,0,,S. Bey Free Throw 2 of 2 (2 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
55,PT06M41.00S,2022-10-28T23:18:48.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,10,14,2022-10-28T23:18:48Z,550000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M41.00S,2022-10-28T23:21:53.0Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612737,10,14,2022-10-28T23:22:43Z,560000,,,0,,ATL 5-second-violation Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,200832.0,,,,,,,
57,PT06M31.00S,2022-10-28T23:22:16.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630595,18.05190538764782,32.59803921568627,1610612765,12,14,2022-10-28T23:23:18Z,570000,87.0,117.0,1,left,C. Cunningham 14' pullup Jump Shot (6 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,14.6,Made,6.0,,,,,,,,,,,,,,,,,
58,PT06M19.00S,2022-10-28T23:22:28.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,93.34756898817345,44.85294117647059,1610612737,12,16,2022-10-28T23:23:38Z,580000,-26.0,10.0,1,right,J. Collins alley-oop DUNK (2 PTS) (T. Young 2 AST),"[1628381, 1629027]",1610612737.0,ATL,alley-oop,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,2.76,Made,2.0,,,,,,,T. Young,1629027.0,2.0,,,,,,,,
60,PT06M11.00S,2022-10-28T23:22:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,5.831143232588701,56.127450980392155,1610612765,14,16,2022-10-28T23:24:08Z,600000,-31.0,2.0,1,left,B. Bogdanovic driving bank Jump Shot (2 PTS) (K. Hayes 1 AST),"[202711, 1630165]",1610612765.0,DET,driving bank,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,3.07,Made,2.0,,,,,,,K. Hayes,1630165.0,1.0,,,,,,,,
62,PT05M59.00S,2022-10-28T23:22:54.1Z,1,REGULAR,foul,personal,['2freethrow'],1630165,,,1610612737,14,16,2022-10-28T23:23:04Z,620000,,,0,,K. Hayes shooting personal FOUL (1 PF) (Young 2 FT),"[1630165, 1629027]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,201638.0,1.0,0.0,Young,1629027.0,,,
64,PT05M59.00S,2022-10-28T23:23:19.5Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,14,17,2022-10-28T23:23:19Z,640000,,,0,,T. Young Free Throw 1 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
65,PT05M59.00S,2022-10-28T23:23:35.2Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,14,17,2022-10-28T23:23:35Z,650000,,,0,,MISS T. Young Free Throw 2 of 2,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
66,PT05M57.00S,2022-10-28T23:23:36.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,14,17,2022-10-28T23:23:36Z,660000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,
67,PT05M46.00S,2022-10-28T23:23:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,6.619579500657039,44.36274509803921,1610612765,14,17,2022-10-28T23:25:17Z,670000,28.0,10.0,1,left,MISS I. Stewart cutting Layup,[1630191],1610612765.0,DET,cutting,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,2.98,Missed,,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2022-10-28T23:23:50.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,14,17,2022-10-28T23:23:54Z,680000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,
69,PT05M41.00S,2022-10-28T23:23:55.3Z,1,REGULAR,turnover,out-of-bounds,[],1628381,,,1610612737,14,17,2022-10-28T23:31:09Z,690000,,,0,,J. Collins bad pass out-of-bounds TURNOVER (1 TO),[1628381],1610612737.0,ATL,bad pass,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,200832.0,,,,,1.0,,
70,PT05M41.00S,2022-10-28T23:24:00.2Z,1,REGULAR,substitution,out,[],1627749,,,1610612765,14,17,2022-10-28T23:24:14Z,700000,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M41.00S,2022-10-28T23:24:00.2Z,1,REGULAR,substitution,in,[],1628988,,,1610612765,14,17,2022-10-28T23:24:14Z,710000,,,0,,SUB in: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M31.00S,2022-10-28T23:24:20.0Z,1,REGULAR,foul,personal,['3freethrow'],1629631,,,1610612765,14,17,2022-10-28T23:24:30Z,720000,,,0,,D. Hunter shooting personal FOUL (1 PF) (Bogdanovic 3 FT),"[1629631, 202711]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,201638.0,1.0,0.0,Bogdanovic,202711.0,,,
74,PT05M31.00S,2022-10-28T23:24:48.8Z,1,REGULAR,freethrow,1 of 3,['fromturnover'],202711,,,1610612765,15,17,2022-10-28T23:24:48Z,740000,,,0,,B. Bogdanovic Free Throw 1 of 3 (3 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
75,PT05M31.00S,2022-10-28T23:25:02.9Z,1,REGULAR,freethrow,2 of 3,['fromturnover'],202711,,,1610612765,16,17,2022-10-28T23:25:02Z,750000,,,0,,B. Bogdanovic Free Throw 2 of 3 (4 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
76,PT05M31.00S,2022-10-28T23:25:19.3Z,1,REGULAR,freethrow,3 of 3,['fromturnover'],202711,,,1610612765,17,17,2022-10-28T23:25:19Z,760000,,,0,,B. Bogdanovic Free Throw 3 of 3 (5 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
77,PT05M17.00S,2022-10-28T23:25:33.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,67.7233902759527,34.31372549019608,1610612737,17,20,2022-10-28T23:25:42Z,770000,-78.0,251.0,1,right,D. Hunter 26' 3PT  (5 PTS) (T. Young 3 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,26.29,Made,5.0,,,,,,,T. Young,1629027.0,3.0,,,,,,,,
79,PT05M02.00S,2022-10-28T23:25:49.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630180,9.641918528252305,52.450980392156865,1610612765,17,20,2022-10-28T23:26:01Z,790000,-12.0,38.0,1,left,MISS S. Bey driving Hook,[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,4.0,Missed,,,,,,,,,,,,,,,,,,
80,PT04M59.00S,2022-10-28T23:25:52.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,17,20,2022-10-28T23:26:01Z,800000,,,0,,J. Collins REBOUND (Off:0 Def:3),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,
81,PT04M53.00S,2022-10-28T23:25:57.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,90.5880420499343,49.754901960784316,1610612737,17,22,2022-10-28T23:26:13Z,810000,-1.0,36.0,1,right,T. Young driving floating Jump Shot (5 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Restricted Area,0-8 Center,3.6,Made,5.0,,,,,,,,,,,,,,,,,
82,PT04M39.00S,2022-10-28T23:26:11.7Z,1,REGULAR,3pt,Jump Shot,[],202711,34.477660972404735,87.25490196078431,1610612765,17,22,2022-10-28T23:26:15Z,820000,-186.0,272.0,1,left,MISS B. Bogdanovic 32' 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,32.94,Missed,,,,,,,,,,,,,,,,,,
83,PT04M39.00S,2022-10-28T23:26:11.7Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,17,22,2022-10-28T23:26:15Z,830000,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,
