actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
29,PT09M35.00S,2022-10-26T23:14:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202711,91.80354796320631,44.6078431372549,1610612765,5,8,2022-10-26T23:15:01Z,290000,-27.0,25.0,1,right,MISS B. Bogdanovic driving Layup - blocked,"[202711, 1628381]",1610612765.0,DET,driving,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,3.65,Missed,,,,,,,,,,,,,,Collins,1628381.0,,,
30,PT09M35.00S,2022-10-26T23:14:48.0Z,1,REGULAR,block,,[],1628381,,,1610612765,5,8,2022-10-26T23:14:55Z,300000,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M35.00S,2022-10-26T23:14:48.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,5,8,2022-10-26T23:15:01Z,310000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,29.0,,,,,,,,,,,,,,,,,
33,PT09M35.00S,2022-10-26T23:15:03.1Z,1,REGULAR,foul,technical,['1freethrow'],202711,,,1610612765,5,8,2022-10-26T23:15:21Z,330000,,,0,,B. Bogdanovic technical FOUL (1 Tech),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,202049.0,0.0,1.0,,,,,,,
34,PT09M35.00S,2022-10-26T23:15:19.0Z,1,REGULAR,freethrow,1 of 1,[],1629027,,,1610612765,5,9,2022-10-26T23:15:19Z,340000,,,0,,T. Young technical Free Throw 1 of 1 (5 PTS),[1629027],1610612737.0,ATL,technical,,,Young,T. Young,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
35,PT09M33.00S,2022-10-26T23:15:47.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630595,93.5611038107753,75.02297794117648,1610612765,5,9,2022-10-26T23:15:54Z,350000,125.0,8.0,1,right,MISS C. Cunningham 12' Jump Shot,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,12.54,Missed,,,,,,,,,,,,,,,,,,
36,PT09M29.00S,2022-10-26T23:15:51.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,5,9,2022-10-26T23:15:54Z,360000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M18.00S,2022-10-26T23:16:02.7Z,1,REGULAR,2pt,Jump Shot,[],1628381,5.732588699080158,28.186274509803923,1610612737,5,11,2022-10-26T23:16:08Z,370000,109.0,1.0,1,left,J. Collins 10' turnaround Jump Shot (2 PTS),[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,10.91,Made,,,,,2.0,,,,,,,,,,,,,
38,PT09M06.00S,2022-10-26T23:16:14.2Z,1,REGULAR,3pt,Jump Shot,[],1630180,89.83245729303549,4.411764705882353,1610612765,8,11,2022-10-26T23:16:59Z,380000,-228.0,43.0,1,right,S. Bey 3PT  (3 PTS) (C. Cunningham 1 AST),"[1630180, 1630595]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,23.19,Made,,,,,3.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,
40,PT08M47.00S,2022-10-26T23:16:33.5Z,1,REGULAR,2pt,Jump Shot,[],1629027,26.757555847568987,43.13725490196079,1610612737,8,13,2022-10-26T23:16:38Z,400000,34.0,199.0,1,left,T. Young 20' pullup Jump Shot (7 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Mid-Range,16-24 Center,20.19,Made,,,,,7.0,,,,,,,,,,,,,
41,PT08M41.00S,2022-10-26T23:16:41.1Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612765,8,13,2022-10-26T23:16:58Z,410000,,,0,,D. Hunter shooting personal FOUL (1 PF) (Stewart 2 FT),"[1629631, 1630191]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202049.0,1.0,0.0,Stewart,1630191.0,,,,,
43,PT08M41.00S,2022-10-26T23:17:09.3Z,1,REGULAR,freethrow,1 of 2,[],1630191,,,1610612765,8,13,2022-10-26T23:17:09Z,430000,,,0,,MISS I. Stewart Free Throw 1 of 2,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
44,PT08M41.00S,2022-10-26T23:17:09.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,8,13,2022-10-26T23:17:09Z,440000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,
45,PT08M41.00S,2022-10-26T23:17:22.8Z,1,REGULAR,freethrow,2 of 2,[],1630191,,,1610612765,9,13,2022-10-26T23:17:22Z,450000,,,0,,I. Stewart Free Throw 2 of 2 (1 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
46,PT08M27.00S,2022-10-26T23:17:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,8.360709592641262,40.68627450980392,1610612737,9,13,2022-10-26T23:17:46Z,460000,47.0,26.0,1,left,MISS J. Collins driving Layup,[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,,,,,
47,PT08M24.00S,2022-10-26T23:17:43.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,9,13,2022-10-26T23:17:46Z,470000,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,1.0,0.0,1.0,,,,,,,,,,,,,,
48,PT08M23.00S,2022-10-26T23:17:43.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,6.258212877792378,53.67647058823529,1610612737,9,13,2022-10-26T23:17:50Z,480000,-18.0,6.0,1,left,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
49,PT08M21.00S,2022-10-26T23:17:45.9Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612737,9,13,2022-10-26T23:17:45Z,490000,,,0,,D. Murray REBOUND (Off:1 Def:0),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,,,
50,PT08M15.00S,2022-10-26T23:17:58.4Z,1,REGULAR,violation,kicked ball,[],1630180,,,1610612737,9,13,2022-10-26T23:18:07Z,500000,,,0,,S. Bey kicked ball VIOLATION,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,1628480.0,,,,,,,,,
51,PT08M11.00S,2022-10-26T23:18:24.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627749,23.47240473061761,68.87254901960785,1610612737,9,13,2022-10-26T23:20:18Z,510000,-94.0,168.0,1,left,MISS D. Murray 19' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,19.28,Missed,,,,,,,,,,,,,,,,,,
52,PT08M10.00S,2022-10-26T23:18:25.9Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,9,13,2022-10-26T23:20:18Z,520000,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Left Center,,,51.0,2.0,0.0,2.0,,,,,,,,,,,,,,
53,PT08M10.00S,2022-10-26T23:18:31.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203991,5.590000152587891,50.0,1610612737,9,15,2022-10-26T23:20:28Z,530000,0.0,0.0,1,left,C. Capela putback DUNK (2 PTS),[203991],1610612737.0,ATL,putback,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
54,PT07M53.00S,2022-10-26T23:18:42.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630180,90.88370565045992,57.35294117647059,1610612765,9,15,2022-10-26T23:29:21Z,540000,37.0,33.0,1,right,MISS S. Bey driving Hook,[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,4.96,Missed,,,,,,,,,,,,,,,,,,
55,PT07M51.00S,2022-10-26T23:18:44.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,9,15,2022-10-26T23:18:46Z,550000,,,0,,D. Murray REBOUND (Off:1 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,
56,PT07M39.00S,2022-10-26T23:18:55.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,11.645860709592641,42.40196078431372,1610612737,9,17,2022-10-26T23:19:01Z,560000,38.0,57.0,1,left,T. Young 6' driving floating Jump Shot (9 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,6.85,Made,,,,,9.0,,,,,,,,,,,,,
57,PT07M33.00S,2022-10-26T23:19:07.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,9,17,2022-10-26T23:19:07Z,570000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M24.00S,2022-10-26T23:22:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,82.9993429697766,61.029411764705884,1610612765,9,17,2022-10-26T23:22:18Z,580000,55.0,107.0,1,right,MISS C. Cunningham 12' step back Shot,[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,12.06,Missed,,,,,,,,,,,,,,,,,,
59,PT07M22.00S,2022-10-26T23:22:12.8Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,9,17,2022-10-26T23:22:18Z,590000,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M06.00S,2022-10-26T23:22:28.8Z,1,REGULAR,2pt,Jump Shot,[],1628381,8.360709592641262,16.42156862745098,1610612737,9,19,2022-10-26T23:22:34Z,600000,168.0,26.0,1,left,J. Collins 16' Jump Shot (4 PTS) (D. Hunter 1 AST),"[1628381, 1629631]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right,16.99,Made,,,,,4.0,D. Hunter,1629631.0,1.0,,,,,,,,,,
62,PT06M44.00S,2022-10-26T23:22:52.9Z,1,REGULAR,turnover,traveling,[],1630180,,,1610612765,9,19,2022-10-26T23:22:58Z,620000,,,0,,S. Bey traveling TURNOVER (1 TO),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Mid-Range,16-24 Right,,,,,,,,,,,202049.0,,,,,,,1.0,,
63,PT06M25.00S,2022-10-26T23:23:24.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,23.866622864651774,38.23529411764706,1610612737,9,19,2022-10-26T23:24:08Z,630000,59.0,172.0,1,left,MISS D. Murray 18' step back Shot,[1627749],1610612737.0,ATL,step back,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right Center,18.16,Missed,,,,,,,,,,,,,,,,,,
64,PT06M23.00S,2022-10-26T23:23:26.5Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,9,19,2022-10-26T23:23:29Z,640000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Right Center,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT06M16.00S,2022-10-26T23:23:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,85.75886990801577,40.68627450980392,1610612765,11,19,2022-10-26T23:23:38Z,650000,-47.0,81.0,1,right,B. Bogdanovic 9' Jump Shot (2 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,9.38,Made,,,,,2.0,,,,,,,,,,,,,
66,PT05M55.00S,2022-10-26T23:23:55.0Z,1,REGULAR,3pt,Jump Shot,[],1629631,5.863994743758213,94.6078431372549,1610612737,11,22,2022-10-26T23:23:59Z,660000,-223.0,3.0,1,left,D. Hunter 3PT  (7 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,22.3,Made,,,,,7.0,T. Young,1629027.0,1.0,,,,,,,,,,
68,PT05M44.00S,2022-10-26T23:24:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,92.32917214191852,52.20588235294118,1610612765,13,22,2022-10-26T23:24:10Z,680000,11.0,20.0,1,right,B. Bogdanovic driving Layup (4 PTS),[202711],1610612765.0,DET,driving,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,4.0,,,,,,,,,,,,,
69,PT05M34.00S,2022-10-26T23:24:15.9Z,1,REGULAR,3pt,Jump Shot,[],1629631,6.915243101182654,95.34313725490196,1610612737,13,25,2022-10-26T23:24:21Z,690000,-227.0,13.0,1,left,D. Hunter 3PT  (10 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,22.7,Made,,,,,10.0,,,,,,,,,,,,,
70,PT05M17.00S,2022-10-26T23:24:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,93.11760840998686,54.166666666666664,1610612765,13,25,2022-10-26T23:24:42Z,700000,21.0,12.0,1,right,MISS K. Hayes cutting Layup,[1630165],1610612765.0,DET,cutting,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,,,,,,,,,
72,PT05M10.00S,2022-10-26T23:24:40.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,13,25,2022-10-26T23:24:42Z,720000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
73,PT05M00.00S,2022-10-26T23:24:50.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,4.5499342969776615,60.78431372549019,1610612737,13,25,2022-10-26T23:24:54Z,730000,-54.0,-10.0,1,left,MISS J. Collins Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,5.48,Missed,,,,,,,,,,,,,,,,,,
74,PT04M57.00S,2022-10-26T23:24:53.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,13,25,2022-10-26T23:24:54Z,740000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
75,PT04M49.00S,2022-10-26T23:25:00.1Z,1,REGULAR,3pt,Jump Shot,[],202711,70.51576872536137,77.69607843137256,1610612765,16,25,2022-10-26T23:25:05Z,750000,138.0,225.0,1,right,B. Bogdanovic 26' 3PT  (7 PTS) (K. Hayes 1 AST),"[202711, 1630165]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,26.4,Made,,,,,7.0,K. Hayes,1630165.0,1.0,,,,,,,,,,
77,PT04M35.00S,2022-10-26T23:25:17.1Z,1,REGULAR,foul,personal,['2freethrow'],1630165,,,1610612737,16,25,2022-10-26T23:25:26Z,770000,,,0,,K. Hayes shooting personal FOUL (1 PF) (Young 2 FT),"[1630165, 1629027]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202049.0,1.0,0.0,Young,1629027.0,,,,,
79,PT04M35.00S,2022-10-26T23:25:53.9Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,16,26,2022-10-26T23:25:54Z,790000,,,0,,T. Young Free Throw 1 of 2 (10 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
80,PT04M35.00S,2022-10-26T23:25:54.7Z,1,REGULAR,substitution,out,[],1630191,,,1610612737,16,26,2022-10-26T23:26:12Z,800000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M35.00S,2022-10-26T23:25:54.7Z,1,REGULAR,substitution,out,[],1630180,,,1610612737,16,26,2022-10-26T23:26:12Z,810000,,,0,,SUB out: S. Bey,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M35.00S,2022-10-26T23:25:54.7Z,1,REGULAR,substitution,out,[],1627749,,,1610612737,16,26,2022-10-26T23:26:12Z,820000,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M35.00S,2022-10-26T23:25:54.7Z,1,REGULAR,substitution,out,[],203991,,,1610612737,16,26,2022-10-26T23:26:12Z,830000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M35.00S,2022-10-26T23:25:54.7Z,1,REGULAR,substitution,in,[],1631105,,,1610612737,16,26,2022-10-26T23:26:12Z,840000,,,0,,SUB in: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M35.00S,2022-10-26T23:25:54.7Z,1,REGULAR,substitution,in,[],1630587,,,1610612737,16,26,2022-10-26T23:26:12Z,850000,,,0,,SUB in: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
