actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
62,PT06M24.00S,2026-03-26T23:22:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,5.831143232588701,4.166666666666657,1610612765,14,11,2026-03-26T23:25:18Z,610000,False,229.0,2.0,1,left,K. Huerter 3PT  (5 PTS) (J. Duren 1 AST),"[1628989, 1631105]",1610612765.0,DET,,,,Huerter,K. Huerter,,,,,Right Corner 3,24+ Right,,,22.92,Made,5.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,
64,PT06M03.00S,2026-03-26T23:23:05.0Z,1,REGULAR,3pt,Jump Shot,[],1630529,92.95335085413929,96.81372549019608,1610612740,14,14,2026-03-26T23:23:09Z,630000,False,234.0,14.0,1,right,H. Jones 3PT  (3 PTS) (D. Murray 1 AST),"[1630529, 1627749]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,,,23.45,Made,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,
66,PT05M51.00S,2026-03-26T23:23:22.8Z,1,REGULAR,turnover,out-of-bounds,[],1631105,,,1610612765,14,14,2026-03-26T23:23:29Z,650000,False,,,0,,J. Duren bad pass out-of-bounds TURNOVER (1 TO),[1631105],1610612765.0,DET,bad pass,,,Duren,J. Duren,,,,,Mid-Range,8-16 Left,1627526.0,1.0,,,,,,,,,,,,,,,,,,
67,PT05M51.00S,2026-03-26T23:23:28.8Z,1,REGULAR,substitution,out,[],1642450,,,1610612740,14,14,2026-03-26T23:23:37Z,660000,False,,,0,,SUB out: D. Jenkins,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M51.00S,2026-03-26T23:23:28.8Z,1,REGULAR,substitution,in,[],1631204,,,1610612740,14,14,2026-03-26T23:23:37Z,670000,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M38.00S,2026-03-26T23:23:54.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630180,93.87319316688567,1.9607843137254974,1610612740,14,17,2026-03-26T23:24:03Z,680000,False,-240.0,5.0,1,right,S. Bey 24' 3PT  (8 PTS) (D. Murray 2 AST),"[1630180, 1627749]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,,,24.03,Made,8.0,D. Murray,1627749.0,2.0,,,,,,,,,,,,
73,PT05M27.00S,2026-03-26T23:24:08.0Z,1,REGULAR,2pt,Jump Shot,[],202699,14.50394218134035,70.34313725490196,1610612765,14,17,2026-03-26T23:30:13Z,700000,False,-102.0,84.0,1,left,MISS T. Harris 13' fadeaway Shot,[202699],1610612765.0,DET,fadeaway,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,13.18,Missed,,,,,,,,,,,,,,,,
74,PT05M26.00S,2026-03-26T23:24:09.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,14,17,2026-03-26T23:30:13Z,710000,False,,,0,,D. Murray REBOUND (Off:0 Def:3),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,,,,,,,,,73.0,3.0,3.0,0.0,,,,,,,,
75,PT05M16.00S,2026-03-26T23:24:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,87.43429697766098,49.754901960784316,1610612740,14,17,2026-03-26T23:30:38Z,720000,False,-1.0,66.0,1,right,MISS D. Murray 6' driving floating Shot,[1627749],1610612740.0,NOP,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,6.56,Missed,,,,,,,,,,,,,,,,
76,PT05M15.00S,2026-03-26T23:24:20.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,14,17,2026-03-26T23:30:38Z,730000,False,,,0,,T. Harris REBOUND (Off:0 Def:4),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,75.0,4.0,4.0,0.0,,,,,,,,
77,PT05M08.00S,2026-03-26T23:24:28.7Z,1,REGULAR,foul,personal,[],1630180,,,1610612765,14,17,2026-03-26T23:24:35Z,740000,False,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 202699]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Mid-Range,16-24 Left,1627526.0,,,,,,,,,,,,,,,,1.0,0.0,Harris,202699.0
79,PT05M08.00S,2026-03-26T23:24:50.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,14,17,2026-03-26T23:24:50Z,760000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M08.00S,2026-03-26T23:27:38.6Z,1,REGULAR,substitution,out,[],1641709,,,1610612765,14,17,2026-03-26T23:27:49Z,780000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M08.00S,2026-03-26T23:27:38.6Z,1,REGULAR,substitution,out,[],201599,,,1610612765,14,17,2026-03-26T23:27:49Z,790000,False,,,0,,SUB out: D. Jordan,[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2026-03-26T23:27:38.6Z,1,REGULAR,substitution,out,[],1630180,,,1610612765,14,17,2026-03-26T23:27:49Z,800000,False,,,0,,SUB out: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M08.00S,2026-03-26T23:27:38.6Z,1,REGULAR,substitution,in,[],1641842,,,1610612765,14,17,2026-03-26T23:27:49Z,810000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M08.00S,2026-03-26T23:27:38.6Z,1,REGULAR,substitution,in,[],1641722,,,1610612765,14,17,2026-03-26T23:27:49Z,820000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M08.00S,2026-03-26T23:27:38.6Z,1,REGULAR,substitution,in,[],1642274,,,1610612765,14,17,2026-03-26T23:27:49Z,830000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M59.00S,2026-03-26T23:28:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,5.568331143232584,58.57843137254902,1610612765,16,17,2026-03-26T23:28:18Z,840000,False,-43.0,0.0,1,left,J. Duren alley-oop Layup (4 PTS) (K. Huerter 1 AST),"[1631105, 1628989]",1610612765.0,DET,alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,4.29,Made,4.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,
89,PT04M41.00S,2026-03-26T23:28:29.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,93.47897503285151,43.872549019607845,1610612740,16,17,2026-03-26T23:31:51Z,860000,False,-31.0,9.0,1,right,MISS Z. Williamson driving floating bank Shot,[1629627],1610612740.0,NOP,driving floating bank,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,3.18,Missed,,,,,,,,,,,,,,,,
90,PT04M39.00S,2026-03-26T23:28:31.6Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,16,17,2026-03-26T23:31:51Z,870000,False,,,0,,R. Holland II REBOUND (Off:0 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,,,,,,,89.0,1.0,1.0,0.0,,,,,,,,
91,PT04M36.00S,2026-03-26T23:28:35.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641842,5.174113009198422,57.84313725490196,1610612765,16,17,2026-03-26T23:28:45Z,880000,False,-39.0,-4.0,1,left,MISS R. Holland II running Layup,[1641842],1610612765.0,DET,running,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,3.94,Missed,,,,,,,,,,,,,,,,
92,PT04M36.00S,2026-03-26T23:28:35.4Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,16,17,2026-03-26T23:28:45Z,890000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,91.0,1.0,1.0,0.0,,,,,,,,
93,PT04M25.00S,2026-03-26T23:28:47.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,69.56307490144546,78.67647058823529,1610612740,16,17,2026-03-26T23:29:00Z,900000,False,143.0,234.0,1,right,MISS H. Jones 27' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,27.41,Missed,,,,,,,,,,,,,,,,
