actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M38.00S,2025-11-13T00:12:15.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630171,92.06636005256242,52.94117647058824,1610612741,3,0,2025-11-13T00:15:15Z,150000,False,15.0,22.0,1,right,MISS I. Okoro running Layup - blocked,"[1630171, 1630194]",1610612741.0,CHI,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,2.65,Missed,,,,,,,,,Reed,1630194.0,,,,,,
16,PT10M38.00S,2025-11-13T00:12:15.4Z,1,REGULAR,block,,[],1630194,,,1610612741,3,0,2025-11-13T00:12:18Z,160000,False,,,0,,P. Reed BLOCK (1 BLK),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2025-11-13T00:12:15.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,3,0,2025-11-13T00:12:32Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,15.0,,,,,,,,,,,
19,PT10M30.00S,2025-11-13T00:12:40.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202696,80.50262812089356,50.73529411764706,1610612741,3,2,2025-11-13T00:12:46Z,190000,False,4.0,131.0,1,right,N. Vučević 13' floating Jump Shot (2 PTS) (I. Okoro 1 AST),"[202696, 1630171]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,,,13.09,Made,2.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,
21,PT10M18.00S,2025-11-13T00:12:51.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,31.09395532194481,29.166666666666668,1610612765,6,2,2025-11-13T00:18:22Z,210000,False,104.0,240.0,1,left,D. Robinson 26' 3PT pullup (6 PTS) (D. Jenkins 1 AST),"[1629130, 1642450]",1610612765.0,DET,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,26.15,Made,6.0,D. Jenkins,1642450.0,1.0,,,,,,,,,,,,
23,PT10M08.00S,2025-11-13T00:13:02.5Z,1,REGULAR,turnover,lost ball,[],1630200,,,1610612741,6,2,2025-11-13T00:13:07Z,230000,False,,,0,,T. Jones lost ball TURNOVER (1 TO),"[1630200, 1630194]",1610612741.0,CHI,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,Reed,1630194.0,,,,
24,PT10M08.00S,2025-11-13T00:13:02.5Z,1,REGULAR,steal,,[],1630194,,,1610612765,6,2,2025-11-13T00:13:45Z,240000,False,,,0,,P. Reed STEAL (1 STL),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M00.00S,2025-11-13T00:13:09.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630194,32.276609724047304,57.35294117647059,1610612765,9,2,2025-11-13T00:13:21Z,250000,False,-37.0,251.0,1,left,P. Reed 25' 3PT  (3 PTS) (D. Jenkins 2 AST),"[1630194, 1642450]",1610612765.0,DET,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Center,,,25.36,Made,3.0,D. Jenkins,1642450.0,2.0,,,,,,,,,,,,
27,PT09M40.00S,2025-11-13T00:13:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,89.04402102496715,47.30392156862745,1610612741,9,4,2025-11-13T00:13:36Z,270000,False,-13.0,50.0,1,right,K. Huerter driving floating Jump Shot (2 PTS),[1628989],1610612741.0,CHI,driving floating,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,5.23,Made,2.0,,,,,,,,,,,,,,,
29,PT09M34.00S,2025-11-13T00:13:39.1Z,1,REGULAR,foul,personal,[],1630200,,,1610612765,9,4,2025-11-13T00:13:47Z,290000,False,,,0,,T. Jones personal FOUL (1 PF),"[1630200, 1642450]",1610612741.0,CHI,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,1626300.0,,,,,,,,,,,,,,,,1.0,0.0,Jenkins,1642450.0
31,PT09M21.00S,2025-11-13T00:14:11.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,20.581471747700395,94.11764705882352,1610612765,12,4,2025-11-13T00:14:18Z,310000,False,-221.0,141.0,1,left,D. Robinson 26' 3PT  (9 PTS) (D. Jenkins 3 AST),"[1629130, 1642450]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,26.18,Made,9.0,D. Jenkins,1642450.0,3.0,,,,,,,,,,,,
33,PT09M10.00S,2025-11-13T00:14:23.1Z,1,REGULAR,3pt,Jump Shot,[],1628989,88.25558475689881,94.85294117647058,1610612741,12,4,2025-11-13T00:14:30Z,330000,False,224.0,58.0,1,right,MISS K. Huerter 3PT,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Right Corner 3,24+ Right,,,23.17,Missed,,,,,,,,,,,,,,,,
34,PT09M04.00S,2025-11-13T00:14:29.1Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,12,4,2025-11-13T00:14:30Z,340000,False,,,0,,R. Holland II REBOUND (Off:0 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Right Corner 3,24+ Right,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
35,PT08M50.00S,2025-11-13T00:14:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,8.492115637319317,56.86274509803921,1610612765,12,4,2025-11-13T00:15:49Z,350000,False,-34.0,27.0,1,left,MISS P. Reed driving Layup,[1630194],1610612765.0,DET,driving,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,4.38,Missed,,,,,,,,,,,,,,,,
36,PT08M50.00S,2025-11-13T00:14:41.8Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612765,12,4,2025-11-13T00:15:49Z,360000,False,,,0,,P. Reed REBOUND (Off:2 Def:0),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,35.0,2.0,0.0,2.0,,,,,,,,
37,PT08M50.00S,2025-11-13T00:14:44.9Z,1,REGULAR,foul,personal,['2freethrow'],1641824,,,1610612765,12,4,2025-11-13T00:14:53Z,370000,False,,,0,,M. Buzelis shooting personal FOUL (1 PF) (Reed 2 FT),"[1641824, 1630194]",1610612741.0,CHI,shooting,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,2534.0,,,,,,,,,,,,,,,,1.0,0.0,Reed,1630194.0
39,PT08M50.00S,2025-11-13T00:15:11.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630194,,,1610612765,13,4,2025-11-13T00:15:11Z,390000,False,,,0,,P. Reed Free Throw 1 of 2 (4 PTS),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
40,PT08M50.00S,2025-11-13T00:15:16.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,13,4,2025-11-13T00:15:16Z,400000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M50.00S,2025-11-13T00:18:19.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630194,,,1610612765,14,4,2025-11-13T00:18:19Z,410000,False,,,0,,P. Reed Free Throw 2 of 2 (5 PTS),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
43,PT08M33.00S,2025-11-13T00:18:38.5Z,1,REGULAR,turnover,out-of-bounds,[],1630200,,,1610612741,14,4,2025-11-13T00:18:46Z,420000,False,,,0,,T. Jones bad pass out-of-bounds TURNOVER (2 TO),[1630200],1610612741.0,CHI,bad pass,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,1626300.0,2.0,,,,,,,,,,,,,,,,,,
44,PT08M17.00S,2025-11-13T00:18:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641842,8.492115637319317,47.794117647058826,1610612765,14,4,2025-11-13T00:19:03Z,430000,False,11.0,27.0,1,left,MISS R. Holland II driving Layup,[1641842],1610612765.0,DET,driving,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,2.94,Missed,,,,,,,,,,,,,,,,
45,PT08M15.00S,2025-11-13T00:19:01.5Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,14,4,2025-11-13T00:19:03Z,440000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:2),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,
46,PT07M58.00S,2025-11-13T00:19:19.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,68.54467805519053,27.941176470588236,1610612741,14,4,2025-11-13T00:19:23Z,450000,False,-110.0,243.0,1,right,MISS K. Huerter 26' 3PT,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,26.7,Missed,,,,,,,,,,,,,,,,
47,PT07M55.00S,2025-11-13T00:19:22.0Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612765,14,4,2025-11-13T00:19:23Z,460000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,
48,PT07M43.00S,2025-11-13T00:19:34.5Z,1,REGULAR,2pt,Jump Shot,[],1642450,14.536793692509855,29.901960784313726,1610612765,16,4,2025-11-13T00:19:38Z,470000,False,100.0,84.0,1,left,D. Jenkins 13' fadeaway Jump Shot (2 PTS),[1642450],1610612765.0,DET,fadeaway,,,Jenkins,D. Jenkins,,,,,Mid-Range,8-16 Right,,,13.1,Made,2.0,,,,,,,,,,,,,,,
49,PT07M35.00S,2025-11-13T00:19:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,93.51182654402102,63.23529411764706,1610612741,16,4,2025-11-13T00:19:50Z,480000,False,66.0,8.0,1,right,MISS T. Jones 6' driving bank Shot,[1630200],1610612741.0,CHI,driving bank,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,6.67,Missed,,,,,,,,,,,,,,,,
50,PT07M32.00S,2025-11-13T00:19:45.2Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612765,16,4,2025-11-13T00:19:50Z,490000,False,,,0,,P. Reed REBOUND (Off:2 Def:1),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,49.0,3.0,1.0,2.0,,,,,,,,
51,PT07M27.00S,2025-11-13T00:19:49.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642450,9.806176084099869,48.03921568627451,1610612765,16,4,2025-11-13T00:22:47Z,500000,False,10.0,40.0,1,left,MISS D. Jenkins running finger roll Layup,[1642450],1610612765.0,DET,running finger roll,,,Jenkins,D. Jenkins,,,,,Restricted Area,0-8 Center,,,4.09,Missed,,,,,,,,,,,,,,,,
52,PT07M27.00S,2025-11-13T00:19:49.6Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,16,4,2025-11-13T00:19:57Z,510000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,
54,PT07M21.00S,2025-11-13T00:19:55.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1641824,91.40932982917214,45.588235294117645,1610612741,16,6,2025-11-13T00:23:37Z,530000,False,-22.0,28.0,1,right,M. Buzelis driving floating Jump Shot (2 PTS),[1641824],1610612741.0,CHI,driving floating,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,3.59,Made,2.0,,,,,,,,,,,,,,,
55,PT06M59.00S,2025-11-13T00:20:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641842,18.347568988173457,41.42156862745098,1610612765,16,6,2025-11-13T00:26:54Z,540000,False,43.0,120.0,1,left,MISS R. Holland II 12' driving floating Shot - blocked,"[1641842, 1641824]",1610612765.0,DET,driving floating,,,Holland II,R. Holland II,,,,,In The Paint (Non-RA),8-16 Center,,,12.74,Missed,,,,,,,,,Buzelis,1641824.0,,,,,,
56,PT06M59.00S,2025-11-13T00:20:18.5Z,1,REGULAR,block,,[],1641824,,,1610612765,16,6,2025-11-13T00:20:20Z,550000,False,,,0,,M. Buzelis BLOCK (1 BLK),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2025-11-13T00:20:21.5Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612741,16,6,2025-11-13T00:20:27Z,560000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,
58,PT06M54.00S,2025-11-13T00:20:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630200,93.38042049934296,47.794117647058826,1610612741,16,8,2025-11-13T00:20:32Z,570000,False,-11.0,10.0,1,right,T. Jones running Layup (2 PTS) (K. Huerter 1 AST),"[1630200, 1628989]",1610612741.0,CHI,running,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,1.47,Made,2.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,
60,PT06M35.00S,2025-11-13T00:20:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642450,8.492115637319317,49.50980392156863,1610612765,18,8,2025-11-13T00:20:46Z,590000,False,2.0,27.0,1,left,D. Jenkins driving Layup (4 PTS) (P. Reed 2 AST),"[1642450, 1630194]",1610612765.0,DET,driving,,,Jenkins,D. Jenkins,,,,,Restricted Area,0-8 Center,,,2.74,Made,4.0,P. Reed,1630194.0,2.0,,,,,,,,,,,,
62,PT06M31.00S,2025-11-13T00:20:49.7Z,1,REGULAR,foul,personal,['2freethrow'],1629750,,,1610612741,18,8,2025-11-13T00:21:37Z,600000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Okoro 2 FT),"[1629750, 1630171]",1610612765.0,DET,shooting,,,Green,J. Green,,,,,Mid-Range,8-16 Right,2534.0,,,,,,,,,,,,,,,,1.0,0.0,Okoro,1630171.0
64,PT06M31.00S,2025-11-13T00:21:46.2Z,1,REGULAR,freethrow,1 of 2,[],1630171,,,1610612741,18,8,2025-11-13T00:21:46Z,620000,False,,,0,,MISS I. Okoro Free Throw 1 of 2,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
65,PT06M31.00S,2025-11-13T00:21:46.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,18,8,2025-11-13T00:21:46Z,630000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,
66,PT06M31.00S,2025-11-13T00:21:47.0Z,1,REGULAR,substitution,out,[],1641824,,,1610612741,18,8,2025-11-13T00:21:54Z,640000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M31.00S,2025-11-13T00:21:47.0Z,1,REGULAR,substitution,out,[],1628989,,,1610612741,18,8,2025-11-13T00:21:54Z,650000,False,,,0,,SUB out: K. Huerter,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2025-11-13T00:21:47.0Z,1,REGULAR,substitution,out,[],1630200,,,1610612741,18,8,2025-11-13T00:21:54Z,660000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M31.00S,2025-11-13T00:21:47.0Z,1,REGULAR,substitution,in,[],1630172,,,1610612741,18,8,2025-11-13T00:21:54Z,670000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M31.00S,2025-11-13T00:21:47.0Z,1,REGULAR,substitution,in,[],1630245,,,1610612741,18,8,2025-11-13T00:21:54Z,680000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M31.00S,2025-11-13T00:21:47.0Z,1,REGULAR,substitution,in,[],1631207,,,1610612741,18,8,2025-11-13T00:21:54Z,690000,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M31.00S,2025-11-13T00:22:09.6Z,1,REGULAR,freethrow,2 of 2,[],1630171,,,1610612741,18,9,2025-11-13T00:22:09Z,700000,False,,,0,,I. Okoro Free Throw 2 of 2 (1 PTS),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
73,PT06M13.00S,2025-11-13T00:22:27.6Z,1,REGULAR,3pt,Jump Shot,[],1629750,13.354139290407357,3.431372549019608,1610612765,18,9,2025-11-13T00:22:34Z,710000,False,233.0,73.0,1,left,MISS J. Green 24' 3PT,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,24.4,Missed,,,,,,,,,,,,,,,,
74,PT06M10.00S,2025-11-13T00:22:30.6Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,18,9,2025-11-13T00:22:34Z,720000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Right Corner 3,24+ Right,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,
75,PT06M06.00S,2025-11-13T00:22:35.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202696,67.36202365308804,61.029411764705884,1610612741,18,9,2025-11-13T00:22:49Z,730000,False,55.0,254.0,1,right,MISS N. Vučević 26' running 3PT,[202696],1610612741.0,CHI,running,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,26.02,Missed,,,,,,,,,,,,,,,,
76,PT06M03.00S,2025-11-13T00:22:39.4Z,1,REGULAR,rebound,offensive,[],1630172,,,1610612741,18,9,2025-11-13T00:22:39Z,740000,False,,,0,,P. Williams REBOUND (Off:1 Def:0),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,75.0,1.0,0.0,1.0,,,,,,,,
77,PT05M58.00S,2025-11-13T00:22:44.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630172,69.20170827858082,72.05882352941177,1610612741,18,9,2025-11-13T00:22:51Z,750000,False,110.0,237.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,26.14,Missed,,,,,,,,,,,,,,,,
78,PT05M54.00S,2025-11-13T00:22:48.0Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612765,18,9,2025-11-13T00:22:51Z,760000,False,,,0,,P. Reed REBOUND (Off:2 Def:2),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Right Center,,,,,,,,,77.0,4.0,2.0,2.0,,,,,,,,
79,PT05M47.00S,2025-11-13T00:22:54.7Z,1,REGULAR,turnover,bad pass,[],1642450,,,1610612765,18,9,2025-11-13T00:23:00Z,770000,False,,,0,,D. Jenkins bad pass TURNOVER (1 TO),"[1642450, 1630245]",1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Mid-Range,16-24 Right,,1.0,,,,,,,,,,,,,Dosunmu,1630245.0,,,,
80,PT05M47.00S,2025-11-13T00:22:54.7Z,1,REGULAR,steal,,[],1630245,,,1610612741,18,9,2025-11-13T00:22:57Z,780000,False,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
81,PT05M27.00S,2025-11-13T00:23:15.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202696,87.33574244415243,42.64705882352941,1610612741,18,9,2025-11-13T00:23:20Z,790000,False,-37.0,67.0,1,right,MISS N. Vučević 7' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,7.6,Missed,,,,,,,,,,,,,,,,
82,PT05M25.00S,2025-11-13T00:23:17.4Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,18,9,2025-11-13T00:23:20Z,800000,False,,,0,,R. Holland II REBOUND (Off:0 Def:2),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,
83,PT05M18.00S,2025-11-13T00:23:24.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,28.33442838370565,18.627450980392158,1610612765,18,9,2025-11-13T00:23:28Z,810000,False,157.0,214.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,26.52,Missed,,,,,,,,,,,,,,,,
