actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
28,PT10M18.00S,2025-11-06T00:14:31.9Z,1,REGULAR,freethrow,2 of 2,[],1641718,,,1610612762,6,4,2025-11-06T00:14:31Z,280000,False,,,0,,K. George Free Throw 2 of 2 (2 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M59.00S,2025-11-06T00:14:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641709,92.29632063074901,58.33333333333333,1610612765,6,4,2025-11-06T00:17:45Z,290000,False,42.0,20.0,1,right,MISS A. Thompson driving floating Shot,[1641709],1610612765.0,DET,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
30,PT09M57.00S,2025-11-06T00:14:53.3Z,1,REGULAR,rebound,defensive,[],1641707,,,1610612762,6,4,2025-11-06T00:14:53Z,300000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:1),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,
31,PT09M47.00S,2025-11-06T00:15:02.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,12.00722733245729,34.55882352941177,1610612762,6,4,2025-11-06T00:15:09Z,310000,False,77.0,60.0,1,left,MISS K. George 9' fadeaway Shot,[1641718],1610612762.0,UTA,fadeaway,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Right,9.8,Missed,,,,,,,,,,,,,,,,,,
32,PT09M44.00S,2025-11-06T00:15:05.9Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,6,4,2025-11-06T00:15:05Z,320000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT09M40.00S,2025-11-06T00:15:10.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,76.92181340341656,9.068627450980387,1610612765,6,4,2025-11-06T00:15:17Z,330000,False,-205.0,164.0,1,right,MISS C. Cunningham 26' running 3PT,[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,26.25,Missed,,,,,,,,,,,,,,,,,,
34,PT09M38.00S,2025-11-06T00:15:12.2Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,6,4,2025-11-06T00:15:12Z,340000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,,,
35,PT09M30.00S,2025-11-06T00:15:20.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641709,92.95335085413929,57.1078431372549,1610612765,6,4,2025-11-06T00:19:27Z,350000,False,36.0,14.0,1,right,MISS A. Thompson driving reverse Layup,[1641709],1610612765.0,DET,driving reverse,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.81,Missed,,,,,,,,,,,,,,,,,,
36,PT09M28.00S,2025-11-06T00:15:22.3Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,6,4,2025-11-06T00:15:24Z,360000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,
37,PT09M28.00S,2025-11-06T00:15:22.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641709,92.69053876478318,46.81372549019608,1610612765,6,4,2025-11-06T00:19:57Z,370000,False,-16.0,16.0,1,right,MISS A. Thompson putback Layup,[1641709],1610612765.0,DET,putback,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,,
38,PT09M28.00S,2025-11-06T00:15:22.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,6,4,2025-11-06T00:15:27Z,380000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:2),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
39,PT09M24.00S,2025-11-06T00:15:26.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641718,27.90735873850197,21.07843137254902,1610612762,6,4,2025-11-06T00:20:37Z,390000,False,145.0,210.0,1,left,MISS K. George 25' running pullup 3PT,[1641718],1610612762.0,UTA,running pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,25.48,Missed,,,,,,,,,,,,,,,,,,
40,PT09M21.00S,2025-11-06T00:15:29.5Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,6,4,2025-11-06T00:15:30Z,400000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,
41,PT09M07.00S,2025-11-06T00:15:42.5Z,1,REGULAR,3pt,Jump Shot,[],1630191,93.74178712220763,4.166666666666657,1610612765,6,4,2025-11-06T00:15:48Z,410000,False,-229.0,6.0,1,right,MISS I. Stewart 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,22.93,Missed,,,,,,,,,,,,,,,,,,
42,PT09M05.00S,2025-11-06T00:15:45.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,6,4,2025-11-06T00:15:45Z,420000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:3),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Left Corner 3,24+ Left,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,,
43,PT08M58.00S,2025-11-06T00:15:53.3Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612762,6,4,2025-11-06T00:15:59Z,430000,False,,,0,,J. Nurkić bad pass TURNOVER (1 TO),"[203994, 1630595]",1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Cunningham,1630595.0,,,,
44,PT08M58.00S,2025-11-06T00:15:53.3Z,1,REGULAR,steal,,[],1630595,,,1610612765,6,4,2025-11-06T00:16:31Z,440000,False,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M43.00S,2025-11-06T00:16:07.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,67.32917214191853,50.98039215686275,1610612765,9,4,2025-11-06T00:16:14Z,450000,False,5.0,255.0,1,right,D. Robinson 25' 3PT  (3 PTS) (J. Duren 2 AST),"[1629130, 1631105]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,25.46,Made,3.0,J. Duren,1631105.0,2.0,,,,,,,,,,,,,,
47,PT08M20.00S,2025-11-06T00:16:29.5Z,1,REGULAR,2pt,Jump Shot,[],203994,18.971747700394218,30.637254901960787,1610612762,9,4,2025-11-06T00:23:08Z,470000,False,97.0,126.0,1,left,MISS J. Nurkić 15' driving floating Shot,[203994],1610612762.0,UTA,driving floating,,,Nurkić,J. Nurkić,,,,,Mid-Range,8-16 Right,15.87,Missed,,,,,,,,,,,,,,,,,,
48,PT08M18.00S,2025-11-06T00:16:31.5Z,1,REGULAR,rebound,offensive,[],203994,,,1610612762,9,4,2025-11-06T00:16:34Z,480000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:3),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Mid-Range,8-16 Right,,,,,,,47.0,4.0,3.0,1.0,,,,,,,,,,
49,PT08M11.00S,2025-11-06T00:16:38.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629004,27.90735873850197,19.117647058823522,1610612762,9,7,2025-11-06T00:16:43Z,490000,False,154.0,210.0,1,left,S. Mykhailiuk 26' 3PT  (5 PTS) (K. George 1 AST),"[1629004, 1641718]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,26.05,Made,5.0,K. George,1641718.0,1.0,,,,,,,,,,,,,,
51,PT07M43.00S,2025-11-06T00:17:06.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631105,91.90210249671485,41.666666666666664,1610612765,9,7,2025-11-06T00:24:49Z,510000,False,-42.0,24.0,1,right,MISS J. Duren driving floating Shot,[1631105],1610612765.0,DET,driving floating,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,,,,,,,,,,,,,,,,,,
52,PT07M42.00S,2025-11-06T00:17:07.8Z,1,REGULAR,rebound,defensive,[],1641707,,,1610612762,9,7,2025-11-06T00:24:49Z,520000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:2),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,51.0,3.0,2.0,1.0,,,,,,,,,,
53,PT07M37.00S,2025-11-06T00:17:13.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629004,6.356767411300922,98.52941176470588,1610612762,9,10,2025-11-06T00:17:22Z,530000,False,-243.0,7.0,1,left,S. Mykhailiuk 24' 3PT running (8 PTS) (K. George 2 AST),"[1629004, 1641718]",1610612762.0,UTA,running,,,Mykhailiuk,S. Mykhailiuk,,,,,Left Corner 3,24+ Left,24.27,Made,8.0,K. George,1641718.0,2.0,,,,,,,,,,,,,,
55,PT07M13.00S,2025-11-06T00:17:37.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,66.67214191852825,42.64705882352941,1610612765,9,10,2025-11-06T00:25:48Z,550000,False,-37.0,261.0,1,right,MISS D. Robinson 26' pullup 3PT,[1629130],1610612765.0,DET,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,26.34,Missed,,,,,,,,,,,,,,,,,,
56,PT07M10.00S,2025-11-06T00:17:40.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,9,10,2025-11-06T00:17:40Z,560000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,
57,PT07M01.00S,2025-11-06T00:17:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629004,8.196452036793687,56.86274509803921,1610612762,9,12,2025-11-06T00:18:08Z,570000,False,-34.0,25.0,1,left,S. Mykhailiuk driving finger roll Layup (10 PTS) (J. Nurkić 2 AST),"[1629004, 203994]",1610612762.0,UTA,driving finger roll,,,Mykhailiuk,S. Mykhailiuk,,,,,Restricted Area,0-8 Center,4.22,Made,10.0,J. Nurkić,203994.0,2.0,,,,,,,,,,,,,,
59,PT07M01.00S,2025-11-06T00:17:57.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,9,12,2025-11-06T00:17:57Z,590000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M01.00S,2025-11-06T00:17:58.6Z,1,REGULAR,substitution,out,[],1641709,,,1610612765,9,12,2025-11-06T00:20:50Z,600000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M01.00S,2025-11-06T00:17:58.6Z,1,REGULAR,substitution,out,[],1641707,,,1610612765,9,12,2025-11-06T00:20:50Z,610000,False,,,0,,SUB out: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M01.00S,2025-11-06T00:17:58.6Z,1,REGULAR,substitution,in,[],1627747,,,1610612765,9,12,2025-11-06T00:20:50Z,620000,False,,,0,,SUB in: C. LeVert,[1627747],1610612765.0,DET,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M01.00S,2025-11-06T00:17:58.6Z,1,REGULAR,substitution,in,[],1642846,,,1610612765,9,12,2025-11-06T00:20:50Z,630000,False,,,0,,SUB in: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M49.00S,2025-11-06T00:21:08.3Z,1,REGULAR,turnover,bad pass,[],1629130,,,1610612765,9,12,2025-11-06T00:28:04Z,640000,False,,,0,,D. Robinson bad pass TURNOVER (1 TO),"[1629130, 203994]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Nurkić,203994.0,,,,
65,PT06M49.00S,2025-11-06T00:21:08.3Z,1,REGULAR,steal,,[],203994,,,1610612762,9,12,2025-11-06T00:30:32Z,650000,False,,,0,,J. Nurkić STEAL (1 STL),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
66,PT06M29.00S,2025-11-06T00:21:28.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641718,6.8823915900131425,36.029411764705884,1610612762,9,12,2025-11-06T00:28:58Z,660000,False,70.0,12.0,1,left,MISS K. George 7' driving floating bank Shot,[1641718],1610612762.0,UTA,driving floating bank,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,7.1,Missed,,,,,,,,,,,,,,,,,,
67,PT06M29.00S,2025-11-06T00:21:28.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,9,12,2025-11-06T00:28:58Z,670000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,66.0,,,,,,,,,,,,,
69,PT06M24.00S,2025-11-06T00:21:54.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641718,8.327858081471746,2.941176470588232,1610612762,9,12,2025-11-06T00:21:58Z,690000,False,235.0,26.0,1,left,MISS K. George 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Right Corner 3,24+ Right,23.67,Missed,,,,,,,,,,,,,,,,,,
70,PT06M22.00S,2025-11-06T00:21:56.0Z,1,REGULAR,rebound,offensive,[],1642846,,,1610612762,9,12,2025-11-06T00:21:58Z,700000,False,,,0,,A. Bailey REBOUND (Off:1 Def:0),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Right Corner 3,24+ Right,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,,,
71,PT06M20.00S,2025-11-06T00:21:57.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628374,6.8823915900131425,51.71568627450981,1610612762,9,14,2025-11-06T00:22:02Z,710000,False,-9.0,12.0,1,left,L. Markkanen DUNK (2 PTS) (A. Bailey 1 AST),"[1628374, 1642846]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,A. Bailey,1642846.0,1.0,,,,,,,,,,,,,,
73,PT06M11.00S,2025-11-06T00:22:07.6Z,1,REGULAR,3pt,Jump Shot,[],1630191,68.9060446780552,81.12745098039215,1610612765,12,14,2025-11-06T00:22:36Z,730000,False,156.0,240.0,1,right,I. Stewart 28' 3PT  (3 PTS) (C. Cunningham 2 AST),"[1630191, 1630595]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,28.59,Made,3.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,,,
75,PT05M59.00S,2025-11-06T00:22:20.1Z,1,REGULAR,3pt,Jump Shot,[],1628374,21.468462549277262,93.38235294117646,1610612762,12,14,2025-11-06T00:22:27Z,750000,False,-217.0,149.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.33,Missed,,,,,,,,,,,,,,,,,,
76,PT05M56.00S,2025-11-06T00:22:23.1Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,12,14,2025-11-06T00:22:27Z,760000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,
77,PT05M54.00S,2025-11-06T00:22:27.1Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,12,14,2025-11-06T00:22:32Z,770000,False,,,0,,C. Cunningham bad pass out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,bad pass,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1151.0,1.0,,,,,,
78,PT05M32.00S,2025-11-06T00:22:57.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203994,33.820630749014455,50.49019607843137,1610612762,12,14,2025-11-06T00:23:00Z,780000,False,-2.0,265.0,1,left,MISS J. Nurkić 26' 3PT,[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Center,26.54,Missed,,,,,,,,,,,,,,,,,,
79,PT05M29.00S,2025-11-06T00:23:00.0Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,12,14,2025-11-06T00:23:00Z,790000,False,,,0,,J. Duren REBOUND (Off:1 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,78.0,3.0,2.0,1.0,,,,,,,,,,
80,PT05M22.00S,2025-11-06T00:23:06.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631105,89.6681997371879,45.34313725490197,1610612765,12,14,2025-11-06T00:23:11Z,800000,False,-23.0,45.0,1,right,MISS J. Duren driving floating Shot,[1631105],1610612765.0,DET,driving floating,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,5.03,Missed,,,,,,,,,,,,,,,,,,
