actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M49.00S,2025-11-18T00:16:27.8Z,1,REGULAR,freethrow,2 of 2,[],1641716,,,1610612754,3,4,2025-11-18T00:16:27Z,170000,False,,,0,,J. Walker Free Throw 2 of 2 (2 PTS),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2025-11-18T00:16:49.2Z,1,REGULAR,3pt,Jump Shot,[],1630191,31.488173455978973,70.83333333333334,1610612765,3,4,2025-11-18T00:17:04Z,180000,False,-104.0,243.0,1,left,MISS I. Stewart 26' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,26.49,Missed,,,,,,,,,,,,,,,,,,
19,PT10M29.00S,2025-11-18T00:16:50.2Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,3,4,2025-11-18T00:17:04Z,190000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,
21,PT10M20.00S,2025-11-18T00:17:14.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642450,6.389618922470433,96.07843137254902,1610612765,3,4,2025-11-18T00:17:44Z,210000,False,-230.0,8.0,1,left,MISS D. Jenkins 3PT,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2025-11-18T00:17:15.9Z,1,REGULAR,rebound,offensive,[],1641842,,,1610612765,3,4,2025-11-18T00:17:44Z,220000,False,,,0,,R. Holland II REBOUND (Off:1 Def:0),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Left Corner 3,24+ Left,,,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,
23,PT10M13.00S,2025-11-18T00:18:08.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642450,29.38567674113009,77.45098039215686,1610612765,3,4,2025-11-18T00:20:40Z,230000,False,-137.0,224.0,1,left,MISS D. Jenkins 26' pullup 3PT,[1642450],1610612765.0,DET,pullup,,,Jenkins,D. Jenkins,,,,,Above the Break 3,24+ Left Center,26.25,Missed,,,,,,,,,,,,,,,,,,
24,PT10M09.00S,2025-11-18T00:18:12.5Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,3,4,2025-11-18T00:18:12Z,240000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M00.00S,2025-11-18T00:18:25.6Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612754,3,4,2025-11-18T00:18:38Z,250000,False,,,0,,I. Stewart shooting personal FOUL (1 PF) (Siakam 2 FT),"[1630191, 1627783]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,201245.0,1.0,0.0,Siakam,1627783.0,,,,
27,PT10M00.00S,2025-11-18T00:18:52.3Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,3,5,2025-11-18T00:18:52Z,270000,False,,,0,,P. Siakam Free Throw 1 of 2 (1 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
28,PT10M00.00S,2025-11-18T00:19:10.7Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,3,6,2025-11-18T00:19:10Z,280000,False,,,0,,P. Siakam Free Throw 2 of 2 (2 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M49.00S,2025-11-18T00:19:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631105,8.360709592641262,37.00980392156863,1610612765,5,6,2025-11-18T00:19:27Z,290000,False,65.0,26.0,1,left,J. Duren 7' turnaround fadeaway Jump Shot (2 PTS),[1631105],1610612765.0,DET,turnaround fadeaway,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,7.0,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M39.00S,2025-11-18T00:19:37.5Z,1,REGULAR,foul,personal,['2freethrow'],1642450,,,1610612754,5,6,2025-11-18T00:19:53Z,300000,False,,,0,,D. Jenkins shooting personal FOUL (1 PF) (Nembhard 2 FT),"[1642450, 1629614]",1610612765.0,DET,shooting,,,Jenkins,D. Jenkins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1201.0,1.0,0.0,Nembhard,1629614.0,,,,
32,PT09M39.00S,2025-11-18T00:20:04.8Z,1,REGULAR,freethrow,1 of 2,[],1629614,,,1610612754,5,7,2025-11-18T00:20:04Z,320000,False,,,0,,A. Nembhard Free Throw 1 of 2 (3 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
33,PT09M39.00S,2025-11-18T00:20:20.1Z,1,REGULAR,freethrow,2 of 2,[],1629614,,,1610612754,5,8,2025-11-18T00:20:20Z,330000,False,,,0,,A. Nembhard Free Throw 2 of 2 (4 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
34,PT09M24.00S,2025-11-18T00:20:39.3Z,1,REGULAR,2pt,Jump Shot,[],1642450,15.588042049934298,28.676470588235293,1610612765,5,8,2025-11-18T00:20:45Z,340000,False,107.0,94.0,1,left,MISS D. Jenkins 14' pullup Shot,[1642450],1610612765.0,DET,pullup,,,Jenkins,D. Jenkins,,,,,Mid-Range,8-16 Right,14.21,Missed,,,,,,,,,,,,,,,,,,
35,PT09M22.00S,2025-11-18T00:20:41.3Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,5,8,2025-11-18T00:20:45Z,350000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Right,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,
36,PT09M06.00S,2025-11-18T00:20:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641716,89.96386333771353,38.48039215686275,1610612754,5,8,2025-11-18T02:48:49Z,360000,False,-58.0,42.0,1,right,MISS J. Walker 7' floating Shot,[1641716],1610612754.0,IND,floating,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,7.12,Missed,,,,,,,,,,,,,,,,,,
37,PT09M03.00S,2025-11-18T00:20:59.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,5,8,2025-11-18T00:20:59Z,370000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,
38,PT09M01.00S,2025-11-18T00:21:06.5Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612765,5,8,2025-11-18T00:21:15Z,380000,False,,,0,,I. Jackson shooting personal FOUL (1 PF) (Duren 2 FT),"[1630543, 1631105]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,202007.0,1.0,0.0,Duren,1631105.0,,,,
40,PT09M01.00S,2025-11-18T00:21:31.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631105,,,1610612765,6,8,2025-11-18T00:24:29Z,400000,False,,,0,,J. Duren Free Throw 1 of 2 (3 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
41,PT09M01.00S,2025-11-18T00:21:31.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631105,,,1610612765,7,8,2025-11-18T00:24:29Z,410000,False,,,0,,J. Duren Free Throw 2 of 2 (4 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
42,PT08M48.00S,2025-11-18T00:22:01.2Z,1,REGULAR,2pt,Jump Shot,[],1627783,78.66294349540078,23.03921568627451,1610612754,7,8,2025-11-18T00:22:07Z,420000,False,-135.0,148.0,1,right,MISS P. Siakam 20' pullup Shot,[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,20.03,Missed,,,,,,,,,,,,,,,,,,
43,PT08M47.00S,2025-11-18T00:22:02.2Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,7,8,2025-11-18T00:22:07Z,430000,False,,,0,,R. Holland II REBOUND (Off:1 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Mid-Range,16-24 Left Center,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,
44,PT08M36.00S,2025-11-18T00:22:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,8.754927726675426,53.92156862745098,1610612765,9,8,2025-11-18T00:22:17Z,440000,False,-20.0,30.0,1,left,J. Duren Layup (6 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,3.57,Made,6.0,,,,,,,,,,,,,,,,,
45,PT08M23.00S,2025-11-18T00:22:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,87.99277266754271,42.40196078431372,1610612754,9,8,2025-11-18T00:22:33Z,450000,False,-38.0,60.0,1,right,MISS P. Siakam 7' turnaround Shot,[1627783],1610612754.0,IND,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.14,Missed,,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2025-11-18T00:22:28.4Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,9,8,2025-11-18T00:22:28Z,460000,False,,,0,,I. Jackson REBOUND (Off:1 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,45.0,1.0,0.0,1.0,,,,,,,,,
47,PT08M16.00S,2025-11-18T00:22:37.3Z,1,REGULAR,foul,personal,['2freethrow'],1641842,,,1610612754,9,8,2025-11-18T00:22:45Z,470000,False,,,0,,R. Holland II shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1641842, 1631097]",1610612765.0,DET,shooting,,,Holland II,R. Holland II,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,202007.0,1.0,0.0,Mathurin,1631097.0,,,,
49,PT08M16.00S,2025-11-18T00:22:58.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631097,,,1610612754,9,8,2025-11-18T00:22:58Z,490000,False,,,0,,MISS B. Mathurin Free Throw 1 of 2,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
50,PT08M16.00S,2025-11-18T00:22:58.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,9,8,2025-11-18T00:22:58Z,500000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,
51,PT08M16.00S,2025-11-18T00:23:14.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631097,,,1610612754,9,9,2025-11-18T00:23:14Z,510000,False,,,0,,B. Mathurin Free Throw 2 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
52,PT07M59.00S,2025-11-18T00:23:34.0Z,1,REGULAR,3pt,Jump Shot,[],1630191,5.469776609724048,98.2843137254902,1610612765,12,9,2025-11-18T00:23:39Z,520000,False,-241.0,-1.0,1,left,I. Stewart 24' 3PT  (3 PTS) (D. Jenkins 1 AST),"[1630191, 1642450]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,24.14,Made,3.0,D. Jenkins,1642450.0,1.0,,,,,,,,,,,,,,
54,PT07M42.00S,2025-11-18T00:23:51.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,69.07030223390277,69.36274509803921,1610612754,12,12,2025-11-18T00:23:58Z,540000,False,97.0,238.0,1,right,P. Siakam 25' 3PT pullup (5 PTS) (B. Mathurin 1 AST),"[1627783, 1631097]",1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,25.71,Made,5.0,B. Mathurin,1631097.0,1.0,,,,,,,,,,,,,,
56,PT07M27.00S,2025-11-18T00:24:06.5Z,1,REGULAR,3pt,Jump Shot,[],1641842,22.946780551905388,91.66666666666666,1610612765,12,12,2025-11-18T00:24:10Z,560000,False,-208.0,163.0,1,left,MISS R. Holland II 26' 3PT,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Above the Break 3,24+ Left Center,26.46,Missed,,,,,,,,,,,,,,,,,,
57,PT07M25.00S,2025-11-18T00:24:08.5Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,12,12,2025-11-18T00:24:10Z,570000,False,,,0,,I. Jackson REBOUND (Off:1 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,
58,PT07M18.00S,2025-11-18T00:24:19.5Z,1,REGULAR,foul,offensive,[],1631097,,,1610612754,12,12,2025-11-18T00:24:41Z,580000,False,,,0,,B. Mathurin offensive FOUL (1 PF),"[1631097, 1642450]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,202007.0,1.0,0.0,Jenkins,1642450.0,,,,
60,PT07M18.00S,2025-11-18T00:24:19.5Z,1,REGULAR,turnover,offensive foul,[],1631097,,,1610612754,12,12,2025-11-18T00:24:19Z,600000,False,,,0,,B. Mathurin offensive foul TURNOVER (2 TO),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Right Center,,,,,,,2.0,,,,,202007.0,,,,,,,,
61,PT07M18.00S,2025-11-18T00:24:37.8Z,1,REGULAR,substitution,out,[],1631097,,,1610612765,12,12,2025-11-18T00:24:44Z,610000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M18.00S,2025-11-18T00:24:37.8Z,1,REGULAR,substitution,in,[],1630526,,,1610612765,12,12,2025-11-18T00:24:44Z,620000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M00.00S,2025-11-18T00:25:10.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,28.728646517739815,81.61764705882352,1610612765,15,12,2025-11-18T00:25:18Z,630000,False,-158.0,218.0,1,left,D. Robinson 26' 3PT  (6 PTS) (R. Holland II 1 AST),"[1629130, 1641842]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,26.89,Made,6.0,R. Holland II,1641842.0,1.0,,,,,,,,,,,,,,
65,PT07M00.00S,2025-11-18T00:25:19.9Z,1,REGULAR,foul,technical,['1freethrow'],1642450,,,1610612754,15,12,2025-11-18T00:25:39Z,650000,False,,,0,,D. Jenkins technical FOUL (1 Tech),[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,,,,,,,,,,,,,,202007.0,1.0,1.0,,,,,,
66,PT07M00.00S,2025-11-18T00:25:45.1Z,1,REGULAR,freethrow,1 of 1,[],1629614,,,1610612754,15,13,2025-11-18T00:25:45Z,660000,False,,,0,,A. Nembhard technical Free Throw 1 of 1 (5 PTS),[1629614],1610612754.0,IND,technical,,,Nembhard,A. Nembhard,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2025-11-18T00:26:17.8Z,1,REGULAR,3pt,Jump Shot,[],1630526,86.5473061760841,97.30392156862744,1610612754,15,13,2025-11-18T00:26:25Z,670000,False,237.0,74.0,1,right,MISS J. Robinson-Earl 24' 3PT,[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,Right Corner 3,24+ Right,24.78,Missed,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2025-11-18T00:26:18.8Z,1,REGULAR,rebound,offensive,[],1641716,,,1610612754,15,13,2025-11-18T00:26:25Z,680000,False,,,0,,J. Walker REBOUND (Off:1 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Right Corner 3,24+ Right,,,,,,,,67.0,2.0,1.0,1.0,,,,,,,,,
69,PT06M41.00S,2025-11-18T00:26:24.4Z,1,REGULAR,turnover,out-of-bounds,[],1641716,,,1610612754,15,13,2025-11-18T00:26:32Z,690000,False,,,0,,J. Walker step out-of-bounds TURNOVER (1 TO),[1641716],1610612754.0,IND,step,,,Walker,J. Walker,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,,,1201.0,,,,,,,,
70,PT06M21.00S,2025-11-18T00:26:51.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,33.065045992115635,53.67647058823529,1610612765,15,13,2025-11-18T00:26:55Z,700000,False,-18.0,258.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,25.9,Missed,,,,,,,,,,,,,,,,,,
71,PT06M19.00S,2025-11-18T00:26:53.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,15,13,2025-11-18T00:26:55Z,710000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,
72,PT06M17.00S,2025-11-18T00:26:59.2Z,1,REGULAR,foul,offensive,[],1630543,,,1610612754,15,13,2025-11-18T00:27:17Z,720000,False,,,0,,I. Jackson charge offensive FOUL (2 PF),"[1630543, 1629130]",1610612754.0,IND,charge,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1201.0,2.0,0.0,Robinson,1629130.0,,,,
74,PT06M17.00S,2025-11-18T00:26:59.2Z,1,REGULAR,turnover,offensive foul,[],1630543,,,1610612754,15,13,2025-11-18T00:26:59Z,740000,False,,,0,,I. Jackson offensive foul TURNOVER (1 TO),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,1201.0,,,,,,,,
75,PT06M17.00S,2025-11-18T00:27:07.7Z,1,REGULAR,substitution,out,[],1631105,,,1610612765,15,13,2025-11-18T00:27:29Z,750000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M17.00S,2025-11-18T00:27:07.7Z,1,REGULAR,substitution,out,[],1630191,,,1610612765,15,13,2025-11-18T00:27:29Z,760000,False,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M17.00S,2025-11-18T00:27:07.7Z,1,REGULAR,substitution,out,[],1630543,,,1610612765,15,13,2025-11-18T00:27:29Z,770000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M17.00S,2025-11-18T00:27:07.7Z,1,REGULAR,substitution,in,[],1629750,,,1610612765,15,13,2025-11-18T00:27:29Z,780000,False,,,0,,SUB in: J. Green,[1629750],1610612765.0,DET,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M17.00S,2025-11-18T00:27:07.7Z,1,REGULAR,substitution,in,[],1630194,,,1610612765,15,13,2025-11-18T00:27:29Z,790000,False,,,0,,SUB in: P. Reed,[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M17.00S,2025-11-18T00:27:07.7Z,1,REGULAR,substitution,in,[],1628396,,,1610612765,15,13,2025-11-18T00:27:29Z,800000,False,,,0,,SUB in: T. Bradley,[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M56.00S,2025-11-18T00:27:56.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,31.35676741130092,71.81372549019608,1610612765,18,13,2025-11-18T00:28:00Z,810000,False,-109.0,242.0,1,left,D. Robinson 26' 3PT  (9 PTS) (P. Reed 1 AST),"[1629130, 1630194]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,26.57,Made,9.0,P. Reed,1630194.0,1.0,,,,,,,,,,,,,,
83,PT05M43.00S,2025-11-18T00:28:07.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628396,93.38042049934296,44.36274509803921,1610612754,18,15,2025-11-18T00:28:13Z,830000,False,-28.0,10.0,1,right,T. Bradley DUNK (2 PTS) (J. Walker 1 AST),"[1628396, 1641716]",1610612754.0,IND,,,,Bradley,T. Bradley,,,,,Restricted Area,0-8 Center,2.98,Made,2.0,J. Walker,1641716.0,1.0,,,,,,,,,,,,,,
85,PT05M26.00S,2025-11-18T00:28:25.4Z,1,REGULAR,turnover,lost ball,[],1641842,,,1610612765,18,15,2025-11-18T00:28:30Z,850000,False,,,0,,R. Holland II lost ball TURNOVER (1 TO),"[1641842, 1641716]",1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,,,,,,,,Walker,1641716.0,,
86,PT05M26.00S,2025-11-18T00:28:25.4Z,1,REGULAR,steal,,[],1641716,,,1610612754,18,15,2025-11-18T00:28:27Z,860000,False,,,0,,J. Walker STEAL (1 STL),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
