actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
24,PT09M57.00S,2026-04-01T00:16:01.7Z,1,REGULAR,3pt,Jump Shot,[],1642266,68.67608409986859,26.47058823529412,1610612761,2,0,2026-04-01T00:16:06Z,240000,False,-118.0,242.0,1,right,MISS J. Walter 26' 3PT,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,26.9,Missed,,,,,,,,,,,,,,,,,,
25,PT09M54.00S,2026-04-01T00:16:04.7Z,1,REGULAR,rebound,defensive,[],1642450,,,1610612765,2,0,2026-04-01T00:16:06Z,250000,False,,,0,,D. Jenkins REBOUND (Off:0 Def:1),[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Above the Break 3,24+ Left Center,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT09M36.00S,2026-04-01T00:16:25.8Z,1,REGULAR,foul,personal,['3freethrow'],1642266,,,1610612765,2,0,2026-04-01T00:16:36Z,260000,False,,,0,,J. Walter shooting personal FOUL (1 PF) (Robinson 3 FT),"[1642266, 1629130]",1610612761.0,TOR,shooting,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1628159.0,1.0,0.0,Robinson,1629130.0,,,,,,
28,PT09M36.00S,2026-04-01T00:16:56.4Z,1,REGULAR,freethrow,1 of 3,[],1629130,,,1610612765,3,0,2026-04-01T00:16:56Z,280000,False,,,0,,D. Robinson Free Throw 1 of 3 (1 PTS),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
29,PT09M36.00S,2026-04-01T00:17:11.3Z,1,REGULAR,freethrow,2 of 3,[],1629130,,,1610612765,3,0,2026-04-01T00:17:11Z,290000,False,,,0,,MISS D. Robinson Free Throw 2 of 3,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2026-04-01T00:17:11.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,3,0,2026-04-01T00:17:11Z,300000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,
31,PT09M36.00S,2026-04-01T00:17:24.4Z,1,REGULAR,freethrow,3 of 3,[],1629130,,,1610612765,4,0,2026-04-01T00:17:24Z,310000,False,,,0,,D. Robinson Free Throw 3 of 3 (2 PTS),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
32,PT09M28.00S,2026-04-01T00:17:37.1Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612761,4,0,2026-04-01T00:17:44Z,320000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Poeltl 2 FT),"[202699, 1627751]",1610612765.0,DET,shooting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628159.0,1.0,0.0,Poeltl,1627751.0,,,,,,
34,PT09M28.00S,2026-04-01T00:18:00.7Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612761,4,0,2026-04-01T00:18:00Z,340000,False,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT09M28.00S,2026-04-01T00:18:00.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,4,0,2026-04-01T00:18:00Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,
36,PT09M28.00S,2026-04-01T00:18:19.0Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612761,4,1,2026-04-01T00:18:19Z,360000,False,,,0,,J. Poeltl Free Throw 2 of 2 (1 PTS),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
37,PT09M16.00S,2026-04-01T00:18:33.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,22.28975032851511,10.049019607843137,1610612765,4,1,2026-04-01T00:18:36Z,370000,False,200.0,157.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,25.41,Missed,,,,,,,,,,,,,,,,,,
38,PT09M13.00S,2026-04-01T00:18:36.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,4,1,2026-04-01T00:18:36Z,380000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,
39,PT09M09.00S,2026-04-01T00:18:43.8Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,4,1,2026-04-01T00:18:51Z,390000,False,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,1628951.0,,,,,1.0,,,,,
40,PT08M55.00S,2026-04-01T00:19:00.7Z,1,REGULAR,turnover,bad pass,[],1629130,,,1610612765,4,1,2026-04-01T00:19:08Z,400000,False,,,0,,D. Robinson bad pass TURNOVER (1 TO),"[1629130, 1642266]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,1.0,Walter,1642266.0,,,
41,PT08M55.00S,2026-04-01T00:19:00.7Z,1,REGULAR,steal,,[],1642266,,,1610612761,4,1,2026-04-01T00:19:03Z,410000,False,,,0,,J. Walter STEAL (1 STL),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M51.00S,2026-04-01T00:19:08.4Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612761,4,1,2026-04-01T00:19:18Z,420000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629130, 1629628]",1610612765.0,DET,shooting,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1146.0,1.0,0.0,Barrett,1629628.0,,,,,,
44,PT08M51.00S,2026-04-01T00:19:29.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629628,,,1610612761,4,2,2026-04-01T00:19:29Z,440000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
45,PT08M51.00S,2026-04-01T00:19:47.2Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1629628,,,1610612761,4,2,2026-04-01T00:19:47Z,450000,False,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT08M49.00S,2026-04-01T00:19:48.8Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,4,2,2026-04-01T00:19:48Z,460000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,
47,PT08M42.00S,2026-04-01T00:19:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,6.783837056504599,58.82352941176471,1610612765,6,2,2026-04-01T00:22:35Z,470000,False,-44.0,11.0,1,left,J. Duren cutting Layup (4 PTS) (A. Thompson 1 AST),"[1631105, 1641709]",1610612765.0,DET,cutting,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,4.55,Made,,,,,,,4.0,,,,,,,,,A. Thompson,1641709.0,1.0
49,PT08M42.00S,2026-04-01T00:19:59.8Z,1,REGULAR,foul,personal,['1freethrow'],1627751,,,1610612765,6,2,2026-04-01T00:20:07Z,490000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Duren 1 FT),"[1627751, 1631105]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1146.0,1.0,0.0,Duren,1631105.0,,,,,,
51,PT08M42.00S,2026-04-01T00:20:36.3Z,1,REGULAR,freethrow,1 of 1,[],1631105,,,1610612765,7,2,2026-04-01T00:20:36Z,510000,False,,,0,,J. Duren Free Throw 1 of 1 (5 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
53,PT08M22.00S,2026-04-01T00:21:17.2Z,1,REGULAR,foul,personal,['1freethrow'],1641709,,,1610612761,7,2,2026-04-01T00:21:25Z,530000,False,,,0,,A. Thompson away-from-play personal FOUL (1 PF) (Ingram 1 FT),"[1641709, 1627742]",1610612765.0,DET,away-from-play,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1146.0,1.0,0.0,Ingram,1627742.0,,,,,,
55,PT08M22.00S,2026-04-01T00:21:32.4Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612761,7,3,2026-04-01T00:21:32Z,550000,False,,,0,,B. Ingram away-from-play Free Throw 1 of 1 (1 PTS),[1627742],1610612761.0,TOR,away-from-play,,,Ingram,B. Ingram,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
59,PT08M11.00S,2026-04-01T00:21:56.1Z,1,REGULAR,3pt,Jump Shot,[],1630567,88.25558475689881,3.6764705882352944,1610612761,7,3,2026-04-01T00:26:28Z,590000,False,-232.0,58.0,1,right,MISS S. Barnes 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,23.87,Missed,,,,,,,,,,,,,,,,,,
60,PT08M09.00S,2026-04-01T00:21:58.1Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,7,3,2026-04-01T00:22:01Z,600000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,
61,PT08M03.00S,2026-04-01T00:22:03.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1631105,10.068988173455978,55.88235294117647,1610612765,9,3,2026-04-01T00:27:27Z,610000,False,-29.0,42.0,1,left,J. Duren running pullup Jump Shot (7 PTS) (A. Thompson 2 AST),"[1631105, 1641709]",1610612765.0,DET,running pullup,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,5.13,Made,,,,,,,7.0,,,,,,,,,A. Thompson,1641709.0,2.0
63,PT07M48.00S,2026-04-01T00:22:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,91.01511169513797,53.431372549019606,1610612761,9,3,2026-04-01T00:28:30Z,630000,False,17.0,32.0,1,right,MISS S. Barnes driving Layup,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,,
64,PT07M47.00S,2026-04-01T00:22:20.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,9,3,2026-04-01T00:22:34Z,640000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,,,63.0,,,,,,,,,,,,,,,
66,PT07M29.00S,2026-04-01T00:22:43.5Z,1,REGULAR,turnover,lost ball,[],1642450,,,1610612765,9,3,2026-04-01T00:22:48Z,660000,False,,,0,,D. Jenkins lost ball TURNOVER (1 TO),"[1642450, 1630567]",1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,1.0,Barnes,1630567.0,,,
67,PT07M29.00S,2026-04-01T00:22:43.5Z,1,REGULAR,steal,,[],1630567,,,1610612761,9,3,2026-04-01T00:36:27Z,670000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
68,PT07M17.00S,2026-04-01T00:22:55.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627742,91.14651773981603,95.58823529411765,1610612761,9,3,2026-04-01T00:22:59Z,680000,False,228.0,31.0,1,right,MISS B. Ingram 3PT,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,23.0,Missed,,,,,,,,,,,,,,,,,,
69,PT07M14.00S,2026-04-01T00:22:58.2Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,9,3,2026-04-01T00:22:59Z,690000,False,,,0,,A. Thompson REBOUND (Off:0 Def:3),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,
70,PT07M05.00S,2026-04-01T00:23:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,8.229303547963205,48.529411764705884,1610612765,11,3,2026-04-01T00:23:10Z,700000,False,7.0,25.0,1,left,J. Duren cutting Layup (9 PTS) (T. Harris 1 AST),"[1631105, 202699]",1610612765.0,DET,cutting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.6,Made,,,,,,,9.0,,,,,,,,,T. Harris,202699.0,1.0
72,PT07M05.00S,2026-04-01T00:23:11.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,11,3,2026-04-01T00:23:11Z,720000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M05.00S,2026-04-01T00:25:45.2Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,11,3,2026-04-01T00:26:04Z,730000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M05.00S,2026-04-01T00:25:45.2Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,11,3,2026-04-01T00:26:04Z,740000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M45.00S,2026-04-01T00:26:28.5Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612761,11,3,2026-04-01T00:26:31Z,750000,False,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 1641709]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,1.0,Thompson,1641709.0,,,
76,PT06M45.00S,2026-04-01T00:26:28.5Z,1,REGULAR,steal,,[],1641709,,,1610612765,11,3,2026-04-01T00:36:37Z,760000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
77,PT06M24.00S,2026-04-01T00:26:49.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642450,30.042706964520367,22.54901960784314,1610612765,11,3,2026-04-01T00:26:55Z,770000,False,137.0,230.0,1,left,MISS D. Jenkins 26' 3PT,[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Above the Break 3,24+ Right Center,26.78,Missed,,,,,,,,,,,,,,,,,,
78,PT06M21.00S,2026-04-01T00:26:52.7Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,11,3,2026-04-01T00:26:55Z,780000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,,77.0,2.0,1.0,1.0,,,,,,,,,,,,
79,PT06M19.00S,2026-04-01T00:26:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631105,6.915243101182654,50.245098039215684,1610612765,13,3,2026-04-01T00:33:17Z,790000,False,-1.0,13.0,1,left,J. Duren driving reverse Layup (11 PTS),[1631105],1610612765.0,DET,driving reverse,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,,11.0,,,,,,,,,,,
80,PT06M07.00S,2026-04-01T00:27:06.2Z,1,REGULAR,3pt,Jump Shot,[],1627742,66.5735873850197,45.588235294117645,1610612761,13,3,2026-04-01T00:33:34Z,800000,False,-22.0,262.0,1,right,MISS B. Ingram 26' pullup 3PT,[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,26.26,Missed,,,,,,,,,,,,,,,,,,
81,PT06M05.00S,2026-04-01T00:27:08.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,13,3,2026-04-01T00:27:16Z,810000,False,,,0,,J. Duren REBOUND (Off:1 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,80.0,3.0,2.0,1.0,,,,,,,,,,,,
82,PT05M56.00S,2026-04-01T00:27:17.4Z,1,REGULAR,3pt,Jump Shot,[],202699,6.521024967148489,4.6568627450980395,1610612765,13,3,2026-04-01T00:27:22Z,820000,False,227.0,9.0,1,left,MISS T. Harris 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,22.69,Missed,,,,,,,,,,,,,,,,,,
83,PT05M52.00S,2026-04-01T00:27:21.4Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,13,3,2026-04-01T00:27:22Z,830000,False,,,0,,R. Barrett REBOUND (Off:0 Def:3),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,,,82.0,3.0,3.0,0.0,,,,,,,,,,,,
84,PT05M42.00S,2026-04-01T00:27:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.03745072273325,53.431372549019606,1610612761,13,3,2026-04-01T00:34:27Z,840000,False,17.0,4.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612761.0,TOR,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,,,,,,,,,,,,,,
85,PT05M40.00S,2026-04-01T00:27:33.3Z,1,REGULAR,rebound,defensive,[],1642450,,,1610612765,13,3,2026-04-01T00:27:34Z,850000,False,,,0,,D. Jenkins REBOUND (Off:0 Def:2),[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Restricted Area,0-8 Center,,,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,
86,PT05M36.00S,2026-04-01T00:27:37.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,25.969119579500656,17.401960784313726,1610612765,13,3,2026-04-01T00:27:41Z,860000,False,163.0,192.0,1,left,MISS D. Robinson 25' running 3PT,[1629130],1610612765.0,DET,running,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,25.16,Missed,,,,,,,,,,,,,,,,,,
87,PT05M34.00S,2026-04-01T00:27:39.4Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,13,3,2026-04-01T00:27:41Z,870000,False,,,0,,R. Barrett REBOUND (Off:0 Def:4),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,86.0,4.0,4.0,0.0,,,,,,,,,,,,
