actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
35,PT09M30.00S,2025-10-26T19:48:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641709,18.31471747700394,55.3921568627451,1610612765,2,7,2025-10-26T19:48:59Z,350000,False,-27.0,120.0,1,left,MISS A. Thompson 12' floating Shot,[1641709],1610612765.0,DET,floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,12.27,Missed,,,,,,,,,,,,,,,,,,
36,PT09M30.00S,2025-10-26T19:48:52.7Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,2,7,2025-10-26T19:48:59Z,360000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,35.0,,,,,,,,,1.0,0.0,1.0,,,
37,PT09M24.00S,2025-10-26T19:48:58.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631105,5.590000152587891,50.0,1610612765,2,7,2025-10-26T19:49:00Z,370000,False,0.0,0.0,1,left,MISS J. Duren tip Layup,[1631105],1610612765.0,DET,tip,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
38,PT09M24.00S,2025-10-26T19:48:58.4Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,2,7,2025-10-26T19:49:00Z,380000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,37.0,,,,,,,,,1.0,1.0,0.0,,,
39,PT09M22.00S,2025-10-26T19:49:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,85.98883048620237,39.70588235294118,1610612738,2,7,2025-10-26T19:49:12Z,390000,False,-51.0,79.0,1,right,MISS D. White 9' fadeaway Shot,[1628401],1610612738.0,BOS,fadeaway,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Left,9.45,Missed,,,,,,,,,,,,,,,,,,
40,PT09M16.00S,2025-10-26T19:49:06.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,7,2025-10-26T19:49:06Z,400000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Left,,,,,,39.0,,,,,,,,,2.0,1.0,1.0,,,
41,PT09M09.00S,2025-10-26T19:49:13.7Z,1,REGULAR,3pt,Jump Shot,[],1641709,15.55519053876479,5.637254901960787,1610612765,2,7,2025-10-26T19:49:25Z,410000,False,222.0,94.0,1,left,MISS A. Thompson 24' 3PT,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right,24.08,Missed,,,,,,,,,,,,,,,,,,
42,PT09M06.00S,2025-10-26T19:49:16.5Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,2,7,2025-10-26T19:49:16Z,420000,False,,,0,,J. Duren REBOUND (Off:2 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right,,,,,,41.0,,,,,,,,,3.0,1.0,2.0,,,
43,PT09M05.00S,2025-10-26T19:49:18.2Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,2,7,2025-10-26T19:50:22Z,430000,False,,,0,,J. Duren bad pass TURNOVER (2 TO),"[1631105, 1642864]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,2.0,González,1642864.0
44,PT09M05.00S,2025-10-26T19:49:18.2Z,1,REGULAR,steal,,[],1642864,,,1610612738,2,7,2025-10-26T19:50:22Z,440000,False,,,0,,H. González STEAL (2 STL),[1642864],1610612738.0,BOS,,,,González,H. González,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M59.00S,2025-10-26T19:49:23.2Z,1,REGULAR,turnover,lost ball,[],1629674,,,1610612738,2,7,2025-10-26T19:49:32Z,450000,False,,,0,,N. Queta lost ball TURNOVER (1 TO),"[1629674, 1641709]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,1.0,Thompson,1641709.0
46,PT08M59.00S,2025-10-26T19:49:23.2Z,1,REGULAR,steal,,[],1641709,,,1610612765,2,7,2025-10-26T19:49:27Z,460000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
47,PT08M53.00S,2025-10-26T19:49:29.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629130,33.55781865965835,56.127450980392155,1610612765,2,7,2025-10-26T20:52:57Z,470000,False,-31.0,263.0,1,left,MISS D. Robinson 26' running 3PT,[1629130],1610612765.0,DET,running,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,26.47,Missed,,,,,,,,,,,,,,,,,,
48,PT08M51.00S,2025-10-26T19:49:32.0Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,2,7,2025-10-26T19:49:32Z,480000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,47.0,,,,,,,,,1.0,1.0,0.0,,,
49,PT08M42.00S,2025-10-26T19:49:40.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.53416557161628,19.362745098039213,1610612738,2,10,2025-10-26T19:52:24Z,490000,False,-153.0,215.0,1,right,J. Brown 26' 3PT step back (8 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.41,Made,8.0,,,,,,,,,,,,,,,,,
50,PT08M41.00S,2025-10-26T19:49:52.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,2,10,2025-10-26T19:49:52Z,500000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M41.00S,2025-10-26T19:53:19.7Z,1,REGULAR,turnover,lost ball,[],1641709,,,1610612765,2,10,2025-10-26T19:53:25Z,510000,False,,,0,,A. Thompson lost ball TURNOVER (1 TO),"[1641709, 1628401]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,White,1628401.0
52,PT08M41.00S,2025-10-26T19:53:19.7Z,1,REGULAR,steal,,[],1628401,,,1610612738,2,10,2025-10-26T19:53:21Z,520000,False,,,0,,D. White STEAL (2 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
53,PT08M39.00S,2025-10-26T19:53:24.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1642864,86.72798948751642,89.43780637254902,1610612738,2,10,2025-10-26T19:54:10Z,530000,False,197.0,72.0,1,right,MISS H. González 21' running Shot,[1642864],1610612738.0,BOS,running,,,González,H. González,,,,,Mid-Range,16-24 Right,21.0,Missed,,,,,,,,,,,,,,,,,,
54,PT08M31.00S,2025-10-26T19:53:32.7Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,2,10,2025-10-26T19:53:35Z,540000,False,,,0,,N. Queta REBOUND (Off:1 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,16-24 Right,,,,,,53.0,,,,,,,,,2.0,1.0,1.0,,,
55,PT08M31.00S,2025-10-26T19:53:32.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1629674,94.40999984741211,50.0,1610612738,2,12,2025-10-26T22:32:23Z,550000,False,0.0,0.0,1,right,N. Queta running Layup (2 PTS),[1629674],1610612738.0,BOS,running,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
56,PT08M15.00S,2025-10-26T19:53:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631105,12.66425755584757,58.82352941176471,1610612765,2,12,2025-10-26T19:53:57Z,560000,False,-44.0,67.0,1,left,MISS J. Duren 7' turnaround Shot,[1631105],1610612765.0,DET,turnaround,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Left,7.98,Missed,,,,,,,,,,,,,,,,,,
57,PT08M13.00S,2025-10-26T19:53:50.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,2,12,2025-10-26T19:53:57Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,56.0,,,,,,,,,,,,,,
59,PT08M13.00S,2025-10-26T19:54:14.0Z,1,REGULAR,foul,offensive,[],1631105,,,1610612765,2,12,2025-10-26T19:54:25Z,590000,False,,,0,,J. Duren offensive FOUL (1 PF),"[1631105, 1642864]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1628171.0,1.0,0.0,González,1642864.0,,,,,,
61,PT08M13.00S,2025-10-26T19:54:14.0Z,1,REGULAR,turnover,offensive foul,[],1631105,,,1610612765,2,12,2025-10-26T19:54:14Z,610000,False,,,0,,J. Duren offensive foul TURNOVER (3 TO),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1628171.0,,,,,,,,3.0,,
62,PT07M58.00S,2025-10-26T19:54:47.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,82.70367936925098,49.754901960784316,1610612738,2,14,2025-10-26T19:54:52Z,620000,False,-1.0,110.0,1,right,J. Brown 11' pullup Jump Shot (10 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,11.01,Made,10.0,,,,,,,,,,,,,,,,,
63,PT07M39.00S,2025-10-26T19:55:09.4Z,1,REGULAR,foul,personal,[],1627759,,,1610612765,2,14,2025-10-26T19:55:20Z,630000,False,,,0,,J. Brown personal FOUL (2 PF),"[1627759, 1631105]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627534.0,2.0,0.0,Duren,1631105.0,,,,,,
65,PT07M33.00S,2025-10-26T19:55:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630595,32.637976346911955,49.50980392156863,1610612765,5,14,2025-10-26T19:56:53Z,650000,False,2.0,254.0,1,left,C. Cunningham 25' 3PT pullup (3 PTS) (D. Robinson 1 AST),"[1630595, 1629130]",1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,25.43,Made,3.0,,,,D. Robinson,1629130.0,1.0,,,,,,,,,,,
67,PT07M21.00S,2025-10-26T19:55:48.1Z,1,REGULAR,2pt,Jump Shot,[],1628401,86.90867279894876,67.64705882352942,1610612738,5,16,2025-10-26T19:55:53Z,670000,False,88.0,71.0,1,right,D. White 11' driving floating bank Jump Shot (4 PTS),[1628401],1610612738.0,BOS,driving floating bank,,,White,D. White,,,,,Mid-Range,8-16 Right,11.3,Made,4.0,,,,,,,,,,,,,,,,,
68,PT07M09.00S,2025-10-26T19:55:59.3Z,1,REGULAR,2pt,Jump Shot,[],202699,10.693166885676746,22.303921568627445,1610612765,5,16,2025-10-26T19:56:05Z,680000,False,138.0,48.0,1,left,MISS T. Harris 14' turnaround Shot,[202699],1610612765.0,DET,turnaround,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,14.66,Missed,,,,,,,,,,,,,,,,,,
69,PT07M05.00S,2025-10-26T19:56:02.8Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,5,16,2025-10-26T19:56:02Z,690000,False,,,0,,J. Duren REBOUND (Off:3 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,,,,,,68.0,,,,,,,,,4.0,1.0,3.0,,,
70,PT07M02.00S,2025-10-26T19:56:05.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631105,8.459264126149804,47.30392156862745,1610612765,7,16,2025-10-26T19:56:10Z,700000,False,13.0,27.0,1,left,J. Duren Layup (2 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,3.02,Made,2.0,,,,,,,,,,,,,,,,,
71,PT06M56.00S,2025-10-26T19:56:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,91.37647831800263,43.627450980392155,1610612738,7,18,2025-10-26T19:56:19Z,710000,False,-32.0,29.0,1,right,P. Pritchard driving Layup (2 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,4.28,Made,2.0,,,,,,,,,,,,,,,,,
72,PT06M45.00S,2025-10-26T19:56:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,11.350197109067011,51.470588235294116,1610612765,7,18,2025-10-26T19:56:33Z,720000,False,-7.0,54.0,1,left,MISS C. Cunningham driving Layup - blocked,"[1630595, 1629674]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,5.47,Missed,,Queta,1629674.0,,,,,,,,,,,,,,,
73,PT06M45.00S,2025-10-26T19:56:23.8Z,1,REGULAR,block,,[],1629674,,,1610612765,7,18,2025-10-26T19:56:26Z,730000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
74,PT06M41.00S,2025-10-26T19:56:27.8Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,7,18,2025-10-26T20:04:55Z,740000,False,,,0,,A. Thompson REBOUND (Off:1 Def:2),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,72.0,,,,,,,,,3.0,2.0,1.0,,,
75,PT06M40.00S,2025-10-26T19:56:28.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,30.66688567674113,78.67647058823529,1610612765,7,18,2025-10-26T19:56:35Z,750000,False,-143.0,236.0,1,left,MISS T. Harris 27' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,27.6,Missed,,,,,,,,,,,,,,,,,,
76,PT06M36.00S,2025-10-26T19:56:32.3Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,7,18,2025-10-26T19:56:35Z,760000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,75.0,,,,,,,,,2.0,2.0,0.0,,,
77,PT06M33.00S,2025-10-26T19:56:37.2Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612738,7,18,2025-10-26T20:02:50Z,770000,False,,,0,,C. Cunningham shooting personal FOUL (2 PF) (Pritchard 2 FT),"[1630595, 1630202]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,,,,,,,,,,101283.0,2.0,0.0,Pritchard,1630202.0,,,,,,
79,PT06M33.00S,2025-10-26T19:57:15.7Z,1,REGULAR,freethrow,1 of 2,[],1630202,,,1610612738,7,19,2025-10-26T20:02:31Z,790000,False,,,0,,P. Pritchard Free Throw 1 of 2 (3 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
129,PT06M33.00S,2025-10-26T19:57:15.7Z,1,REGULAR,freethrow,2 of 2,[],1630202,,,1610612738,7,19,2025-10-26T20:02:31Z,795000,False,,,0,,MISS P. Pritchard Free Throw 2 of 2,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
130,PT06M33.00S,2025-10-26T19:57:15.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,7,19,2025-10-26T20:02:31Z,797500,False,,,0,,J. Duren REBOUND (Off:3 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,129.0,,,,,,,,,5.0,2.0,3.0,,,
80,PT06M33.00S,2025-10-26T19:57:16.8Z,1,REGULAR,substitution,out,[],202699,,,1610612765,7,19,2025-10-26T20:02:31Z,800000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M33.00S,2025-10-26T19:57:16.8Z,1,REGULAR,substitution,out,[],1641709,,,1610612765,7,19,2025-10-26T20:02:31Z,810000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M33.00S,2025-10-26T19:57:16.8Z,1,REGULAR,substitution,out,[],1627759,,,1610612765,7,19,2025-10-26T20:02:31Z,820000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
