actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,area,areaDetail,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M45.00S,2023-11-02T01:13:03.4Z,1,REGULAR,3pt,Jump Shot,[],203935,85.62746386333771,95.09803921568627,1610612763,4,2,2023-11-02T01:13:08Z,180000,False,225.0,83.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,Missed,,Right Corner 3,24+ Right,24.02,,,,,,,,,,,,,,
19,PT10M42.00S,2023-11-02T01:13:06.4Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,4,2,2023-11-02T01:13:08Z,190000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,18.0,1.0,1.0,0.0,,,
20,PT10M32.00S,2023-11-02T01:13:16.2Z,1,REGULAR,turnover,lost ball,[],1629659,,,1610612762,4,2,2023-11-02T01:13:21Z,200000,False,,,0,,T. Horton-Tucker lost ball TURNOVER (1 TO),"[1629659, 1630217]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1.0,Bane,1630217.0
21,PT10M32.00S,2023-11-02T01:13:16.2Z,1,REGULAR,steal,,[],1630217,,,1610612763,4,2,2023-11-02T01:13:18Z,210000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,
22,PT10M32.00S,2023-11-02T01:13:26.1Z,1,REGULAR,foul,personal,[],1629659,,,1610612763,4,2,2023-11-02T01:13:36Z,220000,False,,,0,,T. Horton-Tucker personal FOUL (1 PF),"[1629659, 1630217]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,203593.0,1.0,0.0,,,Above the Break 3,24+ Left Center,,,,,Bane,1630217.0,,,,,,,,,
24,PT10M16.00S,2023-11-02T01:14:07.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628991,87.20433639947439,37.00980392156863,1610612763,4,2,2023-11-02T01:14:11Z,240000,False,-65.0,68.0,1,right,MISS J. Jackson Jr. 9' floating Shot,[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,In The Paint (Non-RA),8-16 Left,9.39,,,,,,,,,,,,,,
25,PT10M15.00S,2023-11-02T01:14:08.4Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,4,2,2023-11-02T01:14:11Z,250000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,24.0,1.0,1.0,0.0,,,
26,PT10M08.00S,2023-11-02T01:14:17.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,9.411957950065702,42.15686274509804,1610612762,4,2,2023-11-02T01:14:52Z,260000,False,39.0,36.0,1,left,MISS J. Collins driving Layup,[1628381],1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,,,,Missed,,In The Paint (Non-RA),0-8 Center,5.32,,,,,,,,,,,,,,
30,PT10M06.00S,2023-11-02T01:14:19.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,4,2,2023-11-02T01:14:52Z,270000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,26.0,,,,,,
27,PT10M06.00S,2023-11-02T01:14:51.5Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612763,4,2,2023-11-02T01:14:51Z,280000,False,,,0,,Jump Ball J. Jackson Jr. vs. W. Kessler: Tip to M. Smart,"[203935, 1628991, 1631117]",1610612763.0,MEM,lodgedball,M. Smart,203935.0,Smart,M. Smart,Jackson Jr.,1628991.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
31,PT10M01.00S,2023-11-02T01:14:56.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,90.09526938239159,65.68627450980392,1610612763,4,2,2023-11-02T01:15:03Z,310000,False,78.0,41.0,1,right,MISS D. Bane 8' driving floating bank Shot,[1630217],1610612763.0,MEM,driving floating bank,,,Bane,D. Bane,,,,,,,,Missed,,In The Paint (Non-RA),8-16 Right,8.83,,,,,,,,,,,,,,
32,PT10M00.00S,2023-11-02T01:14:57.3Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,4,2,2023-11-02T01:15:03Z,320000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,31.0,1.0,1.0,0.0,,,
33,PT09M49.00S,2023-11-02T01:15:09.0Z,1,REGULAR,3pt,Jump Shot,[],1628381,5.338370565045992,3.6764705882352944,1610612762,4,2,2023-11-02T01:15:13Z,330000,False,232.0,-2.0,1,left,MISS J. Collins 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,Missed,,Right Corner 3,24+ Right,23.16,,,,,,,,,,,,,,
34,PT09M46.00S,2023-11-02T01:15:12.0Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,4,2,2023-11-02T01:15:13Z,340000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,33.0,2.0,2.0,0.0,,,
35,PT09M42.00S,2023-11-02T01:15:17.9Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612763,4,2,2023-11-02T01:15:23Z,350000,False,,,0,,J. Collins shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1628381, 1628991]",1610612762.0,UTA,shooting,,,Collins,J. Collins,,,,,203593.0,1.0,0.0,,,Restricted Area,0-8 Center,,,,,Jackson Jr.,1628991.0,,,,,,,,,
37,PT09M42.00S,2023-11-02T01:15:40.2Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,4,3,2023-11-02T01:15:40Z,370000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
38,PT09M42.00S,2023-11-02T01:15:57.7Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,4,4,2023-11-02T01:15:57Z,380000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (4 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
39,PT09M32.00S,2023-11-02T01:16:12.1Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612762,4,4,2023-11-02T01:16:16Z,390000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Collins 2 FT),"[1628991, 1628381]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,1198.0,1.0,1.0,,,Restricted Area,0-8 Center,,,,,Collins,1628381.0,,,,,,,,,
41,PT09M32.00S,2023-11-02T01:16:37.3Z,1,REGULAR,freethrow,1 of 2,[],1628381,,,1610612762,4,4,2023-11-02T01:16:37Z,410000,False,,,0,,MISS J. Collins Free Throw 1 of 2,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
42,PT09M32.00S,2023-11-02T01:16:37.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,4,4,2023-11-02T01:16:37Z,420000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,
43,PT09M32.00S,2023-11-02T01:16:52.3Z,1,REGULAR,freethrow,2 of 2,[],1628381,,,1610612762,5,4,2023-11-02T01:16:52Z,430000,False,,,0,,J. Collins Free Throw 2 of 2 (1 PTS),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
44,PT09M20.00S,2023-11-02T01:17:07.8Z,1,REGULAR,3pt,Jump Shot,[],203935,68.41327201051249,65.68627450980392,1610612763,5,4,2023-11-02T01:17:13Z,440000,False,78.0,244.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,Missed,,Above the Break 3,24+ Center,25.67,,,,,,,,,,,,,,
45,PT09M17.00S,2023-11-02T01:17:10.8Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,5,4,2023-11-02T01:17:13Z,450000,False,,,0,,X. Tillman REBOUND (Off:1 Def:0),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,44.0,1.0,0.0,1.0,,,
46,PT09M13.00S,2023-11-02T01:17:14.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628991,68.41327201051249,26.715686274509803,1610612763,5,4,2023-11-02T01:17:20Z,460000,False,-116.0,244.0,1,right,MISS J. Jackson Jr. 27' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,Above the Break 3,24+ Left Center,27.07,,,,,,,,,,,,,,
47,PT09M10.00S,2023-11-02T01:17:17.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,5,4,2023-11-02T01:17:20Z,470000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,46.0,1.0,1.0,0.0,,,
48,PT08M50.00S,2023-11-02T01:17:38.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,14.799605781865965,35.049019607843135,1610612762,7,4,2023-11-02T01:17:42Z,480000,False,75.0,87.0,1,left,J. Clarkson 11' floating Jump Shot (2 PTS) (T. Horton-Tucker 2 AST),"[203903, 1629659]",1610612762.0,UTA,floating,,,Clarkson,J. Clarkson,,,,,,,,Made,2.0,In The Paint (Non-RA),8-16 Right,11.44,T. Horton-Tucker,1629659.0,2.0,,,,,,,,,,,
50,PT08M41.00S,2023-11-02T01:17:47.3Z,1,REGULAR,3pt,Jump Shot,[],1630533,87.33574244415243,2.696078431372549,1610612763,7,7,2023-11-02T01:17:52Z,500000,False,-237.0,67.0,1,right,Z. Williams 24' 3PT  (3 PTS) (M. Smart 2 AST),"[1630533, 203935]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,Made,3.0,Left Corner 3,24+ Left,24.57,M. Smart,203935.0,2.0,,,,,,,,,,,
52,PT08M24.00S,2023-11-02T01:18:05.7Z,1,REGULAR,turnover,palming,[],1629659,,,1610612762,7,7,2023-11-02T01:18:22Z,520000,False,,,0,,T. Horton-Tucker palming TURNOVER (2 TO),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,1146.0,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2.0,,
53,PT08M12.00S,2023-11-02T01:18:29.4Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612763,7,7,2023-11-02T01:18:40Z,530000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203903]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Clarkson,203903.0
54,PT08M12.00S,2023-11-02T01:18:29.4Z,1,REGULAR,steal,,[],203903,,,1610612762,7,7,2023-11-02T01:18:31Z,540000,False,,,0,,J. Clarkson STEAL (1 STL),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,
55,PT08M07.00S,2023-11-02T01:18:33.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628381,7.966491458607096,58.333333333333336,1610612762,9,7,2023-11-02T01:19:14Z,550000,False,-42.0,22.0,1,left,J. Collins running alley-oop DUNK (3 PTS) (J. Clarkson 1 AST),"[1628381, 203903]",1610612762.0,UTA,running alley-oop,,,Collins,J. Collins,,,,,,,,Made,3.0,In The Paint (Non-RA),0-8 Center,4.73,J. Clarkson,203903.0,1.0,,,,,,,,,,,
57,PT07M43.00S,2023-11-02T01:18:57.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,90.22667542706965,41.17647058823529,1610612763,9,9,2023-11-02T01:19:04Z,570000,False,-44.0,39.0,1,right,J. Jackson Jr. turnaround Hook (6 PTS),[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,6.0,In The Paint (Non-RA),0-8 Center,5.91,,,,,,,,,,,,,,
58,PT07M36.00S,2023-11-02T01:19:05.3Z,1,REGULAR,3pt,Jump Shot,[],1628381,9.674770039421814,3.1862745098039214,1610612762,12,9,2023-11-02T01:19:10Z,580000,False,234.0,38.0,1,left,J. Collins 3PT  (6 PTS) (L. Markkanen 1 AST),"[1628381, 1628374]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,Made,6.0,Right Corner 3,24+ Right,23.72,L. Markkanen,1628374.0,1.0,,,,,,,,,,,
60,PT07M22.00S,2023-11-02T01:19:18.0Z,1,REGULAR,3pt,Jump Shot,[],1630533,85.62746386333771,94.85294117647058,1610612763,12,9,2023-11-02T01:19:22Z,600000,False,224.0,83.0,1,right,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,Missed,,Right Corner 3,24+ Right,23.9,,,,,,,,,,,,,,
61,PT07M20.00S,2023-11-02T01:19:20.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,12,9,2023-11-02T01:19:22Z,610000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,60.0,2.0,2.0,0.0,,,
62,PT07M14.00S,2023-11-02T01:19:28.9Z,1,REGULAR,foul,personal,[],1630214,,,1610612762,12,9,2023-11-02T01:20:16Z,620000,False,,,0,,X. Tillman personal FOUL (1 PF),"[1630214, 1629659]",1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,1146.0,1.0,0.0,,,Above the Break 3,24+ Right Center,,,,,Horton-Tucker,1629659.0,,,,,,,,,
64,PT07M14.00S,2023-11-02T01:19:36.3Z,1,REGULAR,substitution,out,[],1631117,,,1610612762,12,9,2023-11-02T01:19:40Z,640000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M14.00S,2023-11-02T01:19:36.3Z,1,REGULAR,substitution,in,[],203482,,,1610612762,12,9,2023-11-02T01:19:40Z,650000,False,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M14.00S,2023-11-02T01:19:50.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,12,9,2023-11-02T01:19:50Z,660000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M14.00S,2023-11-02T01:22:03.5Z,1,REGULAR,substitution,out,[],1629659,,,1610612762,12,9,2023-11-02T01:22:36Z,670000,False,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M14.00S,2023-11-02T01:22:03.5Z,1,REGULAR,substitution,out,[],1628374,,,1610612762,12,9,2023-11-02T01:22:36Z,680000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M14.00S,2023-11-02T01:22:03.5Z,1,REGULAR,substitution,in,[],1629012,,,1610612762,12,9,2023-11-02T01:22:36Z,690000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M14.00S,2023-11-02T01:22:03.5Z,1,REGULAR,substitution,in,[],1641718,,,1610612762,12,9,2023-11-02T01:22:36Z,700000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M02.00S,2023-11-02T01:23:03.9Z,1,REGULAR,3pt,Jump Shot,[],203903,6.1268068331143235,3.1862745098039214,1610612762,15,9,2023-11-02T01:23:08Z,710000,False,234.0,5.0,1,left,J. Clarkson 3PT  (5 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,5.0,Right Corner 3,24+ Right,23.42,,,,,,,,,,,,,,
72,PT06M50.00S,2023-11-02T01:23:17.8Z,1,REGULAR,turnover,out-of-bounds,[],1630214,,,1610612763,15,9,2023-11-02T01:44:46Z,720000,False,,,0,,X. Tillman lost ball out-of-bounds TURNOVER (1 TO),[1630214],1610612763.0,MEM,lost ball,,,Tillman,X. Tillman,,,,,1146.0,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,
73,PT06M30.00S,2023-11-02T01:23:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641718,5.863994743758213,43.13725490196079,1610612762,17,9,2023-11-02T01:23:45Z,730000,False,34.0,3.0,1,left,K. George Layup (2 PTS) (C. Sexton 1 AST),"[1641718, 1629012]",1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,2.0,Restricted Area,0-8 Center,3.44,C. Sexton,1629012.0,1.0,,,,,,,,,,,
75,PT06M26.00S,2023-11-02T01:23:51.0Z,1,REGULAR,turnover,double dribble,[],1630217,,,1610612763,17,9,2023-11-02T01:23:56Z,750000,False,,,0,,D. Bane double dribble TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,1198.0,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1.0,,
76,PT06M26.00S,2023-11-02T01:23:53.8Z,1,REGULAR,substitution,out,[],1628991,,,1610612762,17,9,2023-11-02T01:23:57Z,760000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M26.00S,2023-11-02T01:23:53.8Z,1,REGULAR,substitution,in,[],1631223,,,1610612762,17,9,2023-11-02T01:23:57Z,770000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M10.00S,2023-11-02T01:24:25.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203903,13.87976346911958,62.745098039215684,1610612762,19,9,2023-11-02T01:27:21Z,780000,False,-64.0,78.0,1,left,J. Clarkson 10' turnaround fadeaway Jump Shot (7 PTS),[203903],1610612762.0,UTA,turnaround fadeaway,,,Clarkson,J. Clarkson,,,,,,,,Made,7.0,In The Paint (Non-RA),8-16 Left,10.07,,,,,,,,,,,,,,
79,PT05M58.00S,2023-11-02T01:24:37.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,81.42247043363994,61.274509803921575,1610612763,19,9,2023-11-02T01:24:42Z,790000,False,56.0,122.0,1,right,MISS M. Smart 13' pullup Shot,[203935],1610612763.0,MEM,pullup,,,Smart,M. Smart,,,,,,,,Missed,,In The Paint (Non-RA),8-16 Center,13.45,,,,,,,,,,,,,,
80,PT05M56.00S,2023-11-02T01:24:39.4Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,19,9,2023-11-02T01:24:42Z,800000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,79.0,1.0,1.0,0.0,,,
81,PT05M47.00S,2023-11-02T01:24:51.0Z,1,REGULAR,turnover,traveling,[],203482,,,1610612762,19,9,2023-11-02T01:24:58Z,810000,False,,,0,,K. Olynyk traveling TURNOVER (1 TO),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,1198.0,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1.0,,
82,PT05M38.00S,2023-11-02T01:25:17.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,74.85216819973719,86.02941176470588,1610612763,19,12,2023-11-02T01:25:22Z,820000,False,180.0,184.0,1,right,D. Bane 25' 3PT  (3 PTS) (M. Smart 3 AST),"[1630217, 203935]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Made,3.0,Above the Break 3,24+ Right Center,25.74,M. Smart,203935.0,3.0,,,,,,,,,,,
84,PT05M16.00S,2023-11-02T01:25:38.1Z,1,REGULAR,3pt,Jump Shot,[],1629012,28.203022339027594,22.794117647058822,1610612762,22,12,2023-11-02T01:25:42Z,840000,False,136.0,213.0,1,left,C. Sexton 25' 3PT  (3 PTS) (J. Clarkson 2 AST),"[1629012, 203903]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,3.0,Above the Break 3,24+ Right Center,25.24,J. Clarkson,203903.0,2.0,,,,,,,,,,,
86,PT05M02.00S,2023-11-02T01:25:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,91.67214191852825,58.57843137254902,1610612763,22,12,2023-11-02T01:25:56Z,860000,False,43.0,26.0,1,right,MISS X. Tillman Layup,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,Missed,,In The Paint (Non-RA),0-8 Center,5.01,,,,,,,,,,,,,,
