actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
15,PT10M46.00S,2023-12-30T22:12:41.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,2,2,2023-12-30T22:13:00Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,13.0,,,,,,,,,,,,,,,,
17,PT10M39.00S,2023-12-30T22:13:03.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630181,7.30946123521682,95.83333333333334,1610612748,2,2,2023-12-30T22:13:08Z,170000,False,-229.0,16.0,1,left,MISS R. Hampton 3PT,[1630181],1610612748.0,MIA,,,,Hampton,R. Hampton,,,,,Left Corner 3,24+ Left,22.98,Missed,,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2023-12-30T22:13:06.4Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,2,2,2023-12-30T22:13:08Z,180000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M21.00S,2023-12-30T22:13:40.0Z,1,REGULAR,foul,personal,[],202710,,,1610612762,2,2,2023-12-30T22:13:50Z,200000,False,,,0,,J. Butler personal FOUL (1 PF),"[202710, 1628374]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,,,,,,,,,,202035.0,1.0,0.0,Markkanen,1628374.0,,,,,,
22,PT10M15.00S,2023-12-30T22:14:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628374,68.80749014454665,74.01960784313727,1610612762,2,2,2023-12-30T22:14:05Z,220000,False,120.0,241.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,26.9,Missed,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2023-12-30T22:14:05.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,2,2023-12-30T22:22:38Z,230000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M57.00S,2023-12-30T22:14:20.1Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612748,2,2,2023-12-30T22:14:27Z,240000,False,,,0,,J. Collins shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1628381, 1628389]",1610612762.0,UTA,shooting,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,202035.0,1.0,0.0,Adebayo,1628389.0,,,,,,
26,PT09M57.00S,2023-12-30T22:14:48.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,2,2,2023-12-30T22:14:48Z,260000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M57.00S,2023-12-30T22:14:48.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,2,2,2023-12-30T22:14:48Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,
28,PT09M57.00S,2023-12-30T22:15:07.3Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,2,3,2023-12-30T22:15:07Z,280000,False,,,0,,B. Adebayo Free Throw 2 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
29,PT09M44.00S,2023-12-30T22:15:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,84.31340341655716,36.029411764705884,1610612762,4,3,2023-12-30T22:17:35Z,290000,False,-70.0,95.0,1,right,J. Collins 11' turnaround fadeaway Jump Shot (2 PTS) (L. Markkanen 1 AST),"[1628381, 1628374]",1610612762.0,UTA,turnaround fadeaway,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Left,11.79,Made,2.0,,,,,,,,,,,,L. Markkanen,1628374.0,1.0,,,
31,PT09M28.00S,2023-12-30T22:15:37.7Z,1,REGULAR,2pt,Jump Shot,[],1629639,10.068988173455978,69.85294117647058,1610612748,4,5,2023-12-30T22:18:01Z,310000,False,-99.0,42.0,1,left,T. Herro 10' step back Jump Shot (2 PTS),[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,10.79,Made,2.0,,,,,,,,,,,,,,,,,
32,PT09M12.00S,2023-12-30T22:15:54.9Z,1,REGULAR,foul,personal,['2freethrow'],1631107,,,1610612762,4,5,2023-12-30T22:16:00Z,320000,False,,,0,,N. Jovic shooting personal FOUL (1 PF) (Markkanen 2 FT),"[1631107, 1628374]",1610612748.0,MIA,shooting,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202035.0,1.0,0.0,Markkanen,1628374.0,,,,,,
34,PT09M12.00S,2023-12-30T22:16:21.5Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612762,4,5,2023-12-30T22:16:21Z,340000,False,,,0,,MISS L. Markkanen Free Throw 1 of 2,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT09M12.00S,2023-12-30T22:16:21.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,4,5,2023-12-30T22:16:21Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,
36,PT09M12.00S,2023-12-30T22:16:38.0Z,1,REGULAR,freethrow,2 of 2,[],1628374,,,1610612762,5,5,2023-12-30T22:16:38Z,360000,False,,,0,,L. Markkanen Free Throw 2 of 2 (1 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
37,PT09M02.00S,2023-12-30T22:16:50.6Z,1,REGULAR,3pt,Jump Shot,[],1631107,24.52365308804205,17.647058823529413,1610612748,5,8,2023-12-30T22:16:55Z,370000,False,162.0,178.0,1,left,N. Jovic 24' 3PT  (3 PTS),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,24.05,Made,3.0,,,,,,,,,,,,,,,,,
38,PT08M50.00S,2023-12-30T22:17:02.7Z,1,REGULAR,3pt,Jump Shot,[],1628381,74.58935611038108,13.480392156862745,1610612762,5,8,2023-12-30T22:17:07Z,380000,False,-183.0,186.0,1,right,MISS J. Collins 26' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,26.09,Missed,,,,,,,,,,,,,,,,,,
39,PT08M46.00S,2023-12-30T22:17:06.7Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,5,8,2023-12-30T22:17:07Z,390000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M44.00S,2023-12-30T22:17:09.3Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,5,8,2023-12-30T22:17:14Z,400000,False,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,202035.0,,,,,,,,1.0,,
41,PT08M27.00S,2023-12-30T22:17:33.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627739,90.09526938239159,49.754901960784316,1610612762,7,8,2023-12-30T22:17:38Z,410000,False,-1.0,41.0,1,right,K. Dunn driving DUNK (2 PTS),[1627739],1610612762.0,UTA,driving,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,4.06,Made,2.0,,,,,,,,,,,,,,,,,
42,PT08M15.00S,2023-12-30T22:17:45.0Z,1,REGULAR,2pt,Jump Shot,[],1629639,20.844283837056505,72.30392156862744,1610612748,7,10,2023-12-30T22:19:53Z,420000,False,-112.0,143.0,1,left,T. Herro 18' pullup Jump Shot (4 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,18.16,Made,4.0,,,,,,,,,,,,,,,,,
43,PT07M57.00S,2023-12-30T22:18:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627739,92.06636005256242,45.588235294117645,1610612762,7,10,2023-12-30T22:23:45Z,430000,False,-22.0,22.0,1,right,MISS K. Dunn driving Layup,[1627739],1610612762.0,UTA,driving,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2023-12-30T22:18:07.6Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,7,10,2023-12-30T22:18:09Z,440000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,
45,PT07M54.00S,2023-12-30T22:18:07.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628374,89.70105124835742,44.11764705882353,1610612762,7,10,2023-12-30T22:24:14Z,450000,False,-29.0,44.0,1,right,MISS L. Markkanen putback Layup,[1628374],1610612762.0,UTA,putback,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,,,,,,,,,,,,,,,,,,
46,PT07M54.00S,2023-12-30T22:18:07.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,10,2023-12-30T22:18:12Z,460000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,
47,PT07M46.00S,2023-12-30T22:18:20.6Z,1,REGULAR,foul,personal,[],1631323,,,1610612748,7,10,2023-12-30T22:18:51Z,470000,False,,,0,,S. Fontecchio personal FOUL (1 PF),"[1631323, 202710]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1162.0,1.0,0.0,Butler,202710.0,,,,,,
49,PT07M46.00S,2023-12-30T22:18:27.2Z,1,REGULAR,substitution,out,[],1628381,,,1610612748,7,10,2023-12-30T22:18:34Z,490000,False,,,0,,SUB out: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M46.00S,2023-12-30T22:18:27.2Z,1,REGULAR,substitution,in,[],1631117,,,1610612748,7,10,2023-12-30T22:18:34Z,500000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M40.00S,2023-12-30T22:18:50.7Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,7,10,2023-12-30T22:18:54Z,510000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1627739]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Dunn,1627739.0
52,PT07M40.00S,2023-12-30T22:18:50.7Z,1,REGULAR,steal,,[],1627739,,,1610612762,7,10,2023-12-30T22:18:52Z,520000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M36.00S,2023-12-30T22:18:54.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629012,68.80749014454665,66.42156862745098,1610612762,7,10,2023-12-30T22:25:34Z,530000,False,82.0,241.0,1,right,MISS C. Sexton 25' running pullup 3PT,[1629012],1610612762.0,UTA,running pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,25.43,Missed,,,,,,,,,,,,,,,,,,
54,PT07M32.00S,2023-12-30T22:18:58.9Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612748,7,10,2023-12-30T22:19:00Z,540000,False,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612748.0,MIA,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Right Center,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,
55,PT07M18.00S,2023-12-30T22:19:14.8Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612748,7,10,2023-12-30T22:19:21Z,550000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1627739, 1628389]",1610612762.0,UTA,shooting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,,,,,1162.0,1.0,0.0,Adebayo,1628389.0,,,,,,
57,PT07M18.00S,2023-12-30T22:19:45.4Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,7,11,2023-12-30T22:19:45Z,570000,False,,,0,,B. Adebayo Free Throw 1 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
58,PT07M18.00S,2023-12-30T22:19:45.4Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,7,11,2023-12-30T22:20:08Z,580000,False,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT07M15.00S,2023-12-30T22:19:48.4Z,1,REGULAR,rebound,offensive,[],1631107,,,1610612748,7,11,2023-12-30T22:20:17Z,590000,False,,,0,,N. Jovic REBOUND (Off:1 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,
60,PT07M13.00S,2023-12-30T22:20:09.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,19.92444152431012,49.26470588235294,1610612748,7,11,2023-12-30T22:20:15Z,600000,False,4.0,135.0,1,left,MISS B. Adebayo 13' floating Shot,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,13.49,Missed,,,,,,,,,,,,,,,,,,
61,PT07M08.00S,2023-12-30T22:20:14.2Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,7,11,2023-12-30T22:20:15Z,610000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,
62,PT07M01.00S,2023-12-30T22:20:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,92.59198423127464,53.67647058823529,1610612762,9,11,2023-12-30T22:20:28Z,620000,False,18.0,17.0,1,right,C. Sexton driving Layup (4 PTS) (K. Dunn 1 AST),"[1629012, 1627739]",1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,2.51,Made,4.0,,,,,,,,,,,,K. Dunn,1627739.0,1.0,,,
63,PT07M01.00S,2023-12-30T22:20:24.5Z,1,REGULAR,foul,personal,['1freethrow'],1630181,,,1610612762,9,11,2023-12-30T22:20:29Z,630000,False,,,0,,R. Hampton shooting personal FOUL (1 PF) (Sexton 1 FT),"[1630181, 1629012]",1610612748.0,MIA,shooting,,,Hampton,R. Hampton,,,,,Restricted Area,0-8 Center,,,,,,,,,,1162.0,1.0,0.0,Sexton,1629012.0,,,,,,
66,PT07M01.00S,2023-12-30T22:20:44.9Z,1,REGULAR,freethrow,1 of 1,[],1629012,,,1610612762,10,11,2023-12-30T22:20:44Z,650000,False,,,0,,C. Sexton Free Throw 1 of 1 (5 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
67,PT06M50.00S,2023-12-30T22:20:57.7Z,1,REGULAR,turnover,bad pass,[],1630181,,,1610612748,10,11,2023-12-30T22:21:01Z,660000,False,,,0,,R. Hampton bad pass TURNOVER (1 TO),"[1630181, 1627739]",1610612748.0,MIA,,,,Hampton,R. Hampton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,1.0,Dunn,1627739.0
68,PT06M50.00S,2023-12-30T22:20:57.7Z,1,REGULAR,steal,,[],1627739,,,1610612762,10,11,2023-12-30T22:20:59Z,670000,False,,,0,,K. Dunn STEAL (2 STL),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
69,PT06M45.00S,2023-12-30T22:21:03.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631117,91.01511169513797,55.14705882352941,1610612762,12,11,2023-12-30T22:27:39Z,680000,False,26.0,32.0,1,right,W. Kessler running DUNK (2 PTS) (K. Dunn 2 AST),"[1631117, 1627739]",1610612762.0,UTA,running,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,4.1,Made,2.0,,,,,,,,,,,,K. Dunn,1627739.0,2.0,,,
72,PT06M37.00S,2023-12-30T22:21:23.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,12,11,2023-12-30T22:21:27Z,710000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M37.00S,2023-12-30T22:24:06.8Z,1,REGULAR,substitution,out,[],1629012,,,1610612748,12,11,2023-12-30T22:24:09Z,720000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M37.00S,2023-12-30T22:24:06.8Z,1,REGULAR,substitution,in,[],1641718,,,1610612748,12,11,2023-12-30T22:24:09Z,730000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M34.00S,2023-12-30T22:24:25.9Z,1,REGULAR,turnover,bad pass,[],1631107,,,1610612748,12,11,2023-12-30T22:24:33Z,740000,False,,,0,,N. Jovic bad pass TURNOVER (1 TO),"[1631107, 1628374]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Markkanen,1628374.0
76,PT06M34.00S,2023-12-30T22:24:25.9Z,1,REGULAR,steal,,[],1628374,,,1610612762,12,11,2023-12-30T22:24:28Z,750000,False,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
77,PT06M27.00S,2023-12-30T22:24:37.7Z,1,REGULAR,foul,personal,[],1631107,,,1610612762,12,11,2023-12-30T22:25:07Z,760000,False,,,0,,N. Jovic personal FOUL (2 PF),"[1631107, 1628374]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1162.0,2.0,0.0,Markkanen,1628374.0,,,,,,
79,PT06M27.00S,2023-12-30T22:24:48.0Z,1,REGULAR,substitution,out,[],1631107,,,1610612762,12,11,2023-12-30T22:24:58Z,780000,False,,,0,,SUB out: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M27.00S,2023-12-30T22:24:48.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612762,12,11,2023-12-30T22:24:58Z,790000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M27.00S,2023-12-30T22:24:48.0Z,1,REGULAR,substitution,in,[],1631170,,,1610612762,12,11,2023-12-30T22:24:58Z,800000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M27.00S,2023-12-30T22:24:48.0Z,1,REGULAR,substitution,in,[],201567,,,1610612762,12,11,2023-12-30T22:24:58Z,810000,False,,,0,,SUB in: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M21.00S,2023-12-30T22:25:12.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641718,72.22404730617609,20.34313725490196,1610612762,15,11,2023-12-30T22:28:36Z,820000,False,-148.0,209.0,1,right,K. George 25' 3PT pullup (3 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Left Center,25.59,Made,3.0,,,,,,,,,,,,,,,,,
84,PT06M08.00S,2023-12-30T22:25:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,12.040078843626807,65.44117647058823,1610612748,15,13,2023-12-30T22:25:31Z,830000,False,-77.0,61.0,1,left,T. Herro 9' driving floating Jump Shot (6 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Left,9.82,Made,6.0,,,,,,,,,,,,,,,,,
