actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
26,PT10M29.00S,2023-12-19T02:13:27.1Z,1,REGULAR,turnover,offensive goaltending,[],1629651,,,1610612751,2,1,2023-12-19T02:13:40Z,260000,False,,,0,,N. Claxton offensive goaltending TURNOVER (1 TO),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,,,202026.0,,,,,,,,
27,PT10M18.00S,2023-12-19T02:13:42.0Z,1,REGULAR,foul,personal,['2freethrow'],1630560,,,1610612762,2,1,2023-12-19T02:13:51Z,270000,False,,,0,,C. Thomas shooting personal FOUL (1 PF) (Sexton 2 FT),"[1630560, 1629012]",1610612751.0,BKN,shooting,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1627541.0,1.0,0.0,Sexton,1629012.0,,,,
29,PT10M18.00S,2023-12-19T02:14:10.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629012,,,1610612762,3,1,2023-12-19T02:14:28Z,290000,False,,,0,,C. Sexton Free Throw 1 of 2 (1 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
30,PT10M18.00S,2023-12-19T02:14:10.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629012,,,1610612762,3,1,2023-12-19T02:14:28Z,300000,False,,,0,,MISS C. Sexton Free Throw 2 of 2,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
31,PT10M16.00S,2023-12-19T02:14:12.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,1,2023-12-19T02:14:28Z,310000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,,,,,
32,PT10M05.00S,2023-12-19T02:14:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,87.72996057818659,47.05882352941176,1610612751,3,3,2023-12-19T02:14:46Z,320000,False,-15.0,63.0,1,right,S. Dinwiddie 6' floating Jump Shot (2 PTS),[203915],1610612751.0,BKN,floating,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,6.45,Made,,,,,,,,,,,,,,,2.0,,,
33,PT09M50.00S,2023-12-19T02:14:53.7Z,1,REGULAR,3pt,Jump Shot,[],1629012,28.728646517739815,70.83333333333334,1610612762,3,3,2023-12-19T02:14:58Z,330000,False,-104.0,218.0,1,left,MISS C. Sexton 24' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,24.12,Missed,,,,,,,,,,,,,,,,,,
34,PT09M46.00S,2023-12-19T02:14:57.7Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,3,3,2023-12-19T02:14:58Z,340000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M40.00S,2023-12-19T02:15:03.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,75.90341655716163,10.294117647058822,1610612751,3,6,2023-12-19T02:16:42Z,350000,False,-199.0,174.0,1,right,C. Johnson 26' 3PT running (3 PTS) (S. Dinwiddie 1 AST),"[1629661, 203915]",1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,26.4,Made,,,,,,,,,,,,,,,3.0,S. Dinwiddie,203915.0,1.0
37,PT09M19.00S,2023-12-19T02:15:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629659,26.888961892247043,86.02941176470588,1610612762,6,6,2023-12-19T02:15:28Z,370000,False,-180.0,200.0,1,left,T. Horton-Tucker 26' 3PT  (3 PTS) (C. Sexton 1 AST),"[1629659, 1629012]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Left Center,26.94,Made,,,,,,,,,,,,,,,3.0,C. Sexton,1629012.0,1.0
39,PT09M03.00S,2023-12-19T02:15:41.2Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612751,6,6,2023-12-19T02:15:46Z,390000,False,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628969],1610612751.0,BKN,bad pass,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,1627541.0,,,,,,,,
40,PT08M52.00S,2023-12-19T02:16:09.0Z,1,REGULAR,turnover,out-of-bounds,[],1631117,,,1610612762,6,6,2023-12-19T02:16:16Z,400000,False,,,0,,W. Kessler lost ball out-of-bounds TURNOVER (1 TO),[1631117],1610612762.0,UTA,lost ball,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,,,1628480.0,,,,,,,,
41,PT08M43.00S,2023-12-19T02:16:25.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630560,84.57621550591328,65.93137254901961,1610612751,6,8,2023-12-19T02:19:09Z,410000,False,80.0,92.0,1,right,C. Thomas 12' pullup Jump Shot (2 PTS) (M. Bridges 1 AST),"[1630560, 1628969]",1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Right,12.21,Made,,,,,,,,,,,,,,,2.0,M. Bridges,1628969.0,1.0
42,PT08M29.00S,2023-12-19T02:16:39.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629659,7.5722733245729295,64.70588235294117,1610612762,8,8,2023-12-19T02:16:43Z,420000,False,-74.0,19.0,1,left,T. Horton-Tucker 7' driving floating Jump Shot (5 PTS) (C. Sexton 2 AST),"[1629659, 1629012]",1610612762.0,UTA,driving floating,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,7.58,Made,,,,,,,,,,,,,,,5.0,C. Sexton,1629012.0,2.0
43,PT08M21.00S,2023-12-19T02:16:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630560,91.67214191852825,41.42156862745098,1610612751,8,8,2023-12-19T02:20:40Z,430000,False,-43.0,26.0,1,right,MISS C. Thomas driving Layup - blocked,"[1630560, 1628374]",1610612751.0,BKN,driving,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,5.01,Missed,,,,,Markkanen,1628374.0,,,,,,,,,,,,
44,PT08M21.00S,2023-12-19T02:16:47.8Z,1,REGULAR,block,,[],1628374,,,1610612751,8,8,2023-12-19T02:17:23Z,440000,False,,,0,,L. Markkanen BLOCK (1 BLK),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M17.00S,2023-12-19T02:16:51.8Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612762,8,8,2023-12-19T02:16:52Z,450000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT08M14.00S,2023-12-19T02:16:53.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631323,6.389618922470433,44.11764705882353,1610612762,10,8,2023-12-19T02:16:59Z,460000,False,29.0,8.0,1,left,S. Fontecchio running Layup (2 PTS),[1631323],1610612762.0,UTA,running,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,3.04,Made,,,,,,,,,,,,,,,2.0,,,
48,PT07M56.00S,2023-12-19T02:17:12.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,69.46452036793693,71.32352941176471,1610612751,10,11,2023-12-19T02:17:17Z,470000,False,107.0,235.0,1,right,M. Bridges 25' 3PT  (3 PTS) (S. Dinwiddie 2 AST),"[1628969, 203915]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.76,Made,,,,,,,,,,,,,,,3.0,S. Dinwiddie,203915.0,2.0
50,PT07M34.00S,2023-12-19T02:17:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631323,10.85742444152431,65.44117647058823,1610612762,10,11,2023-12-19T02:17:41Z,490000,False,-77.0,50.0,1,left,MISS S. Fontecchio 9' fadeaway Shot,[1631323],1610612762.0,UTA,fadeaway,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Left,9.18,Missed,,,,,,,,,,,,,,,,,,
51,PT07M30.00S,2023-12-19T02:17:39.1Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,10,11,2023-12-19T02:17:41Z,500000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Left,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M23.00S,2023-12-19T02:17:45.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203915,91.5407358738502,44.11764705882353,1610612751,10,11,2023-12-19T02:24:01Z,510000,False,-29.0,27.0,1,right,MISS S. Dinwiddie running Layup - blocked,"[203915, 1631117]",1610612751.0,BKN,running,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,Kessler,1631117.0,,,,,,,,,,,,
53,PT07M23.00S,2023-12-19T02:17:45.8Z,1,REGULAR,block,,[],1631117,,,1610612751,10,11,2023-12-19T02:17:47Z,520000,False,,,0,,W. Kessler BLOCK (2 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT07M20.00S,2023-12-19T02:17:48.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,10,11,2023-12-19T02:17:50Z,530000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT07M17.00S,2023-12-19T02:17:51.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629012,21.76412614980289,11.029411764705882,1610612762,13,11,2023-12-19T02:24:35Z,540000,False,195.0,152.0,1,left,C. Sexton 24' 3PT running (4 PTS) (L. Markkanen 1 AST),"[1629012, 1628374]",1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,24.72,Made,,,,,,,,,,,,,,,4.0,L. Markkanen,1628374.0,1.0
57,PT07M03.00S,2023-12-19T02:18:07.8Z,1,REGULAR,foul,offensive,[],1629651,,,1610612751,13,11,2023-12-19T02:18:14Z,560000,False,,,0,,N. Claxton offensive FOUL (1 PF),"[1629651, 1629012]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1628480.0,1.0,0.0,Sexton,1629012.0,,,,
59,PT07M03.00S,2023-12-19T02:18:07.8Z,1,REGULAR,turnover,offensive foul,[],1629651,,,1610612751,13,11,2023-12-19T02:18:07Z,580000,False,,,0,,N. Claxton offensive foul TURNOVER (2 TO),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,,,,,2.0,,,1628480.0,,,,,,,,
60,PT06M53.00S,2023-12-19T02:18:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629659,9.149145860709593,51.225490196078425,1610612762,13,11,2023-12-19T02:18:40Z,590000,False,-6.0,34.0,1,left,MISS T. Horton-Tucker driving Layup - blocked,"[1629659, 1629651]",1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,3.41,Missed,,,,,Claxton,1629651.0,,,,,,,,,,,,
61,PT06M53.00S,2023-12-19T02:18:36.2Z,1,REGULAR,block,,[],1629651,,,1610612762,13,11,2023-12-19T02:18:38Z,600000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M50.00S,2023-12-19T02:18:39.2Z,1,REGULAR,rebound,offensive,[],1629012,,,1610612762,13,11,2023-12-19T02:18:40Z,610000,False,,,0,,C. Sexton REBOUND (Off:1 Def:0),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,60.0,1.0,0.0,1.0,,,,,,,,,,,,,,
63,PT06M48.00S,2023-12-19T02:18:40.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631117,5.863994743758213,44.36274509803921,1610612762,13,11,2023-12-19T02:18:46Z,620000,False,28.0,3.0,1,left,MISS W. Kessler reverse Layup - blocked,"[1631117, 1629651]",1610612762.0,UTA,reverse,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,Claxton,1629651.0,,,,,,,,,,,,
64,PT06M48.00S,2023-12-19T02:18:40.2Z,1,REGULAR,block,,[],1629651,,,1610612762,13,11,2023-12-19T02:18:44Z,630000,False,,,0,,N. Claxton BLOCK (2 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT06M43.00S,2023-12-19T02:18:45.2Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,13,11,2023-12-19T02:18:46Z,640000,False,,,0,,W. Kessler REBOUND (Off:1 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,63.0,3.0,2.0,1.0,,,,,,,,,,,,,,
66,PT06M43.00S,2023-12-19T02:18:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631117,5.590000152587891,50.0,1610612762,15,11,2023-12-19T02:18:45Z,650000,False,0.0,0.0,1,left,W. Kessler putback Layup (2 PTS),[1631117],1610612762.0,UTA,putback,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,,,,,2.0,,,
67,PT06M22.00S,2023-12-19T02:19:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,92.59198423127464,57.35294117647059,1610612751,15,11,2023-12-19T02:19:11Z,660000,False,37.0,17.0,1,right,MISS M. Bridges driving Layup,[1628969],1610612751.0,BKN,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,4.06,Missed,,,,,,,,,,,,,,,,,,
68,PT06M21.00S,2023-12-19T02:19:07.8Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612762,15,11,2023-12-19T02:28:42Z,670000,False,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,
69,PT06M17.00S,2023-12-19T02:19:11.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,22.552562417871222,8.088235294117647,1610612762,15,11,2023-12-19T02:26:54Z,680000,False,210.0,159.0,1,left,MISS L. Markkanen 26' running 3PT,[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,26.34,Missed,,,,,,,,,,,,,,,,,,
70,PT06M11.00S,2023-12-19T02:19:17.8Z,1,REGULAR,rebound,offensive,[],1631323,,,1610612762,15,11,2023-12-19T02:19:18Z,690000,False,,,0,,S. Fontecchio REBOUND (Off:1 Def:1),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,,,69.0,2.0,1.0,1.0,,,,,,,,,,,,,,
71,PT06M11.00S,2023-12-19T02:19:17.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1631323,5.590000152587891,50.0,1610612762,15,11,2023-12-19T02:19:20Z,700000,False,0.0,0.0,1,left,MISS S. Fontecchio tip DUNK,[1631323],1610612762.0,UTA,tip,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
72,PT06M11.00S,2023-12-19T02:19:17.2Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,15,11,2023-12-19T02:19:20Z,710000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,
73,PT06M08.00S,2023-12-19T02:19:20.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630560,91.27792378449409,53.18627450980392,1610612751,15,11,2023-12-19T02:19:26Z,720000,False,16.0,29.0,1,right,MISS C. Thomas running Layup,[1630560],1610612751.0,BKN,running,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,3.35,Missed,,,,,,,,,,,,,,,,,,
74,PT06M05.00S,2023-12-19T02:19:23.3Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,15,11,2023-12-19T02:19:26Z,730000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,
75,PT06M01.00S,2023-12-19T02:19:28.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631117,7.046649145860711,53.92156862745098,1610612762,17,11,2023-12-19T02:19:34Z,740000,False,-20.0,14.0,1,left,W. Kessler DUNK (4 PTS),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.39,Made,,,,,,,,,,,,,,,4.0,,,
76,PT06M00.00S,2023-12-19T02:19:33.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,17,11,2023-12-19T02:19:33Z,750000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M00.00S,2023-12-19T02:21:01.2Z,1,REGULAR,foul,technical,['1freethrow'],1630560,,,1610612751,17,11,2023-12-19T02:21:14Z,760000,False,,,0,,C. Thomas technical FOUL (1 Tech),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,1627541.0,1.0,1.0,,,,,,
79,PT06M00.00S,2023-12-19T02:21:33.0Z,1,REGULAR,substitution,out,[],1628374,,,1610612751,17,11,2023-12-19T02:22:23Z,770000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M00.00S,2023-12-19T02:21:33.0Z,1,REGULAR,substitution,in,[],203482,,,1610612751,17,11,2023-12-19T02:22:23Z,780000,False,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M00.00S,2023-12-19T02:22:39.5Z,1,REGULAR,freethrow,1 of 1,[],1629012,,,1610612751,18,11,2023-12-19T02:22:39Z,790000,False,,,0,,C. Sexton technical Free Throw 1 of 1 (5 PTS),[1629012],1610612762.0,UTA,technical,,,Sexton,C. Sexton,,,,,,,,Made,,,,,,,,,,,,,,,5.0,,,
