actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
37,PT09M37.00S,2023-11-26T02:45:08.3Z,1,REGULAR,turnover,lost ball,[],1641718,,,1610612762,0,3,2023-11-26T02:45:12Z,360000,False,,,0,,K. George lost ball TURNOVER (2 TO),"[1641718, 1630700]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,2.0,,,Daniels,1630700.0,,,,,,,,
38,PT09M37.00S,2023-11-26T02:45:08.3Z,1,REGULAR,steal,,[],1630700,,,1610612740,0,3,2023-11-26T02:45:09Z,370000,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
39,PT09M28.00S,2023-11-26T02:45:17.4Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612740,0,3,2023-11-26T02:45:21Z,380000,False,,,0,,D. Daniels bad pass TURNOVER (2 TO),"[1630700, 1627739]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Center,,,,,,,,2.0,,,Dunn,1627739.0,,,,,,,,
40,PT09M28.00S,2023-11-26T02:45:17.4Z,1,REGULAR,steal,,[],1627739,,,1610612762,0,3,2023-11-26T02:45:18Z,390000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M23.00S,2023-11-26T02:45:21.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628381,6.1268068331143235,58.333333333333336,1610612762,2,3,2023-11-26T02:45:28Z,400000,False,-42.0,5.0,1,left,J. Collins driving Layup (2 PTS) (K. George 1 AST),"[1628381, 1641718]",1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,4.2,Made,,,,,,,,,,,,,,,2.0,K. George,1641718.0,1.0
43,PT09M17.00S,2023-11-26T02:45:28.2Z,1,REGULAR,3pt,Jump Shot,[],1641722,90.62089356110381,95.58823529411765,1610612740,2,3,2023-11-26T02:45:33Z,420000,False,228.0,36.0,1,right,MISS J. Hawkins 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Right Corner 3,24+ Right,23.07,Missed,,,,,,,,,,,,,,,,,,
44,PT09M14.00S,2023-11-26T02:45:31.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,2,3,2023-11-26T02:45:33Z,430000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT08M56.00S,2023-11-26T02:46:08.1Z,1,REGULAR,2pt,Jump Shot,[],1628381,19.793035479632064,73.0392156862745,1610612762,2,3,2023-11-26T02:48:51Z,450000,False,-115.0,134.0,1,left,MISS J. Collins 17' pullup Shot,[1628381],1610612762.0,UTA,pullup,,,Collins,J. Collins,,,,,Mid-Range,16-24 Left Center,17.64,Missed,,,,,,,,,,,,,,,,,,
47,PT08M53.00S,2023-11-26T02:46:11.1Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,2,3,2023-11-26T02:46:12Z,460000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:2),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Mid-Range,16-24 Left Center,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT08M43.00S,2023-11-26T02:46:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,93.51182654402102,58.82352941176471,1610612740,2,3,2023-11-26T02:50:03Z,470000,False,44.0,8.0,1,right,MISS B. Ingram driving Layup,[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,4.49,Missed,,,,,,,,,,,,,,,,,,
49,PT08M41.00S,2023-11-26T02:46:23.6Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,2,3,2023-11-26T02:46:25Z,480000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,
50,PT08M36.00S,2023-11-26T02:46:28.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641718,31.09395532194481,31.61764705882353,1610612762,5,3,2023-11-26T02:46:36Z,490000,False,92.0,240.0,1,left,K. George 25' 3PT pullup (3 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,25.68,Made,,,,,,,,,,,,,,,3.0,,,
52,PT08M22.00S,2023-11-26T02:46:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,91.67214191852825,43.872549019607845,1610612740,5,3,2023-11-26T02:51:04Z,510000,False,-31.0,26.0,1,right,MISS D. Daniels driving Layup,[1630700],1610612740.0,NOP,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,4.0,Missed,,,,,,,,,,,,,,,,,,
53,PT08M21.00S,2023-11-26T02:46:45.9Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,5,3,2023-11-26T02:51:04Z,520000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,52.0,2.0,0.0,2.0,,,,,,,,,,,,,,
54,PT08M21.00S,2023-11-26T02:46:47.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202685,94.40999984741211,50.0,1610612740,5,3,2023-11-26T02:51:16Z,530000,False,0.0,0.0,1,right,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
55,PT08M19.00S,2023-11-26T02:46:49.2Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,5,3,2023-11-26T02:51:16Z,540000,False,,,0,,K. Dunn REBOUND (Off:0 Def:2),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT08M14.00S,2023-11-26T02:46:49.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641718,29.517082785808146,24.509803921568626,1610612762,8,3,2023-11-26T02:46:55Z,550000,False,127.0,225.0,1,left,K. George 25' 3PT pullup (6 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,25.86,Made,,,,,,,,,,,,,,,6.0,,,
57,PT07M56.00S,2023-11-26T02:47:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641722,92.19776609724047,44.85294117647059,1610612740,8,3,2023-11-26T02:47:13Z,560000,False,-26.0,21.0,1,right,MISS J. Hawkins driving Layup,[1641722],1610612740.0,NOP,driving,,,Hawkins,J. Hawkins,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,,
58,PT07M54.00S,2023-11-26T02:47:10.7Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612762,8,3,2023-11-26T02:47:13Z,570000,False,,,0,,O. Yurtseven REBOUND (Off:0 Def:2),[1630209],1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,Restricted Area,0-8 Center,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT07M49.00S,2023-11-26T02:47:15.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631323,4.944152431011826,95.09803921568627,1610612762,11,3,2023-11-26T02:47:23Z,580000,False,-225.0,-6.0,1,left,S. Fontecchio 3PT  (3 PTS) (K. George 2 AST),"[1631323, 1641718]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Left Corner 3,24+ Left,22.56,Made,,,,,,,,,,,,,,,3.0,K. George,1641718.0,2.0
61,PT07M47.00S,2023-11-26T02:47:23.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,11,3,2023-11-26T02:47:23Z,600000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M29.00S,2023-11-26T02:50:34.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,90.88370565045992,31.862745098039213,1610612740,11,5,2023-11-26T02:50:38Z,610000,False,-91.0,33.0,1,right,B. Ingram 9' Jump Shot (2 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,9.66,Made,,,,,,,,,,,,,,,2.0,,,
63,PT07M14.00S,2023-11-26T02:50:52.9Z,1,REGULAR,foul,personal,[],1630529,,,1610612762,11,5,2023-11-26T02:50:59Z,620000,False,,,0,,H. Jones loose ball personal FOUL (2 PF),"[1630529, 1641718]",1610612740.0,NOP,loose ball,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,1204.0,,,,,,2.0,0.0,George,1641718.0,,,,
65,PT07M14.00S,2023-11-26T02:51:07.2Z,1,REGULAR,substitution,out,[],1630529,,,1610612762,11,5,2023-11-26T02:51:10Z,640000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M14.00S,2023-11-26T02:51:07.2Z,1,REGULAR,substitution,in,[],1630230,,,1610612762,11,5,2023-11-26T02:51:10Z,650000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M03.00S,2023-11-26T02:51:31.6Z,1,REGULAR,3pt,Jump Shot,[],1641718,33.196452036793694,76.47058823529412,1610612762,11,5,2023-11-26T02:51:37Z,660000,False,-132.0,260.0,1,left,MISS K. George 29' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,29.13,Missed,,,,,,,,,,,,,,,,,,
68,PT07M01.00S,2023-11-26T02:51:33.6Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,11,5,2023-11-26T02:51:37Z,670000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:3),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,,,67.0,3.0,3.0,0.0,,,,,,,,,,,,,,
69,PT06M56.00S,2023-11-26T02:51:38.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641722,71.04139290407359,77.45098039215686,1610612740,11,8,2023-11-26T02:51:46Z,680000,False,137.0,220.0,1,right,J. Hawkins 25' 3PT  (4 PTS) (D. Daniels 1 AST),"[1641722, 1630700]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,25.91,Made,,,,,,,,,,,,,,,4.0,D. Daniels,1630700.0,1.0
71,PT06M44.00S,2023-11-26T02:51:50.2Z,1,REGULAR,turnover,lost ball,[],1641718,,,1610612762,11,8,2023-11-26T02:51:56Z,700000,False,,,0,,K. George lost ball TURNOVER (3 TO),"[1641718, 1630700]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,3.0,,,Daniels,1630700.0,,,,,,,,
72,PT06M44.00S,2023-11-26T02:51:50.2Z,1,REGULAR,steal,,[],1630700,,,1610612740,11,8,2023-11-26T02:51:52Z,710000,False,,,0,,D. Daniels STEAL (3 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
73,PT06M42.00S,2023-11-26T02:51:54.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630700,92.06636005256242,49.26470588235294,1610612740,11,8,2023-11-26T02:54:23Z,720000,False,-4.0,22.0,1,right,MISS D. Daniels running DUNK - blocked,"[1630700, 1630209]",1610612740.0,NOP,running,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,2.24,Missed,,,,,,,Yurtseven,1630209.0,,,,,,,,,,
74,PT06M42.00S,2023-11-26T02:51:54.1Z,1,REGULAR,block,,[],1630209,,,1610612740,11,8,2023-11-26T02:51:56Z,730000,False,,,0,,O. Yurtseven BLOCK (1 BLK),[1630209],1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
75,PT06M40.00S,2023-11-26T02:51:56.1Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,11,8,2023-11-26T02:54:08Z,740000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT06M35.00S,2023-11-26T02:51:59.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628381,24.917871222076215,12.5,1610612762,11,8,2023-11-26T02:52:08Z,750000,False,188.0,182.0,1,left,MISS J. Collins 26' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,26.11,Missed,,,,,,,,,,,,,,,,,,
77,PT06M32.00S,2023-11-26T02:52:03.6Z,1,REGULAR,rebound,offensive,[],1627739,,,1610612762,11,8,2023-11-26T02:52:03Z,760000,False,,,0,,K. Dunn REBOUND (Off:1 Def:2),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,,,76.0,3.0,2.0,1.0,,,,,,,,,,,,,,
78,PT06M32.00S,2023-11-26T02:52:03.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627739,5.590000152587891,50.0,1610612762,13,8,2023-11-26T02:52:03Z,770000,False,0.0,0.0,1,left,K. Dunn putback Layup (2 PTS),[1627739],1610612762.0,UTA,putback,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,,,,,2.0,,,
79,PT06M12.00S,2023-11-26T02:52:22.8Z,1,REGULAR,3pt,Jump Shot,[],1630230,69.20170827858082,69.36274509803921,1610612740,13,8,2023-11-26T02:52:27Z,780000,False,97.0,237.0,1,right,MISS N. Marshall 25' 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,,,,,,,,,,,,,,,,,
80,PT06M10.00S,2023-11-26T02:52:24.8Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,13,8,2023-11-26T02:52:27Z,790000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,,,
81,PT06M05.00S,2023-11-26T02:52:30.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628381,7.178055190538765,46.81372549019608,1610612762,15,8,2023-11-26T02:52:35Z,800000,False,16.0,15.0,1,left,J. Collins DUNK (4 PTS) (K. George 3 AST),"[1628381, 1641718]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,2.19,Made,,,,,,,,,,,,,,,4.0,K. George,1641718.0,3.0
