actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
62,PT06M43.00S,2025-12-28T01:18:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641730,82.07950065703022,40.44117647058824,1610612751,13,13,2025-12-28T01:18:43Z,600000,False,-48.0,116.0,1,right,N. Clowney 12' driving floating Jump Shot (2 PTS) (M. Porter Jr. 2 AST),"[1641730, 1629008]",1610612751.0,BKN,driving floating,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Center,12.55,Made,,,,,2.0,,,,,,,M. Porter Jr.,1629008.0,2.0,,,,
64,PT06M34.00S,2025-12-28T01:18:46.4Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612750,13,13,2025-12-28T01:18:53Z,620000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1629611]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,,,,,,,,,,Mann,1629611.0
65,PT06M34.00S,2025-12-28T01:18:46.4Z,1,REGULAR,steal,,[],1629611,,,1610612751,13,13,2025-12-28T01:18:48Z,630000,False,,,0,,T. Mann STEAL (1 STL),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
66,PT06M28.00S,2025-12-28T01:18:52.1Z,1,REGULAR,turnover,bad pass,[],1629611,,,1610612751,13,13,2025-12-28T01:18:56Z,640000,False,,,0,,T. Mann bad pass TURNOVER (1 TO),"[1629611, 203944]",1610612751.0,BKN,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,,,Randle,203944.0
67,PT06M28.00S,2025-12-28T01:18:52.1Z,1,REGULAR,steal,,[],203944,,,1610612750,13,13,2025-12-28T01:18:53Z,650000,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M24.00S,2025-12-28T01:18:56.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630183,7.046649145860711,49.26470588235294,1610612750,15,13,2025-12-28T01:19:00Z,660000,False,4.0,14.0,1,left,J. McDaniels running DUNK (4 PTS) (J. Randle 3 AST),"[1630183, 203944]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.42,Made,,,,,4.0,,,,,,,J. Randle,203944.0,3.0,,,,
70,PT06M00.00S,2025-12-28T01:19:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,91.93495400788436,45.34313725490196,1610612751,15,15,2025-12-28T01:25:20Z,680000,False,-23.0,23.0,1,right,N. Claxton driving finger roll Layup (4 PTS),[1629651],1610612751.0,BKN,driving finger roll,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.3,Made,,,,,4.0,,,,,,,,,,,,,
71,PT05M40.00S,2025-12-28T01:19:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,7.178055190538765,48.529411764705884,1610612750,15,15,2025-12-28T01:25:59Z,690000,False,7.0,15.0,1,left,MISS A. Edwards driving floating bank Shot,[1630162],1610612750.0,MIN,driving floating bank,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.67,Missed,,,,,,,,,,,,,,,,,,
72,PT05M40.00S,2025-12-28T01:19:40.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,15,15,2025-12-28T01:19:46Z,700000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,71.0,,,,,,,,,,,,,,,,,
73,PT05M40.00S,2025-12-28T01:19:47.0Z,1,REGULAR,foul,personal,[],203497,,,1610612751,15,15,2025-12-28T01:19:58Z,710000,False,,,0,,R. Gobert loose ball personal FOUL (1 PF),"[203497, 1629651]",1610612750.0,MIN,loose ball,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,,1.0,0.0,Claxton,1629651.0,,,,,,,
