actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
29,PT09M46.00S,2026-01-07T01:16:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,10.463206307490145,60.29411764705882,1610612750,6,10,2026-01-07T01:16:11Z,290000,False,-51.0,46.0,1,left,MISS J. McDaniels 6' turnaround fadeaway Shot,[1630183],1610612750.0,MIN,turnaround fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,6.9,Missed,,,,,,,,,,,,,,,,,,
30,PT09M45.00S,2026-01-07T01:16:08.7Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,6,10,2026-01-07T01:16:11Z,300000,False,,,0,,K. Ware REBOUND (Off:1 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,29.0,3.0,2.0,1.0,,,,,,,,,,,,
31,PT09M36.00S,2026-01-07T01:16:19.0Z,1,REGULAR,3pt,Jump Shot,[],203952,69.07030223390277,67.40196078431373,1610612748,6,13,2026-01-07T01:16:23Z,310000,False,87.0,238.0,1,right,A. Wiggins 25' 3PT  (3 PTS) (D. Mitchell 2 AST),"[203952, 1630558]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,25.36,Made,3.0,,,,,,D. Mitchell,1630558.0,2.0,,,,,,,,,
33,PT09M20.00S,2026-01-07T01:16:34.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,5.995400788436268,50.245098039215684,1610612750,8,13,2026-01-07T01:16:44Z,330000,False,-1.0,4.0,1,left,R. Gobert DUNK (2 PTS) (J. Randle 1 AST),"[203497, 203944]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.41,Made,2.0,,,,,,J. Randle,203944.0,1.0,,,,,,,,,
35,PT09M03.00S,2026-01-07T01:16:51.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,93.24901445466492,50.49019607843137,1610612748,8,15,2026-01-07T01:17:24Z,350000,False,2.0,11.0,1,right,K. Ware DUNK (2 PTS) (B. Adebayo 2 AST),"[1642276, 1628389]",1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,1.13,Made,2.0,,,,,,B. Adebayo,1628389.0,2.0,,,,,,,,,
36,PT08M52.00S,2026-01-07T01:17:07.3Z,1,REGULAR,3pt,Jump Shot,[],203944,26.363337713534822,19.11764705882353,1610612750,8,15,2026-01-07T01:18:44Z,360000,False,154.0,195.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2026-01-07T01:17:09.3Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,8,15,2026-01-07T01:18:44Z,370000,False,,,0,,K. Ware REBOUND (Off:1 Def:3),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,,,36.0,4.0,3.0,1.0,,,,,,,,,,,,
38,PT08M41.00S,2026-01-07T01:17:13.3Z,1,REGULAR,3pt,Jump Shot,[],1630558,69.20170827858082,33.088235294117645,1610612748,8,15,2026-01-07T01:17:17Z,380000,False,-85.0,237.0,1,right,MISS D. Mitchell 25' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
39,PT08M38.00S,2026-01-07T01:17:15.9Z,1,REGULAR,rebound,offensive,[],203952,,,1610612748,8,15,2026-01-07T01:17:15Z,390000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,38.0,1.0,0.0,1.0,,,,,,,,,,,,
40,PT08M38.00S,2026-01-07T01:17:16.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,92.32917214191852,49.01960784313725,1610612748,8,15,2026-01-07T01:19:46Z,400000,False,-5.0,20.0,1,right,MISS A. Wiggins putback Layup - blocked,"[203952, 1628978]",1610612748.0,MIA,putback,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,DiVincenzo,1628978.0,,
41,PT08M38.00S,2026-01-07T01:17:16.9Z,1,REGULAR,block,,[],1628978,,,1610612748,8,15,2026-01-07T01:17:48Z,410000,False,,,0,,D. DiVincenzo BLOCK (1 BLK),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M38.00S,2026-01-07T01:17:16.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,8,15,2026-01-07T01:17:20Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,40.0,,,,,,,,,,,,,,,
45,PT08M22.00S,2026-01-07T01:17:42.9Z,1,REGULAR,2pt,Jump Shot,[],203944,21.76412614980289,58.08823529411765,1610612750,8,15,2026-01-07T01:17:46Z,440000,False,-40.0,152.0,1,left,MISS J. Randle 15' pullup Shot,[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,15.74,Missed,,,,,,,,,,,,,,,,,,
46,PT08M17.00S,2026-01-07T01:17:47.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,8,15,2026-01-07T01:17:46Z,450000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,
47,PT08M13.00S,2026-01-07T01:17:52.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626181,67.62483574244416,55.392156862745104,1610612748,8,15,2026-01-07T01:20:50Z,460000,False,27.0,252.0,1,right,MISS N. Powell 25' running pullup 3PT,[1626181],1610612748.0,MIA,running pullup,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,25.32,Missed,,,,,,,,,,,,,,,,,,
48,PT08M07.00S,2026-01-07T01:17:58.3Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,8,15,2026-01-07T01:18:24Z,470000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,47.0,3.0,2.0,1.0,,,,,,,,,,,,
49,PT08M04.00S,2026-01-07T01:18:00.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630558,72.22404730617609,22.794117647058822,1610612748,8,15,2026-01-07T01:18:04Z,480000,False,-136.0,209.0,1,right,MISS D. Mitchell 24' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
50,PT08M01.00S,2026-01-07T01:18:03.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,8,15,2026-01-07T01:18:04Z,490000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,
51,PT07M53.00S,2026-01-07T01:18:11.5Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,8,15,2026-01-07T01:18:14Z,500000,False,,,0,,A. Edwards lost ball TURNOVER (2 TO),"[1630162, 203952]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,2.0,,,Wiggins,203952.0
52,PT07M53.00S,2026-01-07T01:18:11.5Z,1,REGULAR,steal,,[],203952,,,1610612748,8,15,2026-01-07T01:18:13Z,510000,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
53,PT07M41.00S,2026-01-07T01:18:23.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1642276,88.12417871222075,48.77450980392157,1610612748,8,15,2026-01-07T01:22:49Z,520000,False,-6.0,59.0,1,right,MISS K. Ware driving Hook,[1642276],1610612748.0,MIA,driving,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,5.94,Missed,,,,,,,,,,,,,,,,,,
54,PT07M41.00S,2026-01-07T01:18:23.8Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,8,15,2026-01-07T01:18:27Z,530000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,
56,PT07M29.00S,2026-01-07T01:18:50.8Z,1,REGULAR,3pt,Jump Shot,[],1628978,28.728646517739815,18.137254901960784,1610612750,8,15,2026-01-07T01:18:55Z,550000,False,159.0,218.0,1,left,MISS D. DiVincenzo 26' pullup 3PT,[1628978],1610612750.0,MIN,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,26.96,Missed,,,,,,,,,,,,,,,,,,
57,PT07M27.00S,2026-01-07T01:18:52.8Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,8,15,2026-01-07T01:18:55Z,560000,False,,,0,,K. Ware REBOUND (Off:1 Def:4),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,,,56.0,5.0,4.0,1.0,,,,,,,,,,,,
58,PT07M19.00S,2026-01-07T01:19:02.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,93.64323258869908,50.73529411764706,1610612748,8,17,2026-01-07T01:19:06Z,570000,False,4.0,7.0,1,right,K. Ware alley-oop DUNK (4 PTS) (N. Powell 1 AST),"[1642276, 1626181]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,0.82,Made,4.0,,,,,,N. Powell,1626181.0,1.0,,,,,,,,,
60,PT07M04.00S,2026-01-07T01:19:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,10.726018396846255,45.588235294117645,1610612750,10,17,2026-01-07T01:19:20Z,590000,False,22.0,48.0,1,left,J. Randle driving floating bank Jump Shot (2 PTS),[203944],1610612750.0,MIN,driving floating bank,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,5.31,Made,2.0,,,,,,,,,,,,,,,,,
61,PT06M49.00S,2026-01-07T01:19:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,91.40932982917214,46.32352941176471,1610612748,10,19,2026-01-07T01:19:37Z,600000,False,-18.0,28.0,1,right,B. Adebayo driving finger roll Layup (4 PTS),[1628389],1610612748.0,MIA,driving finger roll,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.38,Made,4.0,,,,,,,,,,,,,,,,,
62,PT06M30.00S,2026-01-07T01:19:55.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,11.957950065703022,52.63480392156863,1610612750,12,19,2026-01-07T01:24:15Z,610000,False,-13.0,60.0,1,left,J. Randle 6' driving floating Jump Shot (4 PTS),[203944],1610612750.0,MIN,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,6.13,Made,4.0,,,,,,,,,,,,,,,,,
63,PT06M13.00S,2026-01-07T01:20:07.9Z,1,REGULAR,2pt,Jump Shot,[],1630558,75.64060446780552,49.01960784313725,1610612748,12,19,2026-01-07T01:20:11Z,620000,False,-5.0,176.0,1,right,MISS D. Mitchell 17' pullup Shot,[1630558],1610612748.0,MIA,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Center,17.66,Missed,,,,,,,,,,,,,,,,,,
64,PT06M10.00S,2026-01-07T01:20:10.9Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,12,19,2026-01-07T01:20:11Z,630000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,
65,PT06M00.00S,2026-01-07T01:20:19.9Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.831143232588698,64.4607843137255,1610612750,12,19,2026-01-07T01:20:23Z,640000,False,-72.0,237.0,1,left,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.81,Missed,,,,,,,,,,,,,,,,,,
66,PT05M57.00S,2026-01-07T01:20:22.9Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,12,19,2026-01-07T01:20:23Z,650000,False,,,0,,K. Ware REBOUND (Off:1 Def:5),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,,,65.0,6.0,5.0,1.0,,,,,,,,,,,,
67,PT05M48.00S,2026-01-07T01:20:32.5Z,1,REGULAR,2pt,Jump Shot,[],203952,85.89027595269383,84.06862745098039,1610612748,12,19,2026-01-07T01:20:37Z,660000,False,170.0,80.0,1,right,MISS A. Wiggins 18' step back Shot,[203952],1610612748.0,MIA,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right,18.82,Missed,,,,,,,,,,,,,,,,,,
68,PT05M44.00S,2026-01-07T01:20:36.5Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,12,19,2026-01-07T01:20:37Z,670000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,
69,PT05M33.00S,2026-01-07T01:20:49.2Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612750,12,19,2026-01-07T01:21:05Z,680000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Edwards 2 FT),"[1642276, 1630162]",1610612748.0,MIA,shooting,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,1162.0,,,,,,,,1.0,0.0,Edwards,1630162.0,,,,,
71,PT05M33.00S,2026-01-07T01:21:04.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,12,19,2026-01-07T01:21:04Z,700000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M33.00S,2026-01-07T01:24:00.1Z,1,REGULAR,substitution,out,[],1628978,,,1610612750,12,19,2026-01-07T01:24:28Z,710000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M33.00S,2026-01-07T01:24:00.1Z,1,REGULAR,substitution,out,[],203944,,,1610612750,12,19,2026-01-07T01:24:28Z,720000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M33.00S,2026-01-07T01:24:00.1Z,1,REGULAR,substitution,out,[],203952,,,1610612750,12,19,2026-01-07T01:24:28Z,730000,False,,,0,,SUB out: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M33.00S,2026-01-07T01:24:00.1Z,1,REGULAR,substitution,out,[],1642276,,,1610612750,12,19,2026-01-07T01:24:28Z,740000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M33.00S,2026-01-07T01:24:00.1Z,1,REGULAR,substitution,in,[],1629675,,,1610612750,12,19,2026-01-07T01:24:28Z,750000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M33.00S,2026-01-07T01:24:00.1Z,1,REGULAR,substitution,in,[],201144,,,1610612750,12,19,2026-01-07T01:24:28Z,760000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M33.00S,2026-01-07T01:24:00.1Z,1,REGULAR,substitution,in,[],1631107,,,1610612750,12,19,2026-01-07T01:24:28Z,770000,False,,,0,,SUB in: N. Jović,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M33.00S,2026-01-07T01:24:00.1Z,1,REGULAR,substitution,in,[],1629639,,,1610612750,12,19,2026-01-07T01:24:28Z,780000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M33.00S,2026-01-07T01:24:43.3Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,13,19,2026-01-07T01:24:43Z,790000,False,,,0,,A. Edwards Free Throw 1 of 2 (7 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
81,PT05M33.00S,2026-01-07T01:24:56.8Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,14,19,2026-01-07T01:24:56Z,800000,False,,,0,,A. Edwards Free Throw 2 of 2 (8 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
82,PT05M16.00S,2026-01-07T01:25:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,81.2910643889619,51.9607843137255,1610612748,14,19,2026-01-07T01:25:20Z,810000,False,10.0,123.0,1,right,MISS B. Adebayo 12' step back Shot,[1628389],1610612748.0,MIA,step back,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.38,Missed,,,,,,,,,,,,,,,,,,
