actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
29,PT09M53.00S,2025-11-20T01:13:38.0Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612764,6,2,2025-11-20T01:13:42Z,290000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Bagley III 2 FT),"[203497, 1628963]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,2004.0,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,0.0,Bagley III,1628963.0,,,,,,,,,
31,PT09M53.00S,2025-11-20T01:14:04.3Z,1,REGULAR,freethrow,1 of 2,[],1628963,,,1610612764,6,2,2025-11-20T01:14:04Z,310000,False,,,0,,MISS M. Bagley III Free Throw 1 of 2,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
32,PT09M53.00S,2025-11-20T01:14:04.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,6,2,2025-11-20T01:14:04Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,
33,PT09M53.00S,2025-11-20T01:14:25.8Z,1,REGULAR,freethrow,2 of 2,[],1628963,,,1610612764,6,3,2025-11-20T01:14:25Z,330000,False,,,0,,M. Bagley III Free Throw 2 of 2 (1 PTS),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
34,PT09M41.00S,2025-11-20T01:14:40.4Z,1,REGULAR,3pt,Jump Shot,[],201144,6.521024967148489,95.34313725490196,1610612750,6,3,2025-11-20T01:14:47Z,340000,False,-227.0,9.0,1,left,MISS M. Conley 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,Left Corner 3,24+ Left,22.69,Missed,,,,,,,,,,,,,,,,,
35,PT09M36.00S,2025-11-20T01:14:45.4Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,6,3,2025-11-20T01:17:09Z,350000,False,,,0,,A. Edwards REBOUND (Off:1 Def:0),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Left Corner 3,24+ Left,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,,
36,PT09M32.00S,2025-11-20T01:14:49.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630162,13.87976346911958,4.901960784313726,1610612750,6,3,2025-11-20T01:14:55Z,360000,False,225.0,78.0,1,left,MISS A. Edwards step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,,Right Corner 3,24+ Right,23.86,Missed,,,,,,,,,,,,,,,,,
37,PT09M28.00S,2025-11-20T01:14:53.9Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,6,3,2025-11-20T01:14:55Z,370000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,Right Corner 3,24+ Right,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,
38,PT09M16.00S,2025-11-20T01:15:05.8Z,1,REGULAR,3pt,Jump Shot,[],1641731,82.21090670170827,4.901960784313726,1610612764,6,3,2025-11-20T01:15:42Z,380000,False,-225.0,115.0,1,right,MISS B. Coulibaly 25' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,Above the Break 3,24+ Left Center,25.3,Missed,,,,,,,,,,,,,,,,,
39,PT09M14.00S,2025-11-20T01:15:07.8Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,6,3,2025-11-20T01:15:42Z,390000,False,,,0,,M. Bagley III REBOUND (Off:2 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,Above the Break 3,24+ Left Center,,,38.0,3.0,1.0,2.0,,,,,,,,,,,,,
40,PT09M14.00S,2025-11-20T01:15:10.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628963,94.40999984741211,50.0,1610612764,6,5,2025-11-20T01:15:46Z,400000,False,0.0,0.0,1,right,M. Bagley III tip Layup (3 PTS),[1628963],1610612764.0,WAS,tip,,,Bagley III,M. Bagley III,,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,3.0,,,,,,,,
41,PT09M02.00S,2025-11-20T01:15:20.4Z,1,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612750,6,5,2025-11-20T01:15:30Z,410000,False,,,0,,B. Coulibaly shooting personal FOUL (2 PF) (Edwards 2 FT),"[1641731, 1630162]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,2004.0,Restricted Area,0-8 Center,,,,,,,2.0,0.0,Edwards,1630162.0,,,,,,,,,
43,PT09M02.00S,2025-11-20T01:15:45.0Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,7,5,2025-11-20T01:15:45Z,430000,False,,,0,,A. Edwards Free Throw 1 of 2 (4 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,
44,PT09M02.00S,2025-11-20T01:16:00.1Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,8,5,2025-11-20T01:16:00Z,440000,False,,,0,,A. Edwards Free Throw 2 of 2 (5 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,
45,PT08M49.00S,2025-11-20T01:16:16.5Z,1,REGULAR,3pt,Jump Shot,[],1641731,87.59855453350855,96.81372549019608,1610612764,8,8,2025-11-20T01:16:24Z,450000,False,234.0,64.0,1,right,B. Coulibaly 24' 3PT  (3 PTS) (M. Bagley III 1 AST),"[1641731, 1628963]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,Right Corner 3,24+ Right,24.27,Made,,,,,,,,,3.0,M. Bagley III,1628963.0,1.0,,,,,
47,PT08M30.00S,2025-11-20T01:16:34.6Z,1,REGULAR,foul,personal,['2freethrow'],1628963,,,1610612750,8,8,2025-11-20T01:16:41Z,470000,False,,,0,,M. Bagley III shooting personal FOUL (1 PF) (Randle 2 FT),"[1628963, 203944]",1610612764.0,WAS,shooting,,,Bagley III,M. Bagley III,,,,,202026.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Randle,203944.0,,,,,,,,,
49,PT08M30.00S,2025-11-20T01:17:01.8Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612750,9,8,2025-11-20T01:17:01Z,490000,False,,,0,,J. Randle Free Throw 1 of 2 (1 PTS),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
50,PT08M30.00S,2025-11-20T01:17:19.0Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612750,10,8,2025-11-20T01:17:19Z,500000,False,,,0,,J. Randle Free Throw 2 of 2 (2 PTS),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,
51,PT08M18.00S,2025-11-20T01:17:32.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628963,92.85479632063075,49.50980392156863,1610612764,10,10,2025-11-20T01:17:35Z,510000,False,-2.0,15.0,1,right,M. Bagley III cutting DUNK (5 PTS) (K. Middleton 1 AST),"[1628963, 203114]",1610612764.0,WAS,cutting,,,Bagley III,M. Bagley III,,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,,,,,5.0,K. Middleton,203114.0,1.0,,,,,
53,PT08M01.00S,2025-11-20T01:17:49.1Z,1,REGULAR,3pt,Jump Shot,[],203944,31.61957950065703,41.17647058823529,1610612750,13,10,2025-11-20T01:17:52Z,530000,False,44.0,245.0,1,left,J. Randle 24' 3PT  (5 PTS) (D. DiVincenzo 2 AST),"[203944, 1628978]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,,Above the Break 3,24+ Center,24.86,Made,,,,,,,,,5.0,D. DiVincenzo,1628978.0,2.0,,,,,
55,PT07M44.00S,2025-11-20T01:18:06.6Z,1,REGULAR,2pt,Jump Shot,[],203468,90.62089356110381,74.26470588235294,1610612764,13,10,2025-11-20T01:18:10Z,550000,False,121.0,36.0,1,right,MISS C. McCollum 12' step back bank Shot,[203468],1610612764.0,WAS,step back bank,,,McCollum,C. McCollum,,,,,,Mid-Range,8-16 Right,12.64,Missed,,,,,,,,,,,,,,,,,
56,PT07M42.00S,2025-11-20T01:18:08.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,13,10,2025-11-20T01:18:10Z,560000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,Mid-Range,8-16 Right,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,
57,PT07M31.00S,2025-11-20T01:18:20.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,29.77989487516426,31.61764705882353,1610612750,13,10,2025-11-20T01:18:25Z,570000,False,92.0,227.0,1,left,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,,Above the Break 3,24+ Right Center,24.53,Missed,,,,,,,,,,,,,,,,,
58,PT07M27.00S,2025-11-20T01:18:24.2Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,13,10,2025-11-20T01:18:25Z,580000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:2),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,Above the Break 3,24+ Right Center,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,
59,PT07M24.00S,2025-11-20T01:18:28.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642273,74.72076215505913,14.460784313725492,1610612764,13,13,2025-11-20T01:19:03Z,590000,False,-178.0,185.0,1,right,K. George 25' 3PT running (5 PTS) (B. Coulibaly 2 AST),"[1642273, 1641731]",1610612764.0,WAS,running,,,George,K. George,,,,,,Above the Break 3,24+ Left Center,25.66,Made,,,,,,,,,5.0,B. Coulibaly,1641731.0,2.0,,,,,
61,PT07M02.00S,2025-11-20T01:18:48.3Z,1,REGULAR,3pt,Jump Shot,[],1628978,7.046649145860711,4.411764705882353,1610612750,13,13,2025-11-20T01:18:52Z,610000,False,228.0,14.0,1,left,MISS D. DiVincenzo 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,Right Corner 3,24+ Right,22.83,Missed,,,,,,,,,,,,,,,,,
62,PT06M59.00S,2025-11-20T01:18:51.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,13,13,2025-11-20T01:18:52Z,620000,False,,,0,,M. Bagley III REBOUND (Off:2 Def:2),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,Right Corner 3,24+ Right,,,61.0,4.0,2.0,2.0,,,,,,,,,,,,,
63,PT06M51.00S,2025-11-20T01:19:00.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641731,92.9862023653088,50.245098039215684,1610612764,13,15,2025-11-20T01:19:05Z,630000,False,1.0,13.0,1,right,B. Coulibaly driving DUNK (5 PTS),[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,,,5.0,,,,,,,,
64,PT06M29.00S,2025-11-20T01:19:21.3Z,1,REGULAR,3pt,Jump Shot,[],203944,30.962549277266753,60.049019607843135,1610612750,13,15,2025-11-20T01:19:27Z,640000,False,-50.0,239.0,1,left,MISS J. Randle 24' step back 3PT,[203944],1610612750.0,MIN,step back,,,Randle,J. Randle,,,,,,Above the Break 3,24+ Center,24.37,Missed,,,,,,,,,,,,,,,,,
65,PT06M25.00S,2025-11-20T01:19:25.3Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,13,15,2025-11-20T01:19:27Z,650000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,Above the Break 3,24+ Center,,,64.0,2.0,1.0,1.0,,,,,,,,,,,,,
66,PT06M21.00S,2025-11-20T01:19:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630162,6.1268068331143235,50.73529411764706,1610612750,15,15,2025-11-20T01:19:32Z,660000,False,-4.0,5.0,1,left,A. Edwards driving Layup (7 PTS) (R. Gobert 1 AST),"[1630162, 203497]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,,,,,7.0,R. Gobert,203497.0,1.0,,,,,
68,PT06M12.00S,2025-11-20T01:19:37.9Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612764,15,15,2025-11-20T01:19:41Z,680000,False,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 1630162]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Edwards,1630162.0,,
69,PT06M12.00S,2025-11-20T01:19:37.9Z,1,REGULAR,steal,,[],1630162,,,1610612750,15,15,2025-11-20T01:20:21Z,690000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
70,PT06M10.00S,2025-11-20T01:19:41.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630162,7.178055190538765,50.0,1610612750,17,15,2025-11-20T01:19:48Z,700000,False,0.0,15.0,1,left,A. Edwards running alley-oop DUNK (9 PTS) (D. DiVincenzo 3 AST),"[1630162, 1628978]",1610612750.0,MIN,running alley-oop,,,Edwards,A. Edwards,,,,,,Restricted Area,0-8 Center,1.5,Made,,,,,,,,,9.0,D. DiVincenzo,1628978.0,3.0,,,,,
72,PT06M10.00S,2025-11-20T01:19:46.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,17,15,2025-11-20T01:19:46Z,720000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M10.00S,2025-11-20T01:22:43.1Z,1,REGULAR,substitution,out,[],203114,,,1610612764,17,15,2025-11-20T01:22:52Z,730000,False,,,0,,SUB out: K. Middleton,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M10.00S,2025-11-20T01:22:43.1Z,1,REGULAR,substitution,out,[],203468,,,1610612764,17,15,2025-11-20T01:22:52Z,740000,False,,,0,,SUB out: C. McCollum,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M10.00S,2025-11-20T01:22:43.1Z,1,REGULAR,substitution,in,[],1641715,,,1610612764,17,15,2025-11-20T01:22:52Z,750000,False,,,0,,SUB in: C. Whitmore,[1641715],1610612764.0,WAS,,,,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M10.00S,2025-11-20T01:22:43.1Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,17,15,2025-11-20T01:22:52Z,760000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M56.00S,2025-11-20T01:23:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642273,85.10183968462549,49.01960784313725,1610612764,17,15,2025-11-20T01:23:11Z,770000,False,-5.0,88.0,1,right,MISS K. George 8' driving floating Shot - blocked,"[1642273, 1630162]",1610612764.0,WAS,driving floating,,,George,K. George,,,,,,In The Paint (Non-RA),8-16 Center,8.76,Missed,,,,,,,,,,,,,,,,Edwards,1630162.0
87,PT05M56.00S,2025-11-20T01:23:04.4Z,1,REGULAR,block,,[],1630162,,,1610612764,17,15,2025-11-20T01:23:39Z,775000,False,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
79,PT05M53.00S,2025-11-20T01:23:07.4Z,1,REGULAR,rebound,offensive,[],1641715,,,1610612764,17,15,2025-11-20T01:23:11Z,780000,False,,,0,,C. Whitmore REBOUND (Off:1 Def:0),[1641715],1610612764.0,WAS,,,,Whitmore,C. Whitmore,,,,,,In The Paint (Non-RA),8-16 Center,,,78.0,1.0,0.0,1.0,,,,,,,,,,,,,
80,PT05M53.00S,2025-11-20T01:23:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641715,93.38042049934296,50.73529411764706,1610612764,17,15,2025-11-20T01:23:16Z,790000,False,4.0,10.0,1,right,MISS C. Whitmore putback Layup,[1641715],1610612764.0,WAS,putback,,,Whitmore,C. Whitmore,,,,,,Restricted Area,0-8 Center,1.04,Missed,,,,,,,,,,,,,,,,,
81,PT05M50.00S,2025-11-20T01:23:10.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,17,15,2025-11-20T01:23:16Z,800000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,Restricted Area,0-8 Center,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,
82,PT05M35.00S,2025-11-20T01:23:25.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,15.719448094612352,94.11764705882352,1610612750,17,15,2025-11-20T01:23:30Z,810000,False,-221.0,95.0,1,left,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,,Above the Break 3,24+ Left Center,24.03,Missed,,,,,,,,,,,,,,,,,
83,PT05M33.00S,2025-11-20T01:23:27.2Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,17,15,2025-11-20T01:23:30Z,820000,False,,,0,,R. Gobert REBOUND (Off:2 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,Above the Break 3,24+ Left Center,,,82.0,3.0,1.0,2.0,,,,,,,,,,,,,
84,PT05M30.00S,2025-11-20T01:23:30.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,30.436925098554536,22.794117647058822,1610612750,17,15,2025-11-20T01:23:34Z,830000,False,136.0,234.0,1,left,MISS J. Randle 27' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,Above the Break 3,24+ Right Center,27.03,Missed,,,,,,,,,,,,,,,,,
85,PT05M27.00S,2025-11-20T01:23:33.0Z,1,REGULAR,rebound,defensive,[],1641715,,,1610612764,17,15,2025-11-20T01:23:34Z,840000,False,,,0,,C. Whitmore REBOUND (Off:1 Def:1),[1641715],1610612764.0,WAS,,,,Whitmore,C. Whitmore,,,,,,Above the Break 3,24+ Right Center,,,84.0,2.0,1.0,1.0,,,,,,,,,,,,,
