actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
19,PT10M39.00S,2025-01-23T00:43:11.0Z,1,REGULAR,turnover,out-of-bounds,[],203501,,,1610612765,4,4,2025-01-23T00:43:16Z,190000,False,,,0,,T. Hardaway Jr. bad pass out-of-bounds TURNOVER (1 TO),[203501],1610612765.0,DET,bad pass,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Left,1162.0,,,,,,,,,,,,1.0,,,,,,,
20,PT10M27.00S,2025-01-23T00:43:29.6Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,4,4,2025-01-23T00:43:35Z,200000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 203501]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Hardaway Jr.,203501.0,,,,,
21,PT10M27.00S,2025-01-23T00:43:29.6Z,1,REGULAR,steal,,[],203501,,,1610612765,4,4,2025-01-23T00:43:31Z,210000,False,,,0,,T. Hardaway Jr. STEAL (1 STL),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M20.00S,2025-01-23T00:43:36.5Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,4,4,2025-01-23T00:43:41Z,220000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1630552]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1.0,Johnson,1630552.0,,,,,
23,PT10M20.00S,2025-01-23T00:43:36.5Z,1,REGULAR,steal,,[],1630552,,,1610612737,4,4,2025-01-23T00:43:38Z,230000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2025-01-23T00:43:40.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629027,75.24638633377135,86.76470588235294,1610612737,4,4,2025-01-23T00:43:48Z,240000,False,184.0,180.0,1,right,MISS T. Young 25' running pullup 3PT,[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,25.74,Missed,,,,,,,,,,,,,
25,PT10M13.00S,2025-01-23T00:43:43.2Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,4,4,2025-01-23T00:43:43Z,250000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,24.0,,,,,,,1.0,0.0,1.0,,
26,PT10M11.00S,2025-01-23T00:43:45.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629027,84.57621550591328,50.49019607843137,1610612737,6,4,2025-01-23T00:43:52Z,260000,False,2.0,92.0,1,right,T. Young 9' floating Jump Shot (2 PTS) (O. Okongwu 1 AST),"[1629027, 1630168]",1610612737.0,ATL,floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.25,Made,2.0,,O. Okongwu,1630168.0,1.0,,,,,,,,
28,PT10M05.00S,2025-01-23T00:43:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,5.732588699080158,48.529411764705884,1610612765,6,4,2025-01-23T00:46:13Z,280000,False,7.0,1.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 1630168]",1610612765.0,DET,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,0.75,Missed,,,,,,,,,,,,Okongwu,1630168.0
29,PT10M05.00S,2025-01-23T00:43:53.1Z,1,REGULAR,block,,[],1630168,,,1610612765,6,4,2025-01-23T00:43:59Z,290000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT10M01.00S,2025-01-23T00:43:57.1Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,6,4,2025-01-23T00:46:13Z,300000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,28.0,,,,,,,2.0,1.0,1.0,,
31,PT09M53.00S,2025-01-23T00:44:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,92.32917214191852,49.754901960784316,1610612737,6,4,2025-01-23T00:44:11Z,310000,False,-1.0,20.0,1,right,MISS D. Daniels Layup - blocked,"[1630700, 1630595]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,1.96,Missed,,,,,,,,,,,,Cunningham,1630595.0
32,PT09M53.00S,2025-01-23T00:44:04.0Z,1,REGULAR,block,,[],1630595,,,1610612737,6,4,2025-01-23T00:44:09Z,320000,False,,,0,,C. Cunningham BLOCK (1 BLK),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M52.00S,2025-01-23T00:44:05.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,6,4,2025-01-23T00:44:11Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,31.0,,,,,,,,,,,
35,PT09M50.00S,2025-01-23T00:44:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630700,92.85479632063075,49.01960784313725,1610612737,6,4,2025-01-23T00:44:31Z,350000,False,-5.0,15.0,1,right,MISS D. Daniels cutting Layup,[1630700],1610612737.0,ATL,cutting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,1.55,Missed,,,,,,,,,,,,,
36,PT09M47.00S,2025-01-23T00:44:28.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,6,4,2025-01-23T00:44:31Z,360000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,35.0,,,,,,,1.0,1.0,0.0,,
37,PT09M43.00S,2025-01-23T00:44:32.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202699,5.601182654402102,47.794117647058826,1610612765,6,6,2025-01-23T00:48:11Z,370000,False,11.0,0.0,1,left,T. Harris running Layup (2 PTS) (J. Duren 1 AST),"[202699, 1631105]",1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,1.1,Made,2.0,,J. Duren,1631105.0,1.0,,,,,,,,
39,PT09M30.00S,2025-01-23T00:44:45.2Z,1,REGULAR,3pt,Jump Shot,[],1630249,77.4802890932983,89.4607843137255,1610612737,6,6,2025-01-23T00:44:50Z,390000,False,197.0,159.0,1,right,MISS V. Krejčí 25' 3PT,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Right Center,,,,,,25.35,Missed,,,,,,,,,,,,,
40,PT09M27.00S,2025-01-23T00:44:48.2Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,6,6,2025-01-23T00:44:50Z,400000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,,,,,,,39.0,,,,,,,1.0,1.0,0.0,,
41,PT09M22.00S,2025-01-23T00:44:53.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,30.699737187910642,61.51960784313726,1610612765,6,9,2025-01-23T00:45:00Z,410000,False,-58.0,236.0,1,left,C. Cunningham 24' 3PT running pullup (5 PTS),[1630595],1610612765.0,DET,running pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,24.3,Made,5.0,,,,,,,,,,,,
42,PT09M07.00S,2025-01-23T00:45:10.5Z,1,REGULAR,turnover,traveling,[],1630168,,,1610612737,6,9,2025-01-23T00:45:15Z,420000,False,,,0,,O. Okongwu traveling TURNOVER (1 TO),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,203593.0,,,,,,,,,,,,1.0,,,,,,,
43,PT08M53.00S,2025-01-23T00:45:41.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631105,6.652431011826544,45.34313725490196,1610612765,6,11,2025-01-23T00:45:47Z,430000,False,23.0,10.0,1,left,J. Duren driving Layup (4 PTS),[1631105],1610612765.0,DET,driving,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,2.54,Made,4.0,,,,,,,,,,,,
44,PT08M41.00S,2025-01-23T00:45:54.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630552,92.32917214191852,50.0,1610612737,8,11,2025-01-23T00:46:10Z,440000,False,0.0,20.0,1,right,J. Johnson driving DUNK (2 PTS) (T. Young 1 AST),"[1630552, 1629027]",1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,1.96,Made,2.0,,T. Young,1629027.0,1.0,,,,,,,,
46,PT08M41.00S,2025-01-23T00:46:25.4Z,1,REGULAR,foul,personal,['1freethrow'],1631105,,,1610612737,8,11,2025-01-23T00:47:07Z,460000,False,,,0,,J. Duren shooting personal FOUL (2 PF) (Johnson 1 FT),"[1631105, 1630552]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1199.0,2.0,0.0,Johnson,1630552.0,,,,,,,,,,,,,,,
48,PT08M41.00S,2025-01-23T00:46:49.0Z,1,REGULAR,substitution,out,[],1631105,,,1610612737,8,11,2025-01-23T00:46:57Z,480000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M41.00S,2025-01-23T00:46:49.0Z,1,REGULAR,substitution,in,[],1630191,,,1610612737,8,11,2025-01-23T00:46:57Z,490000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M41.00S,2025-01-23T00:47:08.0Z,1,REGULAR,freethrow,1 of 1,[],1630552,,,1610612737,9,11,2025-01-23T00:47:08Z,500000,False,,,0,,J. Johnson Free Throw 1 of 1 (3 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
51,PT08M27.00S,2025-01-23T00:47:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,13.222733245729303,45.588235294117645,1610612765,9,13,2025-01-23T00:47:31Z,510000,False,22.0,72.0,1,left,C. Cunningham 7' driving floating Jump Shot (7 PTS),[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.51,Made,7.0,,,,,,,,,,,,
52,PT08M19.00S,2025-01-23T00:47:31.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,91.5407358738502,55.392156862745104,1610612737,11,13,2025-01-23T00:47:36Z,520000,False,27.0,27.0,1,right,D. Daniels driving floating bank Jump Shot (2 PTS),[1630700],1610612737.0,ATL,driving floating bank,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,3.82,Made,2.0,,,,,,,,,,,,
53,PT07M59.00S,2025-01-23T00:47:51.3Z,1,REGULAR,3pt,Jump Shot,[],1630595,31.35676741130092,44.6078431372549,1610612765,11,13,2025-01-23T00:47:57Z,530000,False,27.0,242.0,1,left,MISS C. Cunningham 24' step back 3PT,[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,24.38,Missed,,,,,,,,,,,,,
54,PT07M58.00S,2025-01-23T00:47:52.3Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,11,13,2025-01-23T00:53:56Z,540000,False,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Center,,,,,,,,,53.0,,,,,,,1.0,0.0,1.0,,
81,PT07M57.00S,2025-01-23T00:47:55.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630191,8.065045992115643,53.92156862745098,1610612765,11,13,2025-01-23T00:53:40Z,545000,False,-20.0,23.0,1,left,MISS I. Stewart tip Layup,[1630191],1610612765.0,DET,tip,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,3.04,Missed,,,,,,,,,,,,,
82,PT07M56.00S,2025-01-23T00:47:56.8Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,11,13,2025-01-23T00:53:40Z,547500,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,81.0,,,,,,,1.0,1.0,0.0,,
55,PT07M50.00S,2025-01-23T00:48:00.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630552,92.72339027595268,50.0,1610612737,13,13,2025-01-23T00:54:39Z,550000,False,0.0,16.0,1,right,J. Johnson running Layup (5 PTS) (D. Daniels 1 AST),"[1630552, 1630700]",1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,1.59,Made,5.0,,D. Daniels,1630700.0,1.0,,,,,,,,
57,PT07M39.00S,2025-01-23T00:48:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,19.92444152431012,42.8921568627451,1610612765,13,13,2025-01-23T00:48:16Z,570000,False,36.0,135.0,1,left,MISS T. Harris 13' pullup Shot,[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.94,Missed,,,,,,,,,,,,,
58,PT07M37.00S,2025-01-23T00:48:13.8Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,13,13,2025-01-23T00:48:16Z,580000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,57.0,,,,,,,3.0,2.0,1.0,,
59,PT07M28.00S,2025-01-23T00:48:22.7Z,1,REGULAR,2pt,Jump Shot,[],1630552,90.48948751642575,67.40196078431373,1610612737,13,13,2025-01-23T00:48:29Z,590000,False,87.0,37.0,1,right,MISS J. Johnson 9' turnaround bank Shot,[1630552],1610612737.0,ATL,turnaround bank,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,,,9.45,Missed,,,,,,,,,,,,,
60,PT07M24.00S,2025-01-23T00:48:26.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,13,13,2025-01-23T00:48:29Z,600000,False,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Right,,,,,,,,,59.0,,,,,,,2.0,1.0,1.0,,
61,PT07M13.00S,2025-01-23T00:48:38.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,5.469776609724048,50.245098039215684,1610612765,13,15,2025-01-23T00:48:43Z,610000,False,-1.0,-1.0,1,left,A. Thompson cutting DUNK (2 PTS) (I. Stewart 1 AST),"[1641709, 1630191]",1610612765.0,DET,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,0.16,Made,2.0,,I. Stewart,1630191.0,1.0,,,,,,,,
63,PT06M52.00S,2025-01-23T00:48:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,86.15308804204993,54.90196078431373,1610612737,13,15,2025-01-23T00:49:04Z,630000,False,25.0,78.0,1,right,MISS O. Okongwu 8' floating Shot,[1630168],1610612737.0,ATL,floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.15,Missed,,,,,,,,,,,,,
64,PT06M49.00S,2025-01-23T00:49:00.9Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,13,15,2025-01-23T00:49:04Z,640000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,63.0,,,,,,,1.0,0.0,1.0,,
65,PT06M49.00S,2025-01-23T00:49:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630700,94.40999984741211,50.0,1610612737,13,15,2025-01-23T00:49:01Z,650000,False,0.0,0.0,1,right,MISS D. Daniels tip Layup,[1630700],1610612737.0,ATL,tip,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,,,,0.0,Missed,,,,,,,,,,,,,
66,PT06M47.00S,2025-01-23T00:49:03.4Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,13,15,2025-01-23T00:49:03Z,660000,False,,,0,,D. Daniels REBOUND (Off:2 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,,,,,,,65.0,,,,,,,2.0,0.0,2.0,,
67,PT06M47.00S,2025-01-23T00:49:03.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630700,94.40999984741211,50.0,1610612737,15,15,2025-01-23T00:49:03Z,670000,False,0.0,0.0,1,right,D. Daniels tip Layup (4 PTS),[1630700],1610612737.0,ATL,tip,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,,,,0.0,Made,4.0,,,,,,,,,,,,
68,PT06M42.00S,2025-01-23T00:49:10.5Z,1,REGULAR,foul,personal,['2freethrow'],1630249,,,1610612765,15,15,2025-01-23T00:52:32Z,680000,False,,,0,,V. Krejčí shooting personal FOUL (2 PF) (Thompson 2 FT),"[1630249, 1641709]",1610612737.0,ATL,shooting,,,Krejčí,V. Krejčí,,,,,Restricted Area,0-8 Center,1199.0,2.0,0.0,Thompson,1641709.0,,,,,,,,,,,,,,,
70,PT06M42.00S,2025-01-23T00:49:22.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,15,15,2025-01-23T00:49:22Z,700000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M42.00S,2025-01-23T00:50:47.1Z,1,REGULAR,substitution,out,[],1630552,,,1610612765,15,15,2025-01-23T00:52:23Z,710000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M42.00S,2025-01-23T00:50:47.1Z,1,REGULAR,substitution,out,[],1630249,,,1610612765,15,15,2025-01-23T00:52:23Z,720000,False,,,0,,SUB out: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M42.00S,2025-01-23T00:50:47.1Z,1,REGULAR,substitution,in,[],1629631,,,1610612765,15,15,2025-01-23T00:52:23Z,730000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M42.00S,2025-01-23T00:50:47.1Z,1,REGULAR,substitution,in,[],203992,,,1610612765,15,15,2025-01-23T00:52:23Z,740000,False,,,0,,SUB in: B. Bogdanović,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M42.00S,2025-01-23T00:52:36.0Z,1,REGULAR,freethrow,1 of 2,[],1641709,,,1610612765,15,16,2025-01-23T00:52:36Z,750000,False,,,0,,A. Thompson Free Throw 1 of 2 (3 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
76,PT06M42.00S,2025-01-23T00:52:53.4Z,1,REGULAR,freethrow,2 of 2,[],1641709,,,1610612765,15,17,2025-01-23T00:52:53Z,760000,False,,,0,,A. Thompson Free Throw 2 of 2 (4 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
77,PT06M18.00S,2025-01-23T00:53:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203992,93.24901445466492,48.28431372549019,1610612737,15,17,2025-01-23T00:53:24Z,770000,False,-9.0,11.0,1,right,MISS B. Bogdanović driving finger roll Layup,[203992],1610612737.0,ATL,driving finger roll,,,Bogdanović,B. Bogdanović,,,,,Restricted Area,0-8 Center,,,,,,1.4,Missed,,,,,,,,,,,,,
78,PT06M15.00S,2025-01-23T00:53:22.3Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,15,17,2025-01-23T00:53:24Z,780000,False,,,0,,I. Stewart REBOUND (Off:1 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,,,77.0,,,,,,,3.0,2.0,1.0,,
79,PT06M08.00S,2025-01-23T00:53:29.9Z,1,REGULAR,3pt,Jump Shot,[],202699,27.54599211563732,24.264705882352942,1610612765,15,20,2025-01-23T00:53:34Z,790000,False,129.0,206.0,1,left,T. Harris 24' 3PT  (5 PTS) (C. Cunningham 2 AST),"[202699, 1630595]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,24.32,Made,5.0,,C. Cunningham,1630595.0,2.0,,,,,,,,
83,PT05M50.00S,2025-01-23T00:53:47.2Z,1,REGULAR,3pt,Jump Shot,[],1629027,68.01905387647832,22.30392156862745,1610612737,15,20,2025-01-23T00:57:03Z,810000,False,-138.0,248.0,1,right,MISS T. Young 28' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,28.41,Missed,,,,,,,,,,,,,
