actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M02.00S,2025-03-09T00:42:31.1Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,6,2,2025-03-09T00:42:33Z,190000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT09M58.00S,2025-03-09T00:42:35.6Z,1,REGULAR,turnover,lost ball,[],1631243,,,1610612737,6,2,2025-03-09T00:47:13Z,200000,False,,,0,,M. Gueye lost ball TURNOVER (1 TO),"[1631243, 1630174]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,Nesmith,1630174.0,,,,,,
21,PT09M58.00S,2025-03-09T00:42:35.6Z,1,REGULAR,steal,,[],1630174,,,1610612754,6,2,2025-03-09T00:42:41Z,210000,False,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M51.00S,2025-03-09T00:42:43.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629614,68.01905387647832,63.970588235294116,1610612754,6,5,2025-03-09T00:42:49Z,220000,False,70.0,248.0,1,right,A. Nembhard 25' 3PT  (3 PTS) (M. Turner 1 AST),"[1629614, 1626167]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,25.78,Made,3.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,
24,PT09M35.00S,2025-03-09T00:42:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,5.601182654402102,51.470588235294116,1610612737,8,5,2025-03-09T00:43:03Z,240000,False,-7.0,0.0,1,left,O. Okongwu cutting Layup (2 PTS) (T. Young 1 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,0.74,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,
26,PT09M30.00S,2025-03-09T00:43:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,92.32917214191852,50.245098039215684,1610612754,8,5,2025-03-09T00:45:44Z,260000,False,1.0,20.0,1,right,MISS A. Nembhard driving Layup - blocked,"[1629614, 1630168]",1610612754.0,IND,driving,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,1.96,Missed,,,,,,,,,,,Okongwu,1630168.0,,,,
27,PT09M30.00S,2025-03-09T00:43:05.6Z,1,REGULAR,block,,[],1630168,,,1610612754,8,5,2025-03-09T00:43:09Z,270000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M29.00S,2025-03-09T00:43:06.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,8,5,2025-03-09T00:43:18Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,26.0,,,,,,,,,,,
30,PT09M25.00S,2025-03-09T00:43:27.7Z,1,REGULAR,turnover,lost ball,[],1626167,,,1610612754,8,5,2025-03-09T00:43:33Z,300000,False,,,0,,M. Turner lost ball TURNOVER (1 TO),"[1626167, 1630700]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,Daniels,1630700.0,,,,,,
31,PT09M25.00S,2025-03-09T00:43:27.7Z,1,REGULAR,steal,,[],1630700,,,1610612737,8,5,2025-03-09T00:43:30Z,310000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M20.00S,2025-03-09T00:43:32.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631243,5.995400788436268,56.127450980392155,1610612737,10,5,2025-03-09T00:48:21Z,320000,False,-31.0,4.0,1,left,M. Gueye driving floating bank Jump Shot (2 PTS),[1631243],1610612737.0,ATL,driving floating bank,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,3.08,Made,2.0,,,,,,,,,,,,,,,
33,PT08M52.00S,2025-03-09T00:44:00.7Z,1,REGULAR,3pt,Jump Shot,[],1629614,91.80354796320631,4.166666666666666,1610612754,10,5,2025-03-09T00:44:05Z,330000,False,-229.0,25.0,1,right,MISS A. Nembhard 3PT,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Left Corner 3,24+ Left,,,23.05,Missed,,,,,,,,,,,,,,,,
34,PT08M48.00S,2025-03-09T00:44:04.7Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,10,5,2025-03-09T00:44:05Z,340000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Left Corner 3,24+ Left,,,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,
35,PT08M47.00S,2025-03-09T00:44:05.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,68.67608409986859,31.127450980392158,1610612754,10,5,2025-03-09T00:44:11Z,350000,False,-94.0,242.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,25.97,Missed,,,,,,,,,,,,,,,,
36,PT08M45.00S,2025-03-09T00:44:07.7Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,10,5,2025-03-09T00:44:11Z,360000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,
37,PT08M28.00S,2025-03-09T00:44:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,12.302890932982917,51.71568627450981,1610612737,12,5,2025-03-09T00:44:31Z,370000,False,-9.0,63.0,1,left,T. Young 6' driving floating Jump Shot (8 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,6.37,Made,8.0,,,,,,,,,,,,,,,
38,PT08M10.00S,2025-03-09T00:44:42.3Z,1,REGULAR,3pt,Jump Shot,[],1629614,72.35545335085413,83.33333333333334,1610612754,12,5,2025-03-09T00:44:47Z,380000,False,167.0,207.0,1,right,MISS A. Nembhard 26' 3PT,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,26.61,Missed,,,,,,,,,,,,,,,,
39,PT08M06.00S,2025-03-09T00:44:46.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,12,5,2025-03-09T00:44:47Z,390000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,38.0,3.0,3.0,0.0,,,,,,,,
40,PT08M00.00S,2025-03-09T00:44:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,5.995400788436268,49.26470588235294,1610612737,14,5,2025-03-09T00:45:01Z,400000,False,4.0,4.0,1,left,T. Young driving Layup (10 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,0.54,Made,10.0,,,,,,,,,,,,,,,
41,PT08M00.00S,2025-03-09T00:45:00.1Z,1,REGULAR,foul,personal,['1freethrow'],1627783,,,1610612737,14,5,2025-03-09T00:46:14Z,410000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Young 1 FT),"[1627783, 1629027]",1610612754.0,IND,shooting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,101283.0,,,,,,,,,,,,,,,,1.0,0.0,Young,1629027.0
43,PT08M00.00S,2025-03-09T00:45:08.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,14,5,2025-03-09T00:45:17Z,430000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M00.00S,2025-03-09T00:47:07.0Z,1,REGULAR,substitution,out,[],1641767,,,1610612737,14,5,2025-03-09T00:47:46Z,440000,False,,,0,,SUB out: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M00.00S,2025-03-09T00:47:07.0Z,1,REGULAR,substitution,in,[],1631097,,,1610612737,14,5,2025-03-09T00:47:46Z,450000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M00.00S,2025-03-09T00:48:14.0Z,1,REGULAR,freethrow,1 of 1,[],1629027,,,1610612737,15,5,2025-03-09T00:48:14Z,460000,False,,,0,,T. Young Free Throw 1 of 1 (11 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,Made,11.0,,,,,,,,,,,,,,,
47,PT07M54.00S,2025-03-09T00:48:21.7Z,1,REGULAR,2pt,Jump Shot,[],1631097,94.56307490144546,71.56862745098039,1610612754,15,7,2025-03-09T00:48:28Z,470000,False,108.0,-1.0,1,right,B. Mathurin 10' pullup Jump Shot (2 PTS) (A. Nembhard 1 AST),"[1631097, 1629614]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,,,10.78,Made,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,
48,PT07M44.00S,2025-03-09T00:48:32.3Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,15,7,2025-03-09T00:48:36Z,480000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1626167]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Center,,1.0,,,,,,,,,,,Turner,1626167.0,,,,,,
49,PT07M44.00S,2025-03-09T00:48:32.3Z,1,REGULAR,steal,,[],1626167,,,1610612754,15,7,2025-03-09T00:48:34Z,490000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M40.00S,2025-03-09T00:48:35.9Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612754,15,7,2025-03-09T00:48:40Z,500000,False,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1630700]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,,,,,Daniels,1630700.0,,,,,,
51,PT07M40.00S,2025-03-09T00:48:35.9Z,1,REGULAR,steal,,[],1630700,,,1610612737,15,7,2025-03-09T00:48:38Z,510000,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
52,PT07M34.00S,2025-03-09T00:48:41.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630700,6.389618922470433,50.98039215686274,1610612737,15,7,2025-03-09T00:54:40Z,520000,False,-5.0,8.0,1,left,MISS D. Daniels running Layup,[1630700],1610612737.0,ATL,running,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,0.9,Missed,,,,,,,,,,,,,,,,
53,PT07M31.00S,2025-03-09T00:48:44.6Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,15,7,2025-03-09T00:49:01Z,530000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,52.0,4.0,3.0,1.0,,,,,,,,
54,PT07M31.00S,2025-03-09T00:48:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630168,5.590000152587891,50.0,1610612737,15,7,2025-03-09T00:48:45Z,540000,False,0.0,0.0,1,left,MISS O. Okongwu tip Layup,[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
55,PT07M28.00S,2025-03-09T00:48:47.0Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,15,7,2025-03-09T00:48:47Z,550000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,,,,,,54.0,5.0,3.0,2.0,,,,,,,,
56,PT07M28.00S,2025-03-09T00:48:47.0Z,1,REGULAR,2pt,Hook,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630168,5.590000152587891,50.0,1610612737,17,7,2025-03-09T00:56:40Z,560000,False,0.0,0.0,1,left,O. Okongwu Hook (4 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,0.0,Made,4.0,,,,,,,,,,,,,,,
57,PT07M21.00S,2025-03-09T00:48:56.0Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612754,17,7,2025-03-09T00:49:19Z,570000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Turner 2 FT),"[1630168, 1626167]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,101283.0,,,,,,,,,,,,,,,,1.0,0.0,Turner,1626167.0
59,PT07M21.00S,2025-03-09T00:49:19.9Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,17,8,2025-03-09T00:49:19Z,590000,False,,,0,,M. Turner Free Throw 1 of 2 (3 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
60,PT07M21.00S,2025-03-09T00:49:33.5Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,17,9,2025-03-09T00:49:33Z,600000,False,,,0,,M. Turner Free Throw 2 of 2 (4 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
61,PT07M08.00S,2025-03-09T00:49:47.9Z,1,REGULAR,turnover,lost ball,[],1629027,,,1610612737,17,9,2025-03-09T00:49:53Z,610000,False,,,0,,T. Young lost ball TURNOVER (2 TO),"[1629027, 1626167]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,,,,Turner,1626167.0,,,,,,
62,PT07M08.00S,2025-03-09T00:49:47.9Z,1,REGULAR,steal,,[],1626167,,,1610612754,17,9,2025-03-09T00:49:50Z,620000,False,,,0,,M. Turner STEAL (2 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M04.00S,2025-03-09T00:49:53.9Z,1,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612754,17,9,2025-03-09T00:50:16Z,630000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Turner 2 FT),"[1630700, 1626167]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,202901.0,,,,,,,,,,,,,,,,1.0,0.0,Turner,1626167.0
65,PT07M04.00S,2025-03-09T00:50:17.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1626167,,,1610612754,17,10,2025-03-09T00:50:17Z,650000,False,,,0,,M. Turner Free Throw 1 of 2 (5 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
66,PT07M04.00S,2025-03-09T00:50:18.5Z,1,REGULAR,substitution,out,[],1629027,,,1610612754,17,10,2025-03-09T00:50:24Z,660000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M04.00S,2025-03-09T00:50:18.5Z,1,REGULAR,substitution,in,[],1627747,,,1610612754,17,10,2025-03-09T00:50:24Z,670000,False,,,0,,SUB in: C. LeVert,[1627747],1610612737.0,ATL,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M04.00S,2025-03-09T00:50:33.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1626167,,,1610612754,17,11,2025-03-09T00:50:33Z,680000,False,,,0,,M. Turner Free Throw 2 of 2 (6 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
70,PT06M41.00S,2025-03-09T00:50:58.7Z,1,REGULAR,3pt,Jump Shot,[],1627747,16.113666228646515,94.11764705882352,1610612737,17,11,2025-03-09T00:51:05Z,690000,False,-221.0,99.0,1,left,MISS C. LeVert 24' pullup 3PT,[1627747],1610612737.0,ATL,pullup,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,24.18,Missed,,,,,,,,,,,,,,,,
71,PT06M37.00S,2025-03-09T00:51:02.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,17,11,2025-03-09T00:51:05Z,700000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,
72,PT06M29.00S,2025-03-09T00:51:10.4Z,1,REGULAR,2pt,Jump Shot,[],1626167,91.67214191852825,71.56862745098039,1610612754,17,13,2025-03-09T00:51:16Z,710000,False,108.0,26.0,1,right,M. Turner 11' turnaround Jump Shot (8 PTS) (A. Nembhard 2 AST),"[1626167, 1629614]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,Mid-Range,8-16 Right,,,11.08,Made,8.0,A. Nembhard,1629614.0,2.0,,,,,,,,,,,,
74,PT06M18.00S,2025-03-09T00:51:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,8.09789750328515,58.08823529411765,1610612737,17,13,2025-03-09T00:51:43Z,730000,False,-40.0,24.0,1,left,MISS D. Daniels driving Layup - blocked,"[1630700, 1627783]",1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,4.68,Missed,,,,,,,,,,,Siakam,1627783.0,,,,
75,PT06M18.00S,2025-03-09T00:51:23.0Z,1,REGULAR,block,,[],1627783,,,1610612737,17,13,2025-03-09T00:51:26Z,740000,False,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT06M17.00S,2025-03-09T00:51:24.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,17,13,2025-03-09T00:51:43Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,74.0,,,,,,,,,,,
78,PT06M17.00S,2025-03-09T00:51:29.9Z,1,REGULAR,substitution,out,[],1629614,,,1610612737,17,13,2025-03-09T00:51:36Z,770000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M17.00S,2025-03-09T00:51:29.9Z,1,REGULAR,substitution,in,[],204456,,,1610612737,17,13,2025-03-09T00:51:36Z,780000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M05.00S,2025-03-09T00:51:56.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627747,11.908672798948752,60.29411764705882,1610612737,19,13,2025-03-09T00:52:03Z,790000,False,-51.0,59.0,1,left,C. LeVert 7' fadeaway Jump Shot (2 PTS),[1627747],1610612737.0,ATL,fadeaway,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),0-8 Center,,,7.86,Made,2.0,,,,,,,,,,,,,,,
81,PT05M58.00S,2025-03-09T00:52:08.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,19,13,2025-03-09T00:52:08Z,800000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
