actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
28,PT09M44.00S,2024-11-05T00:48:33.2Z,1,REGULAR,3pt,Jump Shot,[],1630552,74.58935611038108,15.931372549019606,1610612737,8,7,2024-11-05T00:48:38Z,280000,False,-170.0,186.0,1,right,J. Johnson 25' 3PT  (6 PTS) (D. Daniels 1 AST),"[1630552, 1630700]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,Made,6.0,,,,,25.25,,,,D. Daniels,1630700.0,1.0,,
30,PT09M25.00S,2024-11-05T00:48:52.4Z,1,REGULAR,3pt,Jump Shot,[],1628401,28.991458607095925,24.019607843137255,1610612738,8,7,2024-11-05T00:48:58Z,300000,False,130.0,220.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.55,,,,,,,,
31,PT09M22.00S,2024-11-05T00:48:55.4Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,8,7,2024-11-05T00:48:58Z,310000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
32,PT09M16.00S,2024-11-05T00:49:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,91.80354796320631,45.34313725490196,1610612737,8,7,2024-11-05T00:49:09Z,320000,False,-23.0,25.0,1,right,MISS T. Young driving finger roll Layup,[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.38,,,,,,,,
33,PT09M12.00S,2024-11-05T00:49:06.2Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,8,7,2024-11-05T00:49:09Z,330000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,
34,PT09M07.00S,2024-11-05T00:49:10.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,28.07161629434954,78.18627450980392,1610612738,8,10,2024-11-05T00:49:16Z,340000,False,-141.0,211.0,1,left,A. Horford 25' 3PT running pullup (3 PTS) (D. White 1 AST),"[201143, 1628401]",1610612738.0,BOS,running pullup,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,25.41,,,,D. White,1628401.0,1.0,,
36,PT08M43.00S,2024-11-05T00:49:34.3Z,1,REGULAR,3pt,Jump Shot,[],1642258,79.05716162943496,90.44117647058823,1610612737,11,10,2024-11-05T00:49:39Z,360000,False,202.0,144.0,1,right,Z. Risacher 24' 3PT  (3 PTS) (J. Johnson 1 AST),"[1642258, 1630552]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,,,,24.85,,,,J. Johnson,1630552.0,1.0,,
38,PT08M29.00S,2024-11-05T00:49:47.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.882391590013142,40.44117647058824,1610612738,11,13,2024-11-05T00:51:29Z,380000,False,48.0,247.0,1,left,J. Tatum 25' 3PT step back (5 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,Made,5.0,,,,,25.18,,,,,,,,
39,PT08M17.00S,2024-11-05T00:50:00.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,79.84559789750328,92.64705882352942,1610612737,11,13,2024-11-05T00:50:04Z,390000,False,213.0,137.0,1,right,MISS T. Young 25' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.34,,,,,,,,
40,PT08M14.00S,2024-11-05T00:50:02.8Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,11,13,2024-11-05T00:50:02Z,400000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:0),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,,,,39.0,1.0,0.0,1.0,,,,,,,,,
41,PT08M10.00S,2024-11-05T00:50:08.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630700,92.46057818659659,51.71568627450981,1610612737,13,13,2024-11-05T00:50:13Z,410000,False,9.0,18.0,1,right,D. Daniels driving finger roll Layup (4 PTS) (C. Capela 1 AST),"[1630700, 203991]",1610612737.0,ATL,driving finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,,2.03,,,,C. Capela,203991.0,1.0,,
43,PT07M51.00S,2024-11-05T00:50:26.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629674,10.33180026281209,44.6078431372549,1610612738,13,15,2024-11-05T00:50:31Z,430000,False,27.0,45.0,1,left,N. Queta turnaround Hook (4 PTS) (J. Tatum 1 AST),"[1629674, 1628369]",1610612738.0,BOS,turnaround,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,4.0,,,,,5.21,,,,J. Tatum,1628369.0,1.0,,
44,PT07M42.00S,2024-11-05T00:50:34.6Z,1,REGULAR,3pt,Jump Shot,[],1642258,74.58935611038108,85.7843137254902,1610612737,13,15,2024-11-05T00:50:40Z,440000,False,179.0,186.0,1,right,MISS Z. Risacher 25' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.84,,,,,,,,
45,PT07M40.00S,2024-11-05T00:50:36.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,13,15,2024-11-05T00:50:40Z,450000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,
46,PT07M34.00S,2024-11-05T00:50:44.0Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,13,15,2024-11-05T00:50:48Z,460000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1629027]",1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,Young,1629027.0,,,,,
47,PT07M34.00S,2024-11-05T00:50:44.0Z,1,REGULAR,steal,,[],1629027,,,1610612737,13,15,2024-11-05T00:50:46Z,470000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M23.00S,2024-11-05T00:50:54.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,69.59592641261499,69.6078431372549,1610612737,13,15,2024-11-05T00:50:59Z,480000,False,98.0,233.0,1,right,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.3,,,,,,,,
49,PT07M20.00S,2024-11-05T00:50:57.9Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,13,15,2024-11-05T00:50:59Z,490000,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,
50,PT07M19.00S,2024-11-05T00:51:00.2Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612738,13,15,2024-11-05T00:51:10Z,500000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612738.0,BOS,bad pass,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1204.0,,,,,,,,,,,,1.0,,,,,,,
51,PT07M19.00S,2024-11-05T00:51:06.5Z,1,REGULAR,substitution,out,[],1629674,,,1610612737,13,15,2024-11-05T00:51:10Z,510000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M19.00S,2024-11-05T00:51:06.5Z,1,REGULAR,substitution,in,[],1630214,,,1610612737,13,15,2024-11-05T00:51:10Z,520000,False,,,0,,SUB in: X. Tillman,[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M05.00S,2024-11-05T00:51:31.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630552,93.9060446780552,4.411764705882353,1610612737,13,15,2024-11-05T00:51:36Z,530000,False,-228.0,5.0,1,right,MISS J. Johnson 3PT - blocked,"[1630552, 201143]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.8,,,,,,,Horford,201143.0
54,PT07M05.00S,2024-11-05T00:51:31.6Z,1,REGULAR,block,,[],201143,,,1610612737,13,15,2024-11-05T00:51:35Z,540000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
55,PT07M01.00S,2024-11-05T00:51:35.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,13,15,2024-11-05T00:51:36Z,550000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,
56,PT06M54.00S,2024-11-05T00:51:42.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,28.728646517739815,75.73529411764706,1610612738,13,18,2024-11-05T00:51:47Z,560000,False,-129.0,218.0,1,left,J. Tatum 25' 3PT  (8 PTS) (X. Tillman 1 AST),"[1628369, 1630214]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Made,8.0,,,,,25.27,,,,X. Tillman,1630214.0,1.0,,
58,PT06M52.00S,2024-11-05T00:51:47.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,13,18,2024-11-05T00:51:47Z,580000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2024-11-05T00:54:35.1Z,1,REGULAR,substitution,out,[],1630552,,,1610612737,13,18,2024-11-05T00:54:49Z,590000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M52.00S,2024-11-05T00:54:35.1Z,1,REGULAR,substitution,in,[],1631223,,,1610612737,13,18,2024-11-05T00:54:49Z,600000,False,,,0,,SUB in: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2024-11-05T00:55:01.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,92.72339027595268,50.49019607843137,1610612737,15,18,2024-11-05T00:55:14Z,610000,False,2.0,16.0,1,right,C. Capela cutting DUNK (2 PTS) (D. Daniels 2 AST),"[203991, 1630700]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.61,,,,D. Daniels,1630700.0,2.0,,
64,PT06M23.00S,2024-11-05T00:55:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,6.783837056504599,49.26470588235294,1610612738,15,18,2024-11-05T00:55:28Z,630000,False,4.0,11.0,1,left,MISS D. White cutting Layup,[1628401],1610612738.0,BOS,cutting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,1.19,,,,,,,,
65,PT06M18.00S,2024-11-05T00:55:24.7Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,15,18,2024-11-05T00:55:24Z,640000,False,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,64.0,2.0,1.0,1.0,,,,,,,,,
66,PT06M18.00S,2024-11-05T00:55:24.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628401,5.590000152587891,50.0,1610612738,15,20,2024-11-05T00:55:24Z,650000,False,0.0,0.0,1,left,D. White putback Layup (2 PTS),[1628401],1610612738.0,BOS,putback,,,White,D. White,,,,,Mid-Range,8-16 Left,,,,,,Made,2.0,,,,,0.0,,,,,,,,
67,PT06M01.00S,2024-11-05T00:55:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,92.85479632063075,50.245098039215684,1610612737,17,20,2024-11-05T00:55:48Z,660000,False,1.0,15.0,1,right,D. Daniels driving reverse Layup (6 PTS) (T. Young 1 AST),"[1630700, 1629027]",1610612737.0,ATL,driving reverse,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,,,,,1.47,,,,T. Young,1629027.0,1.0,,
69,PT05M47.00S,2024-11-05T00:55:56.0Z,1,REGULAR,3pt,Jump Shot,[],1630214,26.888961892247043,80.63725490196079,1610612738,17,20,2024-11-05T00:56:00Z,680000,False,-153.0,200.0,1,left,MISS X. Tillman 25' 3PT,[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.22,,,,,,,,
70,PT05M44.00S,2024-11-05T00:55:59.0Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,17,20,2024-11-05T00:56:00Z,690000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,,,,,69.0,2.0,1.0,1.0,,,,,,,,,
71,PT05M39.00S,2024-11-05T00:56:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,89.43823915900131,42.15686274509804,1610612737,19,20,2024-11-05T00:58:30Z,700000,False,-39.0,47.0,1,right,D. Daniels 6' driving floating bank Jump Shot (8 PTS),[1630700],1610612737.0,ATL,driving floating bank,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,8.0,,,,,6.1,,,,,,,,
72,PT05M25.00S,2024-11-05T00:56:17.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,29.38567674113009,28.676470588235293,1610612738,19,20,2024-11-05T00:56:22Z,710000,False,107.0,224.0,1,left,MISS J. Tatum 24' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,24.78,,,,,,,,
73,PT05M22.00S,2024-11-05T00:56:20.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,19,20,2024-11-05T00:56:22Z,720000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,
74,PT05M14.00S,2024-11-05T00:56:29.1Z,1,REGULAR,2pt,Jump Shot,[],1629027,86.5473061760841,88.48039215686273,1610612737,21,20,2024-11-05T00:56:33Z,730000,False,192.0,74.0,1,right,T. Young 20' step back Jump Shot (2 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Mid-Range,16-24 Right,,,,,,Made,2.0,,,,,20.61,,,,,,,,
75,PT04M58.00S,2024-11-05T00:56:45.4Z,1,REGULAR,2pt,Jump Shot,[],201950,19.267411300919843,30.392156862745097,1610612738,21,22,2024-11-05T00:56:51Z,740000,False,98.0,129.0,1,left,J. Holiday 16' pullup Jump Shot (5 PTS),[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right Center,,,,,,Made,5.0,,,,,16.17,,,,,,,,
76,PT04M44.00S,2024-11-05T00:56:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,92.06636005256242,51.225490196078425,1610612737,21,22,2024-11-05T00:57:05Z,750000,False,6.0,22.0,1,right,MISS C. Capela cutting Layup - blocked,"[203991, 201143]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.29,,,,,,,Horford,201143.0
77,PT04M44.00S,2024-11-05T00:56:59.9Z,1,REGULAR,block,,[],201143,,,1610612737,21,22,2024-11-05T00:57:02Z,760000,False,,,0,,A. Horford BLOCK (2 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT04M44.00S,2024-11-05T00:56:59.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,21,22,2024-11-05T00:57:05Z,770000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,76.0,,,,,,,,,,,,
80,PT04M44.00S,2024-11-05T00:57:05.7Z,1,REGULAR,substitution,out,[],1642258,,,1610612738,21,22,2024-11-05T00:57:18Z,790000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M44.00S,2024-11-05T00:57:05.7Z,1,REGULAR,substitution,out,[],203991,,,1610612738,21,22,2024-11-05T00:57:18Z,800000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M44.00S,2024-11-05T00:57:05.7Z,1,REGULAR,substitution,out,[],201950,,,1610612738,21,22,2024-11-05T00:57:18Z,810000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M44.00S,2024-11-05T00:57:05.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,21,22,2024-11-05T00:57:18Z,820000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M44.00S,2024-11-05T00:57:05.7Z,1,REGULAR,substitution,in,[],1630168,,,1610612738,21,22,2024-11-05T00:57:18Z,830000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
