actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
20,PT09M54.00S,2025-03-05T00:42:48.6Z,1,REGULAR,3pt,Jump Shot,[],203081,35.03613666228647,38.72549019607843,1610612749,5,5,2025-03-05T00:42:53Z,200000,False,56.0,277.0,1,left,D. Lillard 28' 3PT  (3 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,28.25,Made,,,,,3.0,,,,,,,,,,,
21,PT09M43.00S,2025-03-05T00:42:59.8Z,1,REGULAR,3pt,Jump Shot,[],1642258,95.48291721419186,95.34313725490196,1610612737,5,5,2025-03-05T00:43:04Z,210000,False,227.0,-10.0,1,right,MISS Z. Risacher 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,,,22.69,Missed,,,,,,,,,,,,,,,,
22,PT09M41.00S,2025-03-05T00:43:01.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,5,5,2025-03-05T00:43:04Z,220000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,
23,PT09M36.00S,2025-03-05T00:43:08.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627752,5.338370565045992,98.2843137254902,1610612749,5,8,2025-03-05T00:43:13Z,230000,False,-241.0,-2.0,1,left,T. Prince 24' 3PT running (3 PTS) (K. Kuzma 1 AST),"[1627752, 1628398]",1610612749.0,MIL,running,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,,,24.14,Made,,,,,3.0,,,K. Kuzma,1628398.0,1.0,,,,,,
25,PT09M28.00S,2025-03-05T00:43:17.5Z,1,REGULAR,foul,personal,[],1627752,,,1610612737,5,8,2025-03-05T00:43:24Z,250000,False,,,0,,T. Prince personal FOUL (1 PF),"[1627752, 1629027]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,1628480.0,,,,,,,,,,,,,,1.0,0.0,Young,1629027.0,,
27,PT09M20.00S,2025-03-05T00:43:43.3Z,1,REGULAR,3pt,Jump Shot,[],1642258,67.88764783180025,66.66666666666666,1610612737,5,8,2025-03-05T00:43:48Z,270000,False,83.0,249.0,1,right,MISS Z. Risacher 26' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,26.29,Missed,,,,,,,,,,,,,,,,
28,PT09M17.00S,2025-03-05T00:43:46.3Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,5,8,2025-03-05T00:43:48Z,280000,False,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,
29,PT09M13.00S,2025-03-05T00:43:50.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203081,28.203022339027594,23.284313725490197,1610612749,5,8,2025-03-05T00:43:55Z,290000,False,134.0,213.0,1,left,MISS D. Lillard 25' running 3PT,[203081],1610612749.0,MIL,running,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,25.11,Missed,,,,,,,,,,,,,,,,
30,PT09M11.00S,2025-03-05T00:43:52.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,5,8,2025-03-05T00:43:55Z,300000,False,,,0,,D. Daniels REBOUND (Off:0 Def:3),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,
31,PT09M00.00S,2025-03-05T00:44:03.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,80.23981603153744,51.9607843137255,1610612737,5,8,2025-03-05T00:44:08Z,310000,False,10.0,133.0,1,right,MISS D. Daniels 13' driving floating Shot,[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,13.36,Missed,,,,,,,,,,,,,,,,
32,PT08M57.00S,2025-03-05T00:44:06.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,5,8,2025-03-05T00:44:08Z,320000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,31.0,3.0,3.0,0.0,,,,,,,,,,,,
33,PT08M52.00S,2025-03-05T00:44:13.6Z,1,REGULAR,foul,personal,['2freethrow'],1631243,,,1610612749,5,8,2025-03-05T00:44:53Z,330000,False,,,0,,M. Gueye shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1631243, 203507]",1610612737.0,ATL,shooting,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,1628480.0,,,,,,,,,,,,,,1.0,0.0,Antetokounmpo,203507.0,,
35,PT08M52.00S,2025-03-05T00:44:54.3Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,5,9,2025-03-05T00:47:34Z,350000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
36,PT08M52.00S,2025-03-05T00:44:54.3Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,5,10,2025-03-05T00:47:34Z,360000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
37,PT08M40.00S,2025-03-05T00:45:31.0Z,1,REGULAR,3pt,Jump Shot,[],1631243,94.30026281208936,95.83333333333334,1610612737,8,10,2025-03-05T00:45:35Z,370000,False,229.0,1.0,1,right,M. Gueye 3PT  (3 PTS) (O. Okongwu 1 AST),"[1631243, 1630168]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Right Corner 3,24+ Right,,,22.92,Made,,,,,3.0,,,O. Okongwu,1630168.0,1.0,,,,,,
39,PT08M22.00S,2025-03-05T00:45:48.5Z,1,REGULAR,3pt,Jump Shot,[],203081,37.40144546649146,51.71568627450981,1610612749,8,10,2025-03-05T00:45:53Z,390000,False,-9.0,299.0,1,left,MISS D. Lillard 29' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,29.92,Missed,,,,,,,,,,,,,,,,
40,PT08M19.00S,2025-03-05T00:45:51.5Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,8,10,2025-03-05T00:45:53Z,400000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Center,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,
41,PT08M13.00S,2025-03-05T00:45:57.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629027,90.62089356110381,54.166666666666664,1610612737,10,10,2025-03-05T00:46:03Z,410000,False,21.0,36.0,1,right,T. Young driving floating bank Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,4.13,Made,,,,,2.0,,,,,,,,,,,
42,PT08M00.00S,2025-03-05T00:46:10.4Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612749,10,10,2025-03-05T00:46:14Z,420000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1630168]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Okongwu,1630168.0
43,PT08M00.00S,2025-03-05T00:46:10.4Z,1,REGULAR,steal,,[],1630168,,,1610612737,10,10,2025-03-05T00:46:12Z,430000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT07M48.00S,2025-03-05T00:46:22.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630700,92.9862023653088,96.56862745098039,1610612737,10,10,2025-03-05T00:46:28Z,440000,False,233.0,13.0,1,right,MISS D. Daniels 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,23.32,Missed,,,,,,,,,,,,,,,,
45,PT07M45.00S,2025-03-05T00:46:25.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,10,10,2025-03-05T00:46:28Z,450000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Right Corner 3,24+ Right,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,
46,PT07M39.00S,2025-03-05T00:46:31.7Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,10,10,2025-03-05T00:46:35Z,460000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1631243]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,,,,,,,,,,Gueye,1631243.0
47,PT07M39.00S,2025-03-05T00:46:31.7Z,1,REGULAR,steal,,[],1631243,,,1610612737,10,10,2025-03-05T01:00:41Z,470000,False,,,0,,M. Gueye STEAL (1 STL),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M35.00S,2025-03-05T00:46:36.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642258,92.72339027595268,51.470588235294116,1610612737,12,10,2025-03-05T00:46:43Z,480000,False,7.0,16.0,1,right,Z. Risacher running DUNK (2 PTS) (M. Gueye 1 AST),"[1642258, 1631243]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,1.75,Made,,,,,2.0,,,M. Gueye,1631243.0,1.0,,,,,,
50,PT07M35.00S,2025-03-05T00:46:42.2Z,1,REGULAR,foul,personal,['1freethrow'],203507,,,1610612737,12,10,2025-03-05T00:47:04Z,500000,False,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Risacher 1 FT),"[203507, 1642258]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1628480.0,,,,,,,,,,,,,,1.0,0.0,Risacher,1642258.0,,
52,PT07M35.00S,2025-03-05T00:47:05.6Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1642258,,,1610612737,12,10,2025-03-05T00:47:07Z,520000,False,,,0,,MISS Z. Risacher Free Throw 1 of 1,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
53,PT07M32.00S,2025-03-05T00:47:08.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,12,10,2025-03-05T00:47:07Z,530000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,
54,PT07M23.00S,2025-03-05T00:47:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,5.601182654402102,50.245098039215684,1610612749,12,12,2025-03-05T00:52:58Z,540000,False,-1.0,0.0,1,left,K. Kuzma cutting Layup (2 PTS) (G. Antetokounmpo 1 AST),"[1628398, 203507]",1610612749.0,MIL,cutting,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,0.12,Made,,,,,2.0,,,G. Antetokounmpo,203507.0,1.0,,,,,,
56,PT07M12.00S,2025-03-05T00:47:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,90.22667542706965,55.392156862745104,1610612737,14,12,2025-03-05T00:47:31Z,560000,False,27.0,39.0,1,right,T. Young driving floating Jump Shot (4 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,4.78,Made,,,,,4.0,,,,,,,,,,,
57,PT06M52.00S,2025-03-05T00:47:45.6Z,1,REGULAR,2pt,Jump Shot,[],1627752,15.456636005256241,69.36274509803921,1610612749,14,12,2025-03-05T00:53:24Z,570000,False,-97.0,93.0,1,left,MISS T. Prince 13' pullup Shot,[1627752],1610612749.0,MIL,pullup,,,Prince,T. Prince,,,,,Mid-Range,8-16 Left,,,13.41,Missed,,,,,,,,,,,,,,,,
58,PT06M50.00S,2025-03-05T00:47:47.6Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,14,12,2025-03-05T00:47:50Z,580000,False,,,0,,D. Daniels REBOUND (Off:0 Def:4),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,,,57.0,4.0,4.0,0.0,,,,,,,,,,,,
59,PT06M40.00S,2025-03-05T00:47:58.1Z,1,REGULAR,3pt,Jump Shot,[],1630700,67.36202365308804,38.23529411764706,1610612737,14,12,2025-03-05T00:48:03Z,590000,False,-59.0,254.0,1,right,MISS D. Daniels 26' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,26.1,Missed,,,,,,,,,,,,,,,,
60,PT06M37.00S,2025-03-05T00:48:01.1Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,14,12,2025-03-05T00:48:03Z,600000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:4),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,59.0,4.0,4.0,0.0,,,,,,,,,,,,
61,PT06M22.00S,2025-03-05T00:48:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,15.588042049934298,45.588235294117645,1610612749,14,12,2025-03-05T00:54:00Z,610000,False,22.0,94.0,1,left,MISS B. Lopez 9' floating Shot,[201572],1610612749.0,MIL,floating,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,9.66,Missed,,,,,,,,,,,,,,,,
62,PT06M19.00S,2025-03-05T00:48:19.5Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,14,12,2025-03-05T00:54:00Z,620000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,61.0,1.0,0.0,1.0,,,,,,,,,,,,
63,PT06M17.00S,2025-03-05T00:48:20.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203081,20.45006570302234,8.333333333333332,1610612749,14,15,2025-03-05T00:48:25Z,630000,False,208.0,140.0,1,left,D. Lillard 25' 3PT  (6 PTS) (B. Lopez 1 AST),"[203081, 201572]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,25.08,Made,,,,,6.0,,,B. Lopez,201572.0,1.0,,,,,,
65,PT06M17.00S,2025-03-05T00:48:25.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,14,15,2025-03-05T00:48:25Z,650000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M17.00S,2025-03-05T00:50:50.8Z,1,REGULAR,substitution,out,[],1631243,,,1610612737,14,15,2025-03-05T00:51:10Z,660000,False,,,0,,SUB out: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M17.00S,2025-03-05T00:50:50.8Z,1,REGULAR,substitution,out,[],1630168,,,1610612737,14,15,2025-03-05T00:51:10Z,670000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M17.00S,2025-03-05T00:50:50.8Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,14,15,2025-03-05T00:51:10Z,680000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M17.00S,2025-03-05T00:50:50.8Z,1,REGULAR,substitution,out,[],1628398,,,1610612737,14,15,2025-03-05T00:51:10Z,690000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M17.00S,2025-03-05T00:50:50.8Z,1,REGULAR,substitution,in,[],1627747,,,1610612737,14,15,2025-03-05T00:51:10Z,700000,False,,,0,,SUB in: C. LeVert,[1627747],1610612737.0,ATL,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M17.00S,2025-03-05T00:50:50.8Z,1,REGULAR,substitution,in,[],203991,,,1610612737,14,15,2025-03-05T00:51:10Z,710000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M17.00S,2025-03-05T00:50:50.8Z,1,REGULAR,substitution,in,[],1627777,,,1610612737,14,15,2025-03-05T00:51:10Z,720000,False,,,0,,SUB in: G. Niang,[1627777],1610612737.0,ATL,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M17.00S,2025-03-05T00:50:50.8Z,1,REGULAR,substitution,in,[],1631260,,,1610612737,14,15,2025-03-05T00:51:10Z,730000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M04.00S,2025-03-05T00:51:31.5Z,1,REGULAR,3pt,Jump Shot,[],1627777,95.74572930354796,3.9215686274509802,1610612737,14,15,2025-03-05T00:51:36Z,740000,False,-230.0,-13.0,1,right,MISS G. Niang 3PT,[1627777],1610612737.0,ATL,,,,Niang,G. Niang,,,,,Left Corner 3,24+ Left,,,23.07,Missed,,,,,,,,,,,,,,,,
75,PT06M01.00S,2025-03-05T00:51:34.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,14,15,2025-03-05T00:51:36Z,750000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Left Corner 3,24+ Left,,,,,74.0,3.0,3.0,0.0,,,,,,,,,,,,
76,PT05M53.00S,2025-03-05T00:51:42.8Z,1,REGULAR,3pt,Jump Shot,[],1631260,7.178055190538765,1.9607843137254901,1610612749,14,15,2025-03-05T00:51:52Z,760000,False,240.0,15.0,1,left,MISS A. Green 24' 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Right Corner 3,24+ Right,,,24.07,Missed,,,,,,,,,,,,,,,,
77,PT05M51.00S,2025-03-05T00:51:44.8Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,14,15,2025-03-05T00:51:52Z,770000,False,,,0,,B. Lopez REBOUND (Off:2 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Right Corner 3,24+ Right,,,,,76.0,2.0,0.0,2.0,,,,,,,,,,,,
78,PT05M51.00S,2025-03-05T00:51:51.9Z,1,REGULAR,foul,personal,[],1627777,,,1610612749,14,15,2025-03-05T00:51:57Z,780000,False,,,0,,G. Niang personal FOUL (1 PF),"[1627777, 201572]",1610612737.0,ATL,,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,2003.0,,,,,,,,,,,,,,1.0,0.0,Lopez,201572.0,,
116,PT05M51.00S,2025-03-05T00:51:59.6Z,1,REGULAR,substitution,out,[],1627752,,,1610612749,14,15,2025-03-05T00:56:49Z,795000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
