actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M30.00S,2025-01-15T00:41:46.2Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,5,0,2025-01-15T00:41:51Z,170000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,
19,PT10M29.00S,2025-01-15T00:42:09.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642258,15.193823915900131,4.166666666666666,1610612737,5,0,2025-01-15T00:44:27Z,190000,False,229.0,90.0,1,left,MISS Z. Risacher 24' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right,24.63,Missed,,,,,,,,,,,,,,,,,,
20,PT10M28.00S,2025-01-15T00:42:10.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,5,0,2025-01-15T00:42:25Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right,,,,19.0,,,,,,,,,,,,,,,,
21,PT10M28.00S,2025-01-15T00:42:13.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,5,0,2025-01-15T00:42:25Z,210000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1626300.0,,,,,,,
22,PT10M14.00S,2025-01-15T00:42:36.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,68.01905387647832,33.82352941176471,1610612756,5,0,2025-01-15T00:42:42Z,220000,False,-81.0,248.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,26.1,Missed,,,,,,,,,,,,,,,,,,
23,PT10M08.00S,2025-01-15T00:42:42.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,5,0,2025-01-15T00:42:42Z,230000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Center,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,
24,PT10M04.00S,2025-01-15T00:42:45.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630249,29.6484888304862,30.14705882352941,1610612737,5,0,2025-01-15T00:42:55Z,240000,False,99.0,226.0,1,left,MISS V. Krejčí 24' running 3PT,[1630249],1610612737.0,ATL,running,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Right Center,24.7,Missed,,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2025-01-15T00:42:47.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,5,0,2025-01-15T00:42:55Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Right Center,,,,24.0,,,,,,,,,,,,,,,,
27,PT09M51.00S,2025-01-15T00:43:08.3Z,1,REGULAR,2pt,Jump Shot,[],201142,91.93495400788436,16.911764705882355,1610612756,5,0,2025-01-15T00:43:13Z,270000,False,-165.0,23.0,1,right,MISS K. Durant 16' step back Shot,[201142],1610612756.0,PHX,step back,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left,16.7,Missed,,,,,,,,,,,,,,,,,,
28,PT09M49.00S,2025-01-15T00:43:10.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,5,0,2025-01-15T00:43:13Z,280000,False,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Left,,,,27.0,3.0,3.0,0.0,,,,,,,,,,,,,
30,PT09M42.00S,2025-01-15T00:43:33.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629027,10.33180026281209,47.05882352941176,1610612737,5,0,2025-01-15T00:43:41Z,300000,False,15.0,45.0,1,left,MISS T. Young driving Hook,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,4.7,Missed,,,,,,,,,,,,,,,,,,
31,PT09M38.00S,2025-01-15T00:43:37.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,5,0,2025-01-15T00:43:41Z,310000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
32,PT09M31.00S,2025-01-15T00:43:43.3Z,1,REGULAR,3pt,Jump Shot,[],1626145,95.74572930354796,95.83333333333334,1610612756,5,0,2025-01-15T00:43:58Z,320000,False,229.0,-13.0,1,right,MISS T. Jones 3PT,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,22.95,Missed,,,,,,,,,,,,,,,,,,
33,PT09M26.00S,2025-01-15T00:43:48.3Z,1,REGULAR,rebound,offensive,[],201142,,,1610612756,5,0,2025-01-15T00:44:03Z,330000,False,,,0,,K. Durant REBOUND (Off:1 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Right Corner 3,24+ Right,,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,,
34,PT09M21.00S,2025-01-15T00:43:53.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642346,94.82588699080158,3.6764705882352944,1610612756,5,3,2025-01-15T00:44:03Z,340000,False,-232.0,-4.0,1,right,R. Dunn 3PT  (3 PTS) (T. Jones 1 AST),"[1642346, 1626145]",1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,23.16,Made,3.0,,,,,T. Jones,1626145.0,1.0,,,,,,,,,,
36,PT09M08.00S,2025-01-15T00:44:06.5Z,1,REGULAR,turnover,bad pass,[],1642258,,,1610612737,5,3,2025-01-15T00:44:11Z,360000,False,,,0,,Z. Risacher bad pass TURNOVER (1 TO),"[1642258, 1626164]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Booker,1626164.0,,,,
37,PT09M08.00S,2025-01-15T00:44:06.5Z,1,REGULAR,steal,,[],1626164,,,1610612756,5,3,2025-01-15T00:44:08Z,370000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M05.00S,2025-01-15T00:44:10.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642346,93.64323258869908,50.0,1610612756,5,5,2025-01-15T00:44:16Z,380000,False,0.0,7.0,1,right,R. Dunn running alley-oop DUNK (5 PTS) (T. Jones 2 AST),"[1642346, 1626145]",1610612756.0,PHX,running alley-oop,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,0.73,Made,5.0,,,,,T. Jones,1626145.0,2.0,,,,,,,,,,
40,PT08M53.00S,2025-01-15T00:44:21.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,36.08738501971091,27.205882352941174,1610612737,8,5,2025-01-15T00:49:10Z,400000,False,114.0,287.0,1,left,T. Young 30' 3PT pullup (6 PTS) (V. Krejčí 2 AST),"[1629027, 1630249]",1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,30.85,Made,6.0,,,,,V. Krejčí,1630249.0,2.0,,,,,,,,,,
42,PT08M37.00S,2025-01-15T00:44:37.6Z,1,REGULAR,2pt,Jump Shot,[],201142,72.48685939553219,46.07843137254902,1610612756,8,5,2025-01-15T00:44:44Z,420000,False,-20.0,206.0,1,right,MISS K. Durant 20' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,20.7,Missed,,,,,,,,,,,,,,,,,,
43,PT08M33.00S,2025-01-15T00:44:41.6Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,8,5,2025-01-15T00:44:44Z,430000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:2),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Center,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,
44,PT08M22.00S,2025-01-15T00:44:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,17.427726675427067,56.127450980392155,1610612737,8,5,2025-01-15T00:49:55Z,440000,False,-31.0,111.0,1,left,MISS T. Young 11' driving floating bank Shot,[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,11.54,Missed,,,,,,,,,,,,,,,,,,
45,PT08M19.00S,2025-01-15T00:44:55.6Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,8,5,2025-01-15T00:44:58Z,450000,False,,,0,,K. Durant REBOUND (Off:1 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,
46,PT08M16.00S,2025-01-15T00:44:58.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,69.33311432325887,71.32352941176471,1610612756,8,8,2025-01-15T00:45:11Z,460000,False,107.0,236.0,1,right,D. Booker 25' 3PT running pullup (3 PTS) (K. Durant 1 AST),"[1626164, 201142]",1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,25.88,Made,3.0,,,,,K. Durant,201142.0,1.0,,,,,,,,,,
48,PT08M15.00S,2025-01-15T00:45:03.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,8,8,2025-01-15T00:45:03Z,480000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M56.00S,2025-01-15T00:48:36.1Z,1,REGULAR,foul,personal,['2freethrow'],1642346,,,1610612737,8,8,2025-01-15T00:48:57Z,490000,False,,,0,,R. Dunn shooting personal FOUL (1 PF) (Young 2 FT),"[1642346, 1629027]",1610612756.0,PHX,shooting,,,Dunn,R. Dunn,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1627526.0,,,,1.0,0.0,Young,1629027.0
51,PT07M56.00S,2025-01-15T00:48:58.7Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,9,8,2025-01-15T00:48:58Z,510000,False,,,0,,T. Young Free Throw 1 of 2 (7 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
52,PT07M56.00S,2025-01-15T00:49:13.5Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,10,8,2025-01-15T00:49:13Z,520000,False,,,0,,T. Young Free Throw 2 of 2 (8 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
53,PT07M44.00S,2025-01-15T00:49:27.9Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612756,10,8,2025-01-15T00:49:36Z,530000,False,,,0,,K. Durant lost ball TURNOVER (1 TO),"[201142, 203991]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Capela,203991.0,,,,
54,PT07M44.00S,2025-01-15T00:49:27.9Z,1,REGULAR,steal,,[],203991,,,1610612737,10,8,2025-01-15T00:49:30Z,540000,False,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M40.00S,2025-01-15T00:49:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630700,5.206964520367937,49.01960784313725,1610612737,12,8,2025-01-15T00:49:40Z,550000,False,5.0,-4.0,1,left,D. Daniels running Layup (2 PTS) (T. Young 1 AST),"[1630700, 1629027]",1610612737.0,ATL,running,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,,,,,T. Young,1629027.0,1.0,,,,,,,,,,
57,PT07M32.00S,2025-01-15T00:49:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,92.59198423127464,46.568627450980394,1610612756,12,8,2025-01-15T00:49:45Z,570000,False,-17.0,17.0,1,right,MISS D. Booker driving Layup,[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,2.43,Missed,,,,,,,,,,,,,,,,,,
58,PT07M29.00S,2025-01-15T00:49:42.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,12,8,2025-01-15T00:49:45Z,580000,False,,,0,,C. Capela REBOUND (Off:0 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,57.0,4.0,4.0,0.0,,,,,,,,,,,,,
59,PT07M21.00S,2025-01-15T00:49:51.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,11.251642575558476,48.03921568627451,1610612737,14,8,2025-01-15T00:49:56Z,590000,False,10.0,53.0,1,left,C. Capela Hook (2 PTS) (D. Daniels 1 AST),"[203991, 1630700]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,2.0,,,,,D. Daniels,1630700.0,1.0,,,,,,,,,,
61,PT07M01.00S,2025-01-15T00:50:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,84.44480946123521,52.450980392156865,1610612756,14,10,2025-01-15T00:50:17Z,610000,False,12.0,94.0,1,right,T. Jones 9' floating Jump Shot (2 PTS) (D. Booker 1 AST),"[1626145, 1626164]",1610612756.0,PHX,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,9.45,Made,2.0,,,,,D. Booker,1626164.0,1.0,,,,,,,,,,
63,PT06M45.00S,2025-01-15T00:50:29.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,5.863994743758213,39.950980392156865,1610612737,14,10,2025-01-15T00:53:21Z,630000,False,50.0,3.0,1,left,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,5.03,Missed,,,,,,,,,,,,,,,,,,
64,PT06M44.00S,2025-01-15T00:50:30.3Z,1,REGULAR,rebound,offensive,[],1630249,,,1610612737,14,10,2025-01-15T00:53:21Z,640000,False,,,0,,V. Krejčí REBOUND (Off:1 Def:0),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,In The Paint (Non-RA),0-8 Center,,,,63.0,1.0,0.0,1.0,,,,,,,,,,,,,
65,PT06M43.00S,2025-01-15T00:50:33.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630249,5.590000152587891,50.0,1610612737,16,10,2025-01-15T00:53:27Z,650000,False,0.0,0.0,1,left,V. Krejčí tip Layup (2 PTS),[1630249],1610612737.0,ATL,tip,,,Krejčí,V. Krejčí,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
66,PT06M29.00S,2025-01-15T00:50:42.8Z,1,REGULAR,3pt,Jump Shot,[],1642346,90.22667542706965,2.941176470588235,1610612756,16,10,2025-01-15T00:50:47Z,660000,False,-235.0,39.0,1,right,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,23.86,Missed,,,,,,,,,,,,,,,,,,
67,PT06M26.00S,2025-01-15T00:50:45.8Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,16,10,2025-01-15T00:50:47Z,670000,False,,,0,,V. Krejčí REBOUND (Off:1 Def:1),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Left Corner 3,24+ Left,,,,66.0,2.0,1.0,1.0,,,,,,,,,,,,,
68,PT06M23.00S,2025-01-15T00:50:49.4Z,1,REGULAR,turnover,lost ball,[],1629027,,,1610612737,16,10,2025-01-15T00:50:54Z,680000,False,,,0,,T. Young lost ball TURNOVER (1 TO),"[1629027, 1642346]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,1.0,Dunn,1642346.0,,,,
69,PT06M23.00S,2025-01-15T00:50:49.4Z,1,REGULAR,steal,,[],1642346,,,1610612756,16,10,2025-01-15T00:50:51Z,690000,False,,,0,,R. Dunn STEAL (1 STL),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M19.00S,2025-01-15T00:50:53.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642346,93.51182654402102,48.77450980392157,1610612756,16,12,2025-01-15T00:51:03Z,700000,False,-6.0,8.0,1,right,R. Dunn running DUNK (7 PTS) (M. Plumlee 1 AST),"[1642346, 203486]",1610612756.0,PHX,running,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,1.05,Made,7.0,,,,,M. Plumlee,203486.0,1.0,,,,,,,,,,
72,PT06M08.00S,2025-01-15T00:51:05.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,9.017739816031538,39.46078431372549,1610612737,16,12,2025-01-15T00:55:09Z,720000,False,53.0,32.0,1,left,MISS T. Young 6' driving floating Shot - blocked,"[1629027, 1642346]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,6.18,Missed,,,,,,,,,Dunn,1642346.0,,,,,,,,
73,PT06M08.00S,2025-01-15T00:51:05.4Z,1,REGULAR,block,,[],1642346,,,1610612737,16,12,2025-01-15T00:51:08Z,730000,False,,,0,,R. Dunn BLOCK (1 BLK),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
74,PT06M07.00S,2025-01-15T00:51:06.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,16,12,2025-01-15T00:51:32Z,740000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,72.0,,,,,,,,,,,,,,,,
76,PT06M07.00S,2025-01-15T00:51:14.9Z,1,REGULAR,substitution,out,[],203991,,,1610612756,16,12,2025-01-15T00:51:24Z,760000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M07.00S,2025-01-15T00:51:14.9Z,1,REGULAR,substitution,out,[],203486,,,1610612756,16,12,2025-01-15T00:51:24Z,770000,False,,,0,,SUB out: M. Plumlee,[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M07.00S,2025-01-15T00:51:14.9Z,1,REGULAR,substitution,in,[],1630168,,,1610612756,16,12,2025-01-15T00:51:24Z,780000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M07.00S,2025-01-15T00:51:14.9Z,1,REGULAR,substitution,in,[],203078,,,1610612756,16,12,2025-01-15T00:51:24Z,790000,False,,,0,,SUB in: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M52.00S,2025-01-15T00:51:45.0Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,16,12,2025-01-15T00:51:51Z,800000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1630700]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,1.0,Daniels,1630700.0,,,,
81,PT05M52.00S,2025-01-15T00:51:45.0Z,1,REGULAR,steal,,[],1630700,,,1610612737,16,12,2025-01-15T00:51:47Z,810000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
82,PT05M46.00S,2025-01-15T00:51:50.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629027,8.886333771353483,36.76470588235294,1610612737,16,12,2025-01-15T00:56:57Z,820000,False,66.0,31.0,1,left,MISS T. Young 7' floating Shot,[1629027],1610612737.0,ATL,floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,,,,,,,,,,,,,,,,,,
83,PT05M45.00S,2025-01-15T00:51:51.9Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,16,12,2025-01-15T00:57:43Z,830000,False,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,82.0,1.0,0.0,1.0,,,,,,,,,,,,,
84,PT05M44.00S,2025-01-15T00:51:56.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629027,5.590000152587891,50.0,1610612737,18,12,2025-01-15T00:57:52Z,840000,False,0.0,0.0,1,left,T. Young tip Layup (10 PTS),[1629027],1610612737.0,ATL,tip,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.0,Made,10.0,,,,,,,,,,,,,,,,,
85,PT05M38.00S,2025-01-15T00:52:05.0Z,1,REGULAR,foul,personal,[],1630700,,,1610612756,18,12,2025-01-15T00:52:12Z,850000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 1626145]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,201638.0,,,,1.0,0.0,Jones,1626145.0
87,PT05M38.00S,2025-01-15T00:52:13.0Z,1,REGULAR,substitution,out,[],1626145,,,1610612756,18,12,2025-01-15T00:52:16Z,870000,False,,,0,,SUB out: T. Jones,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
