actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
14,PT10M53.00S,2024-11-26T00:42:17.4Z,1,REGULAR,jumpball,recovered,[],1630700,,,1610612737,2,0,2024-11-26T00:42:17Z,150000,False,,,0,,Jump Ball C. Capela vs. P. Washington: Tip to D. Daniels,"[1630700, 203991, 1629023]",1610612737.0,ATL,heldball,D. Daniels,1630700.0,Daniels,D. Daniels,Capela,203991.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2024-11-26T00:42:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,93.11760840998686,51.71568627450981,1610612737,2,0,2024-11-26T00:42:32Z,180000,False,9.0,12.0,1,right,MISS T. Young driving Layup - blocked,"[1629027, 1641726]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,1.49,Missed,,,,,,,,Lively II,1641726.0,,,,,,,
19,PT10M46.00S,2024-11-26T00:42:24.4Z,1,REGULAR,block,,[],1641726,,,1610612737,2,0,2024-11-26T00:42:27Z,190000,False,,,0,,D. Lively II BLOCK (1 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2024-11-26T00:42:29.4Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,2,0,2024-11-26T00:42:32Z,200000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
21,PT10M40.00S,2024-11-26T00:42:30.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202681,6.652431011826544,47.794117647058826,1610612742,2,0,2024-11-26T00:42:40Z,210000,False,11.0,10.0,1,left,MISS K. Irving running Layup,[202681],1610612742.0,DAL,running,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,1.49,Missed,,,,,,,,,,,,,,,,
22,PT10M34.00S,2024-11-26T00:42:35.5Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,2,0,2024-11-26T00:42:35Z,220000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M34.00S,2024-11-26T00:42:37.6Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,2,0,2024-11-26T00:42:49Z,230000,False,,,0,,J. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1630552],1610612737.0,ATL,bad pass,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,11629177.0,1.0,,,,,,,,,,,,,,,,,,
24,PT10M19.00S,2024-11-26T00:42:58.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630702,9.280551905387648,50.49019607843137,1610612742,2,0,2024-11-26T00:43:04Z,240000,False,-2.0,35.0,1,left,MISS J. Hardy driving floating Shot,[1630702],1610612742.0,DAL,driving floating,,,Hardy,J. Hardy,,,,,Restricted Area,0-8 Center,,,3.48,Missed,,,,,,,,,,,,,,,,
25,PT10M16.00S,2024-11-26T00:43:01.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,0,2024-11-26T00:43:04Z,250000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT10M06.00S,2024-11-26T00:43:11.8Z,1,REGULAR,turnover,lost ball,[],1630552,,,1610612737,2,0,2024-11-26T00:43:17Z,260000,False,,,0,,J. Johnson lost ball TURNOVER (2 TO),"[1630552, 1630702]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,2.0,,,,,,,Hardy,1630702.0,,,,,,,,,,
27,PT10M06.00S,2024-11-26T00:43:11.8Z,1,REGULAR,steal,,[],1630702,,,1610612742,2,0,2024-11-26T00:43:14Z,270000,False,,,0,,J. Hardy STEAL (1 STL),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
28,PT09M54.00S,2024-11-26T00:43:22.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629023,13.61695137976347,44.85294117647059,1610612742,2,0,2024-11-26T00:43:31Z,280000,False,26.0,75.0,1,left,MISS P. Washington 7' driving floating Shot,[1629023],1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,7.98,Missed,,,,,,,,,,,,,,,,
29,PT09M51.00S,2024-11-26T00:43:26.2Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,2,0,2024-11-26T00:43:26Z,290000,False,,,0,,D. Lively II REBOUND (Off:1 Def:0),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,
30,PT09M50.00S,2024-11-26T00:43:28.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630230,6.783837056504599,48.77450980392157,1610612742,2,2,2024-11-26T00:43:35Z,300000,False,6.0,11.0,1,left,N. Marshall driving Layup (2 PTS) (D. Lively II 1 AST),"[1630230, 1641726]",1610612742.0,DAL,driving,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,1.28,Made,,,,,,,2.0,,,D. Lively II,1641726.0,1.0,,,,
32,PT09M35.00S,2024-11-26T00:43:42.0Z,1,REGULAR,3pt,Jump Shot,[],1630700,71.30420499342969,20.833333333333336,1610612737,5,2,2024-11-26T00:43:48Z,320000,False,-146.0,217.0,1,right,D. Daniels 26' 3PT  (3 PTS) (Z. Risacher 1 AST),"[1630700, 1642258]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,26.16,Made,,,,,,,3.0,,,Z. Risacher,1642258.0,1.0,,,,
34,PT09M20.00S,2024-11-26T00:44:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641726,8.229303547963205,42.8921568627451,1610612742,5,2,2024-11-26T00:44:13Z,340000,False,36.0,25.0,1,left,MISS D. Lively II cutting Layup - blocked,"[1641726, 203991]",1610612742.0,DAL,cutting,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,4.34,Missed,,,,,,,,Capela,203991.0,,,,,,,
35,PT09M20.00S,2024-11-26T00:44:00.3Z,1,REGULAR,block,,[],203991,,,1610612742,5,2,2024-11-26T00:44:03Z,350000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M19.00S,2024-11-26T00:44:01.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,5,2,2024-11-26T00:44:20Z,360000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,34.0,,,,,,,,,,,,,,,
38,PT09M11.00S,2024-11-26T00:44:29.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,90.09526938239159,57.84313725490197,1610612737,7,2,2024-11-26T00:44:35Z,380000,False,39.0,41.0,1,right,D. Daniels driving floating bank Jump Shot (5 PTS),[1630700],1610612737.0,ATL,driving floating bank,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,5.64,Made,,,,,,,5.0,,,,,,,,,
39,PT08M52.00S,2024-11-26T00:44:50.7Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612742,7,2,2024-11-26T00:45:10Z,390000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Lively II 2 FT),"[203991, 1641726]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2882.0,,,,,,,,,,,,,,,,1.0,0.0,Lively II,1641726.0
41,PT08M52.00S,2024-11-26T00:45:11.2Z,1,REGULAR,freethrow,1 of 2,[],1641726,,,1610612742,7,3,2024-11-26T00:45:11Z,410000,False,,,0,,D. Lively II Free Throw 1 of 2 (1 PTS),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,
42,PT08M52.00S,2024-11-26T00:45:22.4Z,1,REGULAR,freethrow,2 of 2,[],1641726,,,1610612742,7,4,2024-11-26T00:45:22Z,420000,False,,,0,,D. Lively II Free Throw 2 of 2 (2 PTS),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,Made,,,,,,,2.0,,,,,,,,,
43,PT08M41.00S,2024-11-26T00:45:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,82.34231274638634,49.50980392156863,1610612737,9,4,2024-11-26T00:45:41Z,430000,False,-2.0,113.0,1,right,T. Young 11' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,11.35,Made,,,,,,,2.0,,,,,,,,,
44,PT08M33.00S,2024-11-26T00:45:43.0Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612742,9,4,2024-11-26T00:45:52Z,440000,False,,,0,,N. Marshall bad pass TURNOVER (2 TO),"[1630230, 1629027]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Left,,2.0,,,,,,,Young,1629027.0,,,,,,,,,,
45,PT08M33.00S,2024-11-26T00:45:43.0Z,1,REGULAR,steal,,[],1629027,,,1610612737,9,4,2024-11-26T00:45:46Z,450000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
46,PT08M27.00S,2024-11-26T00:45:48.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1642258,71.17279894875165,75.24509803921569,1610612737,9,4,2024-11-26T00:46:20Z,460000,False,126.0,218.0,1,right,MISS Z. Risacher 25' running 3PT,[1642258],1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,25.23,Missed,,,,,,,,,,,,,,,,
47,PT08M25.00S,2024-11-26T00:45:50.1Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,9,4,2024-11-26T00:46:17Z,470000,False,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,46.0,1.0,0.0,1.0,,,,,,,,,,,,
48,PT08M22.00S,2024-11-26T00:45:52.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630552,92.9862023653088,94.85294117647058,1610612737,12,4,2024-11-26T00:46:10Z,480000,False,224.0,13.0,1,right,J. Johnson 3PT  (5 PTS) (Z. Risacher 2 AST),"[1630552, 1642258]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,22.47,Made,,,,,,,5.0,,,Z. Risacher,1642258.0,2.0,,,,
50,PT08M21.00S,2024-11-26T00:45:59.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,12,4,2024-11-26T00:45:59Z,500000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M04.00S,2024-11-26T00:49:14.2Z,1,REGULAR,2pt,Jump Shot,[],1629023,6.521024967148489,32.59803921568628,1610612742,12,4,2024-11-26T01:46:36Z,510000,False,87.0,9.0,1,left,MISS P. Washington 8' driving floating Shot,[1629023],1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,Mid-Range,8-16 Right,,,8.74,Missed,,,,,,,,,,,,,,,,
52,PT08M03.00S,2024-11-26T00:49:15.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,12,4,2024-11-26T00:49:28Z,520000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Right,,,,,51.0,,,,,,,,,,,,,,,
54,PT07M49.00S,2024-11-26T00:49:36.7Z,1,REGULAR,3pt,Jump Shot,[],1630552,70.25295663600527,73.77450980392157,1610612737,12,4,2024-11-26T00:49:43Z,540000,False,119.0,227.0,1,right,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,25.63,Missed,,,,,,,,,,,,,,,,
55,PT07M45.00S,2024-11-26T00:49:40.7Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,12,4,2024-11-26T00:49:43Z,550000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,
56,PT07M33.00S,2024-11-26T00:49:52.3Z,1,REGULAR,3pt,Jump Shot,[],1630702,32.013797634691194,37.5,1610612742,12,7,2024-11-26T00:49:58Z,560000,False,62.0,248.0,1,left,J. Hardy 25' 3PT  (3 PTS) (P. Washington 1 AST),"[1630702, 1629023]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Center,,,25.61,Made,,,,,,,3.0,,,P. Washington,1629023.0,1.0,,,,
58,PT07M20.00S,2024-11-26T00:50:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,93.11760840998686,50.0,1610612737,12,7,2024-11-26T00:50:15Z,580000,False,0.0,12.0,1,right,MISS D. Daniels driving finger roll Layup - blocked,"[1630700, 1641726]",1610612737.0,ATL,driving finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,1.22,Missed,,,,,,,,Lively II,1641726.0,,,,,,,
113,PT07M20.00S,2024-11-26T00:50:05.0Z,1,REGULAR,block,,[],1641726,,,1610612737,12,7,2024-11-26T00:59:23Z,585000,False,,,0,,D. Lively II BLOCK (2 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M16.00S,2024-11-26T00:50:09.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,12,7,2024-11-26T00:50:15Z,590000,False,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,
60,PT07M16.00S,2024-11-26T00:50:08.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,14,7,2024-11-26T00:50:08Z,600000,False,0.0,0.0,1,right,C. Capela tip Layup (2 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,0.0,Made,,,,,,,2.0,,,,,,,,,
61,PT07M07.00S,2024-11-26T00:50:18.2Z,1,REGULAR,3pt,Jump Shot,[],202681,15.062417871222076,95.09803921568627,1610612742,14,7,2024-11-26T00:50:26Z,610000,False,-225.0,89.0,1,left,MISS K. Irving 24' 3PT,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Left Corner 3,24+ Left,,,24.25,Missed,,,,,,,,,,,,,,,,
62,PT07M03.00S,2024-11-26T00:50:22.2Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,14,7,2024-11-26T00:50:26Z,620000,False,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Left Corner 3,24+ Left,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,
63,PT07M03.00S,2024-11-26T00:50:28.4Z,1,REGULAR,turnover,discontinued dribble,[],1629027,,,1610612737,14,7,2024-11-26T00:50:42Z,630000,False,,,0,,T. Young discontinued dribble TURNOVER (1 TO),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,11629177.0,1.0,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2024-11-26T00:50:32.9Z,1,REGULAR,substitution,out,[],1630230,,,1610612742,14,7,2024-11-26T00:50:55Z,640000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M03.00S,2024-11-26T00:50:32.9Z,1,REGULAR,substitution,out,[],1629023,,,1610612742,14,7,2024-11-26T00:50:55Z,650000,False,,,0,,SUB out: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M03.00S,2024-11-26T00:50:32.9Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,14,7,2024-11-26T00:50:55Z,660000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M03.00S,2024-11-26T00:50:32.9Z,1,REGULAR,substitution,in,[],203915,,,1610612742,14,7,2024-11-26T00:50:55Z,670000,False,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M03.00S,2024-11-26T00:50:32.9Z,1,REGULAR,substitution,out,[],1630552,,,1610612742,14,7,2024-11-26T00:51:11Z,680000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M03.00S,2024-11-26T00:50:32.9Z,1,REGULAR,substitution,out,[],1642258,,,1610612742,14,7,2024-11-26T00:51:11Z,690000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M03.00S,2024-11-26T00:50:32.9Z,1,REGULAR,substitution,in,[],1629631,,,1610612742,14,7,2024-11-26T00:51:11Z,700000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M03.00S,2024-11-26T00:50:32.9Z,1,REGULAR,substitution,in,[],203992,,,1610612742,14,7,2024-11-26T00:51:11Z,710000,False,,,0,,SUB in: B. Bogdanović,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M49.00S,2024-11-26T00:51:32.6Z,1,REGULAR,turnover,out-of-bounds,[],1628467,,,1610612742,14,7,2024-11-26T00:51:44Z,720000,False,,,0,,M. Kleber step out-of-bounds TURNOVER (1 TO),[1628467],1610612742.0,DAL,step,,,Kleber,M. Kleber,,,,,Right Corner 3,24+ Right,1626302.0,1.0,,,,,,,,,,,,,,,,,,
73,PT06M38.00S,2024-11-26T00:51:48.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,74.45795006570303,14.950980392156863,1610612737,14,7,2024-11-26T00:51:54Z,730000,False,-175.0,188.0,1,right,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,25.67,Missed,,,,,,,,,,,,,,,,
74,PT06M33.00S,2024-11-26T00:51:53.4Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,14,7,2024-11-26T00:51:54Z,740000,False,,,0,,D. Lively II REBOUND (Off:1 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Above the Break 3,24+ Left Center,,,,,73.0,2.0,1.0,1.0,,,,,,,,,,,,
75,PT06M28.00S,2024-11-26T00:51:58.6Z,1,REGULAR,turnover,lost ball,[],1630702,,,1610612742,14,7,2024-11-26T00:52:05Z,750000,False,,,0,,J. Hardy lost ball TURNOVER (2 TO),"[1630702, 1629027]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Restricted Area,0-8 Center,,2.0,,,,,,,Young,1629027.0,,,,,,,,,,
76,PT06M28.00S,2024-11-26T00:51:58.6Z,1,REGULAR,steal,,[],1629027,,,1610612737,14,7,2024-11-26T00:58:53Z,760000,False,,,0,,T. Young STEAL (2 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
77,PT06M23.00S,2024-11-26T00:52:05.5Z,1,REGULAR,foul,personal,['2freethrow'],1641726,,,1610612737,14,7,2024-11-26T00:52:33Z,770000,False,,,0,,D. Lively II shooting personal FOUL (1 PF) (Young 2 FT),"[1641726, 1629027]",1610612742.0,DAL,shooting,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),8-16 Right,2882.0,,,,,,,,,,,,,,,,1.0,0.0,Young,1629027.0
79,PT06M23.00S,2024-11-26T00:52:33.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629027,,,1610612737,14,7,2024-11-26T00:52:33Z,790000,False,,,0,,MISS T. Young Free Throw 1 of 2,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
80,PT06M23.00S,2024-11-26T00:52:33.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,14,7,2024-11-26T00:52:33Z,800000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,
81,PT06M23.00S,2024-11-26T00:52:46.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629027,,,1610612737,15,7,2024-11-26T00:52:46Z,810000,False,,,0,,T. Young Free Throw 2 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,
83,PT06M13.00S,2024-11-26T00:53:05.9Z,1,REGULAR,substitution,out,[],203991,,,1610612742,15,7,2024-11-26T00:53:10Z,830000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
