actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
27,PT10M14.00S,2024-12-27T00:43:41.8Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612737,2,0,2024-12-27T00:43:56Z,270000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 1630172]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,Williams,1630172.0,,,,,,
28,PT10M14.00S,2024-12-27T00:43:41.8Z,1,REGULAR,steal,,[],1630172,,,1610612741,2,0,2024-12-27T00:43:46Z,280000,False,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
29,PT10M08.00S,2024-12-27T00:43:47.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203897,92.72339027595268,49.01960784313725,1610612741,2,2,2024-12-27T00:57:01Z,290000,False,-5.0,16.0,1,right,Z. LaVine running alley-oop DUNK (2 PTS) (D. Terry 1 AST),"[203897, 1631207]",1610612741.0,CHI,running alley-oop,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,,,,,,,,,,,2.0,D. Terry,1631207.0,1.0
31,PT09M59.00S,2024-12-27T00:43:57.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,8.360709592641262,41.66666666666667,1610612737,4,2,2024-12-27T00:44:19Z,310000,False,42.0,26.0,1,left,T. Young driving floating bank Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,4.92,Made,,,,,,,,,,,,,,,2.0,,,
32,PT09M59.00S,2024-12-27T00:44:02.9Z,1,REGULAR,foul,personal,['1freethrow'],1631207,,,1610612737,4,2,2024-12-27T00:44:17Z,320000,False,,,0,,D. Terry shooting personal FOUL (2 PF) (Young 1 FT),"[1631207, 1629027]",1610612741.0,CHI,shooting,,,Terry,D. Terry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2004.0,,2.0,0.0,Young,1629027.0,,,,,,,,
34,PT09M59.00S,2024-12-27T00:44:31.3Z,1,REGULAR,freethrow,1 of 1,[],1629027,,,1610612737,5,2,2024-12-27T00:44:31Z,340000,False,,,0,,T. Young Free Throw 1 of 1 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,,,,,,,,,,,3.0,,,
35,PT09M48.00S,2024-12-27T00:44:44.1Z,1,REGULAR,2pt,Jump Shot,[],203897,79.58278580814718,73.77450980392157,1610612741,5,2,2024-12-27T00:44:51Z,350000,False,119.0,139.0,1,right,MISS Z. LaVine 18' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right Center,18.32,Missed,,,,,,,,,,,,,,,,,,
36,PT09M44.00S,2024-12-27T00:44:48.1Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,5,2,2024-12-27T00:44:51Z,360000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Right Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M32.00S,2024-12-27T00:44:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,10.463206307490145,53.67647058823529,1610612737,5,2,2024-12-27T00:45:06Z,370000,False,-18.0,46.0,1,left,MISS J. Johnson driving floating bank Shot,[1630552],1610612737.0,ATL,driving floating bank,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,4.95,Missed,,,,,,,,,,,,,,,,,,
38,PT09M28.00S,2024-12-27T00:45:03.6Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,5,2,2024-12-27T00:45:06Z,380000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT09M26.00S,2024-12-27T00:45:05.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629632,71.96123521681997,19.607843137254903,1610612741,5,2,2024-12-27T00:45:15Z,390000,False,-152.0,211.0,1,right,MISS C. White 26' running 3PT,[1629632],1610612741.0,CHI,running,,,White,C. White,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
40,PT09M22.00S,2024-12-27T00:45:09.2Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,5,2,2024-12-27T00:49:06Z,400000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT09M15.00S,2024-12-27T00:45:16.4Z,1,REGULAR,3pt,Jump Shot,[],1630552,6.652431011826544,4.166666666666666,1610612737,5,2,2024-12-27T00:45:21Z,410000,False,229.0,10.0,1,left,MISS J. Johnson 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,22.94,Missed,,,,,,,,,,,,,,,,,,
42,PT09M12.00S,2024-12-27T00:45:19.4Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,5,2,2024-12-27T00:45:21Z,420000,False,,,0,,P. Williams REBOUND (Off:0 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT09M07.00S,2024-12-27T00:45:24.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630172,70.25295663600527,76.47058823529412,1610612741,5,2,2024-12-27T00:45:32Z,430000,False,132.0,227.0,1,right,MISS P. Williams 26' running pullup 3PT,[1630172],1610612741.0,CHI,running pullup,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
44,PT09M04.00S,2024-12-27T00:45:27.2Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,5,2,2024-12-27T00:45:32Z,440000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT08M52.00S,2024-12-27T00:45:39.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,5.469776609724048,50.73529411764706,1610612737,7,2,2024-12-27T00:45:46Z,450000,False,-4.0,-1.0,1,left,C. Capela alley-oop DUNK (2 PTS) (J. Johnson 1 AST),"[203991, 1630552]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,,,,,,,,,2.0,J. Johnson,1630552.0,1.0
47,PT08M37.00S,2024-12-27T00:45:54.6Z,1,REGULAR,3pt,Jump Shot,[],1631207,71.69842312746385,20.098039215686274,1610612741,7,2,2024-12-27T00:46:00Z,470000,False,-150.0,214.0,1,right,MISS D. Terry 26' 3PT,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Above the Break 3,24+ Left Center,26.06,Missed,,,,,,,,,,,,,,,,,,
48,PT08M34.00S,2024-12-27T00:45:57.6Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,7,2,2024-12-27T00:46:00Z,480000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,
49,PT08M23.00S,2024-12-27T00:46:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,5.601182654402102,47.794117647058826,1610612737,9,2,2024-12-27T00:46:16Z,490000,False,11.0,0.0,1,left,J. Johnson Layup (4 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,,,,,,,,,,,4.0,,,
51,PT08M23.00S,2024-12-27T00:46:16.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,9,2,2024-12-27T00:46:16Z,510000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M23.00S,2024-12-27T00:48:39.7Z,1,REGULAR,substitution,out,[],1631207,,,1610612741,9,2,2024-12-27T00:48:58Z,520000,False,,,0,,SUB out: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M23.00S,2024-12-27T00:48:39.7Z,1,REGULAR,substitution,in,[],1628975,,,1610612741,9,2,2024-12-27T00:48:58Z,530000,False,,,0,,SUB in: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M08.00S,2024-12-27T00:49:20.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,85.23324572930355,57.84313725490197,1610612741,9,4,2024-12-27T00:49:26Z,540000,False,39.0,86.0,1,right,N. Vučević 9' floating Jump Shot (2 PTS) (P. Williams 1 AST),"[202696, 1630172]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,9.48,Made,,,,,,,,,,,,,,,2.0,P. Williams,1630172.0,1.0
56,PT07M46.00S,2024-12-27T00:49:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,7.30946123521682,60.049019607843135,1610612737,9,4,2024-12-27T00:49:47Z,560000,False,-50.0,16.0,1,left,MISS Z. Risacher Layup,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),0-8 Center,5.27,Missed,,,,,,,,,,,,,,,,,,
57,PT07M43.00S,2024-12-27T00:49:45.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,9,4,2024-12-27T00:49:47Z,570000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT07M41.00S,2024-12-27T00:49:48.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628975,77.08607095926413,88.48039215686273,1610612741,9,7,2024-12-27T00:51:32Z,580000,False,192.0,163.0,1,right,J. Carter 25' 3PT running (3 PTS) (Z. LaVine 1 AST),"[1628975, 203897]",1610612741.0,CHI,running,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,25.21,Made,,,,,,,,,,,,,,,3.0,Z. LaVine,203897.0,1.0
60,PT07M41.00S,2024-12-27T00:49:56.0Z,1,REGULAR,foul,personal,['1freethrow'],1629027,,,1610612741,9,7,2024-12-27T00:50:12Z,600000,False,,,0,,T. Young shooting personal FOUL (1 PF) (Carter 1 FT),"[1629027, 1628975]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,,1627964.0,,1.0,0.0,Carter,1628975.0,,,,,,,,
62,PT07M41.00S,2024-12-27T00:50:17.7Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1628975,,,1610612741,9,7,2024-12-27T00:50:30Z,620000,False,,,0,,MISS J. Carter Free Throw 1 of 1,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT07M39.00S,2024-12-27T00:50:19.7Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,9,7,2024-12-27T00:50:30Z,630000,False,,,0,,J. Johnson REBOUND (Off:0 Def:3),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,62.0,3.0,3.0,0.0,,,,,,,,,,,,,,
66,PT07M18.00S,2024-12-27T00:51:10.7Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,9,7,2024-12-27T00:51:16Z,660000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 202696]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Center,,,,,,,,1.0,,,,,Vučević,202696.0,,,,,,
67,PT07M18.00S,2024-12-27T00:51:10.7Z,1,REGULAR,steal,,[],202696,,,1610612741,9,7,2024-12-27T01:26:50Z,670000,False,,,0,,N. Vučević STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
68,PT07M12.00S,2024-12-27T00:51:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,89.17542706964521,49.50980392156863,1610612741,9,9,2024-12-27T01:01:31Z,680000,False,-2.0,49.0,1,right,N. Vučević Layup (4 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,4.94,Made,,,,,,,,,,,,,,,4.0,C. White,1629632.0,1.0
70,PT07M05.00S,2024-12-27T00:51:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,5.469776609724048,50.245098039215684,1610612737,11,9,2024-12-27T00:51:32Z,700000,False,-1.0,-1.0,1,left,Z. Risacher driving Layup (2 PTS) (T. Young 2 AST),"[1642258, 1629027]",1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,0.16,Made,,,,,,,,,,,,,,,2.0,T. Young,1629027.0,2.0
72,PT06M50.00S,2024-12-27T00:51:38.0Z,1,REGULAR,3pt,Jump Shot,[],1630172,72.09264126149803,18.627450980392158,1610612741,11,9,2024-12-27T00:51:43Z,720000,False,-157.0,210.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
73,PT06M47.00S,2024-12-27T00:51:41.0Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,11,9,2024-12-27T00:51:43Z,730000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:2),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT06M39.00S,2024-12-27T00:51:48.6Z,1,REGULAR,3pt,Jump Shot,[],1629027,24.392247043363994,14.705882352941178,1610612737,11,9,2024-12-27T00:51:54Z,740000,False,176.0,177.0,1,left,MISS T. Young 24' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,24.98,Missed,,,,,,,,,,,,,,,,,,
75,PT06M36.00S,2024-12-27T00:51:51.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,11,9,2024-12-27T00:51:54Z,750000,False,,,0,,N. Vučević REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Right Center,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,,,
76,PT06M34.00S,2024-12-27T00:51:55.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628975,75.77201051248358,12.990196078431374,1610612741,11,12,2024-12-27T02:19:40Z,760000,False,-185.0,175.0,1,right,J. Carter 25' 3PT running pullup (6 PTS) (N. Vučević 1 AST),"[1628975, 202696]",1610612741.0,CHI,running pullup,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,25.48,Made,,,,,,,,,,,,,,,6.0,N. Vučević,202696.0,1.0
77,PT06M34.00S,2024-12-27T00:52:03.6Z,1,REGULAR,foul,personal,['1freethrow'],1642258,,,1610612741,11,12,2024-12-27T00:52:31Z,770000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Carter 1 FT),"[1642258, 1628975]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,,,,1627964.0,,1.0,0.0,Carter,1628975.0,,,,,,,,
79,PT06M34.00S,2024-12-27T00:52:11.2Z,1,REGULAR,substitution,out,[],1630552,,,1610612741,11,12,2024-12-27T00:52:26Z,790000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M34.00S,2024-12-27T00:52:11.2Z,1,REGULAR,substitution,out,[],203991,,,1610612741,11,12,2024-12-27T00:52:26Z,810000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M34.00S,2024-12-27T00:52:11.2Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,11,12,2024-12-27T00:52:26Z,820000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M34.00S,2024-12-27T00:52:11.2Z,1,REGULAR,substitution,in,[],1630249,,,1610612741,11,12,2024-12-27T00:52:26Z,830000,False,,,0,,SUB in: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M34.00S,2024-12-27T00:52:11.2Z,1,REGULAR,substitution,in,[],1629631,,,1610612741,11,12,2024-12-27T00:52:26Z,840000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M34.00S,2024-12-27T00:52:11.2Z,1,REGULAR,substitution,in,[],1626204,,,1610612741,11,12,2024-12-27T00:52:26Z,850000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612737.0,ATL,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M34.00S,2024-12-27T00:52:11.2Z,1,REGULAR,substitution,in,[],1629659,,,1610612741,11,12,2024-12-27T00:52:26Z,860000,False,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612741.0,CHI,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M34.00S,2024-12-27T00:52:11.2Z,1,REGULAR,substitution,out,[],1629027,,,1610612741,11,12,2024-12-27T00:52:40Z,870000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M34.00S,2024-12-27T00:52:46.2Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1628975,,,1610612741,11,13,2024-12-27T00:52:46Z,880000,False,,,0,,J. Carter Free Throw 1 of 1 (7 PTS),[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,Made,,,,,,,,,,,,,,,7.0,,,
89,PT06M17.00S,2024-12-27T00:53:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629631,28.86005256241787,24.509803921568626,1610612737,11,13,2024-12-27T00:53:09Z,890000,False,127.0,219.0,1,left,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,25.32,Missed,,,,,,,,,,,,,,,,,,
