actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
18,PT10M48.00S,2025-03-27T23:44:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,93.9060446780552,52.69607843137255,1610612737,2,4,2025-03-27T23:44:11Z,180000,False,13.0,5.0,1,right,O. Okongwu cutting finger roll Layup (2 PTS) (T. Young 2 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting finger roll,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,1.43,Made,2.0,T. Young,1629027.0,2.0,,,,,,,,,,,,
20,PT10M36.00S,2025-03-27T23:44:16.9Z,1,REGULAR,3pt,Jump Shot,[],202692,3.630091984231275,96.81372549019608,1610612748,2,4,2025-03-27T23:44:23Z,200000,False,-234.0,-18.0,1,left,MISS A. Burks 3PT,[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,Left Corner 3,24+ Left,,,23.48,Missed,,,,,,,,,,,,,,,,
21,PT10M31.00S,2025-03-27T23:44:21.9Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,2,4,2025-03-27T23:44:23Z,210000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT10M28.00S,2025-03-27T23:44:24.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630700,89.83245729303549,50.49019607843137,1610612737,2,6,2025-03-27T23:47:52Z,220000,False,2.0,43.0,1,right,D. Daniels driving floating Jump Shot (2 PTS),[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,4.32,Made,2.0,,,,,,,,,,,,,,,
26,PT10M02.00S,2025-03-27T23:45:08.1Z,1,REGULAR,3pt,Jump Shot,[],202692,31.61957950065703,52.20588235294118,1610612748,2,6,2025-03-27T23:50:03Z,250000,False,-11.0,245.0,1,left,MISS A. Burks 24' pullup 3PT,[202692],1610612748.0,MIA,pullup,,,Burks,A. Burks,,,,,Above the Break 3,24+ Center,,,24.49,Missed,,,,,,,,,,,,,,,,
27,PT09M58.00S,2025-03-27T23:45:12.1Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,2,6,2025-03-27T23:52:50Z,260000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,
28,PT09M53.00S,2025-03-27T23:45:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629027,92.46057818659659,53.18627450980392,1610612737,2,6,2025-03-27T23:45:27Z,270000,False,16.0,18.0,1,right,MISS T. Young running finger roll Layup,[1629027],1610612737.0,ATL,running finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,2.43,Missed,,,,,,,,,,,,,,,,
29,PT09M51.00S,2025-03-27T23:45:19.1Z,1,REGULAR,rebound,defensive,[],202692,,,1610612748,2,6,2025-03-27T23:45:27Z,280000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,
30,PT09M41.00S,2025-03-27T23:45:29.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,11.645860709592641,40.19607843137255,1610612748,2,6,2025-03-27T23:45:38Z,290000,False,49.0,57.0,1,left,MISS B. Adebayo 7' turnaround Hook,[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,7.52,Missed,,,,,,,,,,,,,,,,
31,PT09M38.00S,2025-03-27T23:45:32.1Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,2,6,2025-03-27T23:45:38Z,300000,False,,,0,,K. Ware REBOUND (Off:2 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,30.0,2.0,0.0,2.0,,,,
32,PT09M37.00S,2025-03-27T23:45:34.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203952,29.38567674113009,29.411764705882355,1610612748,2,6,2025-03-27T23:45:42Z,310000,False,103.0,224.0,1,left,MISS A. Wiggins 24' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,24.62,Missed,,,,,,,,,,,,,,,,
33,PT09M37.00S,2025-03-27T23:45:34.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,2,6,2025-03-27T23:45:42Z,320000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,
34,PT09M23.00S,2025-03-27T23:45:47.1Z,1,REGULAR,3pt,Jump Shot,[],1630168,66.83639947437582,55.14705882352941,1610612737,2,6,2025-03-27T23:45:53Z,330000,False,26.0,259.0,1,right,MISS O. Okongwu 26' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,26.05,Missed,,,,,,,,,,,,,,,,
35,PT09M20.00S,2025-03-27T23:45:50.1Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,2,6,2025-03-27T23:45:53Z,340000,False,,,0,,K. Ware REBOUND (Off:2 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,34.0,3.0,1.0,2.0,,,,
36,PT09M10.00S,2025-03-27T23:46:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,11.12023653088042,54.65686274509803,1610612748,2,6,2025-03-27T23:53:22Z,350000,False,-23.0,52.0,1,left,MISS A. Burks driving floating Shot - blocked,"[202692, 1630249]",1610612748.0,MIA,driving floating,,,Burks,A. Burks,,,,,In The Paint (Non-RA),0-8 Center,,,5.7,Missed,,,,,,,,,,,,,Krejčí,1630249.0,,
37,PT09M10.00S,2025-03-27T23:46:00.2Z,1,REGULAR,block,,[],1630249,,,1610612748,2,6,2025-03-27T23:46:03Z,360000,False,,,0,,V. Krejčí BLOCK (1 BLK),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M05.00S,2025-03-27T23:46:05.2Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,2,6,2025-03-27T23:47:09Z,370000,False,,,0,,V. Krejčí REBOUND (Off:0 Def:1),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,
39,PT08M47.00S,2025-03-27T23:46:23.0Z,1,REGULAR,3pt,Jump Shot,[],1642258,72.35545335085413,79.16666666666666,1610612737,2,9,2025-03-27T23:46:30Z,380000,False,146.0,207.0,1,right,Z. Risacher 25' 3PT  (5 PTS) (T. Young 3 AST),"[1642258, 1629027]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,25.35,Made,5.0,T. Young,1629027.0,3.0,,,,,,,,,,,,
41,PT08M28.00S,2025-03-27T23:46:42.2Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,2,9,2025-03-27T23:46:48Z,400000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1629027]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Young,1629027.0
42,PT08M28.00S,2025-03-27T23:46:42.2Z,1,REGULAR,steal,,[],1629027,,,1610612737,2,9,2025-03-27T23:46:46Z,410000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M21.00S,2025-03-27T23:46:49.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630249,73.27529566360053,14.950980392156863,1610612737,2,12,2025-03-28T03:06:38Z,420000,False,-175.0,199.0,1,right,V. Krejčí 26' 3PT running (3 PTS) (Z. Risacher 1 AST),"[1630249, 1642258]",1610612737.0,ATL,running,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Left Center,,,26.49,Made,3.0,Z. Risacher,1642258.0,1.0,,,,,,,,,,,,
45,PT08M21.00S,2025-03-27T23:46:56.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,2,12,2025-03-27T23:46:56Z,440000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M04.00S,2025-03-27T23:50:09.3Z,1,REGULAR,3pt,Jump Shot,[],203952,32.802233902759525,51.225490196078425,1610612748,2,12,2025-03-27T23:54:57Z,450000,False,-6.0,256.0,1,left,MISS A. Wiggins 25' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,25.59,Missed,,,,,,,,,,,,,,,,
47,PT08M00.00S,2025-03-27T23:50:13.3Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,2,12,2025-03-27T23:50:16Z,460000,False,,,0,,V. Krejčí REBOUND (Off:0 Def:2),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,
48,PT07M55.00S,2025-03-27T23:50:18.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,66.96780551905388,46.81372549019608,1610612737,2,15,2025-03-27T23:52:05Z,470000,False,-16.0,258.0,1,right,T. Young 25' 3PT running pullup (3 PTS),[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,25.85,Made,3.0,,,,,,,,,,,,,,,
49,PT07M30.00S,2025-03-27T23:50:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,13.748357424441524,54.166666666666664,1610612748,4,15,2025-03-27T23:50:48Z,480000,False,-21.0,77.0,1,left,A. Wiggins 7' driving floating Jump Shot (2 PTS),[203952],1610612748.0,MIA,driving floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,7.95,Made,2.0,,,,,,,,,,,,,,,
50,PT07M22.00S,2025-03-27T23:50:51.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,69.07030223390277,27.450980392156865,1610612737,4,18,2025-03-27T23:50:56Z,490000,False,-113.0,238.0,1,right,T. Young 26' 3PT pullup (6 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,26.35,Made,6.0,,,,,,,,,,,,,,,
52,PT07M09.00S,2025-03-27T23:51:09.3Z,1,REGULAR,foul,personal,['3freethrow'],1629027,,,1610612748,4,18,2025-03-27T23:51:40Z,510000,False,,,0,,T. Young shooting personal FOUL (1 PF) (Burks 3 FT),"[1629027, 202692]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,1628171.0,,,,,,,,1.0,0.0,Burks,202692.0,,,,,,,,
54,PT07M09.00S,2025-03-27T23:51:38.1Z,1,REGULAR,freethrow,1 of 3,[],202692,,,1610612748,5,18,2025-03-27T23:51:38Z,530000,False,,,0,,A. Burks Free Throw 1 of 3 (1 PTS),[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
55,PT07M09.00S,2025-03-27T23:52:14.9Z,1,REGULAR,freethrow,2 of 3,[],202692,,,1610612748,5,18,2025-03-27T23:52:14Z,540000,False,,,0,,MISS A. Burks Free Throw 2 of 3,[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
56,PT07M09.00S,2025-03-27T23:52:14.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,5,18,2025-03-27T23:52:14Z,550000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,
57,PT07M09.00S,2025-03-27T23:52:27.8Z,1,REGULAR,freethrow,3 of 3,[],202692,,,1610612748,6,18,2025-03-27T23:52:27Z,560000,False,,,0,,A. Burks Free Throw 3 of 3 (2 PTS),[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
58,PT06M58.00S,2025-03-27T23:52:40.4Z,1,REGULAR,2pt,Jump Shot,[],1629027,78.13731931668858,48.28431372549019,1610612737,6,18,2025-03-27T23:52:48Z,570000,False,-9.0,153.0,1,right,MISS T. Young 15' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Mid-Range,8-16 Center,,,15.32,Missed,,,,,,,,,,,,,,,,
59,PT06M54.00S,2025-03-27T23:52:44.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,6,18,2025-03-27T23:52:48Z,580000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,
60,PT06M43.00S,2025-03-27T23:52:55.0Z,1,REGULAR,3pt,Jump Shot,[],1629639,5.732588699080158,3.1862745098039214,1610612748,9,18,2025-03-27T23:53:20Z,590000,False,234.0,1.0,1,left,T. Herro 3PT  (3 PTS) (A. Burks 1 AST),"[1629639, 202692]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,,,23.41,Made,3.0,A. Burks,202692.0,1.0,,,,,,,,,,,,
62,PT06M33.00S,2025-03-27T23:53:06.3Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612737,9,18,2025-03-27T23:53:16Z,610000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1642276, 1630168]",1610612748.0,MIA,shooting,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,1628171.0,,,,,,,,1.0,0.0,Okongwu,1630168.0,,,,,,,,
64,PT06M33.00S,2025-03-27T23:53:36.6Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,9,19,2025-03-27T23:53:36Z,630000,False,,,0,,O. Okongwu Free Throw 1 of 2 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
65,PT06M33.00S,2025-03-27T23:53:37.6Z,1,REGULAR,substitution,out,[],1628389,,,1610612737,9,19,2025-03-27T23:53:59Z,640000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M33.00S,2025-03-27T23:53:37.6Z,1,REGULAR,substitution,out,[],202692,,,1610612737,9,19,2025-03-27T23:53:59Z,650000,False,,,0,,SUB out: A. Burks,[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M33.00S,2025-03-27T23:53:37.6Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,9,19,2025-03-27T23:53:59Z,660000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M33.00S,2025-03-27T23:53:37.6Z,1,REGULAR,substitution,in,[],1630558,,,1610612737,9,19,2025-03-27T23:53:59Z,670000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M33.00S,2025-03-27T23:53:37.6Z,1,REGULAR,substitution,in,[],1629312,,,1610612737,9,19,2025-03-27T23:53:59Z,680000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M33.00S,2025-03-27T23:53:37.6Z,1,REGULAR,substitution,in,[],1627747,,,1610612737,9,19,2025-03-27T23:53:59Z,690000,False,,,0,,SUB in: C. LeVert,[1627747],1610612737.0,ATL,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M33.00S,2025-03-27T23:54:00.8Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,9,20,2025-03-27T23:54:00Z,700000,False,,,0,,O. Okongwu Free Throw 2 of 2 (4 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
72,PT06M11.00S,2025-03-27T23:54:23.3Z,1,REGULAR,2pt,Jump Shot,[],1629639,23.866622864651774,54.166666666666664,1610612748,11,20,2025-03-27T23:54:30Z,710000,False,-21.0,172.0,1,left,T. Herro 17' pullup Jump Shot (5 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Mid-Range,16-24 Center,,,17.31,Made,5.0,,,,,,,,,,,,,,,
73,PT06M02.00S,2025-03-27T23:54:31.3Z,1,REGULAR,3pt,Jump Shot,[],1630249,72.48685939553219,77.69607843137256,1610612737,11,23,2025-03-27T23:59:03Z,720000,False,138.0,206.0,1,right,V. Krejčí 24' 3PT  (6 PTS) (C. LeVert 1 AST),"[1630249, 1627747]",1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Right Center,,,24.83,Made,6.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,
75,PT05M49.00S,2025-03-27T23:54:45.0Z,1,REGULAR,3pt,Jump Shot,[],1629639,2.9730617608409986,4.411764705882353,1610612748,11,23,2025-03-27T23:54:50Z,740000,False,228.0,-25.0,1,left,MISS T. Herro 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,,,22.92,Missed,,,,,,,,,,,,,,,,
76,PT05M45.00S,2025-03-27T23:54:48.7Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,11,23,2025-03-27T23:54:48Z,750000,False,,,0,,K. Ware REBOUND (Off:3 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,75.0,4.0,1.0,3.0,,,,
77,PT05M37.00S,2025-03-27T23:54:57.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203952,19.136005256241788,67.8921568627451,1610612748,11,23,2025-03-27T23:55:04Z,760000,False,-89.0,127.0,1,left,MISS A. Wiggins 15' step back Shot,[203952],1610612748.0,MIA,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,,15.57,Missed,,,,,,,,,,,,,,,,
78,PT05M34.00S,2025-03-27T23:55:00.1Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612737,11,23,2025-03-27T23:55:04Z,770000,False,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612737.0,ATL,,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,
79,PT05M28.00S,2025-03-27T23:55:06.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630249,79.71419185282524,89.70588235294117,1610612737,11,23,2025-03-27T23:55:16Z,780000,False,199.0,138.0,1,right,MISS V. Krejčí 24' running pullup 3PT,[1630249],1610612737.0,ATL,running pullup,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Right Center,,,24.19,Missed,,,,,,,,,,,,,,,,
80,PT05M25.00S,2025-03-27T23:55:08.9Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,11,23,2025-03-27T23:55:08Z,790000,False,,,0,,K. Ware REBOUND (Off:3 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,79.0,5.0,2.0,3.0,,,,
81,PT05M15.00S,2025-03-27T23:55:18.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,10.85742444152431,58.333333333333336,1610612748,11,23,2025-03-27T23:55:26Z,800000,False,-42.0,50.0,1,left,MISS D. Mitchell 6' driving Layup,[1630558],1610612748.0,MIA,driving,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,6.48,Missed,,,,,,,,,,,,,,,,
82,PT05M13.00S,2025-03-27T23:55:20.6Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,11,23,2025-03-27T23:55:26Z,810000,False,,,0,,V. Krejčí REBOUND (Off:0 Def:3),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,81.0,3.0,3.0,0.0,,,,
83,PT05M06.00S,2025-03-27T23:55:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,93.38042049934296,47.549019607843135,1610612737,11,23,2025-03-27T23:55:38Z,820000,False,-12.0,10.0,1,right,MISS O. Okongwu reverse Layup,[1630168],1610612737.0,ATL,reverse,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,1.57,Missed,,,,,,,,,,,,,,,,
84,PT05M02.00S,2025-03-27T23:55:32.5Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,11,23,2025-03-27T23:55:38Z,830000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,
