actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT11M06.00S,2025-04-06T00:14:43.3Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,0,3,2025-04-06T00:14:43Z,160000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
17,PT10M52.00S,2025-04-06T00:14:59.7Z,1,REGULAR,3pt,Jump Shot,[],202692,8.229303547963205,3.9215686274509802,1610612748,0,3,2025-04-06T00:15:05Z,170000,False,230.0,25.0,1,left,MISS A. Burks 3PT,[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,Right Corner 3,24+ Right,,,,23.17,Missed,,,,,,,,,,,,,,,
18,PT10M48.00S,2025-04-06T00:15:03.7Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,0,3,2025-04-06T00:15:05Z,180000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Right Corner 3,24+ Right,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
19,PT10M47.00S,2025-04-06T00:15:04.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642276,6.783837056504599,48.77450980392157,1610612748,0,3,2025-04-06T00:15:09Z,190000,False,6.0,11.0,1,left,MISS K. Ware floating Shot,[1642276],1610612748.0,MIA,floating,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,1.28,Missed,,,,,,,,,,,,,,,
20,PT10M47.00S,2025-04-06T00:15:04.3Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,0,3,2025-04-06T00:15:09Z,200000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M28.00S,2025-04-06T00:15:23.1Z,1,REGULAR,2pt,Jump Shot,[],1631157,93.77463863337714,81.12745098039215,1610612749,0,3,2025-04-06T00:15:31Z,210000,False,156.0,6.0,1,right,MISS R. Rollins 15' pullup Shot,[1631157],1610612749.0,MIL,pullup,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Right,,,,15.57,Missed,,,,,,,,,,,,,,,
22,PT10M25.00S,2025-04-06T00:15:26.1Z,1,REGULAR,rebound,defensive,[],202692,,,1610612748,0,3,2025-04-06T00:15:28Z,220000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,Mid-Range,8-16 Right,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M13.00S,2025-04-06T00:15:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.703679369250986,56.372549019607845,1610612748,2,3,2025-04-06T00:15:46Z,230000,False,-32.0,20.0,1,left,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,3.76,Made,2.0,,,,,,,,,,,,,,
80,PT09M59.00S,2025-04-06T00:15:50.4Z,1,REGULAR,turnover,offensive-kicked-ball,[],1628398,,,1610612749,2,3,2025-04-06T00:25:22Z,235000,False,,,0,,K. Kuzma offensive-kicked-ball TURNOVER (1 TO),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Center,1.0,,,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2025-04-06T00:16:20.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628389,30.962549277266753,57.59803921568627,1610612748,5,3,2025-04-06T00:25:22Z,250000,False,-38.0,239.0,1,left,B. Adebayo 24' 3PT  (5 PTS) (P. Larsson 1 AST),"[1628389, 1641796]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,24.15,Made,5.0,,,,,,,,,,P. Larsson,1641796.0,1.0,,
28,PT09M23.00S,2025-04-06T00:16:57.2Z,1,REGULAR,3pt,Jump Shot,[],201572,67.36202365308804,27.450980392156865,1610612749,5,6,2025-04-06T00:17:36Z,280000,False,-113.0,254.0,1,right,B. Lopez 27' 3PT  (3 PTS) (K. Kuzma 1 AST),"[201572, 1628398]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,27.82,Made,3.0,,,,,,,,,,K. Kuzma,1628398.0,1.0,,
31,PT09M12.00S,2025-04-06T00:17:13.1Z,1,REGULAR,foul,personal,[],201572,,,1610612748,5,6,2025-04-06T00:17:17Z,300000,False,,,0,,B. Lopez personal FOUL (1 PF),"[201572, 1628389]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,,,,,,,,,,,202007.0,1.0,0.0,Adebayo,1628389.0,,,,,
33,PT09M01.00S,2025-04-06T00:17:37.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,21.369908015768726,87.99019607843137,1610612748,5,6,2025-04-06T00:17:45Z,320000,False,-190.0,148.0,1,left,MISS D. Robinson 24' pullup 3PT - blocked,"[1629130, 1631157]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,24.11,Missed,,,,,,,,,,,,,,Rollins,1631157.0
34,PT09M01.00S,2025-04-06T00:17:37.5Z,1,REGULAR,block,,[],1631157,,,1610612748,5,6,2025-04-06T00:17:43Z,330000,False,,,0,,R. Rollins BLOCK (1 BLK),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
35,PT08M58.00S,2025-04-06T00:17:40.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,6,2025-04-06T00:19:45Z,340000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,
36,PT08M50.00S,2025-04-06T00:17:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,85.10183968462549,56.61764705882353,1610612749,5,6,2025-04-06T00:17:54Z,350000,False,33.0,88.0,1,right,MISS K. Kuzma 9' driving floating Shot,[1628398],1610612749.0,MIL,driving floating,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,9.36,Missed,,,,,,,,,,,,,,,
37,PT08M47.00S,2025-04-06T00:17:51.2Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,5,6,2025-04-06T00:17:54Z,360000,False,,,0,,K. Ware REBOUND (Off:1 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,
38,PT08M43.00S,2025-04-06T00:17:56.0Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,5,6,2025-04-06T00:18:00Z,370000,False,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 1627752]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,1.0,Prince,1627752.0,,,,,,,,,,,,,,,,,
39,PT08M43.00S,2025-04-06T00:17:56.0Z,1,REGULAR,steal,,[],1627752,,,1610612749,5,6,2025-04-06T00:17:57Z,380000,False,,,0,,T. Prince STEAL (2 STL),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M39.00S,2025-04-06T00:17:59.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628398,94.1688567674113,49.754901960784316,1610612749,5,8,2025-04-06T00:20:48Z,390000,False,-1.0,2.0,1,right,K. Kuzma running reverse Layup (2 PTS) (T. Prince 1 AST),"[1628398, 1627752]",1610612749.0,MIL,running reverse,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,0.26,Made,2.0,,,,,,,,,,T. Prince,1627752.0,1.0,,
42,PT08M24.00S,2025-04-06T00:18:15.1Z,1,REGULAR,3pt,Jump Shot,[],1628389,27.020367936925098,80.14705882352942,1610612748,8,8,2025-04-06T00:18:21Z,410000,False,-151.0,201.0,1,left,B. Adebayo 25' 3PT  (8 PTS) (A. Burks 1 AST),"[1628389, 202692]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,25.16,Made,8.0,,,,,,,,,,A. Burks,202692.0,1.0,,
44,PT08M06.00S,2025-04-06T00:18:32.7Z,1,REGULAR,2pt,Jump Shot,[],203507,75.64060446780552,61.51960784313726,1610612749,8,8,2025-04-06T00:18:38Z,430000,False,58.0,176.0,1,right,MISS G. Antetokounmpo 18' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,18.57,Missed,,,,,,,,,,,,,,,
45,PT08M03.00S,2025-04-06T00:18:35.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,8,8,2025-04-06T00:18:38Z,440000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,
46,PT07M51.00S,2025-04-06T00:18:47.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.14257555847569,48.529411764705884,1610612748,8,8,2025-04-06T00:21:34Z,450000,False,7.0,80.0,1,left,MISS B. Adebayo 8' driving floating Shot,[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,8.07,Missed,,,,,,,,,,,,,,,
47,PT07M49.00S,2025-04-06T00:18:49.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,8,2025-04-06T00:18:52Z,460000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,46.0,3.0,3.0,0.0,,,,,,,,,,
48,PT07M36.00S,2025-04-06T00:19:02.8Z,1,REGULAR,3pt,Jump Shot,[],1631157,76.69185282522996,86.76470588235294,1610612749,8,11,2025-04-06T00:19:07Z,470000,False,184.0,167.0,1,right,R. Rollins 24' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1631157, 203507]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Right Center,,,,24.81,Made,3.0,,,,,,,,,,G. Antetokounmpo,203507.0,1.0,,
50,PT07M29.00S,2025-04-06T00:19:10.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,22.421156373193167,11.519607843137255,1610612748,11,11,2025-04-06T00:19:16Z,490000,False,192.0,158.0,1,left,D. Robinson 24' 3PT  (3 PTS) (P. Larsson 2 AST),"[1629130, 1641796]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,,24.92,Made,3.0,,,,,,,,,,P. Larsson,1641796.0,2.0,,
52,PT07M06.00S,2025-04-06T00:19:32.8Z,1,REGULAR,3pt,Jump Shot,[],1627752,79.05716162943496,8.823529411764707,1610612749,11,11,2025-04-06T00:19:39Z,510000,False,-206.0,144.0,1,right,MISS T. Prince 25' 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,25.15,Missed,,,,,,,,,,,,,,,
53,PT07M03.00S,2025-04-06T00:19:35.8Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,11,11,2025-04-06T00:23:56Z,520000,False,,,0,,K. Ware REBOUND (Off:1 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,,,,,52.0,3.0,2.0,1.0,,,,,,,,,,
54,PT06M54.00S,2025-04-06T00:19:48.5Z,1,REGULAR,foul,personal,[],1631157,,,1610612748,11,11,2025-04-06T00:19:59Z,530000,False,,,0,,R. Rollins personal FOUL (1 PF),"[1631157, 1642276]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,1.0,0.0,Ware,1642276.0,,,,,
56,PT06M54.00S,2025-04-06T00:20:00.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,11,11,2025-04-06T00:20:00Z,550000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M47.00S,2025-04-06T00:22:53.2Z,1,REGULAR,turnover,lost ball,[],1641796,,,1610612748,11,11,2025-04-06T00:24:32Z,600000,False,,,0,,P. Larsson lost ball TURNOVER (2 TO),"[1641796, 1627752]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),8-16 Center,2.0,Prince,1627752.0,,,,,,,,,,,,,,,,,
62,PT06M47.00S,2025-04-06T00:22:53.2Z,1,REGULAR,steal,,[],1627752,,,1610612749,11,11,2025-04-06T00:22:54Z,610000,False,,,0,,T. Prince STEAL (3 STL),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
63,PT06M44.00S,2025-04-06T00:22:59.4Z,1,REGULAR,foul,personal,[],1641796,,,1610612749,11,11,2025-04-06T00:26:15Z,620000,False,,,0,,P. Larsson personal FOUL (1 PF),"[1641796, 203507]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1630886.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
65,PT06M38.00S,2025-04-06T00:23:22.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628398,92.46057818659659,57.84313725490197,1610612749,11,13,2025-04-06T00:23:33Z,640000,False,39.0,18.0,1,right,K. Kuzma driving floating bank Jump Shot (4 PTS),[1628398],1610612749.0,MIL,driving floating bank,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,4.33,Made,4.0,,,,,,,,,,,,,,
66,PT06M26.00S,2025-04-06T00:23:33.0Z,1,REGULAR,3pt,Jump Shot,[],202692,29.6484888304862,33.088235294117645,1610612748,14,13,2025-04-06T00:23:37Z,650000,False,85.0,226.0,1,left,A. Burks 24' 3PT  (3 PTS) (B. Adebayo 1 AST),"[202692, 1628389]",1610612748.0,MIA,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Right Center,,,,24.15,Made,3.0,,,,,,,,,,B. Adebayo,1628389.0,1.0,,
68,PT06M05.00S,2025-04-06T00:23:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631157,94.1688567674113,50.49019607843137,1610612749,14,15,2025-04-06T00:23:58Z,670000,False,2.0,2.0,1,right,R. Rollins driving finger roll Layup (5 PTS) (G. Antetokounmpo 2 AST),"[1631157, 203507]",1610612749.0,MIL,driving finger roll,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,,,,0.34,Made,5.0,,,,,,,,,,G. Antetokounmpo,203507.0,2.0,,
70,PT05M52.00S,2025-04-06T00:24:08.4Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612748,14,15,2025-04-06T00:24:35Z,690000,False,,,0,,B. Lopez shooting personal FOUL (2 PF) (Adebayo 2 FT),"[201572, 1628389]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202007.0,2.0,0.0,Adebayo,1628389.0,,,,,
72,PT05M52.00S,2025-04-06T00:24:37.3Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,15,15,2025-04-06T00:24:37Z,710000,False,,,0,,B. Adebayo Free Throw 1 of 2 (9 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
73,PT05M52.00S,2025-04-06T00:24:38.6Z,1,REGULAR,substitution,out,[],1641796,,,1610612748,15,15,2025-04-06T00:25:04Z,720000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M52.00S,2025-04-06T00:24:38.6Z,1,REGULAR,substitution,out,[],1642276,,,1610612748,15,15,2025-04-06T00:25:04Z,730000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M52.00S,2025-04-06T00:24:38.6Z,1,REGULAR,substitution,out,[],201572,,,1610612748,15,15,2025-04-06T00:25:04Z,740000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M52.00S,2025-04-06T00:24:38.6Z,1,REGULAR,substitution,in,[],1630558,,,1610612748,15,15,2025-04-06T00:25:04Z,750000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M52.00S,2025-04-06T00:24:38.6Z,1,REGULAR,substitution,in,[],1629312,,,1610612748,15,15,2025-04-06T00:25:04Z,760000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M52.00S,2025-04-06T00:24:38.6Z,1,REGULAR,substitution,in,[],1629018,,,1610612748,15,15,2025-04-06T00:25:04Z,770000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M52.00S,2025-04-06T00:25:07.6Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,16,15,2025-04-06T00:25:07Z,780000,False,,,0,,B. Adebayo Free Throw 2 of 2 (10 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,
81,PT05M35.00S,2025-04-06T00:25:25.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,94.03745072273325,48.77450980392157,1610612749,16,17,2025-04-06T00:25:33Z,790000,False,-6.0,4.0,1,right,G. Antetokounmpo alley-oop DUNK (5 PTS) (T. Prince 2 AST),"[203507, 1627752]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,0.7,Made,5.0,,,,,,,,,,T. Prince,1627752.0,2.0,,
83,PT05M24.00S,2025-04-06T00:25:35.5Z,1,REGULAR,3pt,Jump Shot,[],1628389,31.61957950065703,62.99019607843137,1610612748,19,17,2025-04-06T00:25:41Z,810000,False,-65.0,245.0,1,left,B. Adebayo 25' 3PT  (13 PTS) (D. Mitchell 1 AST),"[1628389, 1630558]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,25.32,Made,13.0,,,,,,,,,,D. Mitchell,1630558.0,1.0,,
86,PT05M10.00S,2025-04-06T00:25:52.9Z,1,REGULAR,foul,personal,[],1629130,,,1610612749,19,17,2025-04-06T00:26:03Z,840000,False,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 1627752]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,202026.0,1.0,0.0,Prince,1627752.0,,,,,
88,PT05M05.00S,2025-04-06T00:26:15.2Z,1,REGULAR,foul,offensive,[],1631157,,,1610612749,19,17,2025-04-06T00:26:28Z,860000,False,,,0,,R. Rollins charge offensive FOUL (2 PF),"[1631157, 1629130]",1610612749.0,MIL,charge,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1630886.0,2.0,0.0,Robinson,1629130.0,,,,,
90,PT05M05.00S,2025-04-06T00:26:15.2Z,1,REGULAR,turnover,offensive foul,[],1631157,,,1610612749,19,17,2025-04-06T00:26:15Z,880000,False,,,0,,R. Rollins offensive foul TURNOVER (1 TO),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,1630886.0,,,,,,,,,
91,PT04M54.00S,2025-04-06T00:26:41.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202692,24.655059132720105,16.176470588235293,1610612748,19,17,2025-04-06T00:26:47Z,890000,False,169.0,179.0,1,left,MISS A. Burks 24' 3PT,[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Right Center,,,,24.65,Missed,,,,,,,,,,,,,,,
92,PT04M49.00S,2025-04-06T00:26:46.2Z,1,REGULAR,rebound,offensive,[],1630558,,,1610612748,19,17,2025-04-06T00:31:41Z,900000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,91.0,1.0,0.0,1.0,,,,,,,,,,
93,PT04M48.00S,2025-04-06T00:26:46.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629312,20.18725361366623,92.64705882352942,1610612748,19,17,2025-04-06T00:26:52Z,910000,False,-213.0,137.0,1,left,MISS H. Highsmith 25' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,,,,25.36,Missed,,,,,,,,,,,,,,,
94,PT04M45.00S,2025-04-06T00:26:49.6Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,19,17,2025-04-06T00:26:52Z,920000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,,,,93.0,2.0,2.0,0.0,,,,,,,,,,
