actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
29,PT09M37.00S,2024-11-05T01:21:05.1Z,1,REGULAR,steal,,[],1631165,,,1610612758,4,5,2024-11-05T01:21:07Z,290000,False,,,0,,K. Ellis STEAL (1 STL),[1631165],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Left Center,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,
30,PT09M30.00S,2024-11-05T01:21:12.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631099,64.60249671484888,58.57843137254902,1610612758,4,5,2024-11-05T01:21:21Z,300000,False,43.0,280.0,1,right,MISS K. Murray 28' 3PT,[1631099],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,28.35,Missed,Murray,K. Murray,,,,,,,,,,,,,,,,,,,
31,PT09M29.00S,2024-11-05T01:21:13.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,4,5,2024-11-05T01:21:21Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,,30.0,,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2024-11-05T01:21:42.0Z,1,REGULAR,3pt,Jump Shot,[],1629639,27.020367936925098,16.911764705882355,1610612748,7,5,2024-11-05T01:22:24Z,330000,False,165.0,201.0,1,left,T. Herro 26' 3PT fadeaway (7 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,fadeaway,,,,,,Above the Break 3,24+ Right Center,26.07,Made,Herro,T. Herro,,,,,,,7.0,,,,,,B. Adebayo,1628389.0,1.0,,,,
35,PT08M53.00S,2024-11-05T01:22:00.6Z,1,REGULAR,foul,personal,[],1631107,,,1610612758,7,5,2024-11-05T01:22:09Z,350000,False,,,0,,N. Jović personal FOUL (1 PF),"[1631107, 1627734]",1610612748.0,MIA,,,,,,,Mid-Range,16-24 Right Center,,,Jović,N. Jović,,101284.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,
37,PT08M46.00S,2024-11-05T01:22:25.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631099,91.40932982917214,45.83333333333333,1610612758,7,7,2024-11-05T01:22:31Z,370000,False,-21.0,28.0,1,right,K. Murray driving DUNK (2 PTS) (D. Fox 2 AST),"[1631099, 1628368]",1610612758.0,SAC,driving,,,,,,Restricted Area,0-8 Center,3.51,Made,Murray,K. Murray,,,,,,,2.0,,,,,,D. Fox,1628368.0,2.0,,,,
39,PT08M23.00S,2024-11-05T01:22:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,9.543363994743759,53.67647058823529,1610612748,9,7,2024-11-05T01:22:54Z,390000,False,-18.0,37.0,1,left,N. Jović driving Layup (2 PTS) (J. Butler 2 AST),"[1631107, 202710]",1610612748.0,MIA,driving,,,,,,Restricted Area,0-8 Center,4.15,Made,Jović,N. Jović,,,,,,,2.0,,,,,,J. Butler,202710.0,2.0,,,,
41,PT08M06.00S,2024-11-05T01:23:04.9Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,9,7,2024-11-05T01:23:10Z,410000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1628389]",1610612758.0,SAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,1.0,Adebayo,1628389.0,
42,PT08M06.00S,2024-11-05T01:23:04.9Z,1,REGULAR,steal,,[],1628389,,,1610612748,9,7,2024-11-05T01:23:07Z,420000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
43,PT08M01.00S,2024-11-05T01:23:09.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631107,8.886333771353483,56.127450980392155,1610612748,9,7,2024-11-05T01:23:25Z,430000,False,-31.0,31.0,1,left,MISS N. Jović running DUNK,[1631107],1610612748.0,MIA,running,,,,,,In The Paint (Non-RA),0-8 Center,4.36,Missed,Jović,N. Jović,,,,,,,,,,,,,,,,,,,
44,PT07M58.00S,2024-11-05T01:23:12.2Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,9,7,2024-11-05T01:23:12Z,440000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Murray,K. Murray,43.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
45,PT07M49.00S,2024-11-05T01:23:25.4Z,1,REGULAR,foul,personal,['3freethrow'],1631107,,,1610612758,9,7,2024-11-05T01:23:31Z,450000,False,,,0,,N. Jović shooting personal FOUL (2 PF) (Murray 3 FT),"[1631107, 1631099]",1610612748.0,MIA,shooting,,,,,,Above the Break 3,24+ Center,,,Jović,N. Jović,,101284.0,2.0,0.0,Murray,1631099.0,,,,,,,,,,,,,
48,PT07M49.00S,2024-11-05T01:23:58.0Z,1,REGULAR,freethrow,1 of 3,[],1631099,,,1610612758,9,8,2024-11-05T01:23:58Z,480000,False,,,0,,K. Murray Free Throw 1 of 3 (3 PTS),[1631099],1610612758.0,SAC,,,,,,,,,,Made,Murray,K. Murray,,,,,,,3.0,,,,,,,,,,,,
49,PT07M49.00S,2024-11-05T01:24:05.0Z,1,REGULAR,substitution,out,[],1627734,,,1610612758,9,8,2024-11-05T01:24:10Z,490000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,,,,,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,
50,PT07M49.00S,2024-11-05T01:24:05.0Z,1,REGULAR,substitution,in,[],203458,,,1610612758,9,8,2024-11-05T01:24:10Z,500000,False,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,,,,,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,
51,PT07M49.00S,2024-11-05T01:24:22.1Z,1,REGULAR,freethrow,2 of 3,[],1631099,,,1610612758,9,9,2024-11-05T01:24:22Z,510000,False,,,0,,K. Murray Free Throw 2 of 3 (4 PTS),[1631099],1610612758.0,SAC,,,,,,,,,,Made,Murray,K. Murray,,,,,,,4.0,,,,,,,,,,,,
52,PT07M49.00S,2024-11-05T01:24:44.9Z,1,REGULAR,freethrow,3 of 3,[],1631099,,,1610612758,9,10,2024-11-05T01:24:44Z,520000,False,,,0,,K. Murray Free Throw 3 of 3 (5 PTS),[1631099],1610612758.0,SAC,,,,,,,,,,Made,Murray,K. Murray,,,,,,,5.0,,,,,,,,,,,,
53,PT07M33.00S,2024-11-05T01:25:02.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,13.748357424441524,42.64705882352941,1610612748,9,10,2024-11-05T02:21:43Z,530000,False,37.0,77.0,1,left,MISS J. Butler 8' driving floating Shot,[202710],1610612748.0,MIA,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,8.51,Missed,Butler,J. Butler,,,,,,,,,,,,,,,,,,,
54,PT07M30.00S,2024-11-05T01:25:05.0Z,1,REGULAR,rebound,offensive,[],1631107,,,1610612748,9,10,2024-11-05T01:25:05Z,540000,False,,,0,,N. Jović REBOUND (Off:1 Def:0),[1631107],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Jović,N. Jović,53.0,,,,,,,1.0,0.0,1.0,,,,,,,,,
55,PT07M29.00S,2024-11-05T01:25:06.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631107,9.543363994743759,52.20588235294118,1610612748,9,10,2024-11-05T02:22:00Z,550000,False,-11.0,37.0,1,left,MISS N. Jović putback Layup - blocked,"[1631107, 1631099]",1610612748.0,MIA,putback,,,,,,Restricted Area,0-8 Center,3.88,Missed,Jović,N. Jović,,,,,,,,,,,Murray,1631099.0,,,,,,,
56,PT07M29.00S,2024-11-05T01:25:06.1Z,1,REGULAR,block,,[],1631099,,,1610612748,9,10,2024-11-05T02:22:47Z,560000,False,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,
57,PT07M29.00S,2024-11-05T01:25:06.1Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,9,10,2024-11-05T02:22:47Z,570000,False,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,Len,A. Len,55.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
58,PT07M26.00S,2024-11-05T01:25:13.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628368,69.72733245729303,25.49019607843137,1610612758,9,10,2024-11-05T01:47:03Z,580000,False,-123.0,232.0,1,right,MISS D. Fox 26' running pullup 3PT,[1628368],1610612758.0,SAC,running pullup,,,,,,Above the Break 3,24+ Left Center,26.24,Missed,Fox,D. Fox,,,,,,,,,,,,,,,,,,,
59,PT07M25.00S,2024-11-05T01:25:14.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,9,10,2024-11-05T01:47:03Z,590000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,Adebayo,B. Adebayo,58.0,,,,,,,2.0,2.0,0.0,,,,,,,,,
154,PT07M20.00S,2024-11-05T01:25:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.750985545335084,37.00980392156863,1610612748,9,10,2024-11-05T01:46:28Z,591250,False,65.0,11.0,1,left,MISS J. Butler 6' driving Layup - blocked,"[202710, 201942]",1610612748.0,MIA,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.59,Missed,Butler,J. Butler,,,,,,,,,,,DeRozan,201942.0,,,,,,,
155,PT07M20.00S,2024-11-05T01:25:48.7Z,1,REGULAR,block,,[],201942,,,1610612748,9,10,2024-11-05T01:43:29Z,591875,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
156,PT07M19.00S,2024-11-05T01:25:49.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,9,10,2024-11-05T01:46:28Z,592187,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,154.0,,,,,,,,,,,,,,,,,,
174,PT07M19.00S,2024-11-05T01:26:06.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612758,9,10,2024-11-05T01:46:28Z,592500,False,,,0,,Jump Ball D. DeRozan vs. J. Butler: Tip to Team (SAC),"[201942, 202710]",1610612758.0,SAC,heldball,Team (SAC),DeRozan,201942.0,Butler,202710.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M16.00S,2024-11-05T01:26:23.7Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,9,10,2024-11-05T01:43:29Z,600000,False,,,0,,Jump Ball A. Len vs. B. Adebayo: Tip to D. Fox,"[1628368, 203458, 1628389]",1610612758.0,SAC,outofbounds,D. Fox,Len,203458.0,Adebayo,1628389.0,,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,1628368.0
63,PT06M55.00S,2024-11-05T01:26:38.2Z,1,REGULAR,2pt,Jump Shot,[],1631099,77.61169513797634,68.62745098039215,1610612758,9,10,2024-11-05T01:26:45Z,630000,False,93.0,158.0,1,right,MISS K. Murray 18' step back Shot,[1631099],1610612758.0,SAC,step back,,,,,,Mid-Range,16-24 Right Center,18.34,Missed,Murray,K. Murray,,,,,,,,,,,,,,,,,,,
64,PT06M51.00S,2024-11-05T01:26:42.2Z,1,REGULAR,rebound,offensive,[],1631165,,,1610612758,9,10,2024-11-05T01:42:55Z,640000,False,,,0,,K. Ellis REBOUND (Off:1 Def:0),[1631165],1610612758.0,SAC,,,,,,,Mid-Range,16-24 Right Center,,,Ellis,K. Ellis,63.0,,,,,,,1.0,0.0,1.0,,,,,,,,,
65,PT06M50.00S,2024-11-05T01:26:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631165,91.14651773981603,53.67647058823529,1610612758,9,12,2024-11-05T01:26:49Z,650000,False,18.0,31.0,1,right,K. Ellis driving Layup (2 PTS),[1631165],1610612758.0,SAC,driving,,,,,,Restricted Area,0-8 Center,3.58,Made,Ellis,K. Ellis,,,,,,,2.0,,,,,,,,,,,,
66,PT06M33.00S,2024-11-05T01:26:59.6Z,1,REGULAR,3pt,Jump Shot,[],1629639,33.459264126149804,49.26470588235294,1610612748,12,12,2024-11-05T02:23:05Z,660000,False,4.0,262.0,1,left,T. Herro 26' 3PT  (10 PTS) (T. Rozier 1 AST),"[1629639, 1626179]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,26.2,Made,Herro,T. Herro,,,,,,,10.0,,,,,,T. Rozier,1626179.0,1.0,,,,
69,PT06M22.00S,2024-11-05T01:27:20.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,12,12,2024-11-05T01:27:20Z,690000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M22.00S,2024-11-05T01:29:52.0Z,1,REGULAR,substitution,out,[],1631107,,,1610612758,12,12,2024-11-05T01:30:09Z,700000,False,,,0,,SUB out: N. Jović,[1631107],1610612748.0,MIA,,,,,,,,,,,Jović,N. Jović,,,,,,,,,,,,,,,,,,,
71,PT06M22.00S,2024-11-05T01:29:52.0Z,1,REGULAR,substitution,out,[],202710,,,1610612758,12,12,2024-11-05T01:30:09Z,710000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,,,,,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2024-11-05T01:29:52.0Z,1,REGULAR,substitution,out,[],1628368,,,1610612758,12,12,2024-11-05T01:30:09Z,720000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,,,,,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,
73,PT06M22.00S,2024-11-05T01:29:52.0Z,1,REGULAR,substitution,out,[],203458,,,1610612758,12,12,2024-11-05T01:30:09Z,730000,False,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,,,,,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,
74,PT06M22.00S,2024-11-05T01:29:52.0Z,1,REGULAR,substitution,in,[],1641796,,,1610612758,12,12,2024-11-05T01:30:09Z,740000,False,,,0,,SUB in: P. Larsson,[1641796],1610612748.0,MIA,,,,,,,,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
75,PT06M22.00S,2024-11-05T01:29:52.0Z,1,REGULAR,substitution,in,[],1629312,,,1610612758,12,12,2024-11-05T01:30:09Z,750000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,,,,,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,
76,PT06M22.00S,2024-11-05T01:29:52.0Z,1,REGULAR,substitution,in,[],1628370,,,1610612758,12,12,2024-11-05T01:30:09Z,760000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,,,,,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,
77,PT06M22.00S,2024-11-05T01:29:52.0Z,1,REGULAR,substitution,in,[],1627734,,,1610612758,12,12,2024-11-05T01:30:09Z,770000,False,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,,,,,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,
78,PT06M06.00S,2024-11-05T01:30:40.1Z,1,REGULAR,2pt,Jump Shot,[],1627734,87.07293035479631,79.41176470588235,1610612758,12,12,2024-11-05T01:30:49Z,780000,False,147.0,69.0,1,right,MISS D. Sabonis 16' Jump Shot - blocked,"[1627734, 1628389]",1610612758.0,SAC,,,,,,,Mid-Range,16-24 Right,16.25,Missed,Sabonis,D. Sabonis,,,,,,,,,,,Adebayo,1628389.0,,,,,,,
79,PT06M06.00S,2024-11-05T01:30:40.1Z,1,REGULAR,block,,[],1628389,,,1610612758,12,12,2024-11-05T01:30:45Z,790000,False,,,0,,B. Adebayo BLOCK (2 BLK),[1628389],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Right,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
80,PT06M06.00S,2024-11-05T01:30:40.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,12,12,2024-11-05T01:30:49Z,800000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,Mid-Range,16-24 Right,,,,,78.0,,,,,,,,,,,,,,,,,,
81,PT06M06.00S,2024-11-05T01:30:47.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612758,12,12,2024-11-05T01:30:56Z,810000,False,,,0,,SAC shot clock Team TURNOVER,[],1610612758.0,SAC,,,,,,,Mid-Range,8-16 Right,,,,,,101284.0,,,,,,,,,,,,,,,,,
82,PT05M57.00S,2024-11-05T01:30:59.3Z,1,REGULAR,foul,personal,[],1627734,,,1610612748,12,12,2024-11-05T01:31:13Z,820000,False,,,0,,D. Sabonis personal FOUL (1 PF),"[1627734, 1628389]",1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Sabonis,D. Sabonis,,202053.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,
84,PT05M50.00S,2024-11-05T01:31:20.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,19.004599211563733,41.66666666666667,1610612748,12,12,2024-11-05T01:31:25Z,840000,False,42.0,126.0,1,left,MISS B. Adebayo 13' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,,,,In The Paint (Non-RA),8-16 Center,13.28,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
85,PT05M46.00S,2024-11-05T01:31:24.0Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,12,12,2024-11-05T01:31:25Z,850000,False,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631099],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,Murray,K. Murray,84.0,,,,,,,2.0,2.0,0.0,,,,,,,,,
