actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
39,PT08M43.00S,2025-04-13T17:17:27.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642276,5.469776609724048,51.225490196078425,1610612748,9,8,2025-04-13T17:17:32Z,390000,False,-6.0,-1.0,1,left,K. Ware alley-oop DUNK (7 PTS) (D. Mitchell 3 AST),"[1642276, 1630558]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,0.62,Made,7.0,,,,,,,D. Mitchell,1630558.0,3.0,,,,,
41,PT08M27.00S,2025-04-13T17:17:44.1Z,1,REGULAR,2pt,Jump Shot,[],1642259,89.96386333771353,75.98039215686273,1610612764,9,8,2025-04-13T17:18:59Z,410000,False,130.0,42.0,1,right,MISS A. Sarr 13' Jump Shot,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,,,,13.65,Missed,,,,,,,,,,,,,,,
42,PT08M24.00S,2025-04-13T17:17:47.1Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,9,8,2025-04-13T17:17:48Z,420000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Right,,,,,,,41.0,,,,,,,,,1.0,1.0,0.0,,
43,PT08M13.00S,2025-04-13T17:17:57.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,27.808804204993432,22.54901960784314,1610612748,12,8,2025-04-13T17:18:02Z,430000,False,137.0,209.0,1,left,D. Robinson 25' 3PT  (3 PTS) (D. Mitchell 4 AST),"[1629130, 1630558]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,,25.0,Made,3.0,,,,,,,D. Mitchell,1630558.0,4.0,,,,,
45,PT07M56.00S,2025-04-13T17:18:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642358,93.51182654402102,55.88235294117647,1610612764,12,10,2025-04-13T17:18:19Z,450000,False,29.0,8.0,1,right,A. Johnson driving Layup (2 PTS),[1642358],1610612764.0,WAS,driving,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,,,,3.06,Made,2.0,,,,,,,,,,,,,,
46,PT07M45.00S,2025-04-13T17:18:25.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,17.821944809461236,59.55882352941176,1610612748,14,10,2025-04-13T17:18:32Z,460000,False,-48.0,115.0,1,left,D. Mitchell 12' step back Jump Shot (4 PTS),[1630558],1610612748.0,MIA,step back,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,12.45,Made,4.0,,,,,,,,,,,,,,
47,PT07M23.00S,2025-04-13T17:18:47.3Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612764,14,10,2025-04-13T17:19:04Z,470000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Sarr 2 FT),"[1642276, 1642259]",1610612748.0,MIA,shooting,,,Ware,K. Ware,,,,,Mid-Range,8-16 Right,,,,,,,,101283.0,1.0,0.0,Sarr,1642259.0,,,,,,,,
49,PT07M23.00S,2025-04-13T17:19:13.8Z,1,REGULAR,freethrow,1 of 2,[],1642259,,,1610612764,14,11,2025-04-13T17:19:13Z,490000,False,,,0,,A. Sarr Free Throw 1 of 2 (4 PTS),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
50,PT07M23.00S,2025-04-13T17:19:27.6Z,1,REGULAR,freethrow,2 of 2,[],1642259,,,1610612764,14,12,2025-04-13T17:19:27Z,500000,False,,,0,,A. Sarr Free Throw 2 of 2 (5 PTS),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
51,PT07M07.00S,2025-04-13T17:19:48.6Z,1,REGULAR,violation,kicked ball,[],1642358,,,1610612748,14,12,2025-04-13T17:19:57Z,510000,False,,,0,,A. Johnson kicked ball VIOLATION,[1642358],1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,,,,,,,,,,202058.0,,,,,,,,,,,,
52,PT07M02.00S,2025-04-13T17:20:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,9.149145860709593,51.71568627450981,1610612748,16,12,2025-04-13T17:21:51Z,520000,False,-9.0,34.0,1,left,J. Jaquez Jr. driving Layup (2 PTS) (D. Robinson 1 AST),"[1631170, 1629130]",1610612748.0,MIA,driving,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,3.46,Made,2.0,,,,,,,D. Robinson,1629130.0,1.0,,,,,
54,PT07M02.00S,2025-04-13T17:20:08.5Z,1,REGULAR,foul,personal,['1freethrow'],1642259,,,1610612748,16,12,2025-04-13T17:20:26Z,540000,False,,,0,,A. Sarr shooting personal FOUL (1 PF) (Jaquez Jr. 1 FT),"[1642259, 1631170]",1610612764.0,WAS,shooting,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,1627963.0,1.0,0.0,Jaquez Jr.,1631170.0,,,,,,,,
56,PT07M02.00S,2025-04-13T17:20:31.2Z,1,REGULAR,freethrow,1 of 1,[],1631170,,,1610612748,17,12,2025-04-13T17:20:31Z,560000,False,,,0,,J. Jaquez Jr. Free Throw 1 of 1 (3 PTS),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
57,PT06M47.00S,2025-04-13T17:20:46.9Z,1,REGULAR,2pt,Jump Shot,[],1642273,94.1688567674113,72.30392156862744,1610612764,17,12,2025-04-13T17:29:54Z,570000,False,112.0,2.0,1,right,MISS K. George 11' fadeaway Shot,[1642273],1610612764.0,WAS,fadeaway,,,George,K. George,,,,,Mid-Range,8-16 Right,,,,11.15,Missed,,,,,,,,,,,,,,,
58,PT06M46.00S,2025-04-13T17:20:47.9Z,1,REGULAR,rebound,offensive,[],1642267,,,1610612764,17,12,2025-04-13T17:30:27Z,580000,False,,,0,,B. Carrington REBOUND (Off:1 Def:0),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Right,,,,,,,57.0,,,,,,,,,1.0,0.0,1.0,,
110,PT06M45.00S,2025-04-13T17:20:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642267,93.38042049934296,52.450980392156865,1610612764,17,12,2025-04-13T17:39:07Z,585000,False,12.0,10.0,1,right,MISS B. Carrington tip Layup,[1642267],1610612764.0,WAS,tip,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,1.57,Missed,,,,,,,,,,,,,,,
111,PT06M44.00S,2025-04-13T17:20:50.8Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,17,12,2025-04-13T17:30:33Z,587500,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,110.0,,,,,,,,,1.0,1.0,0.0,,
59,PT06M40.00S,2025-04-13T17:20:52.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642276,5.469776609724048,47.794117647058826,1610612748,19,12,2025-04-13T17:20:58Z,590000,False,11.0,-1.0,1,left,K. Ware running DUNK (9 PTS) (J. Jaquez Jr. 1 AST),"[1642276, 1631170]",1610612748.0,MIA,running,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,1.11,Made,9.0,,,,,,,J. Jaquez Jr.,1631170.0,1.0,,,,,
61,PT06M25.00S,2025-04-13T17:21:09.5Z,1,REGULAR,3pt,Jump Shot,[],1630551,94.69448094612353,4.411764705882353,1610612764,19,15,2025-04-13T17:23:55Z,610000,False,-228.0,-3.0,1,right,J. Champagnie 3PT  (6 PTS) (A. Johnson 1 AST),"[1630551, 1642358]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,,,,22.79,Made,6.0,,,,,,,A. Johnson,1642358.0,1.0,,,,,
63,PT06M10.00S,2025-04-13T17:21:23.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631170,5.469776609724048,51.9607843137255,1610612748,21,15,2025-04-13T17:25:57Z,630000,False,-10.0,-1.0,1,left,J. Jaquez Jr. reverse DUNK (5 PTS) (K. Ware 1 AST),"[1631170, 1642276]",1610612748.0,MIA,reverse,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,0.99,Made,5.0,,,,,,,K. Ware,1642276.0,1.0,,,,,
65,PT06M05.00S,2025-04-13T17:21:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,21,15,2025-04-13T17:21:34Z,650000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M05.00S,2025-04-13T17:23:34.1Z,1,REGULAR,substitution,out,[],1631170,,,1610612764,21,15,2025-04-13T17:24:15Z,660000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M05.00S,2025-04-13T17:23:34.1Z,1,REGULAR,substitution,out,[],1642273,,,1610612764,21,15,2025-04-13T17:24:15Z,670000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M05.00S,2025-04-13T17:23:34.1Z,1,REGULAR,substitution,out,[],1642259,,,1610612764,21,15,2025-04-13T17:24:15Z,680000,False,,,0,,SUB out: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M05.00S,2025-04-13T17:23:34.1Z,1,REGULAR,substitution,in,[],1626179,,,1610612764,21,15,2025-04-13T17:24:15Z,690000,False,,,0,,SUB in: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M05.00S,2025-04-13T17:23:34.1Z,1,REGULAR,substitution,in,[],1641732,,,1610612764,21,15,2025-04-13T17:24:15Z,700000,False,,,0,,SUB in: C. Jones,[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M05.00S,2025-04-13T17:23:34.1Z,1,REGULAR,substitution,in,[],1641774,,,1610612764,21,15,2025-04-13T17:24:15Z,710000,False,,,0,,SUB in: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M51.00S,2025-04-13T17:24:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642267,92.59198423127464,54.166666666666664,1610612764,21,15,2025-04-13T17:24:50Z,720000,False,21.0,17.0,1,right,MISS B. Carrington driving Layup - blocked,"[1642267, 1642276]",1610612764.0,WAS,driving,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,2.69,Missed,,,,,,,,,,,,,,Ware,1642276.0
73,PT05M51.00S,2025-04-13T17:24:44.9Z,1,REGULAR,block,,[],1642276,,,1610612764,21,15,2025-04-13T17:24:47Z,730000,False,,,0,,K. Ware BLOCK (1 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
74,PT05M48.00S,2025-04-13T17:24:47.9Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,21,15,2025-04-13T17:26:28Z,740000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,,,,72.0,,,,,,,,,2.0,1.0,1.0,,
75,PT05M36.00S,2025-04-13T17:25:01.8Z,1,REGULAR,turnover,out-of-bounds,[],1630558,,,1610612748,21,15,2025-04-13T17:25:09Z,750000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1630558],1610612748.0,MIA,bad pass,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,1.0,,,,,,,202058.0,,,,,,,,,,,,
76,PT05M26.00S,2025-04-13T17:25:18.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641774,92.9862023653088,28.921568627450984,1610612764,21,17,2025-04-13T17:25:23Z,760000,False,-105.0,13.0,1,right,T. Vukcevic 10' Jump Shot (2 PTS) (B. Carrington 1 AST),"[1641774, 1642267]",1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Mid-Range,8-16 Left,,,,10.62,Made,2.0,,,,,,,B. Carrington,1642267.0,1.0,,,,,
78,PT05M04.00S,2025-04-13T17:25:39.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,18.084756898817346,93.38235294117648,1610612748,24,17,2025-04-13T17:25:51Z,780000,False,-217.0,117.0,1,left,D. Robinson 24' 3PT  (6 PTS) (D. Mitchell 5 AST),"[1629130, 1630558]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,24.67,Made,6.0,,,,,,,D. Mitchell,1630558.0,5.0,,,,,
80,PT04M53.00S,2025-04-13T17:25:50.4Z,1,REGULAR,3pt,Jump Shot,[],1630551,94.69448094612353,3.431372549019608,1610612764,24,17,2025-04-13T17:25:54Z,800000,False,-233.0,-3.0,1,right,MISS J. Champagnie 3PT,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,,,,23.28,Missed,,,,,,,,,,,,,,,
81,PT04M50.00S,2025-04-13T17:25:53.4Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,24,17,2025-04-13T17:25:54Z,810000,False,,,0,,K. Ware REBOUND (Off:0 Def:3),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Left Corner 3,24+ Left,,,,,,,80.0,,,,,,,,,3.0,3.0,0.0,,
82,PT04M43.00S,2025-04-13T17:26:00.1Z,1,REGULAR,3pt,Jump Shot,[],1642276,27.677398160315374,77.94117647058823,1610612748,24,17,2025-04-13T17:26:04Z,820000,False,-140.0,208.0,1,left,MISS K. Ware 25' 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,,25.03,Missed,,,,,,,,,,,,,,,
83,PT04M40.00S,2025-04-13T17:26:04.2Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612748,24,17,2025-04-13T17:26:04Z,830000,False,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,,82.0,,,,,,,,,1.0,0.0,1.0,,
