actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
17,PT10M25.00S,2025-03-23T22:14:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,92.85479632063075,53.92156862745098,1610612748,3,2,2025-03-23T22:14:37Z,170000,False,20.0,15.0,1,right,MISS D. Robinson driving Layup,[1629130],1610612748.0,MIA,driving,,,Robinson,D. Robinson,,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2025-03-23T22:14:31.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,3,2,2025-03-23T22:14:37Z,180000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Restricted Area,0-8 Center,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,
19,PT10M19.00S,2025-03-23T22:14:35.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631109,4.812746386333772,51.470588235294116,1610612766,3,4,2025-03-23T22:14:48Z,190000,False,-7.0,-7.0,1,left,M. Williams running DUNK (2 PTS) (N. Smith Jr. 1 AST),"[1631109, 1641733]",1610612766.0,CHA,running,,,Williams,M. Williams,,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,N. Smith Jr.,1641733.0,1.0,,,,,,,,,,,,,
21,PT09M56.00S,2025-03-23T22:14:57.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,73.27529566360053,82.84313725490196,1610612748,6,4,2025-03-23T22:15:03Z,210000,False,164.0,199.0,1,right,T. Herro 25' 3PT pullup (3 PTS) (K. Ware 1 AST),"[1629639, 1642276]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,,Above the Break 3,24+ Right Center,25.78,Made,3.0,K. Ware,1642276.0,1.0,,,,,,,,,,,,,
23,PT09M38.00S,2025-03-23T22:15:14.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,20.18725361366623,91.66666666666666,1610612766,6,4,2025-03-23T22:15:20Z,230000,False,-208.0,137.0,1,left,MISS L. Ball 24' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,24.95,Missed,,,,,,,,,,,,,,,,,
24,PT09M33.00S,2025-03-23T22:15:19.9Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,6,4,2025-03-23T22:15:20Z,240000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,Above the Break 3,24+ Left Center,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT09M28.00S,2025-03-23T22:15:25.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,87.33574244415243,54.90196078431373,1610612748,6,4,2025-03-23T22:21:29Z,250000,False,25.0,67.0,1,right,MISS T. Herro 7' driving floating Shot - blocked,"[1629639, 1629610]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,,In The Paint (Non-RA),0-8 Center,7.09,Missed,,,,,,,,,,Jeffries,1629610.0,,,,,,
28,PT09M28.00S,2025-03-23T22:15:25.1Z,1,REGULAR,block,,[],1629610,,,1610612748,6,4,2025-03-23T22:15:47Z,255000,False,,,0,,D. Jeffries BLOCK (1 BLK),[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
26,PT09M25.00S,2025-03-23T22:15:28.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,6,4,2025-03-23T22:15:47Z,260000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M23.00S,2025-03-23T22:15:31.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629610,8.754927726675426,53.67647058823529,1610612766,6,6,2025-03-23T22:21:45Z,270000,False,-18.0,30.0,1,left,D. Jeffries driving floating Jump Shot (4 PTS),[1629610],1610612766.0,CHA,driving floating,,,Jeffries,D. Jeffries,,,,,,Restricted Area,0-8 Center,3.5,Made,4.0,,,,,,,,,,,,,,,,
29,PT09M03.00S,2025-03-23T22:15:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,90.88370565045992,51.71568627450981,1610612748,8,6,2025-03-23T22:22:14Z,280000,False,9.0,33.0,1,right,A. Wiggins driving floating Jump Shot (5 PTS),[203952],1610612748.0,MIA,driving floating,,,Wiggins,A. Wiggins,,,,,,Restricted Area,0-8 Center,3.43,Made,5.0,,,,,,,,,,,,,,,,
30,PT08M39.00S,2025-03-23T22:16:14.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,26.62614980289093,83.33333333333334,1610612766,8,6,2025-03-23T22:23:02Z,290000,False,-167.0,198.0,1,left,MISS L. Ball 25' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,25.87,Missed,,,,,,,,,,,,,,,,,
31,PT08M37.00S,2025-03-23T22:16:16.0Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,8,6,2025-03-23T22:16:18Z,300000,False,,,0,,M. Bridges REBOUND (Off:1 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Above the Break 3,24+ Left Center,,,,,,,,30.0,3.0,2.0,1.0,,,,,,,,
32,PT08M36.00S,2025-03-23T22:16:18.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,31.882391590013142,58.08823529411765,1610612766,8,6,2025-03-23T22:23:27Z,310000,False,-40.0,247.0,1,left,MISS M. Bridges 25' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,,Above the Break 3,24+ Center,25.05,Missed,,,,,,,,,,,,,,,,,
33,PT08M36.00S,2025-03-23T22:16:18.2Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,8,6,2025-03-23T22:16:33Z,320000,False,,,0,,K. Ware REBOUND (Off:0 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,Above the Break 3,24+ Center,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,
34,PT08M22.00S,2025-03-23T22:16:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612748,8,6,2025-03-23T22:16:44Z,330000,False,,,0,,L. Ball shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1630163, 203952]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,201639.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,0.0,Wiggins,203952.0,,
36,PT08M22.00S,2025-03-23T22:17:02.7Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612748,8,6,2025-03-23T22:17:02Z,350000,False,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
37,PT08M22.00S,2025-03-23T22:17:02.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,8,6,2025-03-23T22:17:02Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,
38,PT08M22.00S,2025-03-23T22:17:22.8Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612748,9,6,2025-03-23T22:17:22Z,370000,False,,,0,,A. Wiggins Free Throw 2 of 2 (6 PTS),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,
39,PT08M08.00S,2025-03-23T22:17:38.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629610,6.521024967148489,49.50980392156863,1610612766,9,6,2025-03-23T22:17:45Z,380000,False,2.0,9.0,1,left,MISS D. Jeffries driving DUNK,[1629610],1610612766.0,CHA,driving,,,Jeffries,D. Jeffries,,,,,,Restricted Area,0-8 Center,0.91,Missed,,,,,,,,,,,,,,,,,
40,PT08M04.00S,2025-03-23T22:17:42.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,9,6,2025-03-23T22:17:45Z,390000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Restricted Area,0-8 Center,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,
41,PT08M01.00S,2025-03-23T22:17:44.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629130,92.9862023653088,53.67647058823529,1610612748,9,6,2025-03-23T22:25:34Z,400000,False,18.0,13.0,1,right,MISS D. Robinson running Layup,[1629130],1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,,Restricted Area,0-8 Center,2.28,Missed,,,,,,,,,,,,,,,,,
42,PT07M58.00S,2025-03-23T22:17:47.7Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,9,6,2025-03-23T22:25:34Z,410000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Restricted Area,0-8 Center,,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,
43,PT07M58.00S,2025-03-23T22:17:47.6Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1628389,94.40999984741211,50.0,1610612748,9,6,2025-03-23T22:25:37Z,420000,False,0.0,0.0,1,right,MISS B. Adebayo tip DUNK,[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,
44,PT07M57.00S,2025-03-23T22:17:48.6Z,1,REGULAR,rebound,defensive,[],1629610,,,1610612766,9,6,2025-03-23T22:17:48Z,430000,False,,,0,,D. Jeffries REBOUND (Off:0 Def:1),[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,,Mid-Range,8-16 Left,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,
45,PT07M44.00S,2025-03-23T22:18:01.9Z,1,REGULAR,turnover,out-of-bounds,[],1641733,,,1610612766,9,6,2025-03-23T22:18:10Z,440000,False,,,0,,N. Smith Jr. bad pass out-of-bounds TURNOVER (1 TO),[1641733],1610612766.0,CHA,bad pass,,,Smith Jr.,N. Smith Jr.,,,,,201639.0,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,,,,,,
46,PT07M33.00S,2025-03-23T22:18:25.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629639,89.56964520367937,40.931372549019606,1610612748,11,6,2025-03-23T22:27:28Z,450000,False,-45.0,46.0,1,right,T. Herro 6' driving floating bank Jump Shot (5 PTS) (K. Ware 2 AST),"[1629639, 1642276]",1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,,In The Paint (Non-RA),0-8 Center,6.42,Made,5.0,K. Ware,1642276.0,2.0,,,,,,,,,,,,,
47,PT07M32.00S,2025-03-23T22:18:31.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,11,6,2025-03-23T22:18:31Z,460000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M32.00S,2025-03-23T22:20:34.0Z,1,REGULAR,substitution,out,[],1629610,,,1610612766,11,6,2025-03-23T22:21:22Z,470000,False,,,0,,SUB out: D. Jeffries,[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M32.00S,2025-03-23T22:20:34.0Z,1,REGULAR,substitution,in,[],1642275,,,1610612766,11,6,2025-03-23T22:21:22Z,480000,False,,,0,,SUB in: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M18.00S,2025-03-23T22:21:46.3Z,1,REGULAR,3pt,Jump Shot,[],1641733,21.76412614980289,88.97058823529412,1610612766,11,9,2025-03-23T22:21:51Z,490000,False,-195.0,152.0,1,left,N. Smith Jr. 24' 3PT  (3 PTS) (L. Ball 1 AST),"[1641733, 1630163]",1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,Above the Break 3,24+ Left Center,24.72,Made,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,
52,PT06M53.00S,2025-03-23T22:22:11.1Z,1,REGULAR,3pt,Jump Shot,[],1642276,66.44218134034165,55.88235294117647,1610612748,11,9,2025-03-23T22:22:15Z,510000,False,29.0,263.0,1,right,MISS K. Ware 26' 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,Above the Break 3,24+ Center,26.45,Missed,,,,,,,,,,,,,,,,,
53,PT06M50.00S,2025-03-23T22:22:14.1Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,11,9,2025-03-23T22:22:15Z,520000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,Above the Break 3,24+ Center,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,
54,PT06M35.00S,2025-03-23T22:22:29.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,4.681340341655716,47.794117647058826,1610612766,11,11,2025-03-23T22:28:54Z,530000,False,11.0,-8.0,1,left,M. Williams driving reverse Layup (4 PTS) (L. Ball 2 AST),"[1631109, 1630163]",1610612766.0,CHA,driving reverse,,,Williams,M. Williams,,,,,,Restricted Area,0-8 Center,1.39,Made,4.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,
56,PT06M12.00S,2025-03-23T22:22:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,93.51182654402102,54.90196078431373,1610612748,11,11,2025-03-23T22:29:31Z,550000,False,25.0,8.0,1,right,MISS A. Wiggins driving floating Shot - blocked,"[203952, 1631109]",1610612748.0,MIA,driving floating,,,Wiggins,A. Wiggins,,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,Williams,1631109.0,,,,,,
57,PT06M12.00S,2025-03-23T22:22:52.3Z,1,REGULAR,block,,[],1631109,,,1610612748,11,11,2025-03-23T22:22:55Z,560000,False,,,0,,M. Williams BLOCK (1 BLK),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
58,PT06M12.00S,2025-03-23T22:22:52.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,11,11,2025-03-23T22:23:01Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,56.0,,,,,,,,,,,
60,PT06M12.00S,2025-03-23T22:23:05.3Z,1,REGULAR,substitution,out,[],1630163,,,1610612748,11,11,2025-03-23T22:23:09Z,590000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M12.00S,2025-03-23T22:23:05.3Z,1,REGULAR,substitution,in,[],1642354,,,1610612748,11,11,2025-03-23T22:23:09Z,600000,False,,,0,,SUB in: K. Simpson,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M11.00S,2025-03-23T22:23:21.1Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,11,11,2025-03-23T22:23:26Z,610000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1642275]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Mid-Range,0-8 Center,,,,,,,1.0,,,,,,,,,,,Salaün,1642275.0
63,PT06M11.00S,2025-03-23T22:23:21.1Z,1,REGULAR,steal,,[],1642275,,,1610612766,11,11,2025-03-23T22:23:23Z,620000,False,,,0,,T. Salaün STEAL (1 STL),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,Mid-Range,0-8 Center,,,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2025-03-23T22:23:25.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631109,4.812746386333772,50.49019607843137,1610612766,11,13,2025-03-23T22:23:32Z,630000,False,-2.0,-7.0,1,left,M. Williams running DUNK (6 PTS) (T. Salaün 1 AST),"[1631109, 1642275]",1610612766.0,CHA,running,,,Williams,M. Williams,,,,,,Restricted Area,0-8 Center,0.77,Made,6.0,T. Salaün,1642275.0,1.0,,,,,,,,,,,,,
66,PT05M40.00S,2025-03-23T22:23:53.0Z,1,REGULAR,turnover,out-of-bounds,[],203952,,,1610612748,11,13,2025-03-23T22:24:03Z,650000,False,,,0,,A. Wiggins bad pass out-of-bounds TURNOVER (1 TO),[203952],1610612748.0,MIA,bad pass,,,Wiggins,A. Wiggins,,,,,201639.0,Mid-Range,16-24 Left Center,,,,,,,1.0,,,,,,,,,,,,
67,PT05M40.00S,2025-03-23T22:23:59.4Z,1,REGULAR,substitution,out,[],1628389,,,1610612766,11,13,2025-03-23T22:24:08Z,660000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M40.00S,2025-03-23T22:23:59.4Z,1,REGULAR,substitution,out,[],1629130,,,1610612766,11,13,2025-03-23T22:24:08Z,670000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M40.00S,2025-03-23T22:23:59.4Z,1,REGULAR,substitution,in,[],1630558,,,1610612766,11,13,2025-03-23T22:24:08Z,680000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M40.00S,2025-03-23T22:23:59.4Z,1,REGULAR,substitution,in,[],1629312,,,1610612766,11,13,2025-03-23T22:24:08Z,690000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M22.00S,2025-03-23T22:24:32.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641733,18.74178712220762,92.8921568627451,1610612766,11,16,2025-03-23T22:24:43Z,700000,False,-214.0,124.0,1,left,N. Smith Jr. 24' 3PT pullup (6 PTS),[1641733],1610612766.0,CHA,pullup,,,Smith Jr.,N. Smith Jr.,,,,,,Above the Break 3,24+ Left Center,24.76,Made,6.0,,,,,,,,,,,,,,,,
73,PT05M00.00S,2025-03-23T22:24:54.5Z,1,REGULAR,3pt,Jump Shot,[],1630558,76.03482260183968,88.23529411764706,1610612748,11,16,2025-03-23T22:25:00Z,720000,False,191.0,173.0,1,right,MISS D. Mitchell 25' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,,,,,,,,,,,,,,,,
74,PT04M56.00S,2025-03-23T22:24:58.5Z,1,REGULAR,rebound,defensive,[],1642354,,,1610612766,11,16,2025-03-23T22:25:00Z,730000,False,,,0,,K. Simpson REBOUND (Off:0 Def:1),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,Above the Break 3,24+ Right Center,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,
75,PT04M48.00S,2025-03-23T22:25:07.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,31.61957950065703,65.19607843137256,1610612766,11,16,2025-03-23T22:25:12Z,740000,False,-76.0,245.0,1,left,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Above the Break 3,24+ Center,25.62,Missed,,,,,,,,,,,,,,,,,
76,PT04M48.00S,2025-03-23T22:25:07.6Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,11,16,2025-03-23T22:25:12Z,750000,False,,,0,,K. Ware REBOUND (Off:0 Def:3),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,Above the Break 3,24+ Center,,,,,,,,75.0,3.0,3.0,0.0,,,,,,,,
77,PT04M36.00S,2025-03-23T22:25:19.6Z,1,REGULAR,3pt,Jump Shot,[],203952,74.45795006570303,87.99019607843137,1610612748,11,16,2025-03-23T22:25:25Z,760000,False,190.0,188.0,1,right,MISS A. Wiggins 26' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,Above the Break 3,24+ Right Center,26.7,Missed,,,,,,,,,,,,,,,,,
78,PT04M31.00S,2025-03-23T22:25:24.6Z,1,REGULAR,rebound,defensive,[],1641733,,,1610612766,11,16,2025-03-23T22:25:25Z,770000,False,,,0,,N. Smith Jr. REBOUND (Off:0 Def:1),[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,Above the Break 3,24+ Right Center,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,
79,PT04M18.00S,2025-03-23T22:25:36.1Z,1,REGULAR,3pt,Jump Shot,[],1641733,28.86005256241787,75.49019607843137,1610612766,11,19,2025-03-23T22:25:40Z,780000,False,-127.0,219.0,1,left,N. Smith Jr. 25' 3PT pullup (9 PTS),[1641733],1610612766.0,CHA,pullup,,,Smith Jr.,N. Smith Jr.,,,,,,Above the Break 3,24+ Left Center,25.32,Made,9.0,,,,,,,,,,,,,,,,
80,PT04M17.00S,2025-03-23T22:25:40.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,11,19,2025-03-23T22:25:40Z,790000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M17.00S,2025-03-23T22:27:57.3Z,1,REGULAR,substitution,out,[],1628970,,,1610612748,11,19,2025-03-23T22:28:25Z,800000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
