actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
38,PT08M45.00S,2022-01-05T00:16:00.2Z,1,REGULAR,freethrow,1 of 2,[],203500,,,1610612763,9,2,2022-01-05T00:16:36Z,360000,,,0,,MISS S. Adams Free Throw 1 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-01-05T00:16:00.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,9,2,2022-01-05T00:16:36Z,370000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,
40,PT08M45.00S,2022-01-05T00:16:00.2Z,1,REGULAR,freethrow,2 of 2,[],203500,,,1610612763,9,3,2022-01-05T00:16:45Z,380000,,,0,,S. Adams Free Throw 2 of 2 (1 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
42,PT08M45.00S,2022-01-05T00:16:32.6Z,1,REGULAR,violation,lane,[],1630205,,,1610612739,9,3,2022-01-05T00:22:58Z,400000,,,0,,L. Stevens lane VIOLATION,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,204059.0,,,,,,,,
43,PT08M25.00S,2022-01-05T00:17:01.6Z,1,REGULAR,2pt,Jump Shot,[],1630596,14.931011826544022,15.931372549019606,1610612739,9,3,2022-01-05T00:17:11Z,410000,170.0,88.0,1,left,MISS E. Mobley 19' Jump Shot,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,19.16,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M22.00S,2022-01-05T00:17:03.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,9,3,2022-01-05T00:17:03Z,420000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
45,PT08M21.00S,2022-01-05T00:17:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,5.995400788436268,49.26470588235294,1610612739,11,3,2022-01-05T00:17:16Z,430000,4.0,4.0,1,left,J. Allen putback Layup (2 PTS),[1628386],1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,0.54,Made,,,,,,,2.0,,,,,,,,,,,,
46,PT08M05.00S,2022-01-05T00:17:24.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,86.28449408672799,41.17647058823529,1610612763,11,5,2022-01-05T00:17:38Z,440000,-44.0,76.0,1,right,J. Jackson Jr. 8' driving floating Jump Shot (2 PTS),[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,8.82,Made,,,,,,,2.0,,,,,,,,,,,,
47,PT08M05.00S,2022-01-05T00:17:32.0Z,1,REGULAR,foul,personal,['1freethrow'],1628374,,,1610612763,11,5,2022-01-05T00:17:51Z,450000,,,0,,L. Markkanen shooting personal FOUL (2 PF) (Jackson Jr. 1 FT),"[1628374, 1628991]",1610612739.0,CLE,shooting,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,1626300.0,,2.0,0.0,Jackson Jr.,1628991.0,,,
49,PT08M05.00S,2022-01-05T00:17:47.1Z,1,REGULAR,substitution,out,[],1628374,,,1610612763,11,5,2022-01-05T00:17:50Z,470000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M05.00S,2022-01-05T00:17:47.1Z,1,REGULAR,substitution,in,[],201567,,,1610612763,11,5,2022-01-05T00:17:50Z,480000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M05.00S,2022-01-05T00:18:05.0Z,1,REGULAR,freethrow,1 of 1,[],1628991,,,1610612763,11,6,2022-01-05T00:18:05Z,490000,,,0,,J. Jackson Jr. Free Throw 1 of 1 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
52,PT07M54.00S,2022-01-05T00:18:18.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,6.915243101182654,50.0,1610612739,13,6,2022-01-05T00:18:24Z,500000,0.0,13.0,1,left,J. Allen alley-oop DUNK (4 PTS) (D. Garland 2 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,1.25,Made,,,,,,,4.0,D. Garland,1629636.0,2.0,,,,,,,,,
54,PT07M32.00S,2022-01-05T00:18:42.4Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,13,6,2022-01-05T00:18:56Z,520000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,,,,,,,,,,,,,1628168.0,1.0,,,,,,,
55,PT07M25.00S,2022-01-05T00:18:58.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629636,14.14257555847569,33.82352941176471,1610612739,13,6,2022-01-05T00:20:31Z,530000,81.0,80.0,1,left,MISS D. Garland 11' driving floating Shot - blocked,"[1629636, 1629630]",1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,11.41,Missed,,,,,Morant,1629630.0,,,,,,,,,,,,,
56,PT07M25.00S,2022-01-05T00:18:58.4Z,1,REGULAR,block,,[],1629630,,,1610612739,13,6,2022-01-05T00:19:02Z,540000,,,0,,J. Morant BLOCK (1 BLK),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M24.00S,2022-01-05T00:18:59.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,13,6,2022-01-05T00:20:31Z,550000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
62,PT07M18.00S,2022-01-05T00:19:05.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,68.41327201051249,25.245098039215684,1610612763,13,9,2022-01-05T00:21:50Z,555000,-124.0,244.0,1,right,D. Bane 27' 3PT running (3 PTS),[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,27.4,Made,,,,,,,3.0,,,,,,,,,,,,
58,PT07M07.00S,2022-01-05T00:19:13.0Z,1,REGULAR,3pt,Jump Shot,[],201567,28.86005256241787,74.75490196078431,1610612739,13,9,2022-01-05T00:19:25Z,560000,-124.0,219.0,1,left,MISS K. Love 25' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,25.14,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M07.00S,2022-01-05T00:19:13.0Z,1,REGULAR,rebound,offensive,[],1630205,,,1610612739,13,9,2022-01-05T00:19:25Z,570000,,,0,,L. Stevens REBOUND (Off:1 Def:0),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,58.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
60,PT06M54.00S,2022-01-05T00:19:30.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612739,13,9,2022-01-05T00:22:28Z,580000,,,0,,CLE shot clock Team TURNOVER,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,1626300.0,,,,,,,,
61,PT06M54.00S,2022-01-05T00:19:38.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,13,9,2022-01-05T00:19:38Z,590000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2022-01-05T00:21:56.6Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,13,9,2022-01-05T00:22:29Z,600000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M54.00S,2022-01-05T00:21:56.6Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,13,9,2022-01-05T00:22:29Z,610000,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M37.00S,2022-01-05T00:22:49.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,80.89684625492772,98.52941176470588,1610612763,13,9,2022-01-05T00:22:56Z,620000,243.0,127.0,1,right,MISS S. Aldama 27' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,27.39,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M31.00S,2022-01-05T00:22:55.1Z,1,REGULAR,rebound,offensive,[],1630583,,,1610612763,13,9,2022-01-05T00:22:56Z,630000,,,0,,S. Aldama REBOUND (Off:1 Def:0),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,65.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
67,PT06M24.00S,2022-01-05T00:23:02.1Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629630,87.20433639947439,33.57843137254902,1610612763,13,9,2022-01-05T00:25:03Z,640000,-82.0,68.0,1,right,MISS J. Morant 10' fadeaway Shot,[1629630],1610612763.0,MEM,fadeaway,,,Morant,J. Morant,,,,,10.65,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M21.00S,2022-01-05T00:23:05.1Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,13,9,2022-01-05T00:23:12Z,650000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
69,PT06M18.00S,2022-01-05T00:23:08.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628386,5.601182654402102,52.94117647058824,1610612739,15,9,2022-01-05T00:23:18Z,660000,-15.0,0.0,1,left,J. Allen alley-oop DUNK (6 PTS) (D. Garland 3 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,1.47,Made,,,,,,,6.0,D. Garland,1629636.0,3.0,,,,,,,,,
71,PT05M58.00S,2022-01-05T00:23:27.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629681,91.67214191852825,63.23529411764706,1610612763,15,11,2022-01-05T00:23:34Z,680000,66.0,26.0,1,right,K. Tillie 7' driving floating Jump Shot (2 PTS) (S. Adams 1 AST),"[1629681, 203500]",1610612763.0,MEM,driving floating,,,Tillie,K. Tillie,,,,,7.1,Made,,,,,,,2.0,S. Adams,203500.0,1.0,,,,,,,,,
73,PT05M41.00S,2022-01-05T00:23:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,5.995400788436268,49.754901960784316,1610612739,17,11,2022-01-05T00:23:48Z,700000,1.0,4.0,1,left,J. Allen Layup (8 PTS) (D. Garland 4 AST),"[1628386, 1629636]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,0.41,Made,,,,,,,8.0,D. Garland,1629636.0,4.0,,,,,,,,,
75,PT05M24.00S,2022-01-05T00:24:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,87.86136662286465,37.5,1610612763,17,13,2022-01-05T00:24:07Z,720000,-62.0,62.0,1,right,J. Morant 8' driving floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,8.78,Made,,,,,,,4.0,,,,,,,,,,,,
76,PT05M16.00S,2022-01-05T00:24:11.3Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,17,13,2022-01-05T00:24:18Z,730000,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,,,,,,,,,,,,,1626300.0,1.0,,,,,,,
77,PT05M16.00S,2022-01-05T00:24:14.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612763,17,13,2022-01-05T00:24:21Z,740000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M16.00S,2022-01-05T00:24:14.3Z,1,REGULAR,substitution,in,[],1629731,,,1610612763,17,13,2022-01-05T00:24:21Z,750000,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M59.00S,2022-01-05T00:24:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629630,93.11760840998686,51.71568627450981,1610612763,17,15,2022-01-05T00:24:50Z,760000,9.0,12.0,1,right,J. Morant Layup (6 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,1.49,Made,,,,,,,6.0,,,,,,,,,,,,
80,PT04M42.00S,2022-01-05T00:25:02.4Z,1,REGULAR,3pt,Jump Shot,[],201567,22.552562417871222,89.4607843137255,1610612739,20,15,2022-01-05T00:25:06Z,770000,-197.0,159.0,1,left,K. Love 25' 3PT  (3 PTS),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,25.37,Made,,,,,,,3.0,,,,,,,,,,,,
81,PT04M23.00S,2022-01-05T00:25:21.4Z,1,REGULAR,3pt,Jump Shot,[],1630217,82.21090670170827,96.07843137254902,1610612763,20,18,2022-01-05T00:25:29Z,780000,230.0,115.0,1,right,D. Bane 25' 3PT  (6 PTS) (K. Tillie 1 AST),"[1630217, 1629681]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,25.74,Made,,,,,,,6.0,K. Tillie,1629681.0,1.0,,,,,,,,,
83,PT04M14.00S,2022-01-05T00:25:32.4Z,1,REGULAR,3pt,Jump Shot,[],1629636,35.167542706964525,28.676470588235293,1610612739,23,18,2022-01-05T00:25:37Z,800000,107.0,278.0,1,left,D. Garland 29' 3PT  (8 PTS) (J. Allen 1 AST),"[1629636, 1628386]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,29.78,Made,,,,,,,8.0,J. Allen,1628386.0,1.0,,,,,,,,,
85,PT04M14.00S,2022-01-05T00:25:38.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,23,18,2022-01-05T00:25:38Z,820000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M14.00S,2022-01-05T00:28:03.7Z,1,REGULAR,substitution,out,[],1629636,,,1610612763,23,18,2022-01-05T00:28:22Z,830000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M14.00S,2022-01-05T00:28:03.7Z,1,REGULAR,substitution,out,[],1629681,,,1610612763,23,18,2022-01-05T00:28:22Z,840000,,,0,,SUB out: K. Tillie,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M14.00S,2022-01-05T00:28:03.7Z,1,REGULAR,substitution,in,[],1629164,,,1610612763,23,18,2022-01-05T00:28:22Z,850000,,,0,,SUB in: B. Goodwin,[1629164],1610612739.0,CLE,,,,Goodwin,B. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M14.00S,2022-01-05T00:28:03.7Z,1,REGULAR,substitution,in,[],1629633,,,1610612763,23,18,2022-01-05T00:28:22Z,860000,,,0,,SUB in: J. Culver,[1629633],1610612763.0,MEM,,,,Culver,J. Culver,,,,,,,,,,,,,,,,,,,,,,,,,
