actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
80,PT04M23.00S,2022-01-27T00:23:26.5Z,1,REGULAR,turnover,lost ball,[],1626224,,,1610612739,20,24,2022-01-27T00:23:35Z,800000,,,0,,C. Osman lost ball TURNOVER (1 TO),"[1626224, 1628978]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,1.0,,,,,DiVincenzo,1628978.0,,,,,,
81,PT04M23.00S,2022-01-27T00:23:26.5Z,1,REGULAR,steal,,[],1628978,,,1610612749,20,24,2022-01-27T00:23:30Z,810000,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M17.00S,2022-01-27T00:23:31.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201950,94.1688567674113,51.9607843137255,1610612749,20,26,2022-01-27T00:23:41Z,820000,10.0,2.0,1,right,J. Holiday running Layup (4 PTS) (D. DiVincenzo 1 AST),"[201950, 1628978]",1610612749.0,MIL,running,,,Holiday,J. Holiday,,,,,1.01,Made,,,,,,,4.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,
84,PT03M56.00S,2022-01-27T00:23:52.3Z,1,REGULAR,2pt,Jump Shot,[],201567,5.338370565045992,14.215686274509803,1610612739,20,26,2022-01-27T00:23:58Z,840000,179.0,-2.0,1,left,MISS K. Love 17' turnaround Shot,[201567],1610612739.0,CLE,turnaround,,,Love,K. Love,,,,,17.89,Missed,,,,,,,,,,,,,,,,,,
85,PT03M53.00S,2022-01-27T00:23:55.3Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612749,20,26,2022-01-27T00:23:58Z,850000,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT03M43.00S,2022-01-27T00:24:05.6Z,1,REGULAR,3pt,Jump Shot,[],1626192,68.80749014454665,19.607843137254903,1610612749,20,29,2022-01-27T00:24:10Z,860000,-152.0,241.0,1,right,P. Connaughton 28' 3PT  (8 PTS) (J. Holiday 3 AST),"[1626192, 201950]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,28.47,Made,,,,,,,8.0,J. Holiday,201950.0,3.0,,,,,,,,
88,PT03M30.00S,2022-01-27T00:24:23.6Z,1,REGULAR,foul,personal,['2freethrow'],201950,,,1610612739,20,29,2022-01-27T00:24:53Z,880000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Garland 2 FT),"[201950, 1629636]",1610612749.0,MIL,shooting,,,Holiday,J. Holiday,,,,,,,,,,,201638.0,,,,,,,,1.0,0.0,Garland,1629636.0,,
90,PT03M30.00S,2022-01-27T00:25:04.1Z,1,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,20,29,2022-01-27T00:27:11Z,905000,,,0,,MISS D. Garland Free Throw 1 of 2,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Missed,,,,,,,,,,,,,,,,,,
91,PT03M30.00S,2022-01-27T00:25:04.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612739,20,29,2022-01-27T00:27:11Z,912500,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,
100,PT03M30.00S,2022-01-27T00:25:04.1Z,1,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,21,29,2022-01-27T00:27:11Z,916250,,,0,,D. Garland Free Throw 2 of 2 (8 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
92,PT03M30.00S,2022-01-27T00:25:05.1Z,1,REGULAR,substitution,out,[],1630596,,,1610612749,21,29,2022-01-27T00:27:11Z,920000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M30.00S,2022-01-27T00:25:05.1Z,1,REGULAR,substitution,out,[],1630171,,,1610612749,21,29,2022-01-27T00:27:11Z,930000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
