actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
16,PT10M44.00S,2022-03-01T00:12:39.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628386,77.4802890932983,62.99019607843137,1610612739,4,0,2022-03-01T00:12:45Z,160000,65.0,159.0,1,right,J. Allen 17' Jump Shot (4 PTS) (B. Goodwin 2 AST),"[1628386, 1629164]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,17.2,Made,,,,,,,4.0,B. Goodwin,1629164.0,2.0,,,,
18,PT10M36.00S,2022-03-01T00:12:47.6Z,1,REGULAR,3pt,Jump Shot,[],201976,17.69053876478318,95.58823529411765,1610612750,4,0,2022-03-01T00:12:52Z,180000,-228.0,114.0,1,left,MISS P. Beverley 25' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,25.47,Missed,,,,,,,,,,,,,,
19,PT10M35.00S,2022-03-01T00:12:48.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,4,0,2022-03-01T00:12:52Z,190000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,
20,PT10M15.00S,2022-03-01T00:13:14.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,87.07293035479631,50.49019607843137,1610612739,4,0,2022-03-01T00:13:29Z,200000,2.0,69.0,1,right,MISS J. Allen 6' Hook,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,6.9,Missed,,,,,,,,,,,,,,
21,PT10M13.00S,2022-03-01T00:13:16.5Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,4,0,2022-03-01T00:13:16Z,210000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,
25,PT09M58.00S,2022-03-01T00:13:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,5.206964520367937,44.6078431372549,1610612750,4,2,2022-03-01T00:13:41Z,220000,27.0,-4.0,1,left,K. Towns driving Layup (2 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,,,,,2.72,Made,,,,,,,2.0,,,,,,,
26,PT09M40.00S,2022-03-01T00:13:49.8Z,1,REGULAR,3pt,Jump Shot,[],1629164,92.85479632063075,3.6764705882352944,1610612739,4,2,2022-03-01T00:13:55Z,230000,-232.0,15.0,1,right,MISS B. Goodwin 3PT,[1629164],1610612739.0,CLE,,,,Goodwin,B. Goodwin,,,,,,,,,,23.21,Missed,,,,,,,,,,,,,,
27,PT09M36.00S,2022-03-01T00:13:53.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,4,2,2022-03-01T00:13:55Z,240000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT09M17.00S,2022-03-01T00:14:12.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,11.645860709592641,63.970588235294116,1610612750,4,2,2022-03-01T00:14:17Z,250000,-70.0,57.0,1,left,MISS K. Towns 9' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,9.02,Missed,,,,,,,,,,,,,,
29,PT09M15.00S,2022-03-01T00:14:14.6Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,4,2,2022-03-01T00:14:17Z,260000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT09M04.00S,2022-03-01T00:14:24.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,62.76281208935611,67.8921568627451,1610612739,7,2,2022-03-01T00:14:30Z,270000,89.0,298.0,1,right,L. Markkanen 31' 3PT  (3 PTS) (B. Goodwin 3 AST),"[1628374, 1629164]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,31.07,Made,,,,,,,3.0,B. Goodwin,1629164.0,3.0,,,,
32,PT08M50.00S,2022-03-01T00:14:39.5Z,1,REGULAR,3pt,Jump Shot,[],1626157,29.38567674113009,23.284313725490197,1610612750,7,2,2022-03-01T00:14:44Z,290000,134.0,224.0,1,left,MISS K. Towns 26' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,26.06,Missed,,,,,,,,,,,,,,
33,PT08M47.00S,2022-03-01T00:14:42.5Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,7,2,2022-03-01T00:14:44Z,300000,,,0,,I. Okoro REBOUND (Off:0 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,
34,PT08M43.00S,2022-03-01T00:14:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,94.30026281208936,47.794117647058826,1610612739,7,2,2022-03-01T00:14:58Z,310000,-11.0,1.0,1,right,MISS I. Okoro running Layup,[1630171],1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,,,,,,1.11,Missed,,,,,,,,,,,,,,
35,PT08M39.00S,2022-03-01T00:14:50.6Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,7,2,2022-03-01T00:14:58Z,320000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,
36,PT08M39.00S,2022-03-01T00:14:51.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1628386,94.40999984741211,50.0,1610612739,9,2,2022-03-01T00:15:02Z,330000,0.0,0.0,1,right,J. Allen putback Layup (6 PTS),[1628386],1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,,,,,,0.0,Made,,,,,,,6.0,,,,,,,
37,PT08M28.00S,2022-03-01T00:15:01.1Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,9,2,2022-03-01T00:15:06Z,340000,,,0,,A. Edwards lost ball TURNOVER (2 TO),"[1630162, 1629164]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,2.0,Goodwin,1629164.0,
38,PT08M28.00S,2022-03-01T00:15:01.1Z,1,REGULAR,steal,,[],1629164,,,1610612739,9,2,2022-03-01T00:15:04Z,350000,,,0,,B. Goodwin STEAL (1 STL),[1629164],1610612739.0,CLE,,,,Goodwin,B. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M21.00S,2022-03-01T00:15:08.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630596,94.82588699080158,47.794117647058826,1610612739,11,2,2022-03-01T00:18:37Z,360000,-11.0,-4.0,1,right,E. Mobley DUNK (2 PTS) (I. Okoro 1 AST),"[1630596, 1630171]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,1.17,Made,,,,,,,2.0,I. Okoro,1630171.0,1.0,,,,
40,PT08M02.00S,2022-03-01T00:15:37.1Z,1,REGULAR,3pt,Jump Shot,[],201976,19.004599211563733,4.6568627450980395,1610612750,11,2,2022-03-01T00:15:42Z,370000,227.0,126.0,1,left,MISS P. Beverley 25' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,25.94,Missed,,,,,,,,,,,,,,
41,PT07M59.00S,2022-03-01T00:15:40.1Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,11,2,2022-03-01T00:15:42Z,380000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,
42,PT07M46.00S,2022-03-01T00:15:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629164,84.44480946123521,50.73529411764706,1610612739,13,2,2022-03-01T00:16:02Z,390000,4.0,94.0,1,right,B. Goodwin 9' driving floating Jump Shot (2 PTS),[1629164],1610612739.0,CLE,driving floating,,,Goodwin,B. Goodwin,,,,,,,,,,9.38,Made,,,,,,,2.0,,,,,,,
43,PT07M46.00S,2022-03-01T00:15:59.8Z,1,REGULAR,foul,personal,['1freethrow'],201976,,,1610612739,13,2,2022-03-01T00:16:08Z,400000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Goodwin 1 FT),"[201976, 1629164]",1610612750.0,MIN,shooting,,,Beverley,P. Beverley,,,,,1146.0,1.0,0.0,Goodwin,1629164.0,,,,,,,,,,,,,,,,
45,PT07M46.00S,2022-03-01T00:16:23.1Z,1,REGULAR,freethrow,1 of 1,[],1629164,,,1610612739,14,2,2022-03-01T00:16:23Z,420000,,,0,,B. Goodwin Free Throw 1 of 1 (3 PTS),[1629164],1610612739.0,CLE,,,,Goodwin,B. Goodwin,,,,,,,,,,,Made,,,,,,,3.0,,,,,,,
46,PT07M28.00S,2022-03-01T00:16:46.8Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612750,14,2,2022-03-01T00:16:57Z,430000,,,0,,J. Allen shooting personal FOUL (1 PF) (Towns 2 FT),"[1628386, 1626157]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,1146.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,,
48,PT07M28.00S,2022-03-01T00:17:22.6Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,14,3,2022-03-01T00:17:22Z,450000,,,0,,K. Towns Free Throw 1 of 2 (3 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,Made,,,,,,,3.0,,,,,,,
49,PT07M28.00S,2022-03-01T00:17:44.1Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,14,4,2022-03-01T00:17:44Z,460000,,,0,,K. Towns Free Throw 2 of 2 (4 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,Made,,,,,,,4.0,,,,,,,
50,PT07M11.00S,2022-03-01T00:18:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.46057818659659,51.71568627450981,1610612739,14,4,2022-03-01T00:18:08Z,470000,9.0,18.0,1,right,MISS I. Okoro driving Layup,[1630171],1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,,,,2.03,Missed,,,,,,,,,,,,,,
51,PT07M11.00S,2022-03-01T00:18:07.0Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,14,4,2022-03-01T00:18:07Z,480000,,,0,,I. Okoro REBOUND (Off:1 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,50.0,3.0,2.0,1.0,,,,,,,,
52,PT07M11.00S,2022-03-01T00:18:08.1Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612739,14,4,2022-03-01T00:18:19Z,490000,,,0,,J. Vanderbilt shooting personal FOUL (1 PF) (Okoro 2 FT),"[1629020, 1630171]",1610612750.0,MIN,shooting,,,Vanderbilt,J. Vanderbilt,,,,,204058.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,,,,,,,
55,PT07M11.00S,2022-03-01T00:18:28.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630171,,,1610612739,15,4,2022-03-01T00:18:28Z,510000,,,0,,I. Okoro Free Throw 1 of 2 (1 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,
56,PT07M11.00S,2022-03-01T00:18:42.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630171,,,1610612739,16,4,2022-03-01T00:18:42Z,520000,,,0,,I. Okoro Free Throw 2 of 2 (2 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Made,,,,,,,2.0,,,,,,,
57,PT07M00.00S,2022-03-01T00:18:58.7Z,1,REGULAR,foul,personal,[],1628374,,,1610612750,16,4,2022-03-01T00:19:06Z,530000,,,0,,L. Markkanen personal FOUL (1 PF),"[1628374, 1626156]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,200833.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,,
59,PT06M53.00S,2022-03-01T00:19:17.9Z,1,REGULAR,3pt,Jump Shot,[],1626156,27.54599211563732,77.69607843137256,1610612750,16,7,2022-03-01T00:20:37Z,550000,-138.0,206.0,1,left,D. Russell 24' 3PT pullup (3 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,,,24.86,Made,,,,,,,3.0,,,,,,,
60,PT06M40.00S,2022-03-01T00:19:31.4Z,1,REGULAR,3pt,Jump Shot,[],1629164,69.07030223390277,28.676470588235293,1610612739,19,7,2022-03-01T00:21:04Z,560000,-107.0,238.0,1,right,B. Goodwin 26' 3PT pullup (6 PTS),[1629164],1610612739.0,CLE,pullup,,,Goodwin,B. Goodwin,,,,,,,,,,26.1,Made,,,,,,,6.0,,,,,,,
61,PT06M26.00S,2022-03-01T00:19:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,12.302890932982917,41.17647058823529,1610612750,19,7,2022-03-01T00:19:52Z,570000,44.0,63.0,1,left,MISS D. Russell 7' fadeaway Shot,[1626156],1610612750.0,MIN,fadeaway,,,Russell,D. Russell,,,,,,,,,,7.7,Missed,,,,,,,,,,,,,,
62,PT06M24.00S,2022-03-01T00:19:47.3Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,19,7,2022-03-01T00:19:52Z,580000,,,0,,E. Mobley REBOUND (Off:0 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,61.0,3.0,3.0,0.0,,,,,,,,
63,PT06M22.00S,2022-03-01T00:19:50.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,70.38436268068331,8.333333333333332,1610612739,19,7,2022-03-01T00:21:44Z,590000,-208.0,226.0,1,right,MISS L. Markkanen 30' running 3PT,[1628374],1610612739.0,CLE,running,,,Markkanen,L. Markkanen,,,,,,,,,,30.73,Missed,,,,,,,,,,,,,,
64,PT06M16.00S,2022-03-01T00:19:56.5Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,19,7,2022-03-01T00:19:57Z,600000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:3),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,63.0,3.0,3.0,0.0,,,,,,,,
65,PT06M11.00S,2022-03-01T00:20:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,4.681340341655716,50.49019607843137,1610612750,19,9,2022-03-01T00:20:08Z,610000,-2.0,-8.0,1,left,K. Towns driving Layup (6 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,,,,,0.89,Made,,,,,,,6.0,D. Russell,1626156.0,1.0,,,,
67,PT06M11.00S,2022-03-01T00:20:12.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,19,9,2022-03-01T00:20:12Z,630000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M11.00S,2022-03-01T00:22:38.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,19,9,2022-03-01T00:22:54Z,640000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M11.00S,2022-03-01T00:22:38.3Z,1,REGULAR,substitution,in,[],201567,,,1610612739,19,9,2022-03-01T00:22:54Z,650000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M49.00S,2022-03-01T00:23:27.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,74.72076215505913,7.352941176470589,1610612739,19,9,2022-03-01T00:23:35Z,660000,-213.0,185.0,1,right,MISS L. Markkanen 28' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,28.23,Missed,,,,,,,,,,,,,,
71,PT05M45.00S,2022-03-01T00:23:31.9Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,19,9,2022-03-01T00:33:23Z,670000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,
72,PT05M44.00S,2022-03-01T00:23:38.6Z,1,REGULAR,foul,offensive,[],201976,,,1610612750,19,9,2022-03-01T00:23:53Z,680000,,,0,,P. Beverley charge offensive FOUL (2 PF),"[201976, 201567]",1610612750.0,MIN,charge,,,Beverley,P. Beverley,,,,,200833.0,2.0,0.0,Love,201567.0,,,,,,,,,,,,,,,,
74,PT05M44.00S,2022-03-01T00:23:38.6Z,1,REGULAR,turnover,offensive foul,[],201976,,,1610612750,19,9,2022-03-01T00:23:38Z,700000,,,0,,P. Beverley offensive foul TURNOVER (1 TO),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,200833.0,,,,,,,,,,,,,,,,,1.0,,,
75,PT05M44.00S,2022-03-01T00:23:54.6Z,1,REGULAR,substitution,out,[],201976,,,1610612739,19,9,2022-03-01T00:23:59Z,710000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M44.00S,2022-03-01T00:23:54.6Z,1,REGULAR,substitution,in,[],1630183,,,1610612739,19,9,2022-03-01T00:23:59Z,720000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M26.00S,2022-03-01T00:24:19.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628386,87.33574244415243,22.794117647058822,1610612739,21,9,2022-03-01T00:24:34Z,730000,-136.0,67.0,1,right,J. Allen 15' Jump Shot (8 PTS) (K. Love 1 AST),"[1628386, 201567]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,15.14,Made,,,,,,,8.0,K. Love,201567.0,1.0,,,,
79,PT05M10.00S,2022-03-01T00:24:34.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,30.831143232588698,21.07843137254902,1610612750,21,9,2022-03-01T00:24:41Z,750000,145.0,237.0,1,left,MISS D. Russell 27' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,27.79,Missed,,,,,,,,,,,,,,
80,PT05M08.00S,2022-03-01T00:24:36.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,21,9,2022-03-01T00:24:41Z,760000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,79.0,2.0,1.0,1.0,,,,,,,,
81,PT05M05.00S,2022-03-01T00:24:44.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",1628374,94.69448094612353,49.754901960784316,1610612739,23,9,2022-03-01T00:25:01Z,770000,-1.0,-3.0,1,right,L. Markkanen running Layup (5 PTS) (B. Goodwin 4 AST),"[1628374, 1629164]",1610612739.0,CLE,running,,,Markkanen,L. Markkanen,,,,,,,,,,0.29,Made,,,,,,,5.0,B. Goodwin,1629164.0,4.0,,,,
83,PT05M05.00S,2022-03-01T00:24:49.2Z,1,REGULAR,violation,defensive goaltending,[],1629020,,,1610612739,23,9,2022-03-01T00:25:01Z,790000,,,0,,J. Vanderbilt defensive goaltending VIOLATION,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,204058.0,,,,,,,,,,,,,,,,,,,,
84,PT04M48.00S,2022-03-01T00:25:10.7Z,1,REGULAR,3pt,Jump Shot,[],1630183,6.1268068331143235,3.431372549019608,1610612750,23,12,2022-03-01T00:25:15Z,800000,233.0,5.0,1,left,J. McDaniels 3PT  (3 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,23.29,Made,,,,,,,3.0,A. Edwards,1630162.0,1.0,,,,
86,PT04M41.00S,2022-03-01T00:25:16.9Z,1,REGULAR,3pt,Jump Shot,[],201567,64.47109067017082,16.666666666666664,1610612739,23,12,2022-03-01T00:25:22Z,820000,-167.0,281.0,1,right,MISS K. Love 32' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,32.72,Missed,,,,,,,,,,,,,,
87,PT04M38.00S,2022-03-01T00:25:20.3Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,23,12,2022-03-01T00:25:20Z,830000,,,0,,I. Okoro REBOUND (Off:2 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,86.0,4.0,2.0,2.0,,,,,,,,
88,PT04M26.00S,2022-03-01T00:25:33.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201567,89.30683311432325,39.705882352941174,1610612739,23,12,2022-03-01T00:26:46Z,840000,-51.0,48.0,1,right,MISS K. Love 7' turnaround Hook - blocked,"[201567, 1629020]",1610612739.0,CLE,turnaround,,,Love,K. Love,,,,,,,,,,7.04,Missed,Vanderbilt,1629020.0,,,,,,,,,,,,
89,PT04M26.00S,2022-03-01T00:25:33.5Z,1,REGULAR,block,,[],1629020,,,1610612739,23,12,2022-03-01T00:25:36Z,850000,,,0,,J. Vanderbilt BLOCK (1 BLK),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M23.00S,2022-03-01T00:25:36.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,23,12,2022-03-01T00:28:39Z,860000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,
91,PT04M23.00S,2022-03-01T00:25:41.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612739,23,12,2022-03-01T00:28:43Z,915000,,,0,,CLE shot clock Team TURNOVER,[],1610612739.0,CLE,,,,,,,,,,200833.0,,,,,,,,,,,,,,,,,,,,
