actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
19,PT10M23.00S,2022-04-03T22:12:57.5Z,1,REGULAR,2pt,Jump Shot,[],1629636,86.94152431011827,87.00980392156863,1610612739,0,4,2022-04-03T22:13:03Z,190000,185.0,70.0,1,right,MISS D. Garland 19' step back Shot,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,,,,,,Missed,,19.79,,,,,,,,,,,,,
20,PT10M19.00S,2022-04-03T22:13:01.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,4,2022-04-03T22:13:03Z,200000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M05.00S,2022-04-03T22:13:15.6Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,0,4,2022-04-03T22:13:18Z,210000,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 1627747]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,1.0,LeVert,1627747.0,,,,,,
22,PT10M05.00S,2022-04-03T22:13:15.6Z,1,REGULAR,steal,,[],1627747,,,1610612739,0,4,2022-04-03T22:13:17Z,220000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M44.00S,2022-04-03T22:13:43.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,4,2022-04-03T22:13:43Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M41.00S,2022-04-03T22:13:56.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612739,0,4,2022-04-03T22:14:01Z,240000,,,0,,CLE shot clock Team TURNOVER,[],1610612739.0,CLE,,,,,,,,,,1628951.0,,,,,,,,,,,,,,,,,,,,
25,PT09M31.00S,2022-04-03T22:14:19.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203954,18.873193166885677,36.029411764705884,1610612755,0,4,2022-04-03T22:14:22Z,250000,70.0,125.0,1,left,MISS J. Embiid 14' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,14.31,,,,,,,,,,,,,
26,PT09M29.00S,2022-04-03T22:14:21.5Z,1,REGULAR,rebound,offensive,[],201935,,,1610612755,0,4,2022-04-03T22:14:21Z,260000,,,0,,J. Harden REBOUND (Off:1 Def:0),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,
27,PT09M23.00S,2022-04-03T22:14:28.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630178,14.011169513797633,1.715686274509804,1610612755,0,4,2022-04-03T22:14:32Z,270000,241.0,79.0,1,left,MISS T. Maxey 25' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,Missed,,25.41,,,,,,,,,,,,,
28,PT09M22.00S,2022-04-03T22:14:29.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,0,4,2022-04-03T22:14:32Z,280000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
42,PT09M22.00S,2022-04-03T22:14:38.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,4,2022-04-03T22:16:49Z,285000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M07.00S,2022-04-03T22:14:48.5Z,1,REGULAR,3pt,Jump Shot,[],1630171,93.34756898817345,4.411764705882348,1610612739,0,4,2022-04-03T22:21:27Z,290000,-228.0,10.0,1,right,MISS I. Okoro 3PT - blocked,"[1630171, 1629680]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,Missed,,22.81,,,,,,,,Thybulle,1629680.0,,,,
30,PT09M07.00S,2022-04-03T22:14:48.5Z,1,REGULAR,block,,[],1629680,,,1610612739,0,4,2022-04-03T22:14:51Z,300000,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M04.00S,2022-04-03T22:14:51.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,4,2022-04-03T22:14:53Z,310000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,
32,PT09M04.00S,2022-04-03T22:14:55.7Z,1,REGULAR,turnover,out-of-bounds,[],202699,,,1610612755,0,4,2022-04-03T22:15:02Z,320000,,,0,,T. Harris step out-of-bounds TURNOVER (1 TO),[202699],1610612755.0,PHI,step,,,Harris,T. Harris,,,,,2882.0,,,,,,,,,,,,1.0,,,,,,,,
33,PT08M48.00S,2022-04-03T22:15:20.2Z,1,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612739,0,4,2022-04-03T22:15:29Z,330000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Brown 2 FT),"[1629680, 1629650]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,2882.0,1.0,0.0,Brown,1629650.0,,,,,,,,,,,,,,,,
35,PT08M48.00S,2022-04-03T22:15:39.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629650,,,1610612739,1,4,2022-04-03T22:15:39Z,350000,,,0,,M. Brown Free Throw 1 of 2 (1 PTS),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
36,PT08M48.00S,2022-04-03T22:15:39.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629650,,,1610612739,1,4,2022-04-03T22:15:53Z,360000,,,0,,MISS M. Brown Free Throw 2 of 2,[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,Missed,,,,,,,,,,,,,,,
37,PT08M45.00S,2022-04-03T22:15:42.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,1,4,2022-04-03T22:15:53Z,370000,,,0,,J. Harden REBOUND (Off:1 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,
38,PT08M30.00S,2022-04-03T22:16:07.2Z,1,REGULAR,3pt,Jump Shot,[],203954,3.4986859395532193,96.81372549019608,1610612755,1,4,2022-04-03T22:16:11Z,380000,-234.0,-20.0,1,left,MISS J. Embiid 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,23.49,,,,,,,,,,,,,
39,PT08M28.00S,2022-04-03T22:16:09.2Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,1,4,2022-04-03T22:16:11Z,390000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,
40,PT08M24.00S,2022-04-03T22:16:16.1Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612739,1,4,2022-04-03T22:16:24Z,400000,,,0,,T. Maxey shooting personal FOUL (1 PF) (Okoro 2 FT),"[1630178, 1630171]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,1628951.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,,,,,,,
43,PT08M24.00S,2022-04-03T22:16:41.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630171,,,1610612739,2,4,2022-04-03T22:16:41Z,420000,,,0,,I. Okoro Free Throw 1 of 2 (1 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
44,PT08M24.00S,2022-04-03T22:17:02.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630171,,,1610612739,3,4,2022-04-03T22:17:02Z,430000,,,0,,I. Okoro Free Throw 2 of 2 (2 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
45,PT08M07.00S,2022-04-03T22:17:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,10.200394218134035,53.18627450980392,1610612755,3,4,2022-04-03T22:17:26Z,440000,-16.0,43.0,1,left,MISS J. Harden driving floating Shot,[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,,,,,,Missed,,4.62,,,,,,,,,,,,,
46,PT08M05.00S,2022-04-03T22:17:23.1Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,3,4,2022-04-03T22:17:26Z,450000,,,0,,M. Brown REBOUND (Off:2 Def:1),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,45.0,3.0,1.0,2.0,,,,,,,,,
47,PT08M03.00S,2022-04-03T22:17:24.8Z,1,REGULAR,turnover,bad pass,[],1629650,,,1610612739,3,4,2022-04-03T22:17:28Z,460000,,,0,,M. Brown bad pass TURNOVER (1 TO),"[1629650, 1629680]",1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,
48,PT08M03.00S,2022-04-03T22:17:24.8Z,1,REGULAR,steal,,[],1629680,,,1610612755,3,4,2022-04-03T22:17:27Z,470000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M55.00S,2022-04-03T22:17:32.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,26.10052562417871,83.08823529411765,1610612755,3,4,2022-04-03T22:17:35Z,480000,-165.0,193.0,1,left,MISS T. Maxey 25' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,Missed,,25.4,,,,,,,,,,,,,
50,PT07M53.00S,2022-04-03T22:17:34.5Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,3,4,2022-04-03T22:17:34Z,490000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,
51,PT07M46.00S,2022-04-03T22:17:42.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629650,93.24901445466492,52.20588235294118,1610612739,5,4,2022-04-03T22:17:47Z,500000,11.0,11.0,1,right,M. Brown cutting DUNK (3 PTS) (C. LeVert 1 AST),"[1629650, 1627747]",1610612739.0,CLE,cutting,,,Brown,M. Brown,,,,,,,,,,Made,3.0,1.56,,,,,,,,,,C. LeVert,1627747.0,1.0,
53,PT07M32.00S,2022-04-03T22:17:55.7Z,1,REGULAR,3pt,Jump Shot,[],203954,31.882391590013142,58.57843137254902,1610612755,5,4,2022-04-03T22:17:59Z,520000,-43.0,247.0,1,left,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,25.09,,,,,,,,,,,,,
54,PT07M29.00S,2022-04-03T22:17:58.7Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,5,4,2022-04-03T22:17:59Z,530000,,,0,,M. Brown REBOUND (Off:2 Def:2),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,53.0,4.0,2.0,2.0,,,,,,,,,
55,PT07M20.00S,2022-04-03T22:18:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,86.67871222076215,55.14705882352941,1610612739,7,4,2022-04-03T22:18:11Z,540000,26.0,73.0,1,right,C. LeVert 7' driving floating Jump Shot (2 PTS),[1627747],1610612739.0,CLE,driving floating,,,LeVert,C. LeVert,,,,,,,,,,Made,2.0,7.71,,,,,,,,,,,,,
56,PT07M02.00S,2022-04-03T22:18:24.9Z,1,REGULAR,3pt,Jump Shot,[],1629680,5.469776609724048,3.431372549019608,1610612755,7,4,2022-04-03T22:18:28Z,550000,233.0,-1.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,Missed,,23.28,,,,,,,,,,,,,
57,PT07M00.00S,2022-04-03T22:18:26.9Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,7,4,2022-04-03T22:18:28Z,560000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,
58,PT06M51.00S,2022-04-03T22:18:39.5Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612739,7,4,2022-04-03T22:21:41Z,570000,,,0,,T. Harris shooting personal FOUL (1 PF) (Brown 2 FT),"[202699, 1629650]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,202026.0,1.0,0.0,Brown,1629650.0,,,,,,,,,,,,,,,,
60,PT06M51.00S,2022-04-03T22:18:52.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,7,4,2022-04-03T22:18:52Z,590000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M51.00S,2022-04-03T22:21:48.5Z,1,REGULAR,freethrow,1 of 2,[],1629650,,,1610612739,7,4,2022-04-03T22:21:48Z,600000,,,0,,MISS M. Brown Free Throw 1 of 2,[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,Missed,,,,,,,,,,,,,,,
62,PT06M51.00S,2022-04-03T22:21:48.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,7,4,2022-04-03T22:21:48Z,610000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,
63,PT06M51.00S,2022-04-03T22:22:01.6Z,1,REGULAR,freethrow,2 of 2,[],1629650,,,1610612739,8,4,2022-04-03T22:22:01Z,620000,,,0,,M. Brown Free Throw 2 of 2 (4 PTS),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
64,PT06M37.00S,2022-04-03T22:22:16.7Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,8,4,2022-04-03T22:22:20Z,630000,,,0,,J. Embiid lost ball TURNOVER (2 TO),"[203954, 1629636]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,2.0,Garland,1629636.0,,,,,,
65,PT06M37.00S,2022-04-03T22:22:16.7Z,1,REGULAR,steal,,[],1629636,,,1610612739,8,4,2022-04-03T22:22:18Z,640000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M33.00S,2022-04-03T22:22:21.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628374,93.64323258869908,51.225490196078425,1610612739,10,4,2022-04-03T22:22:34Z,650000,6.0,7.0,1,right,L. Markkanen running alley-oop DUNK (2 PTS) (D. Garland 1 AST),"[1628374, 1629636]",1610612739.0,CLE,running alley-oop,,,Markkanen,L. Markkanen,,,,,,,,,,Made,2.0,0.95,,,,,,,,,,D. Garland,1629636.0,1.0,
68,PT06M24.00S,2022-04-03T22:22:29.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,2.7102496714848883,95.83333333333334,1610612755,10,7,2022-04-03T22:22:37Z,670000,-229.0,-27.0,1,left,T. Maxey 3PT  (3 PTS) (M. Thybulle 1 AST),"[1630178, 1629680]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,Made,3.0,23.08,,,,,,,,,,M. Thybulle,1629680.0,1.0,
70,PT06M01.00S,2022-04-03T22:22:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,84.05059132720105,58.57843137254902,1610612739,12,7,2022-04-03T22:22:57Z,690000,43.0,97.0,1,right,C. LeVert 10' fadeaway Jump Shot (4 PTS),[1627747],1610612739.0,CLE,fadeaway,,,LeVert,C. LeVert,,,,,,,,,,Made,4.0,10.64,,,,,,,,,,,,,
71,PT05M54.00S,2022-04-03T22:22:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,8.09789750328515,48.77450980392157,1610612755,12,7,2022-04-03T22:23:03Z,700000,6.0,24.0,1,left,MISS M. Thybulle alley-oop Layup,[1629680],1610612755.0,PHI,alley-oop,,,Thybulle,M. Thybulle,,,,,,,,,,Missed,,2.44,,,,,,,,,,,,,
72,PT05M52.00S,2022-04-03T22:23:01.8Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,12,7,2022-04-03T22:23:03Z,710000,,,0,,M. Brown REBOUND (Off:2 Def:3),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,71.0,5.0,3.0,2.0,,,,,,,,,
73,PT05M43.00S,2022-04-03T22:23:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629650,92.19776609724047,52.94117647058824,1610612739,12,7,2022-04-03T22:23:17Z,720000,15.0,21.0,1,right,MISS M. Brown cutting Layup,[1629650],1610612739.0,CLE,cutting,,,Brown,M. Brown,,,,,,,,,,Missed,,2.55,,,,,,,,,,,,,
74,PT05M41.00S,2022-04-03T22:23:13.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,12,7,2022-04-03T22:23:17Z,730000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,
75,PT05M39.00S,2022-04-03T22:23:19.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,7.966491458607096,51.470588235294116,1610612755,12,9,2022-04-03T22:23:23Z,740000,-7.0,22.0,1,left,T. Harris running pullup Jump Shot (2 PTS) (M. Thybulle 2 AST),"[202699, 1629680]",1610612755.0,PHI,running pullup,,,Harris,T. Harris,,,,,,,,,,Made,2.0,2.36,,,,,,,,,,M. Thybulle,1629680.0,2.0,
77,PT05M39.00S,2022-04-03T22:23:22.3Z,1,REGULAR,foul,personal,['1freethrow'],1630171,,,1610612755,12,9,2022-04-03T22:23:45Z,760000,,,0,,I. Okoro shooting personal FOUL (1 PF) (Harris 1 FT),"[1630171, 202699]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,2882.0,1.0,0.0,Harris,202699.0,,,,,,,,,,,,,,,,
79,PT05M39.00S,2022-04-03T22:23:30.8Z,1,REGULAR,substitution,out,[],1629650,,,1610612755,12,9,2022-04-03T22:23:42Z,780000,,,0,,SUB out: M. Brown,[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M39.00S,2022-04-03T22:23:30.8Z,1,REGULAR,substitution,out,[],201935,,,1610612755,12,9,2022-04-03T22:23:42Z,790000,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M39.00S,2022-04-03T22:23:30.8Z,1,REGULAR,substitution,in,[],201567,,,1610612755,12,9,2022-04-03T22:23:42Z,800000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M39.00S,2022-04-03T22:23:30.8Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,12,9,2022-04-03T22:23:42Z,810000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M39.00S,2022-04-03T22:23:53.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],202699,,,1610612755,12,10,2022-04-03T22:23:53Z,820000,,,0,,T. Harris Free Throw 1 of 1 (3 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
84,PT05M24.00S,2022-04-03T22:24:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,92.9862023653088,51.470588235294116,1610612739,14,10,2022-04-03T22:33:20Z,830000,7.0,13.0,1,right,C. LeVert cutting Layup (6 PTS) (K. Love 1 AST),"[1627747, 201567]",1610612739.0,CLE,cutting,,,LeVert,C. LeVert,,,,,,,,,,Made,6.0,1.53,,,,,,,,,,K. Love,201567.0,1.0,
86,PT05M06.00S,2022-04-03T22:24:27.9Z,1,REGULAR,3pt,Jump Shot,[],202699,2.7102496714848883,97.30392156862744,1610612755,14,10,2022-04-03T22:24:31Z,850000,-237.0,-27.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,Missed,,23.8,,,,,,,,,,,,,
87,PT05M04.00S,2022-04-03T22:24:29.9Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,14,10,2022-04-03T22:24:31Z,860000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,
88,PT04M55.00S,2022-04-03T22:24:39.3Z,1,REGULAR,2pt,Jump Shot,[],1627747,80.89684625492772,28.676470588235293,1610612739,16,10,2022-04-03T22:24:42Z,870000,-107.0,127.0,1,right,C. LeVert 16' pullup Jump Shot (8 PTS),[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,,,,,,Made,8.0,16.59,,,,,,,,,,,,,
89,PT04M35.00S,2022-04-03T22:24:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.1268068331143235,46.32352941176471,1610612755,16,10,2022-04-03T22:25:04Z,880000,18.0,5.0,1,left,MISS J. Embiid driving Layup,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,,,,,,Missed,,1.91,,,,,,,,,,,,,
