actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
17,PT10M36.00S,2022-02-10T00:12:11.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,88.91261498028909,61.029411764705884,1610612739,0,3,2022-02-10T00:12:16Z,170000,55.0,52.0,1,right,MISS E. Mobley 7' driving floating bank Shot,[1630596],1610612739.0,CLE,driving floating bank,,,Mobley,E. Mobley,,,,,7.56,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2022-02-10T00:12:11.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,0,3,2022-02-10T00:12:16Z,180000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2022-02-10T00:12:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,13.222733245729303,49.50980392156863,1610612759,0,3,2022-02-10T00:12:45Z,190000,2.0,72.0,1,left,MISS D. White 7' driving floating Shot,[1628401],1610612759.0,SAS,driving floating,,,White,D. White,,,,,7.18,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M21.00S,2022-02-10T00:12:38.1Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612759,0,3,2022-02-10T00:12:51Z,200000,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-02-10T00:12:42.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628401,5.590000152587891,50.0,1610612759,0,5,2022-02-10T00:13:00Z,210000,0.0,0.0,1,left,D. White tip Layup (2 PTS),[1628401],1610612759.0,SAS,tip,,,White,D. White,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
22,PT10M08.00S,2022-02-10T00:12:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,93.24901445466492,52.69607843137255,1610612739,2,5,2022-02-10T00:13:14Z,220000,13.0,11.0,1,right,D. Garland driving Layup (2 PTS),[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,1.74,Made,,,,,2.0,,,,,,,,,,,,,,
23,PT09M56.00S,2022-02-10T00:13:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,5.732588699080158,50.73529411764706,1610612759,2,7,2022-02-10T00:14:17Z,230000,-4.0,1.0,1,left,D. McDermott driving Layup (2 PTS) (K. Johnson 1 AST),"[203926, 1629640]",1610612759.0,SAS,driving,,,McDermott,D. McDermott,,,,,0.4,Made,,,,,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,
25,PT09M48.00S,2022-02-10T00:13:14.1Z,1,REGULAR,turnover,traveling,[],1629636,,,1610612739,2,7,2022-02-10T00:13:32Z,250000,,,0,,D. Garland traveling TURNOVER (1 TO),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,2530.0,1.0,,,,,,,,,
26,PT09M37.00S,2022-02-10T00:13:35.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,2.759526938239159,3.944546568627451,1610612759,2,10,2022-02-10T00:13:49Z,260000,230.0,-27.0,1,left,K. Johnson 3PT  (6 PTS) (D. White 1 AST),"[1629640, 1628401]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,23.18,Made,,,,,6.0,D. White,1628401.0,1.0,,,,,,,,,,,
28,PT09M14.00S,2022-02-10T00:13:58.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,61.3173455978975,45.83333333333333,1610612739,5,10,2022-02-10T00:14:57Z,280000,-21.0,311.0,1,right,D. Garland 31' 3PT pullup (5 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,31.18,Made,,,,,5.0,,,,,,,,,,,,,,
29,PT09M01.00S,2022-02-10T00:14:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,13.748357424441524,41.911764705882355,1610612759,5,12,2022-02-10T00:15:13Z,290000,40.0,77.0,1,left,D. White 8' driving floating Jump Shot (4 PTS),[1628401],1610612759.0,SAS,driving floating,,,White,D. White,,,,,8.67,Made,,,,,4.0,,,,,,,,,,,,,,
30,PT08M47.00S,2022-02-10T00:14:28.5Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612739,5,12,2022-02-10T00:14:38Z,300000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Mobley 2 FT),"[1627751, 1630596]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,1627541.0,,1.0,0.0,Mobley,1630596.0,,,,,
32,PT08M47.00S,2022-02-10T00:14:55.7Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,6,12,2022-02-10T00:14:55Z,320000,,,0,,E. Mobley Free Throw 1 of 2 (1 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
33,PT08M47.00S,2022-02-10T00:15:11.2Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,7,12,2022-02-10T00:15:11Z,330000,,,0,,E. Mobley Free Throw 2 of 2 (2 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
34,PT08M35.00S,2022-02-10T00:15:28.0Z,1,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612759,7,12,2022-02-10T00:15:36Z,340000,,,0,,D. White bad pass out-of-bounds TURNOVER (1 TO),[1628401],1610612759.0,SAS,bad pass,,,White,D. White,,,,,,,,,,,,,,,1627541.0,1.0,,,,,,,,,
35,PT08M22.00S,2022-02-10T00:15:46.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629636,94.1688567674113,51.225490196078425,1610612739,7,12,2022-02-10T00:19:24Z,350000,6.0,2.0,1,right,MISS D. Garland driving Layup,[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,0.65,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M21.00S,2022-02-10T00:15:47.9Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,7,12,2022-02-10T00:19:24Z,360000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
37,PT08M19.00S,2022-02-10T00:15:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630596,95.00657030223391,49.877450980392155,1610612739,7,12,2022-02-10T00:19:44Z,370000,-1.0,-6.0,1,right,MISS E. Mobley alley-oop Layup,[1630596],1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,0.56,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M18.00S,2022-02-10T00:15:54.5Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,7,12,2022-02-10T00:19:44Z,380000,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
40,PT08M16.00S,2022-02-10T00:16:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630596,91.40932982917214,47.05882352941176,1610612739,9,12,2022-02-10T00:16:22Z,400000,-15.0,28.0,1,right,E. Mobley putback Layup (4 PTS),[1630596],1610612739.0,CLE,putback,,,Mobley,E. Mobley,,,,,3.19,Made,,,,,4.0,,,,,,,,,,,,,,
41,PT08M16.00S,2022-02-10T00:16:22.5Z,1,REGULAR,foul,personal,['1freethrow'],1627749,,,1610612739,9,12,2022-02-10T00:17:22Z,402500,,,0,,D. Murray shooting personal FOUL (1 PF) (Mobley 1 FT),"[1627749, 1630596]",1610612759.0,SAS,shooting,,,Murray,D. Murray,,,,,,,,,,,,,,,1627541.0,,1.0,0.0,Mobley,1630596.0,,,,,
43,PT08M16.00S,2022-02-10T00:16:30.9Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1630596,,,1610612739,10,12,2022-02-10T00:17:22Z,405000,,,0,,E. Mobley Free Throw 1 of 1 (5 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
44,PT08M04.00S,2022-02-10T00:16:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,9.674770039421814,47.30392156862745,1610612759,10,12,2022-02-10T00:21:14Z,440000,13.0,38.0,1,left,MISS J. Poeltl cutting Layup - blocked,"[1627751, 1628386]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,4.07,Missed,,,,,,,,,,,,,,,Allen,1628386.0,,,
45,PT08M04.00S,2022-02-10T00:16:33.9Z,1,REGULAR,block,,[],1628386,,,1610612759,10,12,2022-02-10T00:16:38Z,450000,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M03.00S,2022-02-10T00:16:34.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,10,12,2022-02-10T00:21:14Z,460000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT08M00.00S,2022-02-10T00:16:41.3Z,1,REGULAR,turnover,lost ball,[],1630171,,,1610612739,10,12,2022-02-10T00:21:20Z,470000,,,0,,I. Okoro lost ball TURNOVER (1 TO),"[1630171, 1629640]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,1.0,,,,,,,Johnson,1629640.0,
48,PT08M00.00S,2022-02-10T00:16:41.3Z,1,REGULAR,steal,,[],1629640,,,1610612759,10,12,2022-02-10T00:16:45Z,480000,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M54.00S,2022-02-10T00:16:46.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203926,28.991458607095925,19.11764705882353,1610612759,10,12,2022-02-10T00:21:34Z,490000,154.0,220.0,1,left,MISS D. McDermott 26' pullup 3PT,[203926],1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M53.00S,2022-02-10T00:16:47.3Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612759,10,12,2022-02-10T00:21:34Z,500000,,,0,,D. Murray REBOUND (Off:1 Def:0),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
51,PT07M44.00S,2022-02-10T00:16:51.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628401,29.911300919842315,27.450980392156865,1610612759,10,12,2022-02-10T00:16:56Z,510000,113.0,229.0,1,left,MISS D. White 25' 3PT,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M42.00S,2022-02-10T00:16:53.5Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,10,12,2022-02-10T00:16:53Z,520000,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,51.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
53,PT07M38.00S,2022-02-10T00:16:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203926,7.5722733245729295,47.549019607843135,1610612759,10,12,2022-02-10T00:17:03Z,530000,12.0,19.0,1,left,MISS D. McDermott driving Layup - blocked,"[203926, 1630596]",1610612759.0,SAS,driving,,,McDermott,D. McDermott,,,,,2.24,Missed,,,,,,,,,,,,,,,Mobley,1630596.0,,,
54,PT07M38.00S,2022-02-10T00:16:57.9Z,1,REGULAR,block,,[],1630596,,,1610612759,10,12,2022-02-10T00:17:00Z,540000,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M34.00S,2022-02-10T00:17:01.9Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,10,12,2022-02-10T00:17:03Z,550000,,,0,,J. Poeltl REBOUND (Off:2 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,53.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
56,PT07M28.00S,2022-02-10T00:17:07.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",203926,5.863994743758213,59.068627450980394,1610612759,10,12,2022-02-10T00:17:13Z,560000,-45.0,3.0,1,left,MISS D. McDermott Hook,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,4.54,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M25.00S,2022-02-10T00:17:10.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,10,12,2022-02-10T00:17:10Z,570000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
58,PT07M22.00S,2022-02-10T00:17:16.1Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,10,12,2022-02-10T00:17:27Z,580000,,,0,,D. Garland step out-of-bounds TURNOVER (2 TO),[1629636],1610612739.0,CLE,step,,,Garland,D. Garland,,,,,,,,,,,,,,,1627541.0,2.0,,,,,,,,,
59,PT07M12.00S,2022-02-10T00:17:36.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203926,6.1268068331143235,50.49019607843137,1610612759,10,14,2022-02-10T00:17:41Z,590000,-2.0,5.0,1,left,D. McDermott cutting Layup (4 PTS) (J. Poeltl 1 AST),"[203926, 1627751]",1610612759.0,SAS,cutting,,,McDermott,D. McDermott,,,,,0.57,Made,,,,,4.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,
61,PT06M52.00S,2022-02-10T00:17:56.9Z,1,REGULAR,2pt,Jump Shot,[],1628386,79.05716162943496,72.30392156862744,1610612739,10,14,2022-02-10T00:18:01Z,610000,112.0,144.0,1,right,MISS J. Allen 18' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,18.24,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M50.00S,2022-02-10T00:17:59.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,10,14,2022-02-10T00:17:59Z,620000,,,0,,D. Murray REBOUND (Off:1 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
63,PT06M42.00S,2022-02-10T00:18:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,5.206964520367937,50.49019607843137,1610612759,10,16,2022-02-10T00:18:11Z,630000,-2.0,-4.0,1,left,D. Murray driving Layup (2 PTS),[1627749],1610612759.0,SAS,driving,,,Murray,D. Murray,,,,,0.44,Made,,,,,2.0,,,,,,,,,,,,,,
64,PT06M37.00S,2022-02-10T00:18:17.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,10,16,2022-02-10T00:18:17Z,640000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M37.00S,2022-02-10T00:20:14.8Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,10,16,2022-02-10T00:20:56Z,650000,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M37.00S,2022-02-10T00:20:14.8Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,10,16,2022-02-10T00:20:56Z,660000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M37.00S,2022-02-10T00:20:14.8Z,1,REGULAR,substitution,out,[],203926,,,1610612739,10,16,2022-02-10T00:20:56Z,670000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M37.00S,2022-02-10T00:20:14.8Z,1,REGULAR,substitution,out,[],1627751,,,1610612739,10,16,2022-02-10T00:20:56Z,680000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M37.00S,2022-02-10T00:20:14.8Z,1,REGULAR,substitution,in,[],201567,,,1610612739,10,16,2022-02-10T00:20:56Z,690000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M37.00S,2022-02-10T00:20:14.8Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,10,16,2022-02-10T00:20:56Z,700000,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M37.00S,2022-02-10T00:20:14.8Z,1,REGULAR,substitution,in,[],1630170,,,1610612739,10,16,2022-02-10T00:20:56Z,710000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M37.00S,2022-02-10T00:20:14.8Z,1,REGULAR,substitution,in,[],1628380,,,1610612739,10,16,2022-02-10T00:20:56Z,720000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M27.00S,2022-02-10T00:21:21.8Z,1,REGULAR,foul,personal,['2freethrow'],1630170,,,1610612739,10,16,2022-02-10T00:21:50Z,730000,,,0,,D. Vassell shooting personal FOUL (1 PF) (Okoro 2 FT),"[1630170, 1630171]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,,,,,,,,,,,1626302.0,,1.0,0.0,Okoro,1630171.0,,,,,
75,PT06M27.00S,2022-02-10T00:21:42.9Z,1,REGULAR,freethrow,1 of 2,[],1630171,,,1610612739,11,16,2022-02-10T00:21:43Z,750000,,,0,,I. Okoro Free Throw 1 of 2 (1 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
76,PT06M27.00S,2022-02-10T00:21:57.8Z,1,REGULAR,freethrow,2 of 2,[],1630171,,,1610612739,12,16,2022-02-10T00:21:57Z,760000,,,0,,I. Okoro Free Throw 2 of 2 (2 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
77,PT06M19.00S,2022-02-10T00:22:07.9Z,1,REGULAR,turnover,bad pass,[],1628380,,,1610612759,12,16,2022-02-10T00:22:13Z,770000,,,0,,Z. Collins bad pass TURNOVER (1 TO),"[1628380, 1628386]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,1.0,,,,,,,Allen,1628386.0,
78,PT06M19.00S,2022-02-10T00:22:07.9Z,1,REGULAR,steal,,[],1628386,,,1610612739,12,16,2022-02-10T00:22:11Z,780000,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M13.00S,2022-02-10T00:22:13.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630171,94.03745072273325,49.01960784313725,1610612739,14,16,2022-02-10T00:22:29Z,790000,-5.0,4.0,1,right,I. Okoro running DUNK (4 PTS) (D. Garland 1 AST),"[1630171, 1629636]",1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,0.6,Made,,,,,4.0,D. Garland,1629636.0,1.0,,,,,,,,,,,
81,PT06M01.00S,2022-02-10T00:22:25.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,14.011169513797633,42.40196078431372,1610612759,14,16,2022-02-10T00:28:54Z,810000,38.0,79.0,1,left,MISS D. White 8' driving floating Shot,[1628401],1610612759.0,SAS,driving floating,,,White,D. White,,,,,8.78,Missed,,,,,,,,,,,,,,,,,,,
82,PT06M00.00S,2022-02-10T00:22:26.8Z,1,REGULAR,rebound,offensive,[],1628380,,,1610612759,14,16,2022-02-10T00:28:54Z,820000,,,0,,Z. Collins REBOUND (Off:1 Def:0),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,81.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
83,PT05M59.00S,2022-02-10T00:22:33.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628380,5.590000152587891,50.0,1610612759,14,16,2022-02-10T00:29:11Z,830000,0.0,0.0,1,left,MISS Z. Collins putback Layup,[1628380],1610612759.0,SAS,putback,,,Collins,Z. Collins,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M59.00S,2022-02-10T00:22:33.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,14,16,2022-02-10T00:29:11Z,840000,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,83.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
85,PT05M50.00S,2022-02-10T00:22:41.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630171,92.19776609724047,3.6764705882352944,1610612739,17,16,2022-02-10T00:29:44Z,850000,-232.0,21.0,1,right,I. Okoro 3PT  (7 PTS) (C. LeVert 1 AST),"[1630171, 1627747]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,23.25,Made,,,,,7.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,
