actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
16,PT10M38.00S,2021-11-16T00:12:19.7Z,1,REGULAR,foul,personal,[],1628369,,,1610612739,3,0,2021-11-16T00:17:00Z,160000,,,0,,J. Tatum take personal FOUL (1 PF),"[1628369, 1630171]",1610612738.0,BOS,take,,,Tatum,J. Tatum,,,,,1146.0,,,,,,,,,,,,,,1.0,0.0,Okoro,1630171.0,,,
18,PT10M24.00S,2021-11-16T00:12:41.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630596,20.18725361366623,90.68627450980392,1610612739,3,0,2021-11-16T00:12:45Z,180000,-203.0,137.0,1,left,MISS E. Mobley 24' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,24.54,Missed,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2021-11-16T00:12:43.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2021-11-16T00:12:45Z,190000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M17.00S,2021-11-16T00:12:51.7Z,1,REGULAR,foul,personal,[],1630171,,,1610612738,3,0,2021-11-16T00:13:00Z,200000,,,0,,I. Okoro personal FOUL (1 PF),"[1630171, 1628369]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,201245.0,,,,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,
22,PT10M10.00S,2021-11-16T00:13:11.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.32917214191852,49.50980392156863,1610612738,3,0,2021-11-16T00:13:20Z,220000,-2.0,20.0,1,right,MISS R. Williams III alley-oop DUNK,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,1.98,Missed,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2021-11-16T00:13:15.6Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,3,0,2021-11-16T00:13:20Z,230000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M56.00S,2021-11-16T00:13:25.5Z,1,REGULAR,3pt,Jump Shot,[],201937,16.507884362680684,93.87254901960785,1610612739,3,0,2021-11-16T00:13:29Z,240000,-219.0,103.0,1,left,MISS R. Rubio 24' 3PT,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,24.22,Missed,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2021-11-16T00:13:28.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,3,0,2021-11-16T00:13:28Z,250000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,
26,PT09M44.00S,2021-11-16T00:13:37.5Z,1,REGULAR,2pt,Jump Shot,[],203935,94.1688567674113,27.450980392156865,1610612738,3,0,2021-11-16T00:13:49Z,260000,-113.0,2.0,1,right,MISS M. Smart 11' turnaround Shot,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,,,11.27,Missed,,,,,,,,,,,,,,,,,
27,PT09M41.00S,2021-11-16T00:13:40.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,3,0,2021-11-16T00:13:40Z,270000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,26.0,3.0,2.0,1.0,,,,,,,,,,,,,
28,PT09M39.00S,2021-11-16T00:13:42.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,94.56307490144546,2.696078431372549,1610612738,3,3,2021-11-16T00:13:52Z,280000,-237.0,-1.0,1,right,M. Smart 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,23.65,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,
30,PT09M24.00S,2021-11-16T00:13:57.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,32.276609724047304,51.71568627450981,1610612739,6,3,2021-11-16T00:14:04Z,300000,-9.0,251.0,1,left,D. Garland 25' 3PT step back (6 PTS),[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,,,25.1,Made,,,,,6.0,,,,,,,,,,,,
31,PT09M10.00S,2021-11-16T00:14:11.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.46452036793693,24.264705882352942,1610612738,6,3,2021-11-16T00:14:15Z,310000,-129.0,235.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,26.75,Missed,,,,,,,,,,,,,,,,,
32,PT09M07.00S,2021-11-16T00:14:14.0Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,6,3,2021-11-16T00:14:15Z,320000,,,0,,D. Wade REBOUND (Off:0 Def:2),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,
33,PT09M00.00S,2021-11-16T00:14:21.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,32.802233902759525,30.14705882352941,1610612739,6,3,2021-11-16T00:14:26Z,330000,99.0,256.0,1,left,MISS D. Garland 27' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,27.44,Missed,,,,,,,,,,,,,,,,,
34,PT08M57.00S,2021-11-16T00:14:24.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,6,3,2021-11-16T00:14:24Z,340000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,33.0,4.0,3.0,1.0,,,,,,,,,,,,,
35,PT08M45.00S,2021-11-16T00:14:36.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,87.20433639947439,44.85294117647059,1610612738,6,3,2021-11-16T00:14:40Z,350000,-26.0,68.0,1,right,MISS A. Horford 7' driving Hook,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,,,7.25,Missed,,,,,,,,,,,,,,,,,
36,PT08M43.00S,2021-11-16T00:14:38.1Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,6,3,2021-11-16T00:14:40Z,360000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M40.00S,2021-11-16T00:14:42.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,5.995400788436268,49.26470588235294,1610612739,8,3,2021-11-16T00:14:56Z,370000,4.0,4.0,1,left,I. Okoro driving Layup (2 PTS),[1630171],1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,0.54,Made,,,,,2.0,,,,,,,,,,,,
38,PT08M29.00S,2021-11-16T00:14:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,86.94152431011827,60.29411764705882,1610612738,8,3,2021-11-16T00:15:01Z,380000,51.0,70.0,1,right,MISS D. Schroder 8' step back Shot,[203471],1610612738.0,BOS,step back,,,Schroder,D. Schroder,,,,,,,8.71,Missed,,,,,,,,,,,,,,,,,
39,PT08M29.00S,2021-11-16T00:14:52.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,8,3,2021-11-16T00:15:01Z,390000,,,0,,D. Wade REBOUND (Off:0 Def:3),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,38.0,3.0,3.0,0.0,,,,,,,,,,,,,
40,PT08M15.00S,2021-11-16T00:15:07.1Z,1,REGULAR,turnover,bad pass,[],201937,,,1610612739,8,3,2021-11-16T00:15:23Z,400000,,,0,,R. Rubio bad pass TURNOVER (1 TO),"[201937, 203471]",1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,1.0,,,,,,,,,,,Schroder,203471.0,,,,,,,
41,PT08M15.00S,2021-11-16T00:15:07.1Z,1,REGULAR,steal,,[],203471,,,1610612738,8,3,2021-11-16T00:15:12Z,410000,,,0,,D. Schroder STEAL (1 STL),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M01.00S,2021-11-16T00:15:21.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203471,74.85216819973719,87.74509803921569,1610612738,8,3,2021-11-16T00:15:26Z,420000,189.0,184.0,1,right,MISS D. Schroder 26' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,26.35,Missed,,,,,,,,,,,,,,,,,
43,PT07M58.00S,2021-11-16T00:15:24.5Z,1,REGULAR,rebound,defensive,[],201937,,,1610612739,8,3,2021-11-16T00:15:26Z,430000,,,0,,R. Rubio REBOUND (Off:0 Def:1),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,
44,PT07M51.00S,2021-11-16T00:15:31.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,10.200394218134035,42.8921568627451,1610612739,8,3,2021-11-16T00:15:40Z,440000,36.0,43.0,1,left,MISS E. Mobley floating Shot,[1630596],1610612739.0,CLE,floating,,,Mobley,E. Mobley,,,,,,,5.61,Missed,,,,,,,,,,,,,,,,,
45,PT07M48.00S,2021-11-16T00:15:34.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,8,3,2021-11-16T00:15:40Z,450000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,
46,PT07M31.00S,2021-11-16T00:15:50.7Z,1,REGULAR,2pt,Jump Shot,[],201143,84.70762155059133,27.941176470588236,1610612738,8,5,2021-11-16T00:16:02Z,460000,-110.0,91.0,1,right,A. Horford 14' Jump Shot (2 PTS) (D. Schroder 1 AST),"[201143, 203471]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,14.31,Made,,,,,2.0,D. Schroder,203471.0,1.0,,,,,,,,,
48,PT07M09.00S,2021-11-16T00:16:12.0Z,1,REGULAR,2pt,Jump Shot,[],1630596,5.075558475689881,23.52941176470588,1610612739,8,5,2021-11-16T00:16:18Z,480000,132.0,-5.0,1,left,MISS E. Mobley 13' Jump Shot,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,13.25,Missed,,,,,,,,,,,,,,,,,
49,PT07M07.00S,2021-11-16T00:16:14.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,8,5,2021-11-16T00:16:18Z,490000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,
50,PT07M03.00S,2021-11-16T00:16:18.9Z,1,REGULAR,3pt,Jump Shot,[],203935,82.21090670170827,97.54901960784314,1610612738,8,5,2021-11-16T00:16:26Z,500000,238.0,115.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,26.39,Missed,,,,,,,,,,,,,,,,,
51,PT07M01.00S,2021-11-16T00:16:20.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,8,5,2021-11-16T00:16:39Z,510000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,
52,PT06M58.00S,2021-11-16T00:16:29.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,8,5,2021-11-16T00:16:29Z,520000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M58.00S,2021-11-16T00:17:08.9Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,8,5,2021-11-16T00:19:12Z,530000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M58.00S,2021-11-16T00:17:08.9Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,8,5,2021-11-16T00:19:12Z,540000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M58.00S,2021-11-16T00:17:08.9Z,1,REGULAR,substitution,out,[],201143,,,1610612739,8,5,2021-11-16T00:19:12Z,550000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M58.00S,2021-11-16T00:17:08.9Z,1,REGULAR,substitution,in,[],1629605,,,1610612739,8,5,2021-11-16T00:19:12Z,560000,,,0,,SUB in: T. Fall,[1629605],1610612739.0,CLE,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M58.00S,2021-11-16T00:17:08.9Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,8,5,2021-11-16T00:19:12Z,570000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M58.00S,2021-11-16T00:17:08.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612739,8,5,2021-11-16T00:19:12Z,580000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M54.00S,2021-11-16T00:19:32.8Z,1,REGULAR,turnover,bad pass,[],1630171,,,1610612739,8,5,2021-11-16T00:19:39Z,590000,,,0,,I. Okoro bad pass TURNOVER (1 TO),"[1630171, 203935]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,1.0,,,,,,,,,,,Smart,203935.0,,,,,,,
60,PT06M54.00S,2021-11-16T00:19:32.8Z,1,REGULAR,steal,,[],203935,,,1610612738,8,5,2021-11-16T00:19:35Z,600000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2021-11-16T00:19:36.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,94.43166885676742,50.49019607843137,1610612738,8,7,2021-11-16T00:20:01Z,610000,2.0,0.0,1,right,J. Tatum running DUNK (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,0.25,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,
62,PT06M29.00S,2021-11-16T00:19:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,5.995400788436268,50.245098039215684,1610612739,10,7,2021-11-16T00:20:10Z,620000,-1.0,4.0,1,left,I. Okoro driving Layup (4 PTS) (C. Osman 1 AST),"[1630171, 1626224]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,0.41,Made,,,,,4.0,C. Osman,1626224.0,1.0,,,,,,,,,
80,PT06M16.00S,2021-11-16T00:20:09.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,93.38042049934296,46.568627450980394,1610612738,10,7,2021-11-16T00:24:29Z,645000,-17.0,10.0,1,right,MISS R. Williams III alley-oop Layup,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,1.97,Missed,,,,,,,,,,,,,,,,,
81,PT06M14.00S,2021-11-16T00:20:11.6Z,1,REGULAR,rebound,defensive,[],201937,,,1610612739,10,7,2021-11-16T00:23:52Z,652500,,,0,,R. Rubio REBOUND (Off:0 Def:2),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,
67,PT06M13.00S,2021-11-16T00:20:23.0Z,1,REGULAR,foul,personal,[],1629684,,,1610612739,10,7,2021-11-16T00:30:54Z,660000,,,0,,G. Williams take personal FOUL (1 PF),"[1629684, 201937]",1610612738.0,BOS,take,,,Williams,G. Williams,,,,,1146.0,,,,,,,,,,,,,,1.0,0.0,Rubio,201937.0,,,
69,PT05M59.00S,2021-11-16T00:20:44.1Z,1,REGULAR,3pt,Jump Shot,[],1630171,6.783837056504599,2.2058823529411766,1610612739,13,7,2021-11-16T00:24:11Z,680000,239.0,11.0,1,left,I. Okoro 3PT  (7 PTS) (C. Osman 2 AST),"[1630171, 1626224]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,23.93,Made,,,,,7.0,C. Osman,1626224.0,2.0,,,,,,,,,
71,PT05M46.00S,2021-11-16T00:20:57.1Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612738,13,7,2021-11-16T00:21:02Z,700000,,,0,,D. Schroder bad pass TURNOVER (1 TO),"[203471, 1630171]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,1.0,,,,,,,,,,,Okoro,1630171.0,,,,,,,
72,PT05M46.00S,2021-11-16T00:20:57.1Z,1,REGULAR,steal,,[],1630171,,,1610612739,13,7,2021-11-16T00:20:59Z,710000,,,0,,I. Okoro STEAL (2 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M44.00S,2021-11-16T00:21:01.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630171,6.1268068331143235,50.245098039215684,1610612739,15,7,2021-11-16T00:21:11Z,720000,-1.0,5.0,1,left,I. Okoro running DUNK (9 PTS),[1630171],1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,,,0.52,Made,,,,,9.0,,,,,,,,,,,,
74,PT05M44.00S,2021-11-16T00:21:11.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,7,2021-11-16T00:21:11Z,730000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M44.00S,2021-11-16T00:23:24.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,15,7,2021-11-16T00:23:52Z,740000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M44.00S,2021-11-16T00:23:24.3Z,1,REGULAR,substitution,out,[],203935,,,1610612738,15,7,2021-11-16T00:23:52Z,750000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M44.00S,2021-11-16T00:23:24.3Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,15,7,2021-11-16T00:23:52Z,760000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M44.00S,2021-11-16T00:23:24.3Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,15,7,2021-11-16T00:23:52Z,770000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2021-11-16T00:24:20.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,84.97043363994744,40.19607843137255,1610612738,15,9,2021-11-16T00:26:31Z,780000,-49.0,89.0,1,right,J. Richardson 10' driving floating Jump Shot (2 PTS),[1626196],1610612738.0,BOS,driving floating,,,Richardson,J. Richardson,,,,,,,10.14,Made,,,,,2.0,,,,,,,,,,,,
83,PT05M09.00S,2021-11-16T00:24:38.7Z,1,REGULAR,turnover,out-of-bounds,[],201937,,,1610612739,15,9,2021-11-16T00:24:49Z,790000,,,0,,R. Rubio step out-of-bounds TURNOVER (2 TO),[201937],1610612739.0,CLE,step,,,Rubio,R. Rubio,,,,,1627963.0,2.0,,,,,,,,,,,,,,,,,,,
84,PT04M58.00S,2021-11-16T00:24:57.6Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612738,15,9,2021-11-16T00:25:08Z,800000,,,0,,D. Schroder bad pass TURNOVER (2 TO),"[203471, 1626224]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,2.0,,,,,,,,,,,Osman,1626224.0,,,,,,,
85,PT04M58.00S,2021-11-16T00:24:57.6Z,1,REGULAR,steal,,[],1626224,,,1610612739,15,9,2021-11-16T00:25:02Z,810000,,,0,,C. Osman STEAL (1 STL),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M46.00S,2021-11-16T00:25:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626224,6.1268068331143235,48.03921568627451,1610612739,17,9,2021-11-16T00:25:16Z,820000,10.0,5.0,1,left,C. Osman driving Layup (2 PTS) (I. Okoro 1 AST),"[1626224, 1630171]",1610612739.0,CLE,driving,,,Osman,C. Osman,,,,,,,1.1,Made,,,,,2.0,I. Okoro,1630171.0,1.0,,,,,,,,,
88,PT04M35.00S,2021-11-16T00:25:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629684,72.09264126149803,20.833333333333336,1610612738,17,9,2021-11-16T00:25:26Z,840000,-146.0,210.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,25.55,Missed,,,,,,,,,,,,,,,,,
89,PT04M32.00S,2021-11-16T00:25:23.2Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,17,9,2021-11-16T00:25:26Z,850000,,,0,,I. Okoro REBOUND (Off:0 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,88.0,2.0,2.0,0.0,,,,,,,,,,,,,
90,PT04M20.00S,2021-11-16T00:25:36.0Z,1,REGULAR,3pt,Jump Shot,[],1626224,23.603810775295663,83.82352941176471,1610612739,20,9,2021-11-16T00:25:40Z,860000,-169.0,169.0,1,left,C. Osman 3PT  (5 PTS),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,23.94,Made,,,,,5.0,,,,,,,,,,,,
91,PT03M58.00S,2021-11-16T00:25:57.0Z,1,REGULAR,3pt,Jump Shot,[],1626196,69.85873850197109,78.18627450980392,1610612738,20,9,2021-11-16T00:26:01Z,870000,141.0,231.0,1,right,MISS J. Richardson 27' 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,27.04,Missed,,,,,,,,,,,,,,,,,
