actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
67,PT06M14.00S,2021-10-22T23:21:20.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,23.603810775295663,87.25490196078431,1610612766,18,13,2021-10-22T23:21:30Z,670000,-186.0,169.0,1,left,L. Ball 25' 3PT  (5 PTS) (G. Hayward 2 AST),"[1630163, 202330]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,25.18,Made,5.0,G. Hayward,202330.0,2.0,,,,,,,,,,,
69,PT06M04.00S,2021-10-22T23:21:35.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,18,13,2021-10-22T23:21:36Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M04.00S,2021-10-22T23:21:43.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,18,13,2021-10-22T23:21:43Z,700000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M04.00S,2021-10-22T23:23:59.4Z,1,REGULAR,substitution,out,[],203486,,,1610612739,18,13,2021-10-22T23:24:21Z,710000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M04.00S,2021-10-22T23:23:59.4Z,1,REGULAR,substitution,out,[],202330,,,1610612739,18,13,2021-10-22T23:24:21Z,720000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M04.00S,2021-10-22T23:23:59.4Z,1,REGULAR,substitution,in,[],1626162,,,1610612739,18,13,2021-10-22T23:24:21Z,730000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M04.00S,2021-10-22T23:23:59.4Z,1,REGULAR,substitution,in,[],1629023,,,1610612739,18,13,2021-10-22T23:24:21Z,740000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2021-10-22T23:24:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,94.30026281208936,49.26470588235294,1610612739,20,13,2021-10-22T23:24:48Z,750000,-4.0,1.0,1,right,I. Okoro driving Layup (2 PTS) (K. Love 1 AST),"[1630171, 201567]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,,0.39,Made,2.0,K. Love,201567.0,1.0,,,,,,,,,,,
78,PT05M33.00S,2021-10-22T23:25:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,8.229303547963205,48.28431372549019,1610612766,20,13,2021-10-22T23:25:10Z,770000,9.0,25.0,1,left,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,,,,2.63,Missed,,,,,,,,,,,,,,,
79,PT05M31.00S,2021-10-22T23:25:07.7Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,20,13,2021-10-22T23:25:10Z,780000,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,78.0,3.0,3.0,0.0,,,,,,,
80,PT05M25.00S,2021-10-22T23:25:15.1Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612739,20,13,2021-10-22T23:25:26Z,790000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Markkanen 2 FT),"[1626162, 1628374]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Markkanen,1628374.0,,
82,PT05M25.00S,2021-10-22T23:25:42.8Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612739,20,13,2021-10-22T23:25:42Z,810000,,,0,,MISS L. Markkanen Free Throw 1 of 2,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,Missed,,,,,,,,,,,,,,,
83,PT05M25.00S,2021-10-22T23:25:42.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,20,13,2021-10-22T23:25:42Z,820000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,
84,PT05M25.00S,2021-10-22T23:25:44.4Z,1,REGULAR,substitution,out,[],1628970,,,1610612739,20,13,2021-10-22T23:25:57Z,830000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M25.00S,2021-10-22T23:25:44.4Z,1,REGULAR,substitution,out,[],1630163,,,1610612739,20,13,2021-10-22T23:25:57Z,840000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
