actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
39,PT09M07.00S,2021-11-23T00:15:25.5Z,1,REGULAR,block,,[],1628386,,,1610612751,6,6,2021-11-23T00:15:29Z,370000,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M07.00S,2021-11-23T00:15:25.5Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,6,6,2021-11-23T00:15:34Z,380000,,,0,,I. Okoro REBOUND (Off:1 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,
41,PT08M59.00S,2021-11-23T00:15:32.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,74.45795006570303,91.17647058823529,1610612739,9,6,2021-11-23T00:18:37Z,390000,206.0,188.0,1,right,D. Garland 27' 3PT running (3 PTS) (I. Okoro 1 AST),"[1629636, 1630171]",1610612739.0,CLE,running,,,Garland,D. Garland,,,,,27.85,Made,,,,,,,,,,,,3.0,I. Okoro,1630171.0,1.0,,,,
43,PT08M43.00S,2021-11-23T00:15:49.4Z,1,REGULAR,3pt,Jump Shot,[],201988,20.581471747700395,3.6764705882352944,1610612751,9,9,2021-11-23T00:15:54Z,410000,232.0,141.0,1,left,P. Mills 27' 3PT  (3 PTS) (K. Durant 2 AST),"[201988, 201142]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,27.11,Made,,,,,,,,,,,,3.0,K. Durant,201142.0,2.0,,,,
45,PT08M29.00S,2021-11-23T00:16:03.2Z,1,REGULAR,3pt,Jump Shot,[],1630171,95.6143232588699,2.450980392156863,1610612739,9,9,2021-11-23T00:16:08Z,430000,-238.0,-11.0,1,right,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,23.8,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M26.00S,2021-11-23T00:16:06.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,9,9,2021-11-23T00:16:08Z,440000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,
47,PT08M12.00S,2021-11-23T00:16:20.1Z,1,REGULAR,3pt,Jump Shot,[],201933,27.677398160315374,21.568627450980394,1610612751,9,9,2021-11-23T00:16:28Z,450000,142.0,208.0,1,left,MISS B. Griffin 25' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M10.00S,2021-11-23T00:16:22.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,9,9,2021-11-23T00:16:28Z,460000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,
62,PT08M10.00S,2021-11-23T00:16:34.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,9,9,2021-11-23T00:20:29Z,465000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M02.00S,2021-11-23T00:16:47.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201988,30.042706964520367,69.11764705882352,1610612751,9,9,2021-11-23T00:16:53Z,470000,-96.0,230.0,1,left,MISS P. Mills 24' pullup 3PT,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,24.9,Missed,,,,,,,,,,,,,,,,,,,
