actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
15,PT10M35.00S,2022-03-16T23:11:57.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,2,2022-03-16T23:12:00Z,150000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,14.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
16,PT10M29.00S,2022-03-16T23:12:05.5Z,1,REGULAR,foul,personal,['2freethrow'],1628374,,,1610612755,0,2,2022-03-16T23:12:17Z,160000,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Harden 2 FT),"[1628374, 201935]",1610612739.0,CLE,shooting,,,Markkanen,L. Markkanen,,,,,,,,,,,,202058.0,1.0,0.0,Harden,201935.0,,,,,,,,,
18,PT10M29.00S,2022-03-16T23:12:33.5Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,0,3,2022-03-16T23:12:33Z,180000,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
19,PT10M29.00S,2022-03-16T23:12:52.6Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,0,4,2022-03-16T23:12:52Z,190000,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
20,PT10M07.00S,2022-03-16T23:13:16.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,64.86530880420499,26.96078431372549,1610612739,0,4,2022-03-16T23:13:23Z,200000,-115.0,278.0,1,right,MISS L. Markkanen 30' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,30.07,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2022-03-16T23:13:19.3Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,0,4,2022-03-16T23:13:23Z,210000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT09M55.00S,2022-03-16T23:13:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,5.863994743758213,48.529411764705884,1610612755,0,4,2022-03-16T23:13:39Z,220000,7.0,3.0,1,left,MISS M. Thybulle Layup - blocked,"[1629680, 1630205]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,0.78,Missed,,,,,,,,,,,Stevens,1630205.0,,,,,,,
23,PT09M55.00S,2022-03-16T23:13:28.2Z,1,REGULAR,block,,[],1630205,,,1610612755,0,4,2022-03-16T23:13:31Z,230000,,,0,,L. Stevens BLOCK (1 BLK),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2022-03-16T23:13:31.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,4,2022-03-16T23:13:39Z,240000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT09M50.00S,2022-03-16T23:13:33.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630205,93.9060446780552,49.754901960784316,1610612739,2,4,2022-03-16T23:13:52Z,250000,-1.0,5.0,1,right,L. Stevens running DUNK (2 PTS) (D. Garland 1 AST),"[1630205, 1629636]",1610612739.0,CLE,running,,,Stevens,L. Stevens,,,,,0.49,Made,,,,,2.0,,,,,,,,D. Garland,1629636.0,1.0,,,,
27,PT09M35.00S,2022-03-16T23:13:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,17.95335085413929,46.81372549019608,1610612755,2,6,2022-03-16T23:13:59Z,270000,16.0,116.0,1,left,J. Embiid 11' turnaround fadeaway Jump Shot (4 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,11.74,Made,,,,,4.0,,,,,,,,,,,,,,
28,PT09M21.00S,2022-03-16T23:14:04.8Z,1,REGULAR,foul,personal,[],1630178,,,1610612739,2,6,2022-03-16T23:14:34Z,280000,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1629636]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,202058.0,1.0,0.0,Garland,1629636.0,,,,,,,,,
30,PT09M13.00S,2022-03-16T23:14:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,87.20433639947439,53.431372549019606,1610612739,2,6,2022-03-16T23:15:05Z,300000,17.0,68.0,1,right,MISS D. Garland 6' driving reverse Layup,[1629636],1610612739.0,CLE,driving reverse,,,Garland,D. Garland,,,,,6.99,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2022-03-16T23:14:55.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,6,2022-03-16T23:15:05Z,310000,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,30.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
32,PT09M05.00S,2022-03-16T23:15:02.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630178,11.251642575558476,35.53921568627451,1610612755,2,8,2022-03-16T23:15:16Z,320000,72.0,53.0,1,left,T. Maxey 8' floating Jump Shot (2 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,floating,,,Maxey,T. Maxey,,,,,8.98,Made,,,,,2.0,,,,,,,,J. Embiid,203954.0,1.0,,,,
34,PT08M49.00S,2022-03-16T23:15:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630205,93.11760840998686,50.245098039215684,1610612739,4,8,2022-03-16T23:15:29Z,340000,1.0,12.0,1,right,L. Stevens cutting Layup (4 PTS) (D. Garland 2 AST),"[1630205, 1629636]",1610612739.0,CLE,cutting,,,Stevens,L. Stevens,,,,,1.23,Made,,,,,4.0,,,,,,,,D. Garland,1629636.0,2.0,,,,
36,PT08M40.00S,2022-03-16T23:15:31.1Z,1,REGULAR,violation,kicked ball,[],1628374,,,1610612755,4,8,2022-03-16T23:15:45Z,360000,,,0,,L. Markkanen kicked ball VIOLATION,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,200834.0,,,,,,,,,,,,,
37,PT08M32.00S,2022-03-16T23:15:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,9.937582128777924,37.745098039215684,1610612755,4,10,2022-03-16T23:16:01Z,370000,61.0,41.0,1,left,T. Harris 7' driving floating bank Jump Shot (2 PTS),[202699],1610612755.0,PHI,driving floating bank,,,Harris,T. Harris,,,,,7.37,Made,,,,,2.0,,,,,,,,,,,,,,
38,PT08M12.00S,2022-03-16T23:16:07.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,72.35545335085413,12.009803921568627,1610612739,4,10,2022-03-16T23:16:14Z,380000,-190.0,207.0,1,right,MISS D. Garland 28' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,28.13,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M09.00S,2022-03-16T23:16:10.7Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,4,10,2022-03-16T23:16:14Z,390000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
40,PT07M59.00S,2022-03-16T23:16:21.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629680,6.1268068331143235,49.754901960784316,1610612755,4,12,2022-03-16T23:16:31Z,400000,1.0,5.0,1,left,M. Thybulle alley-oop DUNK (2 PTS) (J. Harden 1 AST),"[1629680, 201935]",1610612755.0,PHI,alley-oop,,,Thybulle,M. Thybulle,,,,,0.52,Made,,,,,2.0,,,,,,,,J. Harden,201935.0,1.0,,,,
42,PT07M43.00S,2022-03-16T23:16:37.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,88.78120893561103,48.28431372549019,1610612739,4,12,2022-03-16T23:16:49Z,420000,-9.0,53.0,1,right,MISS E. Mobley turnaround bank Hook,[1630596],1610612739.0,CLE,turnaround bank,,,Mobley,E. Mobley,,,,,5.37,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M39.00S,2022-03-16T23:16:41.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,4,12,2022-03-16T23:16:49Z,430000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT07M36.00S,2022-03-16T23:16:44.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,6.389618922470433,49.01960784313725,1610612755,4,14,2022-03-16T23:16:59Z,440000,5.0,8.0,1,left,T. Harris running Layup (4 PTS),[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,0.9,Made,,,,,4.0,,,,,,,,,,,,,,
45,PT07M36.00S,2022-03-16T23:16:50.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,4,14,2022-03-16T23:16:50Z,450000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M36.00S,2022-03-16T23:19:13.0Z,1,REGULAR,substitution,out,[],1630205,,,1610612739,4,14,2022-03-16T23:19:38Z,460000,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M36.00S,2022-03-16T23:19:13.0Z,1,REGULAR,substitution,in,[],1629685,,,1610612739,4,14,2022-03-16T23:19:38Z,470000,,,0,,SUB in: D. Windler,[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M14.00S,2022-03-16T23:20:12.3Z,1,REGULAR,3pt,Jump Shot,[],1629636,65.52233902759527,73.52941176470588,1610612739,4,14,2022-03-16T23:20:20Z,480000,118.0,272.0,1,right,MISS D. Garland 29' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,29.6,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M11.00S,2022-03-16T23:20:14.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,4,14,2022-03-16T23:20:14Z,490000,,,0,,J. Embiid REBOUND (Off:0 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,48.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
50,PT07M02.00S,2022-03-16T23:20:24.1Z,1,REGULAR,2pt,Jump Shot,[],203954,9.674770039421814,69.85294117647058,1610612755,4,16,2022-03-16T23:20:30Z,500000,-99.0,38.0,1,left,J. Embiid 10' turnaround fadeaway Jump Shot (6 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,10.65,Made,,,,,6.0,,,,,,,,,,,,,,
51,PT06M50.00S,2022-03-16T23:20:34.8Z,1,REGULAR,3pt,Jump Shot,[],1629685,91.40932982917214,3.431372549019608,1610612739,4,16,2022-03-16T23:20:40Z,510000,-233.0,28.0,1,right,MISS D. Windler 3PT,[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M46.00S,2022-03-16T23:20:38.7Z,1,REGULAR,rebound,offensive,[],1629685,,,1610612739,4,16,2022-03-16T23:20:38Z,520000,,,0,,D. Windler REBOUND (Off:1 Def:0),[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
53,PT06M44.00S,2022-03-16T23:20:41.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,69.72733245729303,75.0,1610612739,4,16,2022-03-16T23:20:47Z,530000,125.0,232.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,,
54,PT06M41.00S,2022-03-16T23:20:44.7Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,4,16,2022-03-16T23:20:47Z,540000,,,0,,M. Thybulle REBOUND (Off:0 Def:2),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
55,PT06M38.00S,2022-03-16T23:20:47.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,22.552562417871222,10.049019607843137,1610612755,4,19,2022-03-16T23:21:26Z,550000,200.0,159.0,1,left,T. Maxey 25' 3PT running pullup (5 PTS) (J. Embiid 2 AST),"[1630178, 203954]",1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,25.57,Made,,,,,5.0,,,,,,,,J. Embiid,203954.0,2.0,,,,
57,PT06M20.00S,2022-03-16T23:21:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,93.9060446780552,50.49019607843137,1610612739,6,19,2022-03-16T23:21:14Z,570000,2.0,5.0,1,right,I. Okoro driving reverse Layup (2 PTS) (D. Windler 1 AST),"[1630171, 1629685]",1610612739.0,CLE,driving reverse,,,Okoro,I. Okoro,,,,,0.54,Made,,,,,2.0,,,,,,,,D. Windler,1629685.0,1.0,,,,
59,PT05M57.00S,2022-03-16T23:21:28.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,18.084756898817346,56.372549019607845,1610612755,6,21,2022-03-16T23:21:35Z,590000,-32.0,117.0,1,left,J. Embiid 12' turnaround fadeaway Jump Shot (8 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,12.18,Made,,,,,8.0,,,,,,,,,,,,,,
60,PT05M43.00S,2022-03-16T23:21:42.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,92.06636005256242,50.73529411764706,1610612739,8,21,2022-03-16T23:21:50Z,600000,4.0,22.0,1,right,E. Mobley driving DUNK (2 PTS) (D. Garland 3 AST),"[1630596, 1629636]",1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,2.24,Made,,,,,2.0,,,,,,,,D. Garland,1629636.0,3.0,,,,
61,PT05M15.00S,2022-03-16T23:22:10.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,6.652431011826544,96.32352941176471,1610612755,8,21,2022-03-16T23:22:18Z,610000,-232.0,10.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,23.18,Missed,,,,,,,,,,,,,,,,,,,
62,PT05M12.00S,2022-03-16T23:22:13.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,8,21,2022-03-16T23:22:18Z,620000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
63,PT05M11.00S,2022-03-16T23:22:18.9Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612739,8,21,2022-03-16T23:22:28Z,630000,,,0,,T. Harris shooting personal FOUL (1 PF) (Markkanen 2 FT),"[202699, 1628374]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,,,,,202058.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,,
65,PT05M11.00S,2022-03-16T23:22:48.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628374,,,1610612739,9,21,2022-03-16T23:22:48Z,650000,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
66,PT05M11.00S,2022-03-16T23:22:49.4Z,1,REGULAR,substitution,out,[],1630178,,,1610612739,9,21,2022-03-16T23:22:56Z,660000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M11.00S,2022-03-16T23:22:49.4Z,1,REGULAR,substitution,in,[],201980,,,1610612739,9,21,2022-03-16T23:22:56Z,670000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M11.00S,2022-03-16T23:23:14.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628374,,,1610612739,10,21,2022-03-16T23:23:14Z,680000,,,0,,L. Markkanen Free Throw 2 of 2 (2 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
69,PT04M59.00S,2022-03-16T23:23:31.0Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612755,10,21,2022-03-16T23:23:37Z,690000,,,0,,E. Mobley shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630596, 203954]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,,,,,,,,202058.0,1.0,0.0,Embiid,203954.0,,,,,,,,,
71,PT04M59.00S,2022-03-16T23:23:56.8Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,10,22,2022-03-16T23:24:24Z,710000,,,0,,J. Embiid Free Throw 1 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,9.0,,,,,,,,,,,,,,
72,PT04M59.00S,2022-03-16T23:23:57.5Z,1,REGULAR,substitution,out,[],1628374,,,1610612755,10,22,2022-03-16T23:24:02Z,720000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M59.00S,2022-03-16T23:23:57.5Z,1,REGULAR,substitution,in,[],201567,,,1610612755,10,22,2022-03-16T23:24:02Z,730000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M59.00S,2022-03-16T23:23:56.8Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,10,22,2022-03-16T23:24:24Z,740000,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Missed,,,,,,,,,,,,,,,,,,,
75,PT04M56.00S,2022-03-16T23:23:59.8Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,10,22,2022-03-16T23:24:24Z,750000,,,0,,E. Mobley REBOUND (Off:0 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,74.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
76,PT04M46.00S,2022-03-16T23:24:32.0Z,1,REGULAR,turnover,backcourt,[],1629685,,,1610612739,10,22,2022-03-16T23:24:46Z,760000,,,0,,D. Windler backcourt TURNOVER (1 TO),[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,,,,,,,,203593.0,,,,,,,,,,1.0,,,
77,PT04M32.00S,2022-03-16T23:24:56.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203954,5.469776609724048,48.77450980392157,1610612755,10,24,2022-03-16T23:25:04Z,770000,6.0,-1.0,1,left,J. Embiid driving DUNK (11 PTS) (J. Harden 2 AST),"[203954, 201935]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,0.62,Made,,,,,11.0,,,,,,,,J. Harden,201935.0,2.0,,,,
79,PT04M08.00S,2022-03-16T23:25:19.6Z,1,REGULAR,3pt,Jump Shot,[],1630171,71.43561103810775,17.401960784313726,1610612739,10,24,2022-03-16T23:25:25Z,790000,-163.0,216.0,1,right,MISS I. Okoro 27' 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M03.00S,2022-03-16T23:25:24.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,10,24,2022-03-16T23:25:25Z,800000,,,0,,J. Embiid REBOUND (Off:0 Def:6),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,79.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
81,PT03M57.00S,2022-03-16T23:25:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,5.338370565045992,49.50980392156863,1610612755,10,24,2022-03-16T23:25:37Z,810000,2.0,-2.0,1,left,MISS M. Thybulle Layup,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,0.34,Missed,,,,,,,,,,,,,,,,,,,
82,PT03M55.00S,2022-03-16T23:25:33.5Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,10,24,2022-03-16T23:25:37Z,820000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
83,PT03M48.00S,2022-03-16T23:25:40.2Z,1,REGULAR,3pt,Jump Shot,[],201567,67.62483574244416,62.254901960784316,1610612739,10,24,2022-03-16T23:25:47Z,830000,61.0,252.0,1,right,MISS K. Love 25' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,,
85,PT03M45.00S,2022-03-16T23:25:43.2Z,1,REGULAR,rebound,offensive,[],201567,,,1610612739,10,24,2022-03-16T23:25:47Z,850000,,,0,,K. Love REBOUND (Off:1 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,83.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
86,PT03M45.00S,2022-03-16T23:25:45.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201567,66.83639947437582,62.745098039215684,1610612739,10,24,2022-03-16T23:30:47Z,860000,64.0,259.0,1,right,MISS K. Love 26' step back 3PT,[201567],1610612739.0,CLE,step back,,,Love,K. Love,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,,
87,PT03M45.00S,2022-03-16T23:25:45.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,10,24,2022-03-16T23:25:51Z,870000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,
