actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
38,PT09M32.00S,2021-11-13T00:46:09.3Z,1,REGULAR,turnover,out-of-bounds,[],1630171,,,1610612739,6,0,2021-11-13T00:54:25Z,380000,,,0,,I. Okoro bad pass out-of-bounds TURNOVER (1 TO),[1630171],1610612739.0,CLE,bad pass,,,Okoro,I. Okoro,,,,,1162.0,,,,,,,,,,,,1.0,,,,,,,,
39,PT09M17.00S,2021-11-13T00:46:34.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,6,0,2021-11-13T00:46:34Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M09.00S,2021-11-13T00:46:56.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630180,13.222733245729303,35.049019607843135,1610612765,6,2,2021-11-13T00:47:02Z,400000,75.0,72.0,1,left,S. Bey 10' turnaround fadeaway Jump Shot (2 PTS) (K. Hayes 1 AST),"[1630180, 1630165]",1610612765.0,DET,turnaround fadeaway,,,Bey,S. Bey,,,,,,,,,,10.37,Made,2.0,,,,,,,,K. Hayes,1630165.0,1.0,,,
42,PT08M51.00S,2021-11-13T00:47:15.1Z,1,REGULAR,turnover,bad pass,[],1630171,,,1610612739,6,2,2021-11-13T00:47:20Z,420000,,,0,,I. Okoro bad pass TURNOVER (2 TO),"[1630171, 1630165]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,2.0,Hayes,1630165.0,,,,,,
43,PT08M51.00S,2021-11-13T00:47:15.1Z,1,REGULAR,steal,,[],1630165,,,1610612765,6,2,2021-11-13T00:47:17Z,430000,,,0,,K. Hayes STEAL (2 STL),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M38.00S,2021-11-13T00:47:31.1Z,1,REGULAR,foul,personal,['2freethrow'],1629731,,,1610612765,6,2,2021-11-13T00:47:48Z,440000,,,0,,D. Wade shooting personal FOUL (1 PF) (Grant 2 FT),"[1629731, 203924]",1610612739.0,CLE,shooting,,,Wade,D. Wade,,,,,201638.0,1.0,0.0,Grant,203924.0,,,,,,,,,,,,,,,,
46,PT08M38.00S,2021-11-13T00:48:00.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203924,,,1610612765,6,3,2021-11-13T00:48:00Z,460000,,,0,,J. Grant Free Throw 1 of 2 (1 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
47,PT08M38.00S,2021-11-13T00:48:17.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203924,,,1610612765,6,4,2021-11-13T00:48:17Z,470000,,,0,,J. Grant Free Throw 2 of 2 (2 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
48,PT08M21.00S,2021-11-13T00:48:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.72339027595268,50.73529411764706,1610612739,8,4,2021-11-13T00:48:55Z,480000,4.0,16.0,1,right,I. Okoro driving Layup (2 PTS) (J. Allen 1 AST),"[1630171, 1628386]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,,,,1.63,Made,2.0,,,,,,,,J. Allen,1628386.0,1.0,,,
50,PT08M21.00S,2021-11-13T00:48:43.2Z,1,REGULAR,foul,personal,['1freethrow'],203924,,,1610612739,8,4,2021-11-13T00:48:54Z,500000,,,0,,J. Grant shooting personal FOUL (1 PF) (Okoro 1 FT),"[203924, 1630171]",1610612765.0,DET,shooting,,,Grant,J. Grant,,,,,201638.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,,,,,,,
