actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
28,PT10M37.00S,2022-04-10T19:43:38.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,29.6484888304862,72.30392156862744,1610612739,10,0,2022-04-10T19:43:46Z,280000,-112.0,226.0,1,left,D. Garland 25' 3PT  (6 PTS) (C. LeVert 2 AST),"[1629636, 1627747]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,25.22,Made,6.0,C. LeVert,1627747.0,2.0,,,,,,,,,,
30,PT10M19.00S,2022-04-10T19:43:57.0Z,1,REGULAR,3pt,Jump Shot,[],203648,69.07030223390277,74.26470588235294,1610612749,10,0,2022-04-10T19:44:01Z,300000,121.0,238.0,1,right,MISS T. Antetokounmpo 26' 3PT,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,26.73,Missed,,,,,,,,,,,,,,
31,PT10M17.00S,2022-04-10T19:43:59.0Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,10,0,2022-04-10T19:44:01Z,310000,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,30.0,3.0,2.0,1.0,,,
32,PT10M15.00S,2022-04-10T19:44:02.6Z,1,REGULAR,foul,personal,['2freethrow'],203648,,,1610612739,10,0,2022-04-10T19:44:11Z,320000,,,0,,T. Antetokounmpo shooting personal FOUL (1 PF) (LeVert 2 FT),"[203648, 1627747]",1610612749.0,MIL,shooting,,,Antetokounmpo,T. Antetokounmpo,,,,,204058.0,1.0,0.0,LeVert,1627747.0,,,,,,,,,,,,,,,,
34,PT10M15.00S,2022-04-10T19:44:23.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627747,,,1610612739,11,0,2022-04-10T19:44:23Z,340000,,,0,,C. LeVert Free Throw 1 of 2 (1 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
35,PT10M15.00S,2022-04-10T19:44:37.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627747,,,1610612739,12,0,2022-04-10T19:44:37Z,350000,,,0,,C. LeVert Free Throw 2 of 2 (2 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
36,PT09M59.00S,2022-04-10T19:44:56.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629670,88.38699080157687,46.32352941176471,1610612749,12,0,2022-04-10T19:45:01Z,360000,-18.0,57.0,1,right,MISS J. Nwora driving floating Shot,[1629670],1610612749.0,MIL,driving floating,,,Nwora,J. Nwora,,,,,,,,,,5.96,Missed,,,,,,,,,,,,,,
37,PT09M57.00S,2022-04-10T19:44:58.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,12,0,2022-04-10T19:45:01Z,370000,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,
38,PT09M39.00S,2022-04-10T19:45:15.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,13.091327201051248,41.42156862745098,1610612739,14,0,2022-04-10T19:45:22Z,380000,43.0,71.0,1,left,E. Mobley 8' turnaround Jump Shot (3 PTS),[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,,,,,,8.26,Made,3.0,,,,,,,,,,,,,
39,PT09M28.00S,2022-04-10T19:45:27.3Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612749,14,0,2022-04-10T19:45:39Z,390000,,,0,,I. Okoro shooting personal FOUL (1 PF) (Wigginton 2 FT),"[1630171, 1629623]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,1162.0,1.0,0.0,Wigginton,1629623.0,,,,,,,,,,,,,,,,
41,PT09M28.00S,2022-04-10T19:45:52.6Z,1,REGULAR,freethrow,1 of 2,[],1629623,,,1610612749,14,0,2022-04-10T19:45:52Z,410000,,,0,,MISS L. Wigginton Free Throw 1 of 2,[1629623],1610612749.0,MIL,,,,Wigginton,L. Wigginton,,,,,,,,,,,Missed,,,,,,,,,,,,,,
42,PT09M28.00S,2022-04-10T19:45:52.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,14,0,2022-04-10T19:45:52Z,420000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,
43,PT09M28.00S,2022-04-10T19:46:08.1Z,1,REGULAR,freethrow,2 of 2,[],1629623,,,1610612749,14,1,2022-04-10T19:46:08Z,430000,,,0,,L. Wigginton Free Throw 2 of 2 (1 PTS),[1629623],1610612749.0,MIL,,,,Wigginton,L. Wigginton,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
44,PT09M15.00S,2022-04-10T19:46:23.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,11.645860709592641,36.51960784313725,1610612739,16,1,2022-04-10T19:46:29Z,440000,67.0,57.0,1,left,C. LeVert 8' driving floating Jump Shot (4 PTS),[1627747],1610612739.0,CLE,driving floating,,,LeVert,C. LeVert,,,,,,,,,,8.83,Made,4.0,,,,,,,,,,,,,
45,PT08M57.00S,2022-04-10T19:46:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629623,93.9060446780552,49.26470588235294,1610612749,16,3,2022-04-10T19:46:47Z,450000,-4.0,5.0,1,right,L. Wigginton driving Layup (3 PTS) (J. Carter 1 AST),"[1629623, 1628975]",1610612749.0,MIL,driving,,,Wigginton,L. Wigginton,,,,,,,,,,0.61,Made,3.0,J. Carter,1628975.0,1.0,,,,,,,,,,
47,PT08M46.00S,2022-04-10T19:46:51.2Z,1,REGULAR,3pt,Jump Shot,[],1628374,10.988830486202366,2.941176470588235,1610612739,16,3,2022-04-10T19:46:55Z,470000,235.0,51.0,1,left,MISS L. Markkanen 24' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,24.07,Missed,,,,,,,,,,,,,,
48,PT08M44.00S,2022-04-10T19:46:54.0Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,16,3,2022-04-10T19:46:54Z,480000,,,0,,E. Mobley REBOUND (Off:2 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,47.0,4.0,2.0,2.0,,,
49,PT08M40.00S,2022-04-10T19:46:57.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629636,35.43035479632063,25.49019607843137,1610612739,16,3,2022-04-10T19:47:01Z,490000,123.0,281.0,1,left,MISS D. Garland 30' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,30.61,Missed,,,,,,,,,,,,,,
50,PT08M38.00S,2022-04-10T19:46:59.1Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,16,3,2022-04-10T19:47:01Z,500000,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,49.0,1.0,0.0,1.0,,,
51,PT08M32.00S,2022-04-10T19:47:05.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,26.62614980289093,14.950980392156863,1610612739,19,3,2022-04-10T19:47:11Z,510000,175.0,198.0,1,left,L. Markkanen 26' 3PT  (6 PTS) (D. Garland 1 AST),"[1628374, 1629636]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,26.42,Made,6.0,D. Garland,1629636.0,1.0,,,,,,,,,,
53,PT08M16.00S,2022-04-10T19:47:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,94.30026281208936,50.73529411764706,1610612749,19,5,2022-04-10T19:47:31Z,530000,4.0,1.0,1,right,S. Mamukelashvili driving Layup (2 PTS) (L. Wigginton 1 AST),"[1630572, 1629623]",1610612749.0,MIL,driving,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,0.39,Made,2.0,L. Wigginton,1629623.0,1.0,,,,,,,,,,
55,PT08M06.00S,2022-04-10T19:47:31.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,34.90473061760841,62.99019607843137,1610612739,19,5,2022-04-10T19:47:36Z,550000,-65.0,276.0,1,left,MISS L. Markkanen 28' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,28.32,Missed,,,,,,,,,,,,,,
56,PT08M02.00S,2022-04-10T19:47:35.8Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612749,19,5,2022-04-10T19:48:18Z,560000,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,
57,PT07M55.00S,2022-04-10T19:47:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629623,92.19776609724047,57.107843137254896,1610612749,19,5,2022-04-10T19:47:47Z,570000,36.0,21.0,1,right,MISS L. Wigginton driving Layup,[1629623],1610612749.0,MIL,driving,,,Wigginton,L. Wigginton,,,,,,,,,,4.11,Missed,,,,,,,,,,,,,,
58,PT07M53.00S,2022-04-10T19:47:44.1Z,1,REGULAR,rebound,offensive,[],1629623,,,1610612749,19,5,2022-04-10T19:47:44Z,580000,,,0,,L. Wigginton REBOUND (Off:1 Def:0),[1629623],1610612749.0,MIL,,,,Wigginton,L. Wigginton,,,,,,,,,,,,,,,,,,,57.0,1.0,0.0,1.0,,,
59,PT07M49.00S,2022-04-10T19:47:48.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630572,92.46057818659659,20.588235294117645,1610612749,19,7,2022-04-10T19:47:55Z,590000,-147.0,18.0,1,right,S. Mamukelashvili 14' turnaround Jump Shot (4 PTS) (J. Carter 2 AST),"[1630572, 1628975]",1610612749.0,MIL,turnaround,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,14.82,Made,4.0,J. Carter,1628975.0,2.0,,,,,,,,,,
61,PT07M31.00S,2022-04-10T19:48:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,6.521024967148489,49.754901960784316,1610612739,19,7,2022-04-10T19:48:12Z,610000,1.0,9.0,1,left,MISS D. Garland driving Layup - blocked,"[1629636, 1629670]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,,,,0.89,Missed,,,,,,,,,,,,Nwora,1629670.0,
62,PT07M31.00S,2022-04-10T19:48:06.7Z,1,REGULAR,block,,[],1629670,,,1610612739,19,7,2022-04-10T19:48:09Z,620000,,,0,,J. Nwora BLOCK (1 BLK),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M28.00S,2022-04-10T19:48:09.7Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612749,19,7,2022-04-10T19:50:43Z,630000,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,
79,PT07M24.00S,2022-04-10T19:48:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,91.27792378449409,51.225490196078425,1610612749,19,7,2022-04-10T19:51:54Z,635000,6.0,29.0,1,right,MISS S. Mamukelashvili driving Layup - blocked,"[1630572, 1630596]",1610612749.0,MIL,driving,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,3.01,Missed,,,,,,,,,,,,Mobley,1630596.0,
80,PT07M24.00S,2022-04-10T19:48:14.7Z,1,REGULAR,block,,[],1630596,,,1610612749,19,7,2022-04-10T19:51:54Z,637500,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT07M23.00S,2022-04-10T19:48:15.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,19,7,2022-04-10T19:51:54Z,638750,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,
64,PT07M23.00S,2022-04-10T19:48:22.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,19,7,2022-04-10T19:48:22Z,640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M23.00S,2022-04-10T19:48:24.1Z,1,REGULAR,substitution,out,[],1629623,,,1610612749,19,7,2022-04-10T19:48:29Z,650000,,,0,,SUB out: L. Wigginton,[1629623],1610612749.0,MIL,,,,Wigginton,L. Wigginton,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M23.00S,2022-04-10T19:48:24.1Z,1,REGULAR,substitution,in,[],1629730,,,1610612749,19,7,2022-04-10T19:48:29Z,660000,,,0,,SUB in: R. Tucker,[1629730],1610612749.0,MIL,,,,Tucker,R. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M18.00S,2022-04-10T19:48:37.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203648,86.81011826544021,17.15686274509804,1610612749,19,9,2022-04-10T19:51:54Z,670000,-164.0,71.0,1,right,T. Antetokounmpo 17' step back Jump Shot (2 PTS) (J. Carter 3 AST),"[203648, 1628975]",1610612749.0,MIL,step back,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,17.91,Made,2.0,J. Carter,1628975.0,3.0,,,,,,,,,,
69,PT07M00.00S,2022-04-10T19:48:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,7.5722733245729295,48.03921568627451,1610612739,21,9,2022-04-10T19:49:02Z,690000,10.0,19.0,1,left,I. Okoro driving Layup (2 PTS) (C. LeVert 3 AST),"[1630171, 1627747]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,,,,2.11,Made,2.0,C. LeVert,1627747.0,3.0,,,,,,,,,,
71,PT06M45.00S,2022-04-10T19:49:10.6Z,1,REGULAR,2pt,Jump Shot,[],1629670,89.56964520367937,80.63725490196079,1610612749,21,9,2022-04-10T19:49:18Z,710000,153.0,46.0,1,right,MISS J. Nwora 15' fadeaway Shot,[1629670],1610612749.0,MIL,fadeaway,,,Nwora,J. Nwora,,,,,,,,,,15.98,Missed,,,,,,,,,,,,,,
72,PT06M41.00S,2022-04-10T19:49:14.6Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,21,9,2022-04-10T19:49:18Z,720000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,71.0,1.0,1.0,0.0,,,
73,PT06M35.00S,2022-04-10T19:49:20.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,19.530223390275953,91.91176470588235,1610612739,21,9,2022-04-10T19:49:25Z,730000,-210.0,131.0,1,left,MISS L. Markkanen 24' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,24.72,Missed,,,,,,,,,,,,,,
74,PT06M33.00S,2022-04-10T19:49:22.3Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612749,21,9,2022-04-10T19:49:25Z,740000,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,73.0,1.0,1.0,0.0,,,
75,PT06M25.00S,2022-04-10T19:49:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628975,93.24901445466492,52.20588235294118,1610612749,21,9,2022-04-10T19:49:37Z,750000,11.0,11.0,1,right,MISS J. Carter driving Layup,[1628975],1610612749.0,MIL,driving,,,Carter,J. Carter,,,,,,,,,,1.56,Missed,,,,,,,,,,,,,,
76,PT06M23.00S,2022-04-10T19:49:32.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,21,9,2022-04-10T19:49:37Z,760000,,,0,,E. Mobley REBOUND (Off:2 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,75.0,5.0,3.0,2.0,,,
77,PT06M20.00S,2022-04-10T19:49:36.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,30.831143232588698,66.66666666666666,1610612739,24,9,2022-04-10T19:52:18Z,770000,-83.0,237.0,1,left,D. Garland 25' 3PT running pullup (9 PTS),[1629636],1610612739.0,CLE,running pullup,,,Garland,D. Garland,,,,,,,,,,25.15,Made,9.0,,,,,,,,,,,,,
78,PT06M10.00S,2022-04-10T19:49:54.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,24,9,2022-04-10T19:49:54Z,780000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M10.00S,2022-04-10T19:52:21.8Z,1,REGULAR,substitution,out,[],1628374,,,1610612749,24,9,2022-04-10T19:52:43Z,790000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M10.00S,2022-04-10T19:52:21.8Z,1,REGULAR,substitution,out,[],1628975,,,1610612749,24,9,2022-04-10T19:52:43Z,800000,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M10.00S,2022-04-10T19:52:21.8Z,1,REGULAR,substitution,in,[],201567,,,1610612749,24,9,2022-04-10T19:52:43Z,810000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M10.00S,2022-04-10T19:52:21.8Z,1,REGULAR,substitution,in,[],1629623,,,1610612749,24,9,2022-04-10T19:52:43Z,820000,,,0,,SUB in: L. Wigginton,[1629623],1610612749.0,MIL,,,,Wigginton,L. Wigginton,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M58.00S,2022-04-10T19:53:00.1Z,1,REGULAR,3pt,Jump Shot,[],1630572,87.72996057818659,94.85294117647058,1610612749,24,9,2022-04-10T19:53:12Z,830000,224.0,63.0,1,right,MISS S. Mamukelashvili 3PT,[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,23.29,Missed,,,,,,,,,,,,,,
87,PT05M58.00S,2022-04-10T19:53:00.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,24,9,2022-04-10T19:53:12Z,840000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,
88,PT05M58.00S,2022-04-10T19:53:23.4Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612739,24,9,2022-04-10T19:53:23Z,850000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
