actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT11M17.00S,2025-11-06T01:44:54.2Z,1,REGULAR,violation,jumpball,[],1630529,,,1610612742,0,0,2025-11-06T01:45:32Z,160000,False,,,0,,H. Jones jumpball VIOLATION,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,1627529.0,,,,,,,,,,,
20,PT11M07.00S,2025-11-06T01:45:29.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631108,23.078186596583443,87.25490196078431,1610612742,0,0,2025-11-06T01:45:33Z,170000,False,-186.0,164.0,1,left,MISS M. Christie 24' 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,24.85,Missed,,,,,,,,,,,,,,,,,,
21,PT11M04.00S,2025-11-06T01:45:32.5Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,0,0,2025-11-06T01:45:33Z,180000,False,,,0,,S. Bey REBOUND (Off:0 Def:2),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M44.00S,2025-11-06T01:45:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,82.47371879106439,48.529411764705884,1610612740,0,2,2025-11-06T01:45:57Z,190000,False,-7.0,112.0,1,right,S. Bey 11' step back Jump Shot (2 PTS),[1630180],1610612740.0,NOP,step back,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,11.24,Made,,,,,,,,2.0,,,,,,,,,,
23,PT10M33.00S,2025-11-06T01:46:03.4Z,1,REGULAR,3pt,Jump Shot,[],1642843,9.543363994743759,2.941176470588235,1610612742,0,2,2025-11-06T01:46:09Z,200000,False,235.0,37.0,1,left,MISS C. Flagg 3PT,[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Right Corner 3,24+ Right,23.82,Missed,,,,,,,,,,,,,,,,,,
24,PT10M30.00S,2025-11-06T01:46:06.4Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,0,2,2025-11-06T01:46:09Z,210000,False,,,0,,S. Bey REBOUND (Off:0 Def:3),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Right Corner 3,24+ Right,,,23.0,3.0,3.0,0.0,,,,,,,,,,,,,,
25,PT10M18.00S,2025-11-06T01:46:18.5Z,1,REGULAR,3pt,Jump Shot,[],1642847,69.72733245729303,74.50980392156863,1610612740,0,5,2025-11-06T01:46:22Z,220000,False,123.0,232.0,1,right,J. Fears 26' 3PT  (3 PTS) (K. Looney 1 AST),"[1642847, 1626172]",1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Right Center,26.24,Made,,,,,,,,3.0,K. Looney,1626172.0,1.0,,,,,,,
27,PT10M06.00S,2025-11-06T01:46:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,16.16294349540079,51.899509803921575,1610612742,0,5,2025-11-06T01:47:02Z,240000,False,-9.0,99.0,1,left,MISS D. Russell 9' turnaround Shot,[1626156],1610612742.0,DAL,turnaround,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,9.99,Missed,,,,,,,,,,,,,,,,,,
28,PT10M04.00S,2025-11-06T01:46:32.4Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,0,5,2025-11-06T01:46:36Z,250000,False,,,0,,J. Fears REBOUND (Off:0 Def:1),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,In The Paint (Non-RA),8-16 Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M55.00S,2025-11-06T01:46:40.3Z,1,REGULAR,3pt,Jump Shot,[],1626172,87.86136662286465,94.11764705882352,1610612740,0,5,2025-11-06T01:46:44Z,260000,False,221.0,62.0,1,right,MISS K. Looney 3PT,[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,Right Corner 3,24+ Right,22.9,Missed,,,,,,,,,,,,,,,,,,
30,PT09M53.00S,2025-11-06T01:46:42.3Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,0,5,2025-11-06T01:46:44Z,270000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Right Corner 3,24+ Right,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M47.00S,2025-11-06T01:46:49.4Z,1,REGULAR,turnover,lost ball,[],1629023,,,1610612742,0,5,2025-11-06T01:46:54Z,280000,False,,,0,,P. Washington lost ball TURNOVER (1 TO),"[1629023, 1642847]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,1.0,Fears,1642847.0,,,,
32,PT09M47.00S,2025-11-06T01:46:49.4Z,1,REGULAR,steal,,[],1642847,,,1610612740,0,5,2025-11-06T01:46:52Z,290000,False,,,0,,J. Fears STEAL (1 STL),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
33,PT09M42.00S,2025-11-06T01:46:53.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642847,93.64323258869908,46.32352941176471,1610612740,0,7,2025-11-06T01:48:54Z,300000,False,-18.0,7.0,1,right,J. Fears running finger roll Layup (5 PTS),[1642847],1610612740.0,NOP,running finger roll,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,1.98,Made,,,,,,,,5.0,,,,,,,,,,
34,PT09M31.00S,2025-11-06T01:47:08.5Z,1,REGULAR,foul,offensive,[],1626156,,,1610612742,0,7,2025-11-06T01:47:33Z,310000,False,,,0,,D. Russell off-the-ball offensive FOUL (1 PF),"[1626156, 1630530]",1610612742.0,DAL,off-the-ball,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,,,1155.0,,,,,,,,1.0,0.0,Murphy III,1630530.0
36,PT09M31.00S,2025-11-06T01:47:08.5Z,1,REGULAR,turnover,offensive foul,[],1626156,,,1610612742,0,7,2025-11-06T01:47:33Z,330000,False,,,0,,D. Russell offensive foul TURNOVER (1 TO),[1626156],1610612742.0,DAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,,,1155.0,,,,,1.0,,,,,,
37,PT09M21.00S,2025-11-06T01:47:30.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630180,83.39356110381078,40.931372549019606,1610612740,0,7,2025-11-06T01:51:24Z,340000,False,-45.0,104.0,1,right,MISS S. Bey 11' step back Shot,[1630180],1610612740.0,NOP,step back,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,11.31,Missed,,,,,,,,,,,,,,,,,,
38,PT09M19.00S,2025-11-06T01:47:32.2Z,1,REGULAR,rebound,defensive,[],1642843,,,1610612742,0,7,2025-11-06T01:51:13Z,350000,False,,,0,,C. Flagg REBOUND (Off:0 Def:1),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),8-16 Center,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT09M10.00S,2025-11-06T01:47:41.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,28.991458607095925,22.058823529411764,1610612742,0,7,2025-11-06T01:47:45Z,360000,False,140.0,220.0,1,left,MISS P. Washington 26' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
40,PT09M07.00S,2025-11-06T01:47:44.5Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,0,7,2025-11-06T01:47:45Z,370000,False,,,0,,J. Fears REBOUND (Off:0 Def:2),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Right Center,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M55.00S,2025-11-06T01:47:57.9Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612740,0,7,2025-11-06T01:48:11Z,380000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1629655, 1630530]",1610612742.0,DAL,shooting,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1155.0,,,,,,,,1.0,0.0,Murphy III,1630530.0
44,PT08M55.00S,2025-11-06T01:48:44.7Z,1,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,0,8,2025-11-06T01:48:44Z,410000,False,,,0,,T. Murphy III Free Throw 1 of 2 (1 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
45,PT08M55.00S,2025-11-06T01:49:00.7Z,1,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,0,9,2025-11-06T01:49:00Z,420000,False,,,0,,T. Murphy III Free Throw 2 of 2 (2 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
46,PT08M40.00S,2025-11-06T01:49:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,12.565703022339028,55.88235294117647,1610612742,0,9,2025-11-06T01:49:21Z,430000,False,-29.0,66.0,1,left,MISS D. Russell 7' driving floating Shot,[1626156],1610612742.0,DAL,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,7.19,Missed,,,,,,,,,,,,,,,,,,
47,PT08M38.00S,2025-11-06T01:49:18.9Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,0,9,2025-11-06T01:49:21Z,440000,False,,,0,,S. Bey REBOUND (Off:0 Def:4),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,4.0,4.0,0.0,,,,,,,,,,,,,,
48,PT08M34.00S,2025-11-06T01:49:23.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642847,72.88107752956637,79.16666666666666,1610612740,0,9,2025-11-06T01:53:06Z,450000,False,146.0,202.0,1,right,MISS J. Fears 24' running 3PT,[1642847],1610612740.0,NOP,running,,,Fears,J. Fears,,,,,Above the Break 3,24+ Right Center,24.94,Missed,,,,,,,,,,,,,,,,,,
49,PT08M32.00S,2025-11-06T01:49:25.6Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,0,9,2025-11-06T01:49:32Z,460000,False,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,
50,PT08M32.00S,2025-11-06T01:49:32.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,0,9,2025-11-06T01:49:32Z,470000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M22.00S,2025-11-06T01:52:39.1Z,1,REGULAR,3pt,Jump Shot,[],1631108,11.908672798948752,3.431372549019608,1610612742,3,9,2025-11-06T01:52:43Z,480000,False,233.0,59.0,1,left,M. Christie 24' 3PT  (3 PTS) (C. Flagg 1 AST),"[1631108, 1642843]",1610612742.0,DAL,,,,Christie,M. Christie,,,,,Right Corner 3,24+ Right,24.03,Made,,,,,,,,3.0,C. Flagg,1642843.0,1.0,,,,,,,
53,PT08M05.00S,2025-11-06T01:52:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,93.11760840998686,48.77450980392157,1610612740,3,11,2025-11-06T01:53:00Z,500000,False,-6.0,12.0,1,right,K. Looney cutting Layup (2 PTS) (J. Fears 1 AST),"[1626172, 1642847]",1610612740.0,NOP,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,1.36,Made,,,,,,,,2.0,J. Fears,1642847.0,1.0,,,,,,,
55,PT07M51.00S,2025-11-06T01:53:09.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629655,11.908672798948752,43.872549019607845,1610612742,3,11,2025-11-06T01:53:15Z,520000,False,31.0,59.0,1,left,MISS D. Gafford 6' driving Hook,[1629655],1610612742.0,DAL,driving,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,6.68,Missed,,,,,,,,,,,,,,,,,,
56,PT07M49.00S,2025-11-06T01:53:11.8Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,3,11,2025-11-06T01:53:15Z,530000,False,,,0,,J. Fears REBOUND (Off:0 Def:3),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,In The Paint (Non-RA),0-8 Center,,,55.0,3.0,3.0,0.0,,,,,,,,,,,,,,
57,PT07M38.00S,2025-11-06T01:53:22.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,88.64980289093299,35.78431372549019,1610612740,3,11,2025-11-06T01:53:30Z,540000,False,-71.0,54.0,1,right,MISS H. Jones 8' driving floating bank Shot,[1630529],1610612740.0,NOP,driving floating bank,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Left,8.94,Missed,,,,,,,,,,,,,,,,,,
58,PT07M35.00S,2025-11-06T01:53:25.8Z,1,REGULAR,rebound,defensive,[],1642843,,,1610612742,3,11,2025-11-06T01:53:30Z,550000,False,,,0,,C. Flagg REBOUND (Off:0 Def:2),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),8-16 Left,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT07M27.00S,2025-11-06T01:53:36.2Z,1,REGULAR,turnover,out-of-bounds,[],1642843,,,1610612742,3,11,2025-11-06T01:53:43Z,560000,False,,,0,,C. Flagg bad pass out-of-bounds TURNOVER (1 TO),[1642843],1610612742.0,DAL,bad pass,,,Flagg,C. Flagg,,,,,Mid-Range,8-16 Right,,,,,,,,,1155.0,,,,,1.0,,,,,,
60,PT07M27.00S,2025-11-06T01:53:39.9Z,1,REGULAR,substitution,out,[],1629655,,,1610612740,3,11,2025-11-06T01:53:44Z,570000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M27.00S,2025-11-06T01:53:39.9Z,1,REGULAR,substitution,in,[],1630619,,,1610612740,3,11,2025-11-06T01:53:44Z,580000,False,,,0,,SUB in: M. Cisse,[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M10.00S,2025-11-06T01:54:07.3Z,1,REGULAR,turnover,bad pass,[],1630529,,,1610612740,3,11,2025-11-06T01:54:13Z,590000,False,,,0,,H. Jones bad pass TURNOVER (1 TO),"[1630529, 1642843]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1.0,Flagg,1642843.0,,,,
63,PT07M10.00S,2025-11-06T01:54:07.3Z,1,REGULAR,steal,,[],1642843,,,1610612742,3,11,2025-11-06T01:54:08Z,600000,False,,,0,,C. Flagg STEAL (1 STL),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2025-11-06T01:54:14.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642843,23.078186596583443,87.99019607843137,1610612742,3,11,2025-11-06T01:55:27Z,610000,False,-190.0,164.0,1,left,MISS C. Flagg 25' pullup 3PT,[1642843],1610612742.0,DAL,pullup,,,Flagg,C. Flagg,,,,,Above the Break 3,24+ Left Center,25.13,Missed,,,,,,,,,,,,,,,,,,
65,PT07M00.00S,2025-11-06T01:54:17.3Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,3,11,2025-11-06T01:54:18Z,620000,False,,,0,,S. Bey REBOUND (Off:0 Def:5),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,64.0,5.0,5.0,0.0,,,,,,,,,,,,,,
66,PT06M47.00S,2025-11-06T01:54:29.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.72339027595268,51.9607843137255,1610612740,3,13,2025-11-06T01:54:34Z,630000,False,10.0,16.0,1,right,K. Looney cutting Layup (4 PTS) (H. Jones 1 AST),"[1626172, 1630529]",1610612740.0,NOP,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,1.87,Made,,,,,,,,4.0,H. Jones,1630529.0,1.0,,,,,,,
68,PT06M38.00S,2025-11-06T01:54:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,18.134034165571617,50.2029718137255,1610612742,3,13,2025-11-06T01:54:46Z,650000,False,-1.0,118.0,1,left,MISS D. Russell 11' fadeaway Shot,[1626156],1610612742.0,DAL,fadeaway,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,11.8,Missed,,,,,,,,,,,,,,,,,,
69,PT06M33.00S,2025-11-06T01:54:45.1Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,3,13,2025-11-06T01:54:46Z,660000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,
70,PT06M26.00S,2025-11-06T01:54:50.9Z,1,REGULAR,3pt,Jump Shot,[],1630530,69.07030223390277,68.87254901960785,1610612740,3,13,2025-11-06T01:55:01Z,670000,False,94.0,238.0,1,right,MISS T. Murphy III 25' 3PT - blocked,"[1630530, 1642843]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.62,Missed,,,,,Flagg,1642843.0,,,,,,,,,,,,
73,PT06M26.00S,2025-11-06T01:54:50.9Z,1,REGULAR,block,,[],1642843,,,1610612740,3,13,2025-11-06T01:55:01Z,675000,False,,,0,,C. Flagg BLOCK (1 BLK),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
71,PT06M23.00S,2025-11-06T01:54:53.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,3,13,2025-11-06T01:55:01Z,680000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
72,PT06M17.00S,2025-11-06T01:55:00.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,24.52365308804205,13.23529411764706,1610612742,6,13,2025-11-06T01:55:06Z,690000,False,184.0,178.0,1,left,D. Russell 25' 3PT  (3 PTS) (C. Flagg 2 AST),"[1626156, 1642843]",1610612742.0,DAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,25.59,Made,,,,,,,,3.0,C. Flagg,1642843.0,2.0,,,,,,,
75,PT06M01.00S,2025-11-06T01:55:15.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,68.80749014454665,25.0,1610612740,6,16,2025-11-06T01:55:20Z,710000,False,-125.0,241.0,1,right,S. Bey 27' 3PT pullup (5 PTS) (K. Looney 2 AST),"[1630180, 1626172]",1610612740.0,NOP,pullup,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,27.12,Made,,,,,,,,5.0,K. Looney,1626172.0,2.0,,,,,,,
77,PT05M46.00S,2025-11-06T01:55:31.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,22.421156373193167,10.784313725490197,1610612742,6,16,2025-11-06T01:55:38Z,730000,False,196.0,158.0,1,left,MISS D. Russell 25' step back bank 3PT,[1626156],1610612742.0,DAL,step back bank,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,25.2,Missed,,,,,,,,,,,,,,,,,,
78,PT05M43.00S,2025-11-06T01:55:34.5Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,6,16,2025-11-06T01:55:38Z,740000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT05M33.00S,2025-11-06T01:55:51.3Z,1,REGULAR,substitution,out,[],1626156,,,1610612740,6,16,2025-11-06T01:56:13Z,760000,False,,,0,,SUB out: D. Russell,[1626156],1610612742.0,DAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M33.00S,2025-11-06T01:55:51.3Z,1,REGULAR,substitution,out,[],1642843,,,1610612740,6,16,2025-11-06T01:56:13Z,770000,False,,,0,,SUB out: C. Flagg,[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M33.00S,2025-11-06T01:55:51.3Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,6,16,2025-11-06T01:56:13Z,780000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M33.00S,2025-11-06T01:55:51.3Z,1,REGULAR,substitution,out,[],1626172,,,1610612740,6,16,2025-11-06T01:56:13Z,790000,False,,,0,,SUB out: K. Looney,[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M33.00S,2025-11-06T01:55:51.3Z,1,REGULAR,substitution,in,[],1630314,,,1610612740,6,16,2025-11-06T01:56:13Z,800000,False,,,0,,SUB in: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2025-11-06T01:55:51.3Z,1,REGULAR,substitution,in,[],1630230,,,1610612740,6,16,2025-11-06T01:56:13Z,810000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M33.00S,2025-11-06T01:55:51.3Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,6,16,2025-11-06T01:56:13Z,820000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
