actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,pointsTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
29,PT09M57.00S,2025-10-25T00:43:31.4Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,5,2,2025-10-25T00:52:03Z,290000,False,,,0,,D. Lively II REBOUND (Off:1 Def:0),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,
30,PT09M55.00S,2025-10-25T00:43:34.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629023,75.3777923784494,84.80392156862744,1610612742,5,2,2025-10-25T00:43:39Z,300000,False,174.0,179.0,1,right,MISS P. Washington 24' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,24.96,Missed,,,,,,,,,,,,,,,
31,PT09M55.00S,2025-10-25T00:43:34.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,5,2,2025-10-25T00:43:39Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,30.0,,,,,,,,,,,,,,
32,PT09M55.00S,2025-10-25T00:43:38.7Z,1,REGULAR,foul,personal,[],1641726,,,1610612764,5,2,2025-10-25T00:43:45Z,320000,False,,,0,,D. Lively II loose ball personal FOUL (1 PF),"[1641726, 1642259]",1610612742.0,DAL,loose ball,,,Lively II,D. Lively II,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,204059.0,1.0,0.0,,Sarr,1642259.0,,,,,
34,PT09M47.00S,2025-10-25T00:43:58.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642273,7.703679369250986,48.03921568627451,1610612764,5,4,2025-10-25T00:44:02Z,340000,False,10.0,20.0,1,left,K. George cutting DUNK (2 PTS) (A. Sarr 1 AST),"[1642273, 1642259]",1610612764.0,WAS,cutting,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,2.22,Made,,,,,,,,2.0,,,A. Sarr,1642259.0,1.0,,
36,PT09M24.00S,2025-10-25T00:44:24.2Z,1,REGULAR,turnover,3-second-violation,[],1641726,,,1610612742,5,4,2025-10-25T00:44:34Z,360000,False,,,0,,D. Lively II 3-second-violation TURNOVER (2 TO),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,204059.0,,,,,,,,,,
37,PT09M14.00S,2025-10-25T00:44:45.4Z,1,REGULAR,turnover,lost ball,[],1642259,,,1610612764,5,4,2025-10-25T00:44:51Z,370000,False,,,0,,A. Sarr lost ball TURNOVER (1 TO),"[1642259, 1641726]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,1.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,
38,PT09M14.00S,2025-10-25T00:44:45.4Z,1,REGULAR,steal,,[],1641726,,,1610612742,5,4,2025-10-25T00:44:47Z,380000,False,,,0,,D. Lively II STEAL (1 STL),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M06.00S,2025-10-25T00:44:53.4Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612742,5,4,2025-10-25T00:44:57Z,390000,False,,,0,,A. Davis lost ball TURNOVER (1 TO),"[203076, 1642267]",1610612742.0,DAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,1.0,Carrington,1642267.0,,,,,,,,,,,,,,,,,
40,PT09M06.00S,2025-10-25T00:44:53.4Z,1,REGULAR,steal,,[],1642267,,,1610612764,5,4,2025-10-25T00:44:54Z,400000,False,,,0,,B. Carrington STEAL (1 STL),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
41,PT09M02.00S,2025-10-25T00:44:57.0Z,1,REGULAR,foul,personal,['3freethrow'],203076,,,1610612764,5,4,2025-10-25T00:45:06Z,410000,False,,,0,,A. Davis shooting personal FOUL (1 PF) (Carrington 3 FT),"[203076, 1642267]",1610612742.0,DAL,shooting,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,204059.0,1.0,0.0,,Carrington,1642267.0,,,,,
43,PT09M02.00S,2025-10-25T00:45:29.6Z,1,REGULAR,freethrow,1 of 3,"['fromturnover', 'fastbreak']",1642267,,,1610612764,5,4,2025-10-25T00:45:29Z,430000,False,,,0,,MISS B. Carrington Free Throw 1 of 3,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
44,PT09M02.00S,2025-10-25T00:45:29.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,5,4,2025-10-25T00:45:29Z,440000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,
45,PT09M02.00S,2025-10-25T00:45:44.5Z,1,REGULAR,freethrow,2 of 3,"['fastbreak', 'fromturnover']",1642267,,,1610612764,5,4,2025-10-25T00:45:44Z,450000,False,,,0,,MISS B. Carrington Free Throw 2 of 3,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
46,PT09M02.00S,2025-10-25T00:45:44.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,5,4,2025-10-25T00:45:44Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,
47,PT09M02.00S,2025-10-25T00:45:59.3Z,1,REGULAR,freethrow,3 of 3,"['fastbreak', 'fromturnover']",1642267,,,1610612764,5,5,2025-10-25T00:45:59Z,470000,False,,,0,,B. Carrington Free Throw 3 of 3 (1 PTS),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,Made,,,,,,,,1.0,,,,,,,
48,PT08M52.00S,2025-10-25T00:46:10.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,93.11760840998686,50.0,1610612742,7,5,2025-10-25T00:46:15Z,480000,False,0.0,12.0,1,right,D. Lively II alley-oop DUNK (2 PTS) (C. Flagg 1 AST),"[1641726, 1642843]",1610612742.0,DAL,alley-oop,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,1.22,Made,,,,,,,,2.0,,,C. Flagg,1642843.0,1.0,,
50,PT08M41.00S,2025-10-25T00:46:21.4Z,1,REGULAR,3pt,Jump Shot,[],1642259,23.47240473061761,85.7843137254902,1610612764,7,5,2025-10-25T00:46:26Z,500000,False,-179.0,168.0,1,left,MISS A. Sarr 24' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,24.55,Missed,,,,,,,,,,,,,,,
51,PT08M39.00S,2025-10-25T00:46:23.4Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,7,5,2025-10-25T00:46:26Z,510000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,
52,PT08M26.00S,2025-10-25T00:46:38.0Z,1,REGULAR,turnover,out-of-bounds,[],1629023,,,1610612742,7,5,2025-10-25T00:46:43Z,520000,False,,,0,,P. Washington bad pass out-of-bounds TURNOVER (1 TO),[1629023],1610612742.0,DAL,bad pass,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,201245.0,,,,,,,,,,
53,PT08M10.00S,2025-10-25T00:47:01.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642267,18.347568988173457,19.607843137254903,1610612764,7,5,2025-10-25T00:47:05Z,530000,False,152.0,120.0,1,left,MISS B. Carrington 19' pullup Shot,[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Right Center,,,,19.37,Missed,,,,,,,,,,,,,,,
54,PT08M07.00S,2025-10-25T00:47:04.2Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,7,5,2025-10-25T00:47:05Z,540000,False,,,0,,D. Lively II REBOUND (Off:1 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,16-24 Right Center,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,
55,PT08M02.00S,2025-10-25T00:47:08.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642843,74.72076215505913,85.5392156862745,1610612742,10,5,2025-10-25T00:47:21Z,550000,False,178.0,185.0,1,right,C. Flagg 25' 3PT running pullup (3 PTS),[1642843],1610612742.0,DAL,running pullup,,,Flagg,C. Flagg,,,,,Above the Break 3,24+ Right Center,,,,25.66,Made,,,,,,,,3.0,,,,,,,
56,PT07M45.00S,2025-10-25T00:47:25.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642259,12.040078843626807,45.09803921568628,1610612764,10,5,2025-10-25T00:47:31Z,560000,False,25.0,61.0,1,left,MISS A. Sarr 6' driving bank Hook,[1642259],1610612764.0,WAS,driving bank,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,6.55,Missed,,,,,,,,,,,,,,,
57,PT07M44.00S,2025-10-25T00:47:26.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,10,5,2025-10-25T00:47:31Z,570000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,
58,PT07M41.00S,2025-10-25T00:47:31.4Z,1,REGULAR,foul,personal,[],203114,,,1610612742,10,5,2025-10-25T00:47:41Z,580000,False,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 1642843]",1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1628485.0,1.0,0.0,,Flagg,1642843.0,,,,,
60,PT07M41.00S,2025-10-25T00:47:38.9Z,1,REGULAR,substitution,out,[],1641726,,,1610612742,10,5,2025-10-25T00:47:42Z,600000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M41.00S,2025-10-25T00:47:38.9Z,1,REGULAR,substitution,in,[],1631108,,,1610612742,10,5,2025-10-25T00:47:42Z,610000,False,,,0,,SUB in: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M34.00S,2025-10-25T00:48:01.5Z,1,REGULAR,violation,kicked ball,[],1642267,,,1610612742,10,5,2025-10-25T00:48:06Z,620000,False,,,0,,B. Carrington kicked ball VIOLATION,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,201245.0,,,,,,,,,,
63,PT07M23.00S,2025-10-25T00:48:29.7Z,1,REGULAR,3pt,Jump Shot,[],1631108,77.21747700394218,10.784313725490197,1610612742,10,5,2025-10-25T00:48:34Z,630000,False,-196.0,162.0,1,right,MISS M. Christie 25' 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,25.42,Missed,,,,,,,,,,,,,,,
64,PT07M19.00S,2025-10-25T00:48:33.7Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,10,5,2025-10-25T00:48:34Z,640000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,
65,PT07M03.00S,2025-10-25T00:48:48.9Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612764,10,5,2025-10-25T00:48:52Z,650000,False,,,0,,C. McCollum bad pass TURNOVER (2 TO),"[203468, 1629023]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,2.0,Washington,1629023.0,,,,,,,,,,,,,,,,,
66,PT07M03.00S,2025-10-25T00:48:48.9Z,1,REGULAR,steal,,[],1629023,,,1610612742,10,5,2025-10-25T00:48:50Z,660000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
67,PT06M58.00S,2025-10-25T00:48:54.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,74.98357424441524,88.97058823529412,1610612742,13,5,2025-10-25T00:49:02Z,670000,False,195.0,183.0,1,right,K. Thompson 26' 3PT running (4 PTS) (C. Flagg 2 AST),"[202691, 1642843]",1610612742.0,DAL,running,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,26.71,Made,,,,,,,,4.0,,,C. Flagg,1642843.0,2.0,,
69,PT06M56.00S,2025-10-25T00:49:00.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,13,5,2025-10-25T00:49:00Z,690000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M41.00S,2025-10-25T00:52:26.3Z,1,REGULAR,foul,technical,['1freethrow'],203076,,,1610612764,13,5,2025-10-25T00:52:40Z,720000,False,,,0,,A. Davis defensive-3-second technical FOUL (1 Tech),[203076],1610612742.0,DAL,defensive-3-second,,,Davis,A. Davis,,,,,,,,,,,,,,,,204059.0,1.0,1.0,,,,,,,,
75,PT06M41.00S,2025-10-25T00:52:40.9Z,1,REGULAR,freethrow,1 of 1,[],203114,,,1610612764,13,5,2025-10-25T00:52:40Z,730000,False,,,0,,MISS K. Middleton technical Free Throw 1 of 1,[203114],1610612764.0,WAS,technical,,,Middleton,K. Middleton,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
76,PT06M41.00S,2025-10-25T00:52:40.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,13,5,2025-10-25T00:52:40Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,
77,PT06M36.00S,2025-10-25T00:52:58.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642259,7.30946123521682,52.450980392156865,1610612764,13,7,2025-10-25T00:53:06Z,750000,False,-12.0,16.0,1,left,A. Sarr cutting DUNK (4 PTS) (B. Carrington 1 AST),"[1642259, 1642267]",1610612764.0,WAS,cutting,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,2.03,Made,,,,,,,,4.0,,,B. Carrington,1642267.0,1.0,,
79,PT06M18.00S,2025-10-25T00:53:18.8Z,1,REGULAR,foul,personal,[],203468,,,1610612742,13,7,2025-10-25T00:53:27Z,770000,False,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 202691]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,,,,,,,,,,1628485.0,1.0,0.0,,Thompson,202691.0,,,,,
81,PT06M18.00S,2025-10-25T00:53:26.5Z,1,REGULAR,substitution,out,[],202691,,,1610612742,13,7,2025-10-25T00:53:39Z,790000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M18.00S,2025-10-25T00:53:26.5Z,1,REGULAR,substitution,out,[],1642843,,,1610612742,13,7,2025-10-25T00:53:39Z,800000,False,,,0,,SUB out: C. Flagg,[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M18.00S,2025-10-25T00:53:26.5Z,1,REGULAR,substitution,out,[],1642273,,,1610612742,13,7,2025-10-25T00:53:39Z,810000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M18.00S,2025-10-25T00:53:26.5Z,1,REGULAR,substitution,in,[],1630230,,,1610612742,13,7,2025-10-25T00:53:39Z,820000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M18.00S,2025-10-25T00:53:26.5Z,1,REGULAR,substitution,in,[],1626156,,,1610612742,13,7,2025-10-25T00:53:39Z,830000,False,,,0,,SUB in: D. Russell,[1626156],1610612742.0,DAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M18.00S,2025-10-25T00:53:26.5Z,1,REGULAR,substitution,in,[],1642848,,,1610612742,13,7,2025-10-25T00:53:39Z,840000,False,,,0,,SUB in: T. Johnson,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
