actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
541,PT11M50.00S,2026-03-19T02:21:35.4Z,4,REGULAR,freethrow,1 of 2,[],1631108,,,1610612742,83,101,2026-03-19T02:21:35Z,5350000,False,,,0,,M. Christie Free Throw 1 of 2 (12 PTS),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
542,PT11M50.00S,2026-03-19T02:21:54.2Z,4,REGULAR,freethrow,2 of 2,[],1631108,,,1610612742,84,101,2026-03-19T02:21:54Z,5360000,False,,,0,,M. Christie Free Throw 2 of 2 (13 PTS),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
543,PT11M33.00S,2026-03-19T02:22:12.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,92.64126149802891,45.71078431372549,1610612737,84,103,2026-03-19T02:22:18Z,5370000,False,-21.0,17.0,1,right,C. Kispert driving Layup (3 PTS) (J. Landale 4 AST),"[1630557, 1629111]",1610612737.0,ATL,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,2.71,Made,,,,,3.0,,,,J. Landale,1629111.0,4.0,,,,,,,
545,PT11M23.00S,2026-03-19T02:22:23.0Z,4,REGULAR,foul,personal,[],1630228,,,1610612742,84,103,2026-03-19T02:22:39Z,5390000,False,,,0,,J. Kuminga personal FOUL (2 PF),"[1630228, 1631108]",1610612737.0,ATL,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,202058.0,2.0,0.0,Christie,1631108.0,,
547,PT11M14.00S,2026-03-19T02:22:46.8Z,4,REGULAR,2pt,Hook,['pointsinthepaint'],1642843,13.222733245729303,51.71568627450981,1610612742,86,103,2026-03-19T02:22:50Z,5410000,False,-9.0,72.0,1,left,C. Flagg 7' driving Hook (13 PTS),[1642843],1610612742.0,DAL,driving,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),0-8 Center,7.23,Made,,,,,13.0,,,,,,,,,,,,,
548,PT11M03.00S,2026-03-19T02:22:58.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,93.11760840998686,47.549019607843135,1610612737,86,105,2026-03-19T02:27:13Z,5420000,False,-12.0,12.0,1,right,C. Kispert cutting Layup (5 PTS) (J. Kuminga 3 AST),"[1630557, 1630228]",1610612737.0,ATL,cutting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,5.0,,,,J. Kuminga,1630228.0,3.0,,,,,,,
550,PT10M48.00S,2026-03-19T02:23:12.6Z,4,REGULAR,3pt,Jump Shot,[],202691,31.882391590013142,37.254901960784316,1610612742,86,105,2026-03-19T02:23:16Z,5440000,False,64.0,247.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,25.53,Missed,,,,,,,,,,,,,,,,,,
551,PT10M45.00S,2026-03-19T02:23:15.6Z,4,REGULAR,rebound,defensive,[],1630228,,,1610612737,86,105,2026-03-19T02:23:16Z,5450000,False,,,0,,J. Kuminga REBOUND (Off:2 Def:3),[1630228],1610612737.0,ATL,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,,,550.0,5.0,3.0,2.0,,,,,,,,,,,,,,
552,PT10M32.00S,2026-03-19T02:23:29.0Z,4,REGULAR,3pt,Jump Shot,[],1630557,68.54467805519053,15.931372549019606,1610612737,86,105,2026-03-19T02:23:34Z,5460000,False,-170.0,243.0,1,right,MISS C. Kispert 29' 3PT,[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,29.69,Missed,,,,,,,,,,,,,,,,,,
553,PT10M28.00S,2026-03-19T02:23:33.0Z,4,REGULAR,rebound,defensive,[],1628963,,,1610612742,86,105,2026-03-19T02:23:34Z,5470000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:3),[1628963],1610612742.0,DAL,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Left Center,,,552.0,3.0,3.0,0.0,,,,,,,,,,,,,,
554,PT10M10.00S,2026-03-19T02:23:50.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1642843,8.754927726675426,53.18627450980392,1610612742,86,105,2026-03-19T02:23:55Z,5480000,False,-16.0,30.0,1,left,MISS C. Flagg driving Layup,[1642843],1610612742.0,DAL,driving,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,,,,,,,,,,,,,,
555,PT10M09.00S,2026-03-19T02:23:51.1Z,4,REGULAR,rebound,defensive,[],1642258,,,1610612737,86,105,2026-03-19T02:23:55Z,5490000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:6),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,554.0,6.0,6.0,0.0,,,,,,,,,,,,,,
556,PT10M04.00S,2026-03-19T02:23:56.9Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642258,93.24901445466492,46.07843137254902,1610612737,86,105,2026-03-19T02:24:01Z,5500000,False,-20.0,11.0,1,right,MISS Z. Risacher running Layup,[1642258],1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
