actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M38.00S,2026-01-16T01:42:47.9Z,1,REGULAR,block,,[],203939,,,1610612762,2,4,2026-01-16T01:42:50Z,190000,False,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2026-01-16T01:42:49.9Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612742,2,4,2026-01-16T01:42:51Z,200000,False,,,0,,B. Williams REBOUND (Off:0 Def:1),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,18.0,,,1.0,1.0,0.0,,,,,
21,PT10M31.00S,2026-01-16T01:42:55.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628997,5.995400788436268,51.225490196078425,1610612742,4,4,2026-01-16T01:45:54Z,210000,False,-6.0,4.0,1,left,C. Martin running Layup (2 PTS) (B. Williams 1 AST),"[1628997, 1630314]",1610612742.0,DAL,running,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,0.72,Made,2.0,B. Williams,1630314.0,1.0,,,,,,,,,,,
23,PT10M17.00S,2026-01-16T01:43:09.1Z,1,REGULAR,3pt,Jump Shot,[],1642268,69.59592641261499,26.715686274509803,1610612762,4,4,2026-01-16T01:43:12Z,230000,False,-116.0,233.0,1,right,MISS I. Collier 26' 3PT,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,,26.07,Missed,,,,,,,,,,,,,,,
24,PT10M15.00S,2026-01-16T01:43:11.1Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,4,4,2026-01-16T01:43:12Z,240000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,23.0,,,1.0,1.0,0.0,,,,,
25,PT10M08.00S,2026-01-16T01:43:20.4Z,1,REGULAR,foul,personal,['2freethrow'],1642271,,,1610612742,4,4,2026-01-16T01:43:28Z,250000,False,,,0,,K. Filipowski shooting personal FOUL (1 PF) (Williams 2 FT),"[1642271, 1630314]",1610612762.0,UTA,shooting,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Williams,1630314.0
27,PT10M08.00S,2026-01-16T01:43:50.6Z,1,REGULAR,freethrow,1 of 2,[],1630314,,,1610612742,5,4,2026-01-16T01:43:50Z,270000,False,,,0,,B. Williams Free Throw 1 of 2 (1 PTS),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
28,PT10M08.00S,2026-01-16T01:44:15.1Z,1,REGULAR,freethrow,2 of 2,[],1630314,,,1610612742,6,4,2026-01-16T01:44:15Z,280000,False,,,0,,B. Williams Free Throw 2 of 2 (2 PTS),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
29,PT09M50.00S,2026-01-16T01:44:40.1Z,1,REGULAR,3pt,Jump Shot,[],1641718,67.23061760840999,34.31372549019608,1610612762,6,4,2026-01-16T01:44:44Z,290000,False,-78.0,256.0,1,right,MISS K. George 26' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,26.73,Missed,,,,,,,,,,,,,,,
30,PT09M48.00S,2026-01-16T01:44:42.1Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612742,6,4,2026-01-16T01:44:44Z,300000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,,,,,,29.0,,,1.0,1.0,0.0,,,,,
31,PT09M42.00S,2026-01-16T01:44:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,7.835085413929041,42.15686274509804,1610612742,6,4,2026-01-16T01:48:04Z,310000,False,39.0,21.0,1,left,MISS C. Martin driving Layup - blocked,"[1628997, 1642846]",1610612742.0,DAL,driving,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,4.45,Missed,,,,,,Bailey,1642846.0,,,,,,,,
32,PT09M42.00S,2026-01-16T01:44:48.9Z,1,REGULAR,block,,[],1642846,,,1610612742,6,4,2026-01-16T01:44:51Z,320000,False,,,0,,A. Bailey BLOCK (1 BLK),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M42.00S,2026-01-16T01:44:48.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,6,4,2026-01-16T01:44:52Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,31.0,,,,,,,,,,
35,PT09M31.00S,2026-01-16T01:45:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,93.77463863337714,51.225490196078425,1610612762,6,6,2026-01-16T01:45:14Z,350000,False,6.0,6.0,1,right,K. George driving Layup (2 PTS) (A. Bailey 1 AST),"[1641718, 1642846]",1610612762.0,UTA,driving,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,0.86,Made,2.0,A. Bailey,1642846.0,1.0,,,,,,,,,,,
37,PT09M23.00S,2026-01-16T01:45:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,6.915243101182654,54.166666666666664,1610612742,6,6,2026-01-16T01:45:31Z,370000,False,-21.0,13.0,1,left,MISS D. Powell driving Layup - blocked,"[203939, 1642846]",1610612742.0,DAL,driving,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,2.43,Missed,,,,,,Bailey,1642846.0,,,,,,,,
38,PT09M23.00S,2026-01-16T01:45:21.8Z,1,REGULAR,block,,[],1642846,,,1610612742,6,6,2026-01-16T01:45:24Z,380000,False,,,0,,A. Bailey BLOCK (2 BLK),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M22.00S,2026-01-16T01:45:22.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,6,6,2026-01-16T01:45:31Z,390000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,37.0,,,,,,,,,,
41,PT09M13.00S,2026-01-16T01:45:37.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642846,94.30026281208936,49.754901960784316,1610612762,6,8,2026-01-16T01:45:40Z,410000,False,-1.0,1.0,1,right,A. Bailey alley-oop DUNK (4 PTS) (I. Collier 2 AST),"[1642846, 1642268]",1610612762.0,UTA,alley-oop,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,0.16,Made,4.0,I. Collier,1642268.0,2.0,,,,,,,,,,,
43,PT08M58.00S,2026-01-16T01:45:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630314,8.360709592641262,43.872549019607845,1610612742,8,8,2026-01-16T01:45:55Z,430000,False,31.0,26.0,1,left,B. Williams driving finger roll Layup (4 PTS),[1630314],1610612742.0,DAL,driving finger roll,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,4.02,Made,4.0,,,,,,,,,,,,,,
44,PT08M42.00S,2026-01-16T01:46:07.6Z,1,REGULAR,3pt,Jump Shot,[],1642271,69.59592641261499,25.735294117647058,1610612762,8,8,2026-01-16T01:46:10Z,440000,False,-121.0,233.0,1,right,MISS K. Filipowski 26' 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Left Center,,,,26.29,Missed,,,,,,,,,,,,,,,
45,PT08M40.00S,2026-01-16T01:46:09.6Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612742,8,8,2026-01-16T01:46:10Z,450000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,44.0,,,2.0,2.0,0.0,,,,,
46,PT08M36.00S,2026-01-16T01:46:16.8Z,1,REGULAR,foul,personal,['2freethrow'],1642846,,,1610612742,8,8,2026-01-16T01:46:28Z,460000,False,,,0,,A. Bailey shooting personal FOUL (1 PF) (Marshall 2 FT),"[1642846, 1630230]",1610612762.0,UTA,shooting,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627526.0,1.0,0.0,Marshall,1630230.0
48,PT08M36.00S,2026-01-16T01:46:39.6Z,1,REGULAR,freethrow,1 of 2,[],1630230,,,1610612742,9,8,2026-01-16T01:51:52Z,480000,False,,,0,,N. Marshall Free Throw 1 of 2 (1 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
49,PT08M36.00S,2026-01-16T01:46:46.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,9,8,2026-01-16T01:46:46Z,490000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M36.00S,2026-01-16T01:46:39.6Z,1,REGULAR,freethrow,2 of 2,[],1630230,,,1610612742,10,8,2026-01-16T01:51:52Z,500000,False,,,0,,N. Marshall Free Throw 2 of 2 (2 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
51,PT08M21.00S,2026-01-16T01:50:06.5Z,1,REGULAR,2pt,Jump Shot,[],1642846,90.40735873850197,31.395526960784316,1610612762,10,8,2026-01-16T01:50:11Z,510000,False,-93.0,38.0,1,right,MISS A. Bailey 10' turnaround Shot,[1642846],1610612762.0,UTA,turnaround,,,Bailey,A. Bailey,,,,,Mid-Range,8-16 Left,,,,10.04,Missed,,,,,,,,,,,,,,,
52,PT08M19.00S,2026-01-16T01:50:08.5Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,10,8,2026-01-16T01:50:11Z,520000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Left,,,,,,,,,,51.0,,,1.0,1.0,0.0,,,,,
53,PT08M16.00S,2026-01-16T01:50:14.5Z,1,REGULAR,foul,personal,['2freethrow'],1642262,,,1610612742,10,8,2026-01-16T01:50:39Z,530000,False,,,0,,C. Williams shooting personal FOUL (1 PF) (Williams 2 FT),"[1642262, 1630314]",1610612762.0,UTA,shooting,,,Williams,C. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Williams,1630314.0
55,PT08M16.00S,2026-01-16T01:50:43.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630314,,,1610612742,10,8,2026-01-16T01:50:43Z,550000,False,,,0,,MISS B. Williams Free Throw 1 of 2,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
56,PT08M16.00S,2026-01-16T01:50:43.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,10,8,2026-01-16T01:50:43Z,560000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,
57,PT08M16.00S,2026-01-16T01:51:01.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630314,,,1610612742,11,8,2026-01-16T01:51:01Z,570000,False,,,0,,B. Williams Free Throw 2 of 2 (5 PTS),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
58,PT08M04.00S,2026-01-16T01:51:13.6Z,1,REGULAR,2pt,Jump Shot,[],1642846,76.42904073587385,38.48039215686275,1610612762,11,8,2026-01-16T01:51:17Z,580000,False,-58.0,169.0,1,right,MISS A. Bailey 17' pullup Shot,[1642846],1610612762.0,UTA,pullup,,,Bailey,A. Bailey,,,,,Mid-Range,16-24 Left Center,,,,17.86,Missed,,,,,,,,,,,,,,,
59,PT08M00.00S,2026-01-16T01:51:16.6Z,1,REGULAR,rebound,offensive,[],1641718,,,1610612762,11,8,2026-01-16T01:51:16Z,590000,False,,,0,,K. George REBOUND (Off:1 Def:0),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,58.0,,,1.0,0.0,1.0,,,,,
60,PT08M00.00S,2026-01-16T01:51:17.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1641718,92.9862023653088,69.6078431372549,1610612762,11,10,2026-01-16T01:51:25Z,600000,False,98.0,13.0,1,right,K. George 9' bank Jump Shot (4 PTS),[1641718],1610612762.0,UTA,bank,,,George,K. George,,,,,Mid-Range,8-16 Right,,,,9.89,Made,4.0,,,,,,,,,,,,,,
61,PT07M40.00S,2026-01-16T01:51:36.7Z,1,REGULAR,3pt,Jump Shot,[],1630702,3.630091984231275,95.83333333333334,1610612742,11,10,2026-01-16T01:51:39Z,610000,False,-229.0,-18.0,1,left,MISS J. Hardy 3PT,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Left Corner 3,24+ Left,,,,22.99,Missed,,,,,,,,,,,,,,,
62,PT07M39.00S,2026-01-16T01:51:37.7Z,1,REGULAR,rebound,defensive,[],1642262,,,1610612762,11,10,2026-01-16T01:51:39Z,620000,False,,,0,,C. Williams REBOUND (Off:0 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,61.0,,,1.0,1.0,0.0,,,,,
63,PT07M34.00S,2026-01-16T01:51:46.9Z,1,REGULAR,foul,personal,[],1628997,,,1610612762,11,10,2026-01-16T01:52:17Z,630000,False,,,0,,C. Martin personal FOUL (1 PF),"[1628997, 1641718]",1610612742.0,DAL,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,1151.0,1.0,0.0,George,1641718.0
65,PT07M29.00S,2026-01-16T01:52:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,88.38699080157687,51.225490196078425,1610612762,11,10,2026-01-16T01:52:24Z,650000,False,6.0,57.0,1,right,MISS K. Filipowski floating Shot,[1642271],1610612762.0,UTA,floating,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,5.7,Missed,,,,,,,,,,,,,,,
66,PT07M27.00S,2026-01-16T01:52:17.2Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,11,10,2026-01-16T01:52:17Z,660000,False,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,65.0,,,2.0,2.0,0.0,,,,,
67,PT07M18.00S,2026-01-16T01:52:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,13.534822601839686,45.74142156862745,1610612742,13,10,2026-01-16T01:52:41Z,670000,False,21.0,75.0,1,left,N. Marshall 7' pullup Jump Shot (4 PTS) (J. Hardy 1 AST),"[1630230, 1630702]",1610612742.0,DAL,pullup,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,7.77,Made,4.0,J. Hardy,1630702.0,1.0,,,,,,,,,,,
69,PT07M07.00S,2026-01-16T01:52:38.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642262,88.78120893561103,52.450980392156865,1610612762,13,12,2026-01-16T01:52:50Z,690000,False,12.0,53.0,1,right,C. Williams driving floating Jump Shot (2 PTS) (I. Collier 3 AST),"[1642262, 1642268]",1610612762.0,UTA,driving floating,,,Williams,C. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,5.44,Made,2.0,I. Collier,1642268.0,3.0,,,,,,,,,,,
71,PT06M44.00S,2026-01-16T01:53:01.0Z,1,REGULAR,turnover,bad pass,[],1630314,,,1610612742,13,12,2026-01-16T01:53:04Z,710000,False,,,0,,B. Williams bad pass TURNOVER (2 TO),"[1630314, 1642846]",1610612742.0,DAL,,,,Williams,B. Williams,,,,,In The Paint (Non-RA),8-16 Center,2.0,Bailey,1642846.0,,,,,,,,,,,,,,,,,
72,PT06M44.00S,2026-01-16T01:53:01.0Z,1,REGULAR,steal,,[],1642846,,,1610612762,13,12,2026-01-16T01:55:32Z,720000,False,,,0,,A. Bailey STEAL (2 STL),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
73,PT06M37.00S,2026-01-16T01:53:07.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1641718,74.58935611038108,83.82352941176471,1610612762,13,12,2026-01-16T01:53:15Z,730000,False,169.0,186.0,1,right,MISS K. George 25' running 3PT,[1641718],1610612762.0,UTA,running,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,25.17,Missed,,,,,,,,,,,,,,,
74,PT06M34.00S,2026-01-16T01:53:10.4Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,13,12,2026-01-16T01:53:15Z,740000,False,,,0,,N. Marshall REBOUND (Off:0 Def:2),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,73.0,,,2.0,2.0,0.0,,,,,
75,PT06M26.00S,2026-01-16T01:53:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,5.863994743758213,52.20588235294118,1610612742,15,12,2026-01-16T01:53:22Z,750000,False,-11.0,3.0,1,left,D. Powell driving reverse Layup (4 PTS) (N. Marshall 2 AST),"[203939, 1630230]",1610612742.0,DAL,driving reverse,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,1.13,Made,4.0,N. Marshall,1630230.0,2.0,,,,,,,,,,,
77,PT06M05.00S,2026-01-16T01:53:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642268,92.85479632063075,50.49019607843137,1610612762,15,12,2026-01-16T01:53:44Z,770000,False,2.0,15.0,1,right,MISS I. Collier driving Layup,[1642268],1610612762.0,UTA,driving,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,1.49,Missed,,,,,,,,,,,,,,,
78,PT06M04.00S,2026-01-16T01:53:40.6Z,1,REGULAR,rebound,offensive,[],1642268,,,1610612762,15,12,2026-01-16T01:53:44Z,780000,False,,,0,,I. Collier REBOUND (Off:1 Def:0),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,,,,77.0,,,1.0,0.0,1.0,,,,,
79,PT06M02.00S,2026-01-16T01:53:42.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642262,90.3580814717477,50.0,1610612762,15,14,2026-01-16T01:58:45Z,790000,False,0.0,38.0,1,right,C. Williams Layup (4 PTS) (I. Collier 4 AST),"[1642262, 1642268]",1610612762.0,UTA,,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,3.81,Made,4.0,I. Collier,1642268.0,4.0,,,,,,,,,,,
81,PT05M50.00S,2026-01-16T01:53:54.1Z,1,REGULAR,3pt,Jump Shot,[],1630314,5.995400788436268,94.11764705882352,1610612742,15,14,2026-01-16T01:54:13Z,810000,False,-221.0,4.0,1,left,MISS B. Williams 3PT,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,Left Corner 3,24+ Left,,,,22.06,Missed,,,,,,,,,,,,,,,
82,PT05M48.00S,2026-01-16T01:53:56.1Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,15,14,2026-01-16T01:54:13Z,820000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Left Corner 3,24+ Left,,,,,,,,,,81.0,,,1.0,1.0,0.0,,,,,
83,PT05M44.00S,2026-01-16T01:54:01.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642262,93.77463863337714,51.71568627450981,1610612762,15,16,2026-01-16T01:59:33Z,830000,False,9.0,6.0,1,right,C. Williams running alley-oop Layup (6 PTS) (I. Collier 5 AST),"[1642262, 1642268]",1610612762.0,UTA,running alley-oop,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,1.05,Made,6.0,I. Collier,1642268.0,5.0,,,,,,,,,,,
85,PT05M44.00S,2026-01-16T01:54:06.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,15,16,2026-01-16T01:54:06Z,850000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,out,[],1630314,,,1610612742,15,16,2026-01-16T01:57:00Z,860000,False,,,0,,SUB out: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,out,[],1630702,,,1610612742,15,16,2026-01-16T01:57:00Z,870000,False,,,0,,SUB out: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M44.00S,2026-01-16T01:54:08.5Z,1,REGULAR,substitution,out,[],203939,,,1610612742,15,16,2026-01-16T01:57:00Z,880000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
