actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
41,PT08M15.00S,2024-03-24T00:16:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,92.06636005256242,60.78431372549019,1610612759,6,7,2024-03-24T00:16:17Z,410000,False,54.0,22.0,1,right,V. Wembanyama driving Layup (6 PTS) (T. Jones 1 AST),"[1641705, 1630200]",1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,5.83,Made,,,,,6.0,,,T. Jones,1630200.0,1.0,,,,,,
44,PT08M00.00S,2024-03-24T00:16:24.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,8.886333771353483,54.65686274509803,1610612756,6,9,2024-03-24T00:16:31Z,430000,False,-23.0,31.0,1,left,J. Nurkic turnaround Hook (2 PTS) (K. Durant 1 AST),"[203994, 201142]",1610612756.0,PHX,turnaround,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,3.88,Made,,,,,2.0,,,K. Durant,201142.0,1.0,,,,,,
46,PT07M50.00S,2024-03-24T00:16:35.0Z,1,REGULAR,3pt,Jump Shot,[],1641705,78.13731931668858,89.70588235294117,1610612759,6,9,2024-03-24T00:16:40Z,450000,False,199.0,153.0,1,right,MISS V. Wembanyama 25' step back 3PT,[1641705],1610612759.0,SAS,step back,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,25.06,Missed,,,,,,,,,,,,,,,,
47,PT07M45.00S,2024-03-24T00:16:40.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,6,9,2024-03-24T00:16:40Z,460000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,
48,PT07M27.00S,2024-03-24T00:16:58.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,20.45006570302234,76.7156862745098,1610612756,6,9,2024-03-24T00:17:17Z,470000,False,-134.0,140.0,1,left,MISS D. Booker 19' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,,,19.33,Missed,,,,,,,,,,,,,,,,
49,PT07M24.00S,2024-03-24T00:17:01.2Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,6,9,2024-03-24T00:17:17Z,480000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Left Center,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,
50,PT07M23.00S,2024-03-24T00:17:05.1Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612759,6,9,2024-03-24T00:17:36Z,490000,False,,,0,,G. Allen shooting personal FOUL (1 PF) (Jones 2 FT),"[1628960, 1630200]",1610612756.0,PHX,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,201246.0,,,,,,,,,,,,,,,,1.0,0.0,Jones,1630200.0
52,PT07M23.00S,2024-03-24T00:17:37.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630200,,,1610612759,7,9,2024-03-24T00:17:37Z,510000,False,,,0,,T. Jones Free Throw 1 of 2 (1 PTS),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
53,PT07M23.00S,2024-03-24T00:17:38.4Z,1,REGULAR,substitution,out,[],1641705,,,1610612759,7,9,2024-03-24T00:17:46Z,520000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M23.00S,2024-03-24T00:17:38.4Z,1,REGULAR,substitution,in,[],1628380,,,1610612759,7,9,2024-03-24T00:17:46Z,530000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M23.00S,2024-03-24T00:17:55.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630200,,,1610612759,8,9,2024-03-24T00:17:55Z,540000,False,,,0,,T. Jones Free Throw 2 of 2 (2 PTS),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
56,PT07M10.00S,2024-03-24T00:18:13.5Z,1,REGULAR,2pt,Jump Shot,[],201142,21.107095926412615,54.65686274509803,1610612756,8,11,2024-03-24T00:18:19Z,550000,False,-23.0,146.0,1,left,K. Durant 14' Jump Shot (2 PTS) (B. Beal 1 AST),"[201142, 203078]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,,,14.77,Made,,,,,2.0,,,B. Beal,203078.0,1.0,,,,,,
58,PT06M53.00S,2024-03-24T00:18:29.6Z,1,REGULAR,3pt,Jump Shot,[],1631110,80.23981603153744,6.862745098039216,1610612759,8,11,2024-03-24T00:18:35Z,570000,False,-216.0,133.0,1,right,MISS J. Sochan 25' 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,,,25.35,Missed,,,,,,,,,,,,,,,,
59,PT06M50.00S,2024-03-24T00:18:32.6Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,8,11,2024-03-24T00:18:35Z,580000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,
60,PT06M46.00S,2024-03-24T00:18:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201142,6.258212877792378,47.549019607843135,1610612756,8,13,2024-03-24T00:18:51Z,590000,False,12.0,6.0,1,left,K. Durant running Layup (4 PTS) (B. Beal 2 AST),"[201142, 203078]",1610612756.0,PHX,running,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,1.38,Made,,,,,4.0,,,B. Beal,203078.0,2.0,,,,,,
62,PT06M46.00S,2024-03-24T00:18:52.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,8,13,2024-03-24T00:18:52Z,610000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2024-03-24T00:21:19.0Z,1,REGULAR,substitution,out,[],1630577,,,1610612759,8,13,2024-03-24T00:21:35Z,620000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M46.00S,2024-03-24T00:21:19.0Z,1,REGULAR,substitution,in,[],1629640,,,1610612759,8,13,2024-03-24T00:21:35Z,630000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M21.00S,2024-03-24T00:22:10.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,92.72339027595268,4.6568627450980395,1610612759,8,13,2024-03-24T00:22:17Z,640000,False,-227.0,16.0,1,right,MISS K. Johnson 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,22.73,Missed,,,,,,,,,,,,,,,,
66,PT06M20.00S,2024-03-24T00:22:14.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,8,13,2024-03-24T00:22:14Z,650000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Left Corner 3,24+ Left,,,,,65.0,,,,,,,,,,,,,,,
68,PT06M09.00S,2024-03-24T00:22:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,12.697109067017081,49.50980392156863,1610612756,8,15,2024-03-24T00:23:37Z,670000,False,2.0,67.0,1,left,K. Durant 6' turnaround fadeaway Jump Shot (6 PTS) (B. Beal 3 AST),"[201142, 203078]",1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,6.69,Made,,,,,6.0,,,B. Beal,203078.0,3.0,,,,,,
69,PT05M53.00S,2024-03-24T00:22:44.5Z,1,REGULAR,3pt,Jump Shot,[],1630200,72.7496714848883,15.931372549019606,1610612759,8,15,2024-03-24T00:22:54Z,680000,False,-170.0,204.0,1,right,MISS T. Jones 26' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,26.55,Missed,,,,,,,,,,,,,,,,
70,PT05M53.00S,2024-03-24T00:22:44.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,8,15,2024-03-24T00:22:54Z,690000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,,,,,69.0,3.0,3.0,0.0,,,,,,,,,,,,
