actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId
17,PT10M39.00S,2023-10-28T00:12:07.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,2,2,2023-10-28T00:12:13Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,15.0,,,,,,,,,,,,,,
19,PT10M38.00S,2023-10-28T00:12:24.6Z,1,REGULAR,turnover,traveling,[],1630224,,,1610612745,2,2,2023-10-28T00:12:41Z,190000,False,,,0,,J. Green traveling TURNOVER (1 TO),[1630224],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Right,,,,Green,J. Green,,,,,,,,,,101283.0,1.0,,,,,,,
20,PT10M20.00S,2023-10-28T00:12:52.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630170,20.844283837056505,33.088235294117645,1610612759,2,2,2023-10-28T00:13:00Z,200000,False,85.0,143.0,1,left,MISS D. Vassell 16' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,,,,Mid-Range,16-24 Right Center,16.65,Missed,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,
21,PT10M14.00S,2023-10-28T00:12:58.5Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,2,2,2023-10-28T00:13:00Z,210000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:0),[1641705],1610612759.0,SAS,,,,,,,Mid-Range,16-24 Right Center,,,,Wembanyama,V. Wembanyama,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,
22,PT10M14.00S,2023-10-28T00:12:58.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641705,5.590000152587891,50.0,1610612759,2,2,2023-10-28T00:12:58Z,220000,False,0.0,0.0,1,left,MISS V. Wembanyama tip Layup,[1641705],1610612759.0,SAS,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
23,PT10M14.00S,2023-10-28T00:12:59.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,2,2023-10-28T00:12:59Z,230000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,,,,Mid-Range,8-16 Left,,,,Sengun,A. Sengun,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,
24,PT10M12.00S,2023-10-28T00:13:02.9Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612745,2,2,2023-10-28T00:13:14Z,240000,False,,,0,,D. Brooks bad pass out-of-bounds TURNOVER (1 TO),[1628415],1610612745.0,HOU,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,,,,Brooks,D. Brooks,,,,,,,,,,101283.0,1.0,,,,,,,
25,PT09M55.00S,2023-10-28T00:13:26.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641705,7.178055190538765,70.58823529411765,1610612759,2,2,2023-10-28T00:13:35Z,250000,False,-103.0,15.0,1,left,MISS V. Wembanyama 10' fadeaway Shot,[1641705],1610612759.0,SAS,fadeaway,,,,,,Mid-Range,8-16 Left,10.4,Missed,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
26,PT09M52.00S,2023-10-28T00:13:29.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,2,2023-10-28T00:13:35Z,260000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,,,,Mid-Range,8-16 Left,,,,Sengun,A. Sengun,,,,25.0,3.0,2.0,1.0,,,,,,,,,,,
27,PT09M48.00S,2023-10-28T00:13:32.8Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,2,2,2023-10-28T00:13:41Z,270000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1631110]",1610612745.0,HOU,,,,,,,Mid-Range,8-16 Left,,,,Sengun,A. Sengun,,,,,,,,,,,1.0,Sochan,1631110.0,,,,,
28,PT09M48.00S,2023-10-28T00:13:32.8Z,1,REGULAR,steal,,[],1631110,,,1610612759,2,2,2023-10-28T00:13:34Z,280000,False,,,0,,J. Sochan STEAL (1 STL),[1631110],1610612759.0,SAS,,,,,,,Mid-Range,8-16 Left,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
29,PT09M42.00S,2023-10-28T00:13:39.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641705,7.5722733245729295,51.225490196078425,1610612759,4,2,2023-10-28T00:13:49Z,290000,False,-6.0,19.0,1,left,V. Wembanyama alley-oop DUNK (4 PTS) (K. Johnson 1 AST),"[1641705, 1629640]",1610612759.0,SAS,alley-oop,,,,,,Restricted Area,0-8 Center,1.97,Made,4.0,Wembanyama,V. Wembanyama,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,,
31,PT09M41.00S,2023-10-28T00:13:47.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,4,2,2023-10-28T00:13:47Z,310000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M30.00S,2023-10-28T00:16:43.9Z,1,REGULAR,2pt,Jump Shot,[],1631095,81.15965834428384,72.54901960784314,1610612745,4,2,2023-10-28T00:16:47Z,320000,False,113.0,125.0,1,right,MISS J. Smith Jr. 16' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Right Center,16.8,Missed,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
34,PT09M28.00S,2023-10-28T00:16:45.9Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,4,2,2023-10-28T00:16:47Z,330000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,,,,Mid-Range,16-24 Right Center,,,,Sochan,J. Sochan,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
35,PT09M24.00S,2023-10-28T00:16:50.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,31.750985545335087,71.32352941176471,1610612759,4,2,2023-10-28T00:18:16Z,340000,False,-107.0,246.0,1,left,MISS V. Wembanyama 26' running pullup 3PT,[1641705],1610612759.0,SAS,running pullup,,,,,,Above the Break 3,24+ Left Center,26.81,Missed,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
36,PT09M21.00S,2023-10-28T00:16:53.1Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,4,2,2023-10-28T00:16:55Z,350000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,,Brooks,D. Brooks,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,
37,PT09M12.00S,2023-10-28T00:17:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,82.21090670170827,62.00980392156863,1610612745,4,4,2023-10-28T00:17:06Z,360000,False,60.0,115.0,1,right,D. Brooks 12' pullup Jump Shot (2 PTS) (F. VanVleet 2 AST),"[1628415, 1627832]",1610612745.0,HOU,pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.94,Made,2.0,Brooks,D. Brooks,F. VanVleet,1627832.0,2.0,,,,,,,,,,,,,,,
39,PT08M53.00S,2023-10-28T00:17:20.2Z,1,REGULAR,3pt,Jump Shot,[],1631110,25.969119579500656,12.009803921568627,1610612759,4,4,2023-10-28T00:17:25Z,380000,False,190.0,192.0,1,left,MISS J. Sochan 26' 3PT,[1631110],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,26.98,Missed,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
40,PT08M51.00S,2023-10-28T00:17:22.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,4,4,2023-10-28T00:17:25Z,390000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,Green,J. Green,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,
41,PT08M43.00S,2023-10-28T00:17:31.8Z,1,REGULAR,2pt,Jump Shot,[],1628415,82.86793692509855,87.74509803921569,1610612745,4,4,2023-10-28T00:17:38Z,400000,False,189.0,109.0,1,right,MISS D. Brooks 21' pullup Shot,[1628415],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Right,21.77,Missed,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,
42,PT08M39.00S,2023-10-28T00:17:34.7Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,4,4,2023-10-28T00:17:34Z,410000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,,,,Mid-Range,16-24 Right,,,,Collins,Z. Collins,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,
43,PT08M30.00S,2023-10-28T00:17:43.9Z,1,REGULAR,3pt,Jump Shot,[],1641705,25.969119579500656,11.76470588235294,1610612759,4,4,2023-10-28T00:17:49Z,420000,False,191.0,192.0,1,left,MISS V. Wembanyama 27' 3PT,[1641705],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,27.07,Missed,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
44,PT08M27.00S,2023-10-28T00:17:46.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,4,4,2023-10-28T00:17:49Z,430000,False,,,0,,A. Sengun REBOUND (Off:1 Def:3),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,Sengun,A. Sengun,,,,43.0,4.0,3.0,1.0,,,,,,,,,,,
45,PT08M23.00S,2023-10-28T00:17:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628415,90.09526938239159,44.6078431372549,1610612745,4,4,2023-10-28T00:21:01Z,440000,False,-27.0,41.0,1,right,MISS D. Brooks running Layup,[1628415],1610612745.0,HOU,running,,,,,,In The Paint (Non-RA),0-8 Center,4.88,Missed,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2023-10-28T00:17:52.8Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,4,4,2023-10-28T00:17:58Z,450000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Johnson,K. Johnson,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,
47,PT08M12.00S,2023-10-28T00:18:04.1Z,1,REGULAR,foul,personal,['2freethrow'],1628415,,,1610612759,4,4,2023-10-28T00:18:21Z,460000,False,,,0,,D. Brooks shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1628415, 1641705]",1610612745.0,HOU,shooting,,,,,,In The Paint (Non-RA),8-16 Left,,,,Brooks,D. Brooks,,,,,,,,,,1627526.0,,,,1.0,0.0,Wembanyama,1641705.0,
49,PT08M12.00S,2023-10-28T00:18:35.9Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,5,4,2023-10-28T00:18:56Z,480000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (5 PTS),[1641705],1610612759.0,SAS,,,,,,,,,,Made,5.0,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
50,PT08M12.00S,2023-10-28T00:18:35.9Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,5,4,2023-10-28T00:18:56Z,490000,False,,,0,,MISS V. Wembanyama Free Throw 2 of 2,[1641705],1610612759.0,SAS,,,,,,,,,,Missed,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
51,PT08M09.00S,2023-10-28T00:18:38.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,5,4,2023-10-28T00:18:56Z,500000,False,,,0,,A. Sengun REBOUND (Off:1 Def:4),[1630578],1610612745.0,HOU,,,,,,,,,,,,Sengun,A. Sengun,,,,50.0,5.0,4.0,1.0,,,,,,,,,,,
52,PT08M03.00S,2023-10-28T00:19:04.7Z,1,REGULAR,foul,personal,[],1631110,,,1610612745,5,4,2023-10-28T00:19:16Z,510000,False,,,0,,J. Sochan personal FOUL (1 PF),"[1631110, 1627832]",1610612759.0,SAS,,,,,,,Above the Break 3,24+ Left Center,,,,Sochan,J. Sochan,,,,,,,,,,101283.0,,,,1.0,0.0,VanVleet,1627832.0,
54,PT07M52.00S,2023-10-28T00:19:30.1Z,1,REGULAR,2pt,Jump Shot,[],1630224,72.7496714848883,50.98039215686274,1610612745,5,6,2023-10-28T00:19:35Z,530000,False,5.0,204.0,1,right,J. Green 20' pullup Jump Shot (2 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Center,20.38,Made,2.0,Green,J. Green,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,,
56,PT07M40.00S,2023-10-28T00:19:41.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,31.882391590013142,67.15686274509804,1610612759,5,6,2023-10-28T00:19:50Z,550000,False,-86.0,247.0,1,left,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Left Center,26.17,Missed,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,
57,PT07M37.00S,2023-10-28T00:19:45.2Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,5,6,2023-10-28T00:19:45Z,560000,False,,,0,,V. Wembanyama REBOUND (Off:2 Def:0),[1641705],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Left Center,,,,Wembanyama,V. Wembanyama,,,,56.0,2.0,0.0,2.0,,,,,,,,,,,
58,PT07M35.00S,2023-10-28T00:19:47.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1641705,6.915243101182654,22.54901960784314,1610612759,5,6,2023-10-28T00:19:56Z,570000,False,137.0,13.0,1,left,MISS V. Wembanyama 13' fadeaway Shot,[1641705],1610612759.0,SAS,fadeaway,,,,,,Mid-Range,8-16 Right,13.79,Missed,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
59,PT07M32.00S,2023-10-28T00:19:50.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,5,6,2023-10-28T00:19:56Z,580000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,,,,Mid-Range,8-16 Right,,,,Smith Jr.,J. Smith Jr.,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,
60,PT07M22.00S,2023-10-28T00:20:00.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,91.14651773981603,62.99019607843137,1610612745,5,8,2023-10-28T00:20:06Z,590000,False,65.0,31.0,1,right,A. Sengun 7' turnaround Hook (4 PTS) (F. VanVleet 3 AST),"[1630578, 1627832]",1610612745.0,HOU,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,7.19,Made,4.0,Sengun,A. Sengun,F. VanVleet,1627832.0,3.0,,,,,,,,,,,,,,,
61,PT07M05.00S,2023-10-28T00:20:17.2Z,1,REGULAR,3pt,Jump Shot,[],1630170,13.091327201051248,95.83333333333334,1610612759,5,8,2023-10-28T00:20:23Z,600000,False,-229.0,71.0,1,left,MISS D. Vassell 3PT,[1630170],1610612759.0,SAS,,,,,,,Left Corner 3,24+ Left,23.98,Missed,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,
62,PT07M02.00S,2023-10-28T00:20:20.2Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,5,8,2023-10-28T00:20:23Z,610000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,,,,Smith Jr.,J. Smith Jr.,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,
63,PT06M54.00S,2023-10-28T00:20:28.1Z,1,REGULAR,2pt,Jump Shot,[],1630224,73.27529566360053,42.40196078431372,1610612745,5,10,2023-10-28T00:20:33Z,620000,False,-38.0,199.0,1,right,J. Green 20' pullup Jump Shot (4 PTS),[1630224],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Center,20.23,Made,4.0,Green,J. Green,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2023-10-28T00:20:33.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,5,10,2023-10-28T00:20:33Z,630000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M53.00S,2023-10-28T00:20:52.9Z,1,REGULAR,substitution,out,[],1641705,,,1610612759,5,10,2023-10-28T00:23:15Z,640000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,,,,,,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
67,PT06M53.00S,2023-10-28T00:20:52.9Z,1,REGULAR,substitution,in,[],1626224,,,1610612759,5,10,2023-10-28T00:23:15Z,650000,False,,,0,,SUB in: C. Osman,[1626224],1610612759.0,SAS,,,,,,,,,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,
68,PT06M44.00S,2023-10-28T00:23:37.9Z,1,REGULAR,foul,offensive,[],1629640,,,1610612759,5,10,2023-10-28T00:24:01Z,660000,False,,,0,,K. Johnson offensive FOUL (1 PF),"[1629640, 1630578]",1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Johnson,K. Johnson,,,,,,,,,,101283.0,,,,1.0,0.0,Sengun,1630578.0,
70,PT06M44.00S,2023-10-28T00:23:37.9Z,1,REGULAR,turnover,offensive foul,[],1629640,,,1610612759,5,10,2023-10-28T00:23:37Z,680000,False,,,0,,K. Johnson offensive foul TURNOVER (1 TO),[1629640],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Johnson,K. Johnson,,,,,,,,,,101283.0,1.0,,,,,,,
71,PT06M26.00S,2023-10-28T00:24:05.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631095,67.49342969776609,71.81372549019608,1610612745,5,10,2023-10-28T00:24:09Z,690000,False,109.0,253.0,1,right,MISS J. Smith Jr. 27' 3PT,[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,27.56,Missed,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2023-10-28T00:24:09.1Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,5,10,2023-10-28T00:24:09Z,700000,False,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Collins,Z. Collins,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,
73,PT06M15.00S,2023-10-28T00:24:16.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631110,7.835085413929041,55.88235294117647,1610612759,7,10,2023-10-28T00:24:22Z,710000,False,-29.0,21.0,1,left,J. Sochan driving DUNK (2 PTS) (C. Osman 1 AST),"[1631110, 1626224]",1610612759.0,SAS,driving,,,,,,Restricted Area,0-8 Center,3.62,Made,2.0,Sochan,J. Sochan,C. Osman,1626224.0,1.0,,,,,,,,,,,,,,,
75,PT06M06.00S,2023-10-28T00:24:28.2Z,1,REGULAR,foul,offensive,[],1627832,,,1610612745,7,10,2023-10-28T00:24:45Z,730000,False,,,0,,F. VanVleet offensive FOUL (1 PF),"[1627832, 1629640]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,VanVleet,F. VanVleet,,,,,,,,,,101283.0,,,,1.0,0.0,Johnson,1629640.0,
77,PT06M06.00S,2023-10-28T00:24:28.2Z,1,REGULAR,turnover,offensive foul,[],1627832,,,1610612745,7,10,2023-10-28T00:24:28Z,750000,False,,,0,,F. VanVleet offensive foul TURNOVER (1 TO),[1627832],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,VanVleet,F. VanVleet,,,,,,,,,,101283.0,1.0,,,,,,,
78,PT05M46.00S,2023-10-28T00:24:58.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628380,6.783837056504599,58.57843137254902,1610612759,9,10,2023-10-28T00:25:11Z,760000,False,-43.0,11.0,1,left,Z. Collins bank Jump Shot (2 PTS),[1628380],1610612759.0,SAS,bank,,,,,,In The Paint (Non-RA),0-8 Center,4.44,Made,2.0,Collins,Z. Collins,,,,,,,,,,,,,,,,,,
79,PT05M26.00S,2023-10-28T00:25:18.2Z,1,REGULAR,3pt,Jump Shot,[],1628415,86.5473061760841,96.56862745098039,1610612745,9,10,2023-10-28T00:25:25Z,770000,False,233.0,74.0,1,right,MISS D. Brooks 24' 3PT,[1628415],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,24.43,Missed,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,
80,PT05M23.00S,2023-10-28T00:25:21.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,9,10,2023-10-28T00:25:25Z,780000,False,,,0,,A. Sengun REBOUND (Off:2 Def:4),[1630578],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,,Sengun,A. Sengun,,,,79.0,6.0,4.0,2.0,,,,,,,,,,,
81,PT05M20.00S,2023-10-28T00:25:25.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,88.51839684625493,51.71568627450981,1610612745,9,12,2023-10-28T00:25:30Z,790000,False,9.0,55.0,1,right,J. Smith Jr. cutting Layup (2 PTS) (A. Sengun 2 AST),"[1631095, 1630578]",1610612745.0,HOU,cutting,,,,,,In The Paint (Non-RA),0-8 Center,5.61,Made,2.0,Smith Jr.,J. Smith Jr.,A. Sengun,1630578.0,2.0,,,,,,,,,,,,,,,
