actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
50,PT08M06.00S,2024-04-07T23:16:34.1Z,1,REGULAR,3pt,Jump Shot,[],1641705,58.6892247043364,50.73529411764706,1610612759,10,9,2024-04-07T23:16:41Z,490000,False,4.0,336.0,1,right,MISS V. Wembanyama 33' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,33.58,Missed,,,,,,,,,,,,,,,,,,
51,PT08M01.00S,2024-04-07T23:16:39.1Z,1,REGULAR,rebound,defensive,[],1626166,,,1610612755,10,9,2024-04-07T23:16:41Z,500000,False,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612755.0,PHI,,,,Payne,C. Payne,,,,,Above the Break 3,24+ Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M44.00S,2024-04-07T23:16:56.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,12.040078843626807,95.58823529411765,1610612755,10,12,2024-04-07T23:17:00Z,510000,False,-228.0,61.0,1,left,K. Oubre Jr. 3PT  (5 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,23.58,Made,,,,,,,,,,,,5.0,,,,,,
53,PT07M28.00S,2024-04-07T23:17:12.9Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,10,12,2024-04-07T23:17:20Z,520000,False,,,0,,V. Wembanyama bad pass TURNOVER (2 TO),"[1641705, 1630178]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,2.0,,,,Maxey,1630178.0
54,PT07M28.00S,2024-04-07T23:17:12.9Z,1,REGULAR,steal,,[],1630178,,,1610612755,10,12,2024-04-07T23:17:14Z,530000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
55,PT07M24.00S,2024-04-07T23:17:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,6.652431011826544,54.90196078431373,1610612755,10,14,2024-04-07T23:17:28Z,540000,False,-25.0,10.0,1,left,T. Maxey running finger roll Layup (4 PTS),[1630178],1610612755.0,PHI,running finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.65,Made,,,,,,,,,,,,4.0,,,,,,
56,PT07M23.00S,2024-04-07T23:17:23.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,10,14,2024-04-07T23:17:23Z,550000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M04.00S,2024-04-07T23:20:37.0Z,1,REGULAR,turnover,bad pass,[],1630200,,,1610612759,10,14,2024-04-07T23:20:43Z,560000,False,,,0,,T. Jones bad pass TURNOVER (1 TO),"[1630200, 1626162]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,1.0,,,,Oubre Jr.,1626162.0
58,PT07M04.00S,2024-04-07T23:20:37.0Z,1,REGULAR,steal,,[],1626162,,,1610612755,10,14,2024-04-07T23:20:38Z,570000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
59,PT06M59.00S,2024-04-07T23:20:42.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626162,7.5722733245729295,46.81372549019608,1610612755,10,16,2024-04-07T23:21:09Z,580000,False,16.0,19.0,1,left,K. Oubre Jr. running Layup (7 PTS),[1626162],1610612755.0,PHI,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,,,,,,,,7.0,,,,,,
60,PT06M47.00S,2024-04-07T23:20:57.4Z,1,REGULAR,foul,personal,[],1630194,,,1610612759,10,16,2024-04-07T23:21:01Z,590000,False,,,0,,P. Reed personal FOUL (2 PF),"[1630194, 1641705]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,Mid-Range,16-24 Left Center,,,,,,,,,202026.0,2.0,0.0,Wembanyama,1641705.0,,,,,,,
62,PT06M47.00S,2024-04-07T23:21:14.1Z,1,REGULAR,substitution,out,[],1630194,,,1610612759,10,16,2024-04-07T23:21:26Z,610000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2024-04-07T23:21:14.1Z,1,REGULAR,substitution,in,[],1628964,,,1610612759,10,16,2024-04-07T23:21:26Z,620000,False,,,0,,SUB in: M. Bamba,[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M35.00S,2024-04-07T23:21:54.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641705,91.67214191852825,47.794117647058826,1610612759,12,16,2024-04-07T23:22:00Z,640000,False,-11.0,26.0,1,right,V. Wembanyama driving DUNK (6 PTS) (T. Jones 2 AST),"[1641705, 1630200]",1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,2.8,Made,,,,,,,,,,,,6.0,,T. Jones,1630200.0,2.0,,
67,PT06M22.00S,2024-04-07T23:22:07.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,6.783837056504599,55.63725490196079,1610612755,12,18,2024-04-07T23:22:12Z,660000,False,-28.0,11.0,1,left,K. Oubre Jr. cutting DUNK (9 PTS) (C. Payne 1 AST),"[1626162, 1626166]",1610612755.0,PHI,cutting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,3.04,Made,,,,,,,,,,,,9.0,,C. Payne,1626166.0,1.0,,
69,PT06M01.00S,2024-04-07T23:22:27.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,79.71419185282524,64.95098039215686,1610612759,12,18,2024-04-07T23:22:31Z,680000,False,75.0,138.0,1,right,MISS M. Branham 15' pullup Shot,[1631103],1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,15.71,Missed,,,,,,,,,,,,,,,,,,
70,PT05M59.00S,2024-04-07T23:22:29.8Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612755,12,18,2024-04-07T23:22:31Z,690000,False,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),8-16 Center,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,
71,PT05M53.00S,2024-04-07T23:22:36.5Z,1,REGULAR,2pt,Jump Shot,[],1626166,21.76412614980289,34.31372549019608,1610612755,12,18,2024-04-07T23:22:43Z,700000,False,78.0,152.0,1,left,MISS C. Payne 17' step back Shot,[1626166],1610612755.0,PHI,step back,,,Payne,C. Payne,,,,,Mid-Range,16-24 Right Center,17.11,Missed,,,,,,,,,,,,,,,,,,
72,PT05M49.00S,2024-04-07T23:22:40.5Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,12,18,2024-04-07T23:22:43Z,710000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Right Center,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,
73,PT05M37.00S,2024-04-07T23:22:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,91.27792378449409,47.30392156862745,1610612759,14,18,2024-04-07T23:22:58Z,720000,False,-13.0,29.0,1,right,T. Jones driving finger roll Layup (2 PTS),[1630200],1610612759.0,SAS,driving finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,3.24,Made,,,,,,,,,,,,2.0,,,,,,
74,PT05M22.00S,2024-04-07T23:23:07.1Z,1,REGULAR,3pt,Jump Shot,[],1628964,28.597240473061763,78.92156862745098,1610612755,14,21,2024-04-07T23:23:13Z,730000,False,-145.0,216.0,1,left,M. Bamba 26' 3PT  (3 PTS) (C. Payne 2 AST),"[1628964, 1626166]",1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Left Center,26.02,Made,,,,,,,,,,,,3.0,,C. Payne,1626166.0,2.0,,
76,PT05M10.00S,2024-04-07T23:23:21.2Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612759,14,21,2024-04-07T23:23:32Z,750000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Jones 2 FT),"[1626162, 1630200]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1628954.0,1.0,0.0,Jones,1630200.0,,,,,,,
78,PT05M10.00S,2024-04-07T23:23:46.2Z,1,REGULAR,freethrow,1 of 2,[],1630200,,,1610612759,14,21,2024-04-07T23:23:46Z,770000,False,,,0,,MISS T. Jones Free Throw 1 of 2,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
79,PT05M10.00S,2024-04-07T23:23:46.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,14,21,2024-04-07T23:23:46Z,780000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,
80,PT05M10.00S,2024-04-07T23:23:47.3Z,1,REGULAR,substitution,out,[],1629640,,,1610612759,14,21,2024-04-07T23:23:56Z,790000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M10.00S,2024-04-07T23:23:47.3Z,1,REGULAR,substitution,out,[],1631103,,,1610612759,14,21,2024-04-07T23:23:56Z,800000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M10.00S,2024-04-07T23:23:47.3Z,1,REGULAR,substitution,out,[],1630178,,,1610612759,14,21,2024-04-07T23:23:56Z,810000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M10.00S,2024-04-07T23:23:47.3Z,1,REGULAR,substitution,in,[],1631104,,,1610612759,14,21,2024-04-07T23:23:56Z,820000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
