actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
22,PT10M51.00S,2024-03-31T23:12:43.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641705,,,1610612759,2,0,2024-03-31T23:12:43Z,210000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,Made,,,,,,,,,,,2.0,,,,,
23,PT10M37.00S,2024-03-31T23:12:58.8Z,1,REGULAR,3pt,Jump Shot,[],203952,69.33311432325887,23.52941176470588,1610612744,2,0,2024-03-31T23:13:06Z,220000,False,-132.0,236.0,1,right,MISS A. Wiggins 27' pullup 3PT,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,27.04,Missed,,,,,,,,,,,,,,,,
24,PT10M31.00S,2024-03-31T23:13:04.8Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,0,2024-03-31T23:13:06Z,230000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT10M29.00S,2024-03-31T23:13:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626224,7.440867279894875,49.50980392156863,1610612759,4,0,2024-03-31T23:13:14Z,240000,False,2.0,17.0,1,left,C. Osman running finger roll Layup (2 PTS) (T. Jones 1 AST),"[1626224, 1630200]",1610612759.0,SAS,running finger roll,,,Osman,C. Osman,,,,,Restricted Area,0-8 Center,,,1.76,Made,,,,,,,,,,,2.0,T. Jones,1630200.0,1.0,,
27,PT10M20.00S,2024-03-31T23:13:16.2Z,1,REGULAR,2pt,Jump Shot,[],201939,82.21090670170827,26.715686274509803,1610612744,4,0,2024-03-31T23:13:53Z,260000,False,-116.0,115.0,1,right,MISS S. Curry 16' pullup Shot,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Mid-Range,16-24 Left Center,,,16.34,Missed,,,,,,,,,,,,,,,,
28,PT10M20.00S,2024-03-31T23:13:16.2Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,4,0,2024-03-31T23:13:35Z,270000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:0),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Mid-Range,16-24 Left Center,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,
29,PT10M17.00S,2024-03-31T23:13:21.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,71.69842312746385,16.666666666666664,1610612744,4,3,2024-04-01T00:16:34Z,280000,False,-167.0,214.0,1,right,S. Curry 27' 3PT  (3 PTS) (T. Jackson-Davis 1 AST),"[201939, 1631218]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,27.09,Made,,,,,,,,,,,3.0,T. Jackson-Davis,1631218.0,1.0,,
31,PT10M05.00S,2024-03-31T23:13:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,8.09789750328515,49.754901960784316,1610612759,6,3,2024-03-31T23:14:01Z,300000,False,1.0,24.0,1,left,M. Branham driving finger roll Layup (2 PTS) (C. Osman 1 AST),"[1631103, 1626224]",1610612759.0,SAS,driving finger roll,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,2.36,Made,,,,,,,,,,,2.0,C. Osman,1626224.0,1.0,,
32,PT09M56.00S,2024-03-31T23:13:44.6Z,1,REGULAR,violation,kicked ball,[],1626224,,,1610612744,6,3,2024-03-31T23:14:05Z,310000,False,,,0,,C. Osman kicked ball VIOLATION,[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,,,1830.0,,,,,,,,,,,,,,,,,,,
33,PT09M47.00S,2024-03-31T23:14:09.5Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,6,3,2024-03-31T23:14:17Z,320000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1641705]",1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,,,,,,,,,,Wembanyama,1641705.0
34,PT09M47.00S,2024-03-31T23:14:09.5Z,1,REGULAR,steal,,[],1641705,,,1610612759,6,3,2024-03-31T23:14:12Z,330000,False,,,0,,V. Wembanyama STEAL (1 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M42.00S,2024-03-31T23:14:14.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630200,4.02431011826544,96.56862745098039,1610612759,6,3,2024-03-31T23:15:18Z,340000,False,-233.0,-15.0,1,left,MISS T. Jones running 3PT,[1630200],1610612759.0,SAS,running,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,23.33,Missed,,,,,,,,,,,,,,,,
36,PT09M38.00S,2024-03-31T23:14:18.5Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,6,3,2024-03-31T23:14:19Z,350000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT09M32.00S,2024-03-31T23:14:24.3Z,1,REGULAR,2pt,Jump Shot,[],202691,90.3580814717477,26.225490196078432,1610612744,6,5,2024-03-31T23:15:53Z,360000,False,-119.0,38.0,1,right,K. Thompson 12' fadeaway Jump Shot (2 PTS),[202691],1610612744.0,GSW,fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,,,12.49,Made,,,,,,,,,,,2.0,,,,,
38,PT09M20.00S,2024-03-31T23:14:35.7Z,1,REGULAR,3pt,Jump Shot,[],1641705,30.17411300919842,21.813725490196077,1610612759,6,5,2024-03-31T23:14:40Z,370000,False,141.0,231.0,1,left,MISS V. Wembanyama 27' pullup 3PT,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,27.07,Missed,,,,,,,,,,,,,,,,
39,PT09M17.00S,2024-03-31T23:14:38.7Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,5,2024-03-31T23:14:40Z,380000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,
40,PT09M13.00S,2024-03-31T23:14:42.9Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,6,5,2024-03-31T23:14:57Z,390000,False,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 1641705]",1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,2.0,,,,,,,,,,,,,,,,,Wembanyama,1641705.0
41,PT09M13.00S,2024-03-31T23:14:42.9Z,1,REGULAR,steal,,[],1641705,,,1610612759,6,5,2024-03-31T23:14:47Z,400000,False,,,0,,V. Wembanyama STEAL (2 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT09M06.00S,2024-03-31T23:14:49.9Z,1,REGULAR,turnover,bad pass,[],1630577,,,1610612759,6,5,2024-03-31T23:14:59Z,410000,False,,,0,,J. Champagnie bad pass TURNOVER (1 TO),"[1630577, 202691]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Left,,1.0,,,,,,,,,,,,,,,,,Thompson,202691.0
43,PT09M06.00S,2024-03-31T23:14:49.9Z,1,REGULAR,steal,,[],202691,,,1610612744,6,5,2024-03-31T23:14:53Z,420000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
44,PT09M02.00S,2024-03-31T23:14:56.8Z,1,REGULAR,foul,personal,[],1631103,,,1610612744,6,5,2024-03-31T23:15:29Z,430000,False,,,0,,M. Branham take personal FOUL (1 PF),"[1631103, 1631218]",1610612759.0,SAS,take,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,1628951.0,,,,,,,,,,1.0,0.0,Jackson-Davis,1631218.0,,,,,,
47,PT08M48.00S,2024-03-31T23:15:27.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203110,92.85479632063075,95.34313725490196,1610612744,6,8,2024-03-31T23:15:33Z,450000,False,227.0,15.0,1,right,D. Green 3PT  (3 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,22.72,Made,,,,,,,,,,,3.0,S. Curry,201939.0,1.0,,
49,PT08M36.00S,2024-03-31T23:15:38.7Z,1,REGULAR,3pt,Jump Shot,[],1626224,29.25427069645204,80.3921568627451,1610612759,6,8,2024-03-31T23:15:43Z,470000,False,-152.0,222.0,1,left,MISS C. Osman 26' pullup 3PT,[1626224],1610612759.0,SAS,pullup,,,Osman,C. Osman,,,,,Above the Break 3,24+ Left Center,,,26.95,Missed,,,,,,,,,,,,,,,,
50,PT08M35.00S,2024-03-31T23:15:39.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,6,8,2024-03-31T23:15:43Z,480000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,49.0,,,,,,,,,,,,,,,
52,PT08M20.00S,2024-03-31T23:16:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,81.553876478318,60.29411764705882,1610612744,6,8,2024-03-31T23:17:07Z,500000,False,51.0,121.0,1,right,MISS D. Green 13' driving floating Shot,[203110],1610612744.0,GSW,driving floating,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,13.14,Missed,,,,,,,,,,,,,,,,
53,PT08M17.00S,2024-03-31T23:16:10.8Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,6,8,2024-03-31T23:16:15Z,510000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),8-16 Center,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,
54,PT08M09.00S,2024-03-31T23:16:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,8.360709592641262,47.05882352941176,1610612759,6,8,2024-03-31T23:18:05Z,520000,False,15.0,26.0,1,left,MISS M. Branham driving Layup - blocked,"[1631103, 1631218]",1610612759.0,SAS,driving,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,3.0,Missed,,,,,Jackson-Davis,1631218.0,,,,,,,,,,
374,PT08M09.00S,2024-03-31T23:16:20.0Z,1,REGULAR,block,,[],1631218,,,1610612759,6,8,2024-04-01T00:23:40Z,525000,False,,,0,,T. Jackson-Davis BLOCK (1 BLK),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT08M05.00S,2024-03-31T23:16:24.0Z,1,REGULAR,rebound,offensive,[],1630200,,,1610612759,6,8,2024-03-31T23:18:05Z,530000,False,,,0,,T. Jones REBOUND (Off:1 Def:0),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,54.0,1.0,0.0,1.0,,,,,,,,,,,,
56,PT08M04.00S,2024-03-31T23:16:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630200,9.017739816031538,47.05882352941176,1610612759,8,8,2024-03-31T23:16:27Z,540000,False,15.0,32.0,1,left,T. Jones driving finger roll Layup (2 PTS),[1630200],1610612759.0,SAS,driving finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,3.55,Made,,,,,,,,,,,2.0,,,,,
57,PT07M57.00S,2024-03-31T23:16:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,91.27792378449409,48.03921568627451,1610612744,8,10,2024-04-01T00:30:49Z,550000,False,-10.0,29.0,1,right,A. Wiggins driving Layup (2 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,3.11,Made,,,,,,,,,,,2.0,,,,,
58,PT07M36.00S,2024-03-31T23:16:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,6.1268068331143235,54.90196078431373,1610612759,8,10,2024-03-31T23:19:16Z,560000,False,-25.0,5.0,1,left,MISS V. Wembanyama driving Layup,[1641705],1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,2.5,Missed,,,,,,,,,,,,,,,,
59,PT07M32.00S,2024-03-31T23:16:56.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,8,10,2024-03-31T23:17:06Z,570000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,
60,PT07M25.00S,2024-03-31T23:17:03.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,92.32917214191852,53.18627450980392,1610612744,8,12,2024-03-31T23:17:09Z,580000,False,16.0,20.0,1,right,T. Jackson-Davis cutting finger roll Layup (2 PTS) (S. Curry 2 AST),"[1631218, 201939]",1610612744.0,GSW,cutting finger roll,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,2.52,Made,,,,,,,,,,,2.0,S. Curry,201939.0,2.0,,
62,PT07M10.00S,2024-03-31T23:17:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,5.863994743758213,53.431372549019606,1610612759,10,12,2024-03-31T23:17:27Z,600000,False,-17.0,3.0,1,left,M. Branham cutting Layup (4 PTS) (J. Champagnie 1 AST),"[1631103, 1630577]",1610612759.0,SAS,cutting,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,1.74,Made,,,,,,,,,,,4.0,J. Champagnie,1630577.0,1.0,,
64,PT06M56.00S,2024-03-31T23:17:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,80.3712220762155,44.36274509803921,1610612744,10,14,2024-03-31T23:20:02Z,620000,False,-28.0,132.0,1,right,S. Curry 13' driving floating Jump Shot (5 PTS),[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,,13.5,Made,,,,,,,,,,,5.0,,,,,
65,PT06M46.00S,2024-03-31T23:17:42.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641705,7.046649145860711,53.67647058823529,1610612759,12,14,2024-03-31T23:17:46Z,630000,False,-18.0,14.0,1,left,V. Wembanyama alley-oop DUNK (4 PTS) (T. Jones 2 AST),"[1641705, 1630200]",1610612759.0,SAS,alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,2.29,Made,,,,,,,,,,,4.0,T. Jones,1630200.0,2.0,,
67,PT06M31.00S,2024-03-31T23:17:58.1Z,1,REGULAR,2pt,Jump Shot,[],202691,78.79434954007884,39.950980392156865,1610612744,12,14,2024-03-31T23:20:22Z,650000,False,-50.0,147.0,1,right,MISS K. Thompson 15' step back Shot,[202691],1610612744.0,GSW,step back,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Center,,,15.51,Missed,,,,,,,,,,,,,,,,
68,PT06M28.00S,2024-03-31T23:18:01.1Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,12,14,2024-03-31T23:18:01Z,660000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Center,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,
69,PT06M22.00S,2024-03-31T23:18:05.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626224,5.732588699080158,53.431372549019606,1610612759,14,14,2024-03-31T23:18:12Z,670000,False,-17.0,1.0,1,left,C. Osman running finger roll Layup (4 PTS) (V. Wembanyama 1 AST),"[1626224, 1641705]",1610612759.0,SAS,running finger roll,,,Osman,C. Osman,,,,,Restricted Area,0-8 Center,,,1.73,Made,,,,,,,,,,,4.0,V. Wembanyama,1641705.0,1.0,,
71,PT06M13.00S,2024-03-31T23:18:20.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,14,14,2024-03-31T23:18:20Z,690000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M13.00S,2024-03-31T23:20:43.3Z,1,REGULAR,substitution,out,[],1641705,,,1610612744,14,14,2024-03-31T23:21:09Z,700000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M13.00S,2024-03-31T23:20:43.3Z,1,REGULAR,substitution,out,[],202691,,,1610612744,14,14,2024-03-31T23:21:09Z,710000,False,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M13.00S,2024-03-31T23:20:43.3Z,1,REGULAR,substitution,in,[],1628380,,,1610612744,14,14,2024-03-31T23:21:09Z,720000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M13.00S,2024-03-31T23:20:43.3Z,1,REGULAR,substitution,in,[],1641764,,,1610612744,14,14,2024-03-31T23:21:09Z,730000,False,,,0,,SUB in: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M08.00S,2024-03-31T23:21:23.6Z,1,REGULAR,turnover,out-of-bounds,[],203952,,,1610612744,14,14,2024-03-31T23:21:31Z,740000,False,,,0,,A. Wiggins step out-of-bounds TURNOVER (1 TO),[203952],1610612744.0,GSW,step,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,1830.0,1.0,,,,,,,,,,,,,,,,,,
78,PT05M45.00S,2024-03-31T23:21:59.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630200,7.30946123521682,58.82352941176471,1610612759,16,14,2024-03-31T23:22:06Z,750000,False,-44.0,16.0,1,left,T. Jones driving floating bank Jump Shot (4 PTS),[1630200],1610612759.0,SAS,driving floating bank,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,4.7,Made,,,,,,,,,,,4.0,,,,,
80,PT05M16.00S,2024-03-31T23:22:29.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,92.06636005256242,44.85294117647059,1610612744,16,14,2024-03-31T23:22:37Z,770000,False,-26.0,22.0,1,right,MISS T. Jackson-Davis driving Layup,[1631218],1610612744.0,GSW,driving,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,3.39,Missed,,,,,,,,,,,,,,,,
81,PT05M13.00S,2024-03-31T23:22:32.0Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,16,14,2024-03-31T23:22:32Z,780000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,
82,PT05M05.00S,2024-03-31T23:22:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626224,6.652431011826544,57.35294117647059,1610612759,16,14,2024-03-31T23:23:02Z,790000,False,-37.0,10.0,1,left,MISS C. Osman driving floating Shot,[1626224],1610612759.0,SAS,driving floating,,,Osman,C. Osman,,,,,Restricted Area,0-8 Center,,,3.81,Missed,,,,,,,,,,,,,,,,
