actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
19,PT11M01.00S,2024-01-13T01:14:13.7Z,1,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612759,3,2,2024-01-13T01:14:34Z,180000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1630208, 1641705]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,1628159.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,,,,
21,PT11M01.00S,2024-01-13T01:14:40.0Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,4,2,2024-01-13T01:14:40Z,200000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,
22,PT11M01.00S,2024-01-13T01:14:57.6Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,5,2,2024-01-13T01:14:57Z,210000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,
23,PT10M44.00S,2024-01-13T01:15:15.2Z,1,REGULAR,3pt,Jump Shot,[],1626179,74.19513797634691,10.784313725490197,1610612766,5,2,2024-01-13T01:15:25Z,220000,False,-196.0,190.0,1,right,MISS T. Rozier 27' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,27.31,Missed,,,,,,,,,,
24,PT10M40.00S,2024-01-13T01:15:19.2Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,5,2,2024-01-13T01:15:25Z,230000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,
25,PT10M29.00S,2024-01-13T01:15:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,30.962549277266753,30.392156862745097,1610612759,5,2,2024-01-13T01:15:35Z,240000,False,98.0,239.0,1,left,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.78,Missed,,,,,,,,,,
26,PT10M25.00S,2024-01-13T01:15:33.9Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,5,2,2024-01-13T01:15:35Z,250000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,
27,PT10M18.00S,2024-01-13T01:15:40.7Z,1,REGULAR,3pt,Jump Shot,[],1641706,67.88764783180025,69.11764705882352,1610612766,5,2,2024-01-13T01:15:52Z,260000,False,96.0,249.0,1,right,MISS B. Miller 26' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,,,,26.71,Missed,,,,,,,,,,
28,PT10M14.00S,2024-01-13T01:15:44.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,5,2,2024-01-13T01:15:52Z,270000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,27.0,,,,,
29,PT10M02.00S,2024-01-13T01:16:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,6.1268068331143235,55.392156862745104,1610612759,5,2,2024-01-13T01:16:15Z,280000,False,-27.0,5.0,1,left,MISS D. Vassell driving finger roll Layup - blocked,"[1630170, 1630208]",1610612759.0,SAS,driving finger roll,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,,2.75,Missed,,,,,,,,,Richards,1630208.0
30,PT10M02.00S,2024-01-13T01:16:06.8Z,1,REGULAR,block,,[],1630208,,,1610612759,5,2,2024-01-13T01:16:10Z,290000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT10M02.00S,2024-01-13T01:16:06.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,5,2,2024-01-13T01:16:15Z,300000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,29.0,,,,,
33,PT09M55.00S,2024-01-13T01:16:30.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641705,32.013797634691194,61.51960784313726,1610612759,5,2,2024-01-13T01:16:34Z,320000,False,-58.0,248.0,1,left,MISS V. Wembanyama 25' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,,,,,,25.5,Missed,,,,,,,,,,
34,PT09M52.00S,2024-01-13T01:16:33.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,2,2024-01-13T01:16:34Z,330000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,
35,PT09M45.00S,2024-01-13T01:16:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,82.47371879106439,56.61764705882353,1610612766,5,2,2024-01-13T01:17:51Z,340000,False,33.0,112.0,1,right,MISS B. Miller 11' turnaround fadeaway Shot,[1641706],1610612766.0,CHA,turnaround fadeaway,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,11.7,Missed,,,,,,,,,,
36,PT09M42.00S,2024-01-13T01:16:43.4Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,5,2,2024-01-13T01:16:45Z,350000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,35.0,2.0,2.0,0.0,,
37,PT09M32.00S,2024-01-13T01:16:53.4Z,1,REGULAR,2pt,Jump Shot,[],1641705,6.389618922470433,28.676470588235293,1610612759,5,2,2024-01-13T01:16:57Z,360000,False,107.0,8.0,1,left,MISS V. Wembanyama 10' Jump Shot,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Right,,,,,,,,,10.69,Missed,,,,,,,,,,
38,PT09M29.00S,2024-01-13T01:16:56.4Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,5,2,2024-01-13T01:16:57Z,370000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,
39,PT09M24.00S,2024-01-13T01:17:00.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,68.67608409986859,16.666666666666664,1610612766,5,2,2024-01-13T01:18:29Z,380000,False,-167.0,242.0,1,right,MISS L. Ball 29' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,,,,29.38,Missed,,,,,,,,,,
40,PT09M22.00S,2024-01-13T01:17:02.8Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,5,2,2024-01-13T01:17:13Z,390000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:3),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,39.0,3.0,3.0,0.0,,
41,PT09M13.00S,2024-01-13T01:17:12.2Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,5,2,2024-01-13T01:17:24Z,400000,False,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 1626179]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,1.0,Rozier,1626179.0,,,,,,,,,,,,,,,,,
42,PT09M13.00S,2024-01-13T01:17:12.2Z,1,REGULAR,steal,,[],1626179,,,1610612766,5,2,2024-01-13T01:17:14Z,410000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT09M09.00S,2024-01-13T01:17:15.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630163,93.51182654402102,53.431372549019606,1610612766,5,2,2024-01-13T01:19:57Z,420000,False,17.0,8.0,1,right,MISS L. Ball running Layup,[1630163],1610612766.0,CHA,running,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,,,1.92,Missed,,,,,,,,,,
44,PT09M08.00S,2024-01-13T01:17:16.8Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,5,2,2024-01-13T01:46:35Z,430000,False,,,0,,B. Miller REBOUND (Off:1 Def:0),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,43.0,1.0,0.0,1.0,,
45,PT09M05.00S,2024-01-13T01:17:20.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1641706,94.40999984741211,50.0,1610612766,5,2,2024-01-13T01:45:47Z,440000,False,0.0,0.0,1,right,MISS B. Miller tip Layup,[1641706],1610612766.0,CHA,tip,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,0.0,Missed,,,,,,,,,,
46,PT09M05.00S,2024-01-13T01:17:20.7Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,5,2,2024-01-13T01:21:54Z,450000,False,,,0,,B. Miller REBOUND (Off:2 Def:0),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,45.0,2.0,0.0,2.0,,
47,PT09M05.00S,2024-01-13T01:17:22.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1641706,94.40999984741211,50.0,1610612766,5,2,2024-01-13T01:17:30Z,460000,False,0.0,0.0,1,right,MISS B. Miller tip Layup,[1641706],1610612766.0,CHA,tip,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,0.0,Missed,,,,,,,,,,
48,PT09M05.00S,2024-01-13T01:17:22.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,5,2,2024-01-13T01:24:13Z,470000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,47.0,,,,,
49,PT09M05.00S,2024-01-13T01:17:33.7Z,1,REGULAR,foul,personal,[],1630163,,,1610612759,5,2,2024-01-13T01:17:58Z,480000,False,,,0,,L. Ball loose ball personal FOUL (1 PF),"[1630163, 1630200]",1610612766.0,CHA,loose ball,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,,,,202049.0,1.0,0.0,Jones,1630200.0,,,,,,,,,,,,
51,PT08M45.00S,2024-01-13T01:18:00.8Z,1,REGULAR,3pt,Jump Shot,[],1630170,30.699737187910642,30.392156862745097,1610612759,5,2,2024-01-13T01:23:47Z,500000,False,98.0,236.0,1,left,MISS D. Vassell 25' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.56,Missed,,,,,,,,,,
52,PT08M42.00S,2024-01-13T01:18:03.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,2,2024-01-13T01:18:06Z,510000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,51.0,2.0,2.0,0.0,,
53,PT08M28.00S,2024-01-13T01:18:17.2Z,1,REGULAR,2pt,Jump Shot,[],1628970,71.56701708278581,49.754901960784316,1610612766,5,2,2024-01-13T01:18:22Z,520000,False,-1.0,215.0,1,right,MISS M. Bridges 21' Jump Shot,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,,,,,,,21.48,Missed,,,,,,,,,,
54,PT08M24.00S,2024-01-13T01:18:21.2Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,5,2,2024-01-13T01:18:22Z,530000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,
55,PT08M17.00S,2024-01-13T01:18:27.5Z,1,REGULAR,turnover,lost ball,[],1641705,,,1610612759,5,2,2024-01-13T01:18:33Z,540000,False,,,0,,V. Wembanyama lost ball TURNOVER (2 TO),"[1641705, 1630163]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,2.0,Ball,1630163.0,,,,,,,,,,,,,,,,,
56,PT08M17.00S,2024-01-13T01:18:27.5Z,1,REGULAR,steal,,[],1630163,,,1610612766,5,2,2024-01-13T01:18:30Z,550000,False,,,0,,L. Ball STEAL (2 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT08M12.00S,2024-01-13T01:18:32.7Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,5,2,2024-01-13T01:18:40Z,560000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1631110]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.0,Sochan,1631110.0,,,,,,,,,,,,,,,,,
58,PT08M12.00S,2024-01-13T01:18:32.7Z,1,REGULAR,steal,,[],1631110,,,1610612759,5,2,2024-01-13T01:18:35Z,570000,False,,,0,,J. Sochan STEAL (1 STL),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT08M06.00S,2024-01-13T01:18:39.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641705,7.046649145860711,50.0,1610612759,5,2,2024-01-13T01:24:41Z,580000,False,0.0,14.0,1,left,MISS V. Wembanyama running DUNK,[1641705],1610612759.0,SAS,running,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,1.37,Missed,,,,,,,,,,
60,PT08M06.00S,2024-01-13T01:18:39.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,5,2,2024-01-13T01:18:47Z,590000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,59.0,,,,,
63,PT07M49.00S,2024-01-13T01:19:07.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,71.43561103810775,12.990196078431374,1610612766,5,2,2024-01-13T01:19:56Z,610000,False,-185.0,216.0,1,right,MISS L. Ball 28' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,,,,28.44,Missed,,,,,,,,,,
64,PT07M47.00S,2024-01-13T01:19:09.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,5,2,2024-01-13T01:19:56Z,620000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,63.0,,,,,
66,PT07M36.00S,2024-01-13T01:19:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,7.046649145860711,44.85294117647059,1610612759,7,2,2024-01-13T01:20:07Z,640000,False,26.0,14.0,1,left,D. Vassell Layup (2 PTS) (V. Wembanyama 1 AST),"[1630170, 1641705]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,,2.91,Made,2.0,V. Wembanyama,1641705.0,1.0,,,,,,
68,PT07M36.00S,2024-01-13T01:19:31.1Z,1,REGULAR,foul,personal,['1freethrow'],1626179,,,1610612759,7,2,2024-01-13T01:19:41Z,660000,False,,,0,,T. Rozier shooting personal FOUL (1 PF) (Vassell 1 FT),"[1626179, 1630170]",1610612766.0,CHA,shooting,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,1627962.0,1.0,0.0,Vassell,1630170.0,,,,,,,,,,,,
70,PT07M36.00S,2024-01-13T01:19:51.4Z,1,REGULAR,freethrow,1 of 1,[],1630170,,,1610612759,8,2,2024-01-13T01:19:51Z,680000,False,,,0,,D. Vassell Free Throw 1 of 1 (3 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,Made,3.0,,,,,,,,,
71,PT07M24.00S,2024-01-13T01:20:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,92.59198423127464,50.49019607843137,1610612766,8,4,2024-01-13T01:20:12Z,690000,False,2.0,17.0,1,right,N. Richards alley-oop Layup (2 PTS) (T. Rozier 1 AST),"[1630208, 1626179]",1610612766.0,CHA,alley-oop,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,1.73,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,
73,PT07M12.00S,2024-01-13T01:20:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,14.799605781865965,37.5,1610612759,10,4,2024-01-13T01:20:26Z,710000,False,62.0,87.0,1,left,T. Jones 10' floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,10.68,Made,2.0,,,,,,,,,
74,PT07M00.00S,2024-01-13T01:20:33.0Z,1,REGULAR,foul,personal,['2freethrow'],1630170,,,1610612766,10,4,2024-01-13T01:20:51Z,720000,False,,,0,,D. Vassell shooting personal FOUL (1 PF) (Miller 2 FT),"[1630170, 1641706]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,,,202049.0,1.0,0.0,Miller,1641706.0,,,,,,,,,,,,
76,PT07M00.00S,2024-01-13T01:20:59.4Z,1,REGULAR,freethrow,1 of 2,[],1641706,,,1610612766,10,4,2024-01-13T01:20:59Z,740000,False,,,0,,MISS B. Miller Free Throw 1 of 2,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,Missed,,,,,,,,,,
77,PT07M00.00S,2024-01-13T01:20:59.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,10,4,2024-01-13T01:20:59Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,
78,PT07M00.00S,2024-01-13T01:21:02.0Z,1,REGULAR,substitution,out,[],1641705,,,1610612766,10,4,2024-01-13T01:21:08Z,760000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT07M00.00S,2024-01-13T01:21:02.0Z,1,REGULAR,substitution,in,[],1631230,,,1610612766,10,4,2024-01-13T01:21:08Z,770000,False,,,0,,SUB in: D. Barlow,[1631230],1610612759.0,SAS,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT07M00.00S,2024-01-13T01:21:16.6Z,1,REGULAR,freethrow,2 of 2,[],1641706,,,1610612766,10,5,2024-01-13T01:21:16Z,780000,False,,,0,,B. Miller Free Throw 2 of 2 (1 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,
81,PT06M53.00S,2024-01-13T01:21:24.9Z,1,REGULAR,turnover,lost ball,[],1631110,,,1610612759,10,5,2024-01-13T01:22:16Z,790000,False,,,0,,J. Sochan lost ball TURNOVER (1 TO),"[1631110, 1626179]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,1.0,Rozier,1626179.0,,,,,,,,,,,,,,,,,
82,PT06M53.00S,2024-01-13T01:21:24.9Z,1,REGULAR,steal,,[],1626179,,,1610612766,10,5,2024-01-13T01:21:26Z,800000,False,,,0,,T. Rozier STEAL (2 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
83,PT06M47.00S,2024-01-13T01:21:30.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,85.3646517739816,96.32352941176471,1610612766,10,5,2024-01-13T01:22:22Z,810000,False,232.0,85.0,1,right,MISS T. Rozier 24' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,,,,,,,,,24.67,Missed,,,,,,,,,,
84,PT06M45.00S,2024-01-13T01:21:33.2Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,10,5,2024-01-13T01:21:33Z,820000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,
85,PT06M40.00S,2024-01-13T01:21:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,6.1268068331143235,47.549019607843135,1610612759,12,5,2024-01-13T01:22:30Z,830000,False,12.0,5.0,1,left,T. Jones driving finger roll Layup (4 PTS),[1630200],1610612759.0,SAS,driving finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,1.33,Made,4.0,,,,,,,,,
