actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,shotActionNumber,area,areaDetail,turnoverTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
38,PT08M46.00S,2024-04-13T00:14:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,6.783837056504599,49.754901960784316,1610612743,9,8,2024-04-13T00:17:10Z,380000,False,1.0,11.0,1,left,N. Jokic cutting Layup (6 PTS) (J. Murray 3 AST),"[203999, 1627750]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,,,,Made,,Restricted Area,0-8 Center,,1.14,,,,6.0,J. Murray,1627750.0,3.0,,,,,,
41,PT08M29.00S,2024-04-13T00:15:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612759,9,8,2024-04-13T00:15:09Z,410000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Mamukelashvili 2 FT),"[1629008, 1630572]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,101284.0,1.0,0.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,Mamukelashvili,1630572.0,,
43,PT08M29.00S,2024-04-13T00:15:25.6Z,1,REGULAR,freethrow,1 of 2,[],1630572,,,1610612759,10,8,2024-04-13T00:15:43Z,430000,False,,,0,,S. Mamukelashvili Free Throw 1 of 2 (1 PTS),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
44,PT08M29.00S,2024-04-13T00:15:25.6Z,1,REGULAR,freethrow,2 of 2,[],1630572,,,1610612759,10,8,2024-04-13T00:15:43Z,440000,False,,,0,,MISS S. Mamukelashvili Free Throw 2 of 2,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
45,PT08M26.00S,2024-04-13T00:15:28.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,10,8,2024-04-13T00:15:43Z,450000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,44.0,,,,,1.0,1.0,0.0,,,,,,,,,,
46,PT08M20.00S,2024-04-13T00:15:48.4Z,1,REGULAR,turnover,traveling,[],203999,,,1610612743,10,8,2024-04-13T00:15:55Z,460000,False,,,0,,N. Jokic traveling TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,1627964.0,,,,,Mid-Range,16-24 Center,1.0,,,,,,,,,,,,,,
47,PT08M06.00S,2024-04-13T00:16:09.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641705,75.1149802890933,10.53921568627451,1610612759,10,8,2024-04-13T00:16:16Z,470000,False,-197.0,181.0,1,right,MISS V. Wembanyama 26' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Missed,,Above the Break 3,24+ Left Center,,26.8,,,,,,,,,,,,,
48,PT08M04.00S,2024-04-13T00:16:11.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,10,8,2024-04-13T00:16:16Z,480000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,47.0,Above the Break 3,24+ Left Center,,,2.0,2.0,0.0,,,,,,,,,,
49,PT07M50.00S,2024-04-13T00:16:26.0Z,1,REGULAR,3pt,Jump Shot,[],1629008,24.129434954007884,15.931372549019606,1610612743,10,8,2024-04-13T00:16:34Z,490000,False,170.0,174.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Missed,,Above the Break 3,24+ Right Center,,24.37,,,,,,,,,,,,,
50,PT07M43.00S,2024-04-13T00:16:33.0Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,10,8,2024-04-13T00:16:34Z,500000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,49.0,Above the Break 3,24+ Right Center,,,1.0,0.0,1.0,,,,,,,,,,
51,PT07M43.00S,2024-04-13T00:16:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,5.590000152587891,50.0,1610612743,10,10,2024-04-13T00:16:32Z,510000,False,0.0,0.0,1,left,N. Jokic putback Layup (8 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,,,,Made,,Mid-Range,8-16 Left,,0.0,,,,8.0,,,,,,,,,
52,PT07M36.00S,2024-04-13T00:16:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,93.11760840998686,50.0,1610612759,12,10,2024-04-13T00:16:45Z,520000,False,0.0,12.0,1,right,T. Jones driving finger roll Layup (2 PTS),[1630200],1610612759.0,SAS,driving finger roll,,,Jones,T. Jones,,,,,,,,Made,,Restricted Area,0-8 Center,,1.22,,,,2.0,,,,,,,,,
53,PT07M26.00S,2024-04-13T00:16:50.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203999,7.835085413929041,50.49019607843137,1610612743,12,12,2024-04-13T00:16:57Z,530000,False,-2.0,21.0,1,left,N. Jokic cutting DUNK (10 PTS) (K. Caldwell-Pope 1 AST),"[203999, 203484]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,,,,Made,,Restricted Area,0-8 Center,,2.12,,,,10.0,K. Caldwell-Pope,203484.0,1.0,,,,,,
55,PT07M19.00S,2024-04-13T00:16:59.2Z,1,REGULAR,turnover,out-of-bounds,[],1630577,,,1610612759,12,12,2024-04-13T00:17:14Z,550000,False,,,0,,J. Champagnie step out-of-bounds TURNOVER (1 TO),[1630577],1610612759.0,SAS,step,,,Champagnie,J. Champagnie,,,,,200833.0,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,,
56,PT07M00.00S,2024-04-13T00:17:26.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,5.206964520367937,97.30392156862744,1610612743,12,12,2024-04-13T00:17:35Z,560000,False,-237.0,-4.0,1,left,MISS J. Murray step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,,,,Missed,,Left Corner 3,24+ Left,,23.65,,,,,,,,,,,,,
57,PT06M59.00S,2024-04-13T00:17:27.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,12,12,2024-04-13T00:17:35Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,56.0,Left Corner 3,24+ Left,,,,,,,,,,,,,,,
58,PT06M59.00S,2024-04-13T00:17:31.9Z,1,REGULAR,foul,personal,[],1631104,,,1610612743,12,12,2024-04-13T00:18:04Z,580000,False,,,0,,B. Wesley loose ball personal FOUL (1 PF),"[1631104, 1629008]",1610612759.0,SAS,loose ball,,,Wesley,B. Wesley,,,,,101284.0,1.0,0.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,Porter Jr.,1629008.0,,
60,PT06M59.00S,2024-04-13T00:17:44.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,12,12,2024-04-13T00:17:44Z,600000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M51.00S,2024-04-13T00:20:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627750,6.1268068331143235,50.0,1610612743,12,14,2024-04-13T00:20:52Z,610000,False,0.0,5.0,1,left,J. Murray driving reverse Layup (2 PTS),[1627750],1610612743.0,DEN,driving reverse,,,Murray,J. Murray,,,,,,,,Made,,Restricted Area,0-8 Center,,0.51,,,,2.0,,,,,,,,,
62,PT06M38.00S,2024-04-13T00:21:00.0Z,1,REGULAR,3pt,Jump Shot,[],1630572,71.17279894875165,76.9607843137255,1610612759,15,14,2024-04-13T00:21:05Z,620000,False,135.0,218.0,1,right,S. Mamukelashvili 25' 3PT  (4 PTS) (T. Jones 2 AST),"[1630572, 1630200]",1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,Made,,Above the Break 3,24+ Right Center,,25.67,,,,4.0,T. Jones,1630200.0,2.0,,,,,,
64,PT06M23.00S,2024-04-13T00:21:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,5.338370565045992,49.26470588235294,1610612743,15,16,2024-04-13T00:21:22Z,640000,False,4.0,-2.0,1,left,J. Murray driving Layup (4 PTS),[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,,,,Made,,Restricted Area,0-8 Center,,0.44,,,,4.0,,,,,,,,,
65,PT06M08.00S,2024-04-13T00:21:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,93.24901445466492,50.0,1610612759,17,16,2024-04-13T00:21:36Z,650000,False,0.0,11.0,1,right,S. Mamukelashvili cutting finger roll Layup (6 PTS) (V. Wembanyama 2 AST),"[1630572, 1641705]",1610612759.0,SAS,cutting finger roll,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,Made,,Restricted Area,0-8 Center,,1.1,,,,6.0,V. Wembanyama,1641705.0,2.0,,,,,,
67,PT05M55.00S,2024-04-13T00:21:43.6Z,1,REGULAR,2pt,Jump Shot,[],1627750,20.844283837056505,50.0,1610612743,17,16,2024-04-13T00:22:11Z,670000,False,0.0,143.0,1,left,MISS J. Murray 14' driving floating Shot,[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,,,,Missed,,Mid-Range,8-16 Center,,14.34,,,,,,,,,,,,,
68,PT05M53.00S,2024-04-13T00:21:45.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,17,16,2024-04-13T00:21:52Z,680000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:3),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,67.0,Mid-Range,8-16 Center,,,3.0,3.0,0.0,,,,,,,,,,
69,PT05M50.00S,2024-04-13T00:21:51.9Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612759,17,16,2024-04-13T00:22:00Z,690000,False,,,0,,M. Porter Jr. shooting personal FOUL (2 PF) (Mamukelashvili 2 FT),"[1629008, 1630572]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,101284.0,2.0,0.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,Mamukelashvili,1630572.0,,
71,PT05M50.00S,2024-04-13T00:22:16.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630572,,,1610612759,18,16,2024-04-13T00:22:43Z,710000,False,,,0,,S. Mamukelashvili Free Throw 1 of 2 (7 PTS),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,Made,,,,,,,,,7.0,,,,,,,,,
72,PT05M50.00S,2024-04-13T00:22:17.3Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,18,16,2024-04-13T00:22:38Z,720000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M50.00S,2024-04-13T00:22:17.3Z,1,REGULAR,substitution,out,[],1641705,,,1610612759,18,16,2024-04-13T00:22:38Z,730000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M50.00S,2024-04-13T00:22:17.3Z,1,REGULAR,substitution,out,[],1630577,,,1610612759,18,16,2024-04-13T00:22:38Z,740000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M50.00S,2024-04-13T00:22:17.3Z,1,REGULAR,substitution,out,[],1629008,,,1610612759,18,16,2024-04-13T00:22:38Z,750000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M50.00S,2024-04-13T00:22:17.3Z,1,REGULAR,substitution,in,[],1628984,,,1610612759,18,16,2024-04-13T00:22:38Z,760000,False,,,0,,SUB in: D. Graham,[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M50.00S,2024-04-13T00:22:17.3Z,1,REGULAR,substitution,in,[],1631321,,,1610612759,18,16,2024-04-13T00:22:38Z,770000,False,,,0,,SUB in: S. Cissoko,[1631321],1610612759.0,SAS,,,,Cissoko,S. Cissoko,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M50.00S,2024-04-13T00:22:17.3Z,1,REGULAR,substitution,in,[],1628380,,,1610612759,18,16,2024-04-13T00:22:38Z,780000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M50.00S,2024-04-13T00:22:17.3Z,1,REGULAR,substitution,in,[],1631128,,,1610612759,18,16,2024-04-13T00:22:38Z,790000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M50.00S,2024-04-13T00:22:16.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630572,,,1610612759,18,16,2024-04-13T00:22:43Z,800000,False,,,0,,MISS S. Mamukelashvili Free Throw 2 of 2,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
81,PT05M47.00S,2024-04-13T00:22:19.4Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,18,16,2024-04-13T00:22:43Z,810000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,80.0,,,,,1.0,1.0,0.0,,,,,,,,,,
82,PT05M26.00S,2024-04-13T00:23:02.7Z,1,REGULAR,3pt,Jump Shot,[],1627750,11.383048620236531,96.32352941176471,1610612743,18,19,2024-04-13T00:23:44Z,820000,False,-232.0,55.0,1,left,J. Murray 3PT step back (7 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,,,,Made,,Left Corner 3,24+ Left,,23.79,,,,7.0,,,,,,,,,
83,PT05M04.00S,2024-04-13T00:23:24.5Z,1,REGULAR,turnover,bad pass,[],1628380,,,1610612759,18,19,2024-04-13T00:23:34Z,830000,False,,,0,,Z. Collins bad pass TURNOVER (1 TO),"[1628380, 203932]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,Gordon,203932.0,,,,
