actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
409,PT07M00.00S,2024-01-25T04:12:05.3Z,3,REGULAR,2pt,Jump Shot,[],1641705,22.683968462549277,40.931372549019606,1610612759,65,78,2024-01-25T04:14:12Z,4020000,False,45.0,161.0,1,left,MISS V. Wembanyama 16' turnaround Shot - blocked,"[1641705, 1629652]",1610612759.0,SAS,turnaround,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,16.7,Missed,,,,,,,,,,,,,,,,,Dort,1629652.0
410,PT07M00.00S,2024-01-25T04:12:05.3Z,3,REGULAR,block,,[],1629652,,,1610612759,65,78,2024-01-25T04:12:08Z,4030000,False,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
411,PT06M56.00S,2024-01-25T04:12:09.3Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,65,78,2024-01-25T04:12:35Z,4040000,False,,,0,,J. Giddey REBOUND (Off:1 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Center,,,,,,,409.0,4.0,3.0,1.0,,,,,,,,,,
412,PT06M55.00S,2024-01-25T04:12:10.5Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630581,94.56307490144546,51.9607843137255,1610612760,65,78,2024-01-25T04:13:16Z,4050000,False,10.0,-1.0,1,right,MISS J. Giddey running Layup,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,0.99,Missed,,,,,,,,,,,,,,,,,,
413,PT06M53.00S,2024-01-25T04:12:12.5Z,3,REGULAR,rebound,offensive,[],1630581,,,1610612760,65,78,2024-01-25T04:13:16Z,4060000,False,,,0,,J. Giddey REBOUND (Off:2 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,412.0,5.0,3.0,2.0,,,,,,,,,,
414,PT06M52.00S,2024-01-25T04:12:14.0Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,76.69185282522996,11.029411764705882,1610612760,65,78,2024-01-25T04:12:21Z,4070000,False,-195.0,167.0,1,right,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.64,Missed,,,,,,,,,,,,,,,,,,
415,PT06M50.00S,2024-01-25T04:12:15.8Z,3,REGULAR,rebound,offensive,[],1628983,,,1610612760,65,78,2024-01-25T04:12:15Z,4080000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:2 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,414.0,4.0,2.0,2.0,,,,,,,,,,
416,PT06M44.00S,2024-01-25T04:12:21.6Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,93.38042049934296,54.166666666666664,1610612760,65,78,2024-01-25T04:12:58Z,4090000,False,21.0,10.0,1,right,MISS J. Giddey driving finger roll Layup - blocked,"[1630581, 1641705]",1610612760.0,OKC,driving finger roll,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,2.3,Missed,,,,,,,,,,,,,,,,,Wembanyama,1641705.0
417,PT06M44.00S,2024-01-25T04:12:21.6Z,3,REGULAR,block,,[],1641705,,,1610612760,65,78,2024-01-25T04:12:23Z,4100000,False,,,0,,V. Wembanyama BLOCK (4 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
418,PT06M41.00S,2024-01-25T04:12:24.6Z,3,REGULAR,rebound,defensive,[],1641705,,,1610612759,65,78,2024-01-25T04:12:58Z,4110000,False,,,0,,V. Wembanyama REBOUND (Off:3 Def:5),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,416.0,8.0,5.0,3.0,,,,,,,,,,
419,PT06M41.00S,2024-01-25T04:12:29.3Z,3,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612759,65,78,2024-01-25T04:12:49Z,4120000,False,,,0,,J. Williams shooting personal FOUL (2 PF) (Wesley 2 FT),"[1631114, 1631104]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203591.0,2.0,0.0,Wesley,1631104.0,,,,,
421,PT06M41.00S,2024-01-25T04:12:46.3Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,65,78,2024-01-25T04:12:46Z,4140000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,PT06M41.00S,2024-01-25T04:16:31.3Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1631104,,,1610612759,65,78,2024-01-25T04:16:46Z,4150000,False,,,0,,MISS B. Wesley Free Throw 1 of 2,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
423,PT06M41.00S,2024-01-25T04:16:31.3Z,3,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,65,78,2024-01-25T04:16:46Z,4160000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,422.0,,,,,,,,,,,,,
424,PT06M41.00S,2024-01-25T04:16:31.3Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1631104,,,1610612759,65,78,2024-01-25T04:16:46Z,4170000,False,,,0,,MISS B. Wesley Free Throw 2 of 2,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
425,PT06M40.00S,2024-01-25T04:16:32.3Z,3,REGULAR,rebound,offensive,[],1641705,,,1610612759,65,78,2024-01-25T04:49:42Z,4180000,False,,,0,,V. Wembanyama REBOUND (Off:4 Def:5),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,424.0,9.0,5.0,4.0,,,,,,,,,,
597,PT06M40.00S,2024-01-25T04:16:39.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641705,5.732588699080158,51.470588235294116,1610612759,65,78,2024-01-25T04:49:50Z,4185000,False,-7.0,1.0,1,left,MISS V. Wembanyama tip Layup,[1641705],1610612759.0,SAS,tip,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,0.75,Missed,,,,,,,,,,,,,,,,,,
598,PT06M37.00S,2024-01-25T04:16:42.7Z,3,REGULAR,rebound,offensive,[],1641705,,,1610612759,65,78,2024-01-25T04:50:12Z,4187500,False,,,0,,V. Wembanyama REBOUND (Off:5 Def:5),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,597.0,10.0,5.0,5.0,,,,,,,,,,
426,PT06M36.00S,2024-01-25T04:16:48.1Z,3,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612759,65,78,2024-01-25T04:16:57Z,4190000,False,,,0,,C. Holmgren shooting personal FOUL (2 PF) (Wembanyama 2 FT),"[1631096, 1641705]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2004.0,2.0,0.0,Wembanyama,1641705.0,,,,,
