actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
21,PT10M28.00S,2024-01-23T01:42:13.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,0,2024-01-23T01:42:17Z,210000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M20.00S,2024-01-23T01:42:23.2Z,1,REGULAR,foul,personal,['2freethrow'],202681,,,1610612738,2,0,2024-01-23T01:42:39Z,220000,False,,,0,,K. Irving shooting personal FOUL (1 PF) (Tatum 2 FT),"[202681, 1628369]",1610612742.0,DAL,shooting,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,201245.0,1.0,0.0,Tatum,1628369.0,,,
24,PT10M20.00S,2024-01-23T01:42:50.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,2,1,2024-01-23T01:42:50Z,240000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
25,PT10M20.00S,2024-01-23T01:43:13.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,2,2,2024-01-23T01:43:13Z,250000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
26,PT10M04.00S,2024-01-23T01:43:31.0Z,1,REGULAR,2pt,Jump Shot,[],1629029,90.3580814717477,67.64705882352942,1610612742,2,2,2024-01-23T01:43:40Z,260000,False,88.0,38.0,1,right,MISS L. Doncic 9' driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Right,9.61,Missed,,,,,,,,,,,,,,,,,,
27,PT10M02.00S,2024-01-23T01:43:33.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,2,2024-01-23T01:43:40Z,270000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Right,,,26.0,,,,,,,,,,,,,,,,,
29,PT09M47.00S,2024-01-23T01:43:54.9Z,1,REGULAR,3pt,Jump Shot,[],201950,8.09789750328515,96.56862745098039,1610612738,2,2,2024-01-23T01:44:00Z,290000,False,-233.0,24.0,1,left,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,23.4,Missed,,,,,,,,,,,,,,,,,,
30,PT09M42.00S,2024-01-23T01:43:59.9Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,2,2,2024-01-23T01:44:00Z,300000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Left Corner 3,24+ Left,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M38.00S,2024-01-23T01:44:03.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629029,88.25558475689881,50.98039215686274,1610612742,2,2,2024-01-23T01:45:07Z,310000,False,5.0,58.0,1,right,MISS L. Doncic turnaround Shot,[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,,,,,,,,,,,,,
32,PT09M35.00S,2024-01-23T01:44:06.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,2,2,2024-01-23T01:44:10Z,320000,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT09M28.00S,2024-01-23T01:44:13.3Z,1,REGULAR,3pt,Jump Shot,[],201950,29.6484888304862,24.019607843137255,1610612738,2,2,2024-01-23T01:45:35Z,330000,False,130.0,226.0,1,left,MISS J. Holiday 26' pullup 3PT,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,26.08,Missed,,,,,,,,,,,,,,,,,,
34,PT09M26.00S,2024-01-23T01:44:16.1Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,2,2,2024-01-23T01:44:16Z,340000,False,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,33.0,1.0,0.0,1.0,,,,,,,,,,,,,,
35,PT09M24.00S,2024-01-23T01:44:18.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,10.726018396846255,44.6078431372549,1610612738,2,2,2024-01-23T01:46:14Z,350000,False,27.0,48.0,1,left,MISS J. Brown putback Layup,[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.53,Missed,,,,,,,,,,,,,,,,,,
36,PT09M21.00S,2024-01-23T01:44:21.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,2,2024-01-23T01:44:23Z,360000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT09M13.00S,2024-01-23T01:44:28.7Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,2,2,2024-01-23T01:44:35Z,370000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1628369]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,
38,PT09M13.00S,2024-01-23T01:44:28.7Z,1,REGULAR,steal,,[],1628369,,,1610612738,2,2,2024-01-23T01:44:30Z,380000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
39,PT09M08.00S,2024-01-23T01:44:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,7.440867279894875,56.61764705882353,1610612738,2,4,2024-01-23T01:46:53Z,390000,False,-33.0,17.0,1,left,J. Brown running Layup (2 PTS) (J. Holiday 1 AST),"[1627759, 201950]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.74,Made,,,,,2.0,,,,,,,,,,,J. Holiday,201950.0,1.0
41,PT08M50.00S,2024-01-23T01:44:51.0Z,1,REGULAR,3pt,Jump Shot,[],202681,67.62483574244416,24.264705882352942,1610612742,2,4,2024-01-23T01:47:20Z,410000,False,-129.0,252.0,1,right,MISS K. Irving 28' pullup 3PT,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,28.28,Missed,,,,,,,,,,,,,,,,,,
42,PT08M48.00S,2024-01-23T01:44:53.0Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,2,4,2024-01-23T01:44:59Z,420000,False,,,0,,D. Lively II REBOUND (Off:1 Def:0),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Above the Break 3,24+ Left Center,,,41.0,1.0,0.0,1.0,,,,,,,,,,,,,,
43,PT08M46.00S,2024-01-23T01:44:55.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629029,70.25295663600527,68.38235294117648,1610612742,2,4,2024-01-23T01:45:01Z,430000,False,92.0,227.0,1,right,MISS L. Doncic 24' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,24.5,Missed,,,,,,,,,,,,,,,,,,
44,PT08M44.00S,2024-01-23T01:44:57.4Z,1,REGULAR,rebound,offensive,[],1630182,,,1610612742,2,4,2024-01-23T01:45:01Z,440000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,
45,PT08M38.00S,2024-01-23T01:45:04.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,91.14651773981603,45.09803921568628,1610612742,4,4,2024-01-23T01:45:10Z,450000,False,-25.0,31.0,1,right,L. Doncic driving Layup (4 PTS) (D. Jones Jr. 1 AST),"[1629029, 1627884]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,3.93,Made,,,,,4.0,,,,,,,,,,,D. Jones Jr.,1627884.0,1.0
47,PT08M38.00S,2024-01-23T01:45:07.8Z,1,REGULAR,foul,personal,['1freethrow'],201950,,,1610612742,4,4,2024-01-23T01:45:33Z,470000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Doncic 1 FT),"[201950, 1629029]",1610612738.0,BOS,shooting,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,201245.0,1.0,0.0,Doncic,1629029.0,,,
49,PT08M38.00S,2024-01-23T01:45:36.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629029,,,1610612742,5,4,2024-01-23T01:45:36Z,490000,False,,,0,,L. Doncic Free Throw 1 of 1 (5 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
50,PT08M25.00S,2024-01-23T01:45:53.7Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612738,5,4,2024-01-23T01:46:06Z,500000,False,,,0,,L. Doncic shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629029, 1628369]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,201245.0,1.0,0.0,Tatum,1628369.0,,,
52,PT08M25.00S,2024-01-23T01:46:20.9Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,5,5,2024-01-23T01:46:20Z,520000,False,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
53,PT08M25.00S,2024-01-23T01:46:37.2Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,5,6,2024-01-23T01:46:37Z,530000,False,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
54,PT08M18.00S,2024-01-23T01:46:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,90.75229960578186,62.00980392156863,1610612742,5,6,2024-01-23T01:46:59Z,540000,False,60.0,34.0,1,right,MISS L. Doncic 6' driving Layup - blocked,"[1629029, 1627759]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,6.92,Missed,,,,,,Brown,1627759.0,,,,,,,,,,,
55,PT08M18.00S,2024-01-23T01:46:47.9Z,1,REGULAR,block,,[],1627759,,,1610612742,5,6,2024-01-23T01:46:50Z,550000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT08M17.00S,2024-01-23T01:46:48.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,5,6,2024-01-23T01:46:59Z,560000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,,,,,,,,,,,,,,,,,
58,PT08M07.00S,2024-01-23T01:47:09.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202681,83.78777923784494,73.52941176470588,1610612742,7,6,2024-01-23T01:47:14Z,580000,False,118.0,100.0,1,right,K. Irving 15' step back Jump Shot (2 PTS),[202681],1610612742.0,DAL,step back,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,15.43,Made,,,,,2.0,,,,,,,,,,,,,
59,PT07M54.00S,2024-01-23T01:47:21.4Z,1,REGULAR,2pt,Jump Shot,[],1628369,14.011169513797633,21.813725490196077,1610612738,7,6,2024-01-23T01:49:33Z,590000,False,141.0,79.0,1,left,MISS J. Tatum 16' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,16.16,Missed,,,,,,,,,,,,,,,,,,
60,PT07M51.00S,2024-01-23T01:47:24.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,7,6,2024-01-23T01:47:33Z,600000,False,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Right,,,59.0,3.0,3.0,0.0,,,,,,,,,,,,,,
61,PT07M46.00S,2024-01-23T01:47:30.3Z,1,REGULAR,turnover,bad pass,[],1627884,,,1610612742,7,6,2024-01-23T01:47:37Z,610000,False,,,0,,D. Jones Jr. bad pass TURNOVER (1 TO),"[1627884, 201143]",1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,Horford,201143.0,,,,,,,,
62,PT07M46.00S,2024-01-23T01:47:30.3Z,1,REGULAR,steal,,[],201143,,,1610612738,7,6,2024-01-23T01:47:32Z,620000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M42.00S,2024-01-23T01:47:34.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628401,7.703679369250986,96.32352941176471,1610612738,7,6,2024-01-23T01:50:41Z,630000,False,-232.0,20.0,1,left,MISS D. White running 3PT,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Left Corner 3,24+ Left,23.25,Missed,,,,,,,,,,,,,,,,,,
64,PT07M39.00S,2024-01-23T01:47:37.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,7,6,2024-01-23T01:47:37Z,640000,False,,,0,,L. Doncic REBOUND (Off:0 Def:4),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Left Corner 3,24+ Left,,,63.0,4.0,4.0,0.0,,,,,,,,,,,,,,
65,PT07M35.00S,2024-01-23T01:47:41.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630182,93.38042049934296,52.20588235294118,1610612742,9,6,2024-01-23T01:47:46Z,650000,False,11.0,10.0,1,right,J. Green running Layup (2 PTS) (D. Jones Jr. 2 AST),"[1630182, 1627884]",1610612742.0,DAL,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,2.0,,,,,,,,,,,D. Jones Jr.,1627884.0,2.0
67,PT07M18.00S,2024-01-23T01:47:57.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627759,9.806176084099869,50.98039215686274,1610612738,9,8,2024-01-23T01:48:03Z,670000,False,-5.0,40.0,1,left,J. Brown turnaround Hook (4 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,4.0,Made,,,,,4.0,,,,,,,,,,,A. Horford,201143.0,1.0
69,PT06M58.00S,2024-01-23T01:48:17.5Z,1,REGULAR,2pt,Jump Shot,[],202681,78.53153745072274,27.696078431372552,1610612742,9,8,2024-01-23T01:48:22Z,690000,False,-112.0,149.0,1,right,MISS K. Irving 18' pullup Shot,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Left Center,18.63,Missed,,,,,,,,,,,,,,,,,,
70,PT06M56.00S,2024-01-23T01:48:19.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,8,2024-01-23T01:48:22Z,700000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,
71,PT06M53.00S,2024-01-23T01:48:25.1Z,1,REGULAR,foul,personal,['2freethrow'],1641726,,,1610612738,9,8,2024-01-23T01:51:21Z,710000,False,,,0,,D. Lively II shooting personal FOUL (1 PF) (Brown 2 FT),"[1641726, 1627759]",1610612742.0,DAL,shooting,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,201639.0,1.0,0.0,Brown,1627759.0,,,
73,PT06M53.00S,2024-01-23T01:48:43.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,9,8,2024-01-23T01:48:43Z,730000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2024-01-23T01:48:45.6Z,1,REGULAR,substitution,out,[],202681,,,1610612738,9,8,2024-01-23T01:51:19Z,740000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M53.00S,2024-01-23T01:48:45.6Z,1,REGULAR,substitution,out,[],1641726,,,1610612738,9,8,2024-01-23T01:51:19Z,750000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M53.00S,2024-01-23T01:48:45.6Z,1,REGULAR,substitution,out,[],201950,,,1610612738,9,8,2024-01-23T01:51:19Z,760000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M53.00S,2024-01-23T01:48:45.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,9,8,2024-01-23T01:51:19Z,770000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M53.00S,2024-01-23T01:48:45.6Z,1,REGULAR,substitution,in,[],1628467,,,1610612738,9,8,2024-01-23T01:51:19Z,780000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M53.00S,2024-01-23T01:48:45.6Z,1,REGULAR,substitution,in,[],203501,,,1610612738,9,8,2024-01-23T01:51:19Z,790000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M53.00S,2024-01-23T01:48:45.6Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,9,8,2024-01-23T01:51:19Z,800000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M53.00S,2024-01-23T01:48:45.6Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,9,8,2024-01-23T01:51:19Z,810000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M53.00S,2024-01-23T01:51:42.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627759,,,1610612738,9,9,2024-01-23T01:51:42Z,820000,False,,,0,,J. Brown Free Throw 1 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
83,PT06M53.00S,2024-01-23T01:51:57.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627759,,,1610612738,9,10,2024-01-23T01:51:57Z,830000,False,,,0,,J. Brown Free Throw 2 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
