actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
43,PT09M57.00S,2023-12-03T02:14:45.7Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,2,0,2023-12-03T02:17:47Z,430000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,
44,PT09M50.00S,2023-12-03T02:14:52.5Z,1,REGULAR,3pt,Jump Shot,[],1631096,26.49474375821288,12.745098039215685,1610612760,2,0,2023-12-03T02:19:33Z,440000,False,186.0,197.0,1,left,MISS C. Holmgren 27' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,27.08,Missed,,,,,,,,,,,,,
45,PT09M47.00S,2023-12-03T02:14:55.2Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,2,0,2023-12-03T02:14:55Z,450000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,
47,PT09M44.00S,2023-12-03T02:14:58.5Z,1,REGULAR,3pt,Jump Shot,[],203552,89.83245729303549,96.81372549019608,1610612742,5,0,2023-12-03T02:19:35Z,470000,False,234.0,43.0,1,right,S. Curry 3PT  (3 PTS) (L. Doncic 1 AST),"[203552, 1629029]",1610612742.0,DAL,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,,,,,,23.8,Made,,,,,,,,3.0,,,L. Doncic,1629029.0,1.0
49,PT09M33.00S,2023-12-03T02:15:10.0Z,1,REGULAR,2pt,Jump Shot,[],1631114,9.674770039421814,69.11764705882352,1610612760,5,2,2023-12-03T02:19:37Z,490000,False,-96.0,38.0,1,left,J. Williams 10' Jump Shot (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1631114, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,,,,,,10.3,Made,,,,,,,,2.0,,,S. Gilgeous-Alexander,1628983.0,1.0
51,PT09M17.00S,2023-12-03T02:15:26.1Z,1,REGULAR,3pt,Jump Shot,[],1629684,89.83245729303549,4.411764705882353,1610612742,5,2,2023-12-03T02:15:29Z,510000,False,-228.0,43.0,1,right,MISS G. Williams 3PT,[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,,,,,,23.19,Missed,,,,,,,,,,,,,
52,PT09M12.00S,2023-12-03T02:15:31.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,5,2,2023-12-03T02:15:31Z,520000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,
53,PT09M03.00S,2023-12-03T02:15:39.7Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,5,2,2023-12-03T02:15:43Z,530000,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1641726]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,,Lively II,1641726.0,,,
54,PT09M03.00S,2023-12-03T02:15:39.7Z,1,REGULAR,steal,,[],1641726,,,1610612742,5,2,2023-12-03T02:30:20Z,540000,False,,,0,,D. Lively II STEAL (1 STL),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT08M58.00S,2023-12-03T02:15:47.3Z,1,REGULAR,foul,personal,[],1629652,,,1610612742,5,2,2023-12-03T02:15:53Z,550000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 203552]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right,203591.0,1.0,0.0,Curry,203552.0,,,,,,,,,,,,,,,
57,PT08M50.00S,2023-12-03T02:16:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627884,93.77463863337714,52.20588235294118,1610612742,5,2,2023-12-03T03:24:39Z,570000,False,11.0,6.0,1,right,MISS D. Jones Jr. cutting Layup - blocked,"[1627884, 1631096]",1610612742.0,DAL,cutting,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,,,,,,1.25,Missed,Holmgren,1631096.0,,,,,,,,,,,
58,PT08M50.00S,2023-12-03T02:16:10.8Z,1,REGULAR,block,,[],1631096,,,1610612742,5,2,2023-12-03T02:16:15Z,580000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT08M45.00S,2023-12-03T02:16:15.8Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,5,2,2023-12-03T03:24:39Z,590000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,
60,PT08M41.00S,2023-12-03T02:16:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,9.674770039421814,58.82352941176471,1610612760,5,2,2023-12-03T03:25:02Z,600000,False,-44.0,38.0,1,left,MISS J. Williams driving floating Shot - blocked,"[1631114, 1641726]",1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.85,Missed,Lively II,1641726.0,,,,,,,,,,,
61,PT08M41.00S,2023-12-03T02:16:19.9Z,1,REGULAR,block,,[],1641726,,,1610612760,5,2,2023-12-03T02:16:26Z,610000,False,,,0,,D. Lively II BLOCK (2 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT08M33.00S,2023-12-03T02:16:27.9Z,1,REGULAR,rebound,offensive,[],1631114,,,1610612760,5,2,2023-12-03T03:25:02Z,620000,False,,,0,,J. Williams REBOUND (Off:1 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,60.0,2.0,1.0,1.0,,,,,,,
63,PT08M32.00S,2023-12-03T02:16:29.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628983,7.703679369250986,55.14705882352941,1610612760,5,2,2023-12-03T03:25:43Z,630000,False,-26.0,20.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,3.25,Missed,,,,,,,,,,,,,
64,PT08M28.00S,2023-12-03T02:16:32.5Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,5,2,2023-12-03T02:16:32Z,640000,False,,,0,,D. Lively II REBOUND (Off:1 Def:2),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,63.0,3.0,2.0,1.0,,,,,,,
65,PT08M26.00S,2023-12-03T02:16:36.6Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612742,5,2,2023-12-03T02:16:47Z,650000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Doncic 2 FT),"[1631114, 1629029]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,1204.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,
67,PT08M26.00S,2023-12-03T02:17:06.8Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,6,2,2023-12-03T02:17:06Z,670000,False,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,Made,,,,,,,,1.0,,,,,
68,PT08M26.00S,2023-12-03T02:17:33.2Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,7,2,2023-12-03T02:17:33Z,680000,False,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,Made,,,,,,,,2.0,,,,,
69,PT08M11.00S,2023-12-03T02:17:48.9Z,1,REGULAR,3pt,Jump Shot,[],1630581,31.09395532194481,31.862745098039213,1610612760,7,2,2023-12-03T02:17:52Z,690000,False,91.0,240.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,25.64,Missed,,,,,,,,,,,,,
70,PT08M01.00S,2023-12-03T02:17:58.2Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,7,2,2023-12-03T02:17:58Z,700000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,69.0,2.0,1.0,1.0,,,,,,,
71,PT08M01.00S,2023-12-03T02:17:58.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631096,5.590000152587891,50.0,1610612760,7,4,2023-12-03T02:17:58Z,710000,False,0.0,0.0,1,left,C. Holmgren putback Layup (2 PTS),[1631096],1610612760.0,OKC,putback,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Left,,,,,,0.0,Made,,,,,,,,2.0,,,,,
72,PT07M50.00S,2023-12-03T02:18:09.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,65.65374507227332,26.96078431372549,1610612742,7,4,2023-12-03T03:26:49Z,720000,False,-115.0,270.0,1,right,MISS L. Doncic 29' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,,,29.39,Missed,,,,,,,,,,,,,
73,PT07M46.00S,2023-12-03T02:18:13.9Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,7,4,2023-12-03T02:18:13Z,730000,False,,,0,,L. Dort REBOUND (Off:0 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,
74,PT07M42.00S,2023-12-03T02:18:17.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631114,8.754927726675426,46.32352941176471,1610612760,7,4,2023-12-03T03:27:27Z,740000,False,18.0,30.0,1,left,MISS J. Williams running Layup,[1631114],1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,3.5,Missed,,,,,,,,,,,,,
75,PT07M38.00S,2023-12-03T02:18:22.4Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,7,4,2023-12-03T02:18:22Z,750000,False,,,0,,D. Lively II REBOUND (Off:1 Def:3),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,74.0,4.0,3.0,1.0,,,,,,,
76,PT07M30.00S,2023-12-03T02:18:30.0Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612742,7,4,2023-12-03T02:18:46Z,760000,False,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Doncic 2 FT),"[1628983, 1629029]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,203591.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,
78,PT07M30.00S,2023-12-03T02:19:00.1Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,8,4,2023-12-03T02:19:00Z,780000,False,,,0,,L. Doncic Free Throw 1 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,Made,,,,,,,,3.0,,,,,
79,PT07M30.00S,2023-12-03T02:19:01.9Z,1,REGULAR,substitution,out,[],203552,,,1610612742,8,4,2023-12-03T02:19:05Z,790000,False,,,0,,SUB out: S. Curry,[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT07M30.00S,2023-12-03T02:19:01.9Z,1,REGULAR,substitution,in,[],1630702,,,1610612742,8,4,2023-12-03T02:19:05Z,800000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT07M30.00S,2023-12-03T02:19:17.5Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,9,4,2023-12-03T02:19:17Z,810000,False,,,0,,L. Doncic Free Throw 2 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,Made,,,,,,,,4.0,,,,,
82,PT07M16.00S,2023-12-03T02:19:32.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,33.459264126149804,55.392156862745104,1610612760,9,7,2023-12-03T02:19:40Z,820000,False,-27.0,262.0,1,left,L. Dort 26' 3PT  (3 PTS) (J. Williams 1 AST),"[1629652, 1631114]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,,26.34,Made,,,,,,,,3.0,,,J. Williams,1631114.0,1.0
84,PT07M03.00S,2023-12-03T02:19:46.5Z,1,REGULAR,2pt,Jump Shot,[],1629029,77.08607095926413,27.450980392156865,1610612742,11,7,2023-12-03T02:19:51Z,840000,False,-113.0,163.0,1,right,L. Doncic 19' step back Jump Shot (6 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,,,,,,19.81,Made,,,,,,,,6.0,,,,,
