actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
18,PT10M00.00S,2024-04-07T19:42:28.1Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612742,2,6,2024-04-07T19:42:40Z,180000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Irving 2 FT),"[1630224, 202681]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200832.0,1.0,0.0,Irving,202681.0,,,
20,PT10M00.00S,2024-04-07T19:42:59.6Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612742,3,6,2024-04-07T19:42:59Z,200000,False,,,0,,K. Irving Free Throw 1 of 2 (3 PTS),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
21,PT10M00.00S,2024-04-07T19:42:59.6Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612742,3,6,2024-04-07T19:43:25Z,210000,False,,,0,,MISS K. Irving Free Throw 2 of 2,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
22,PT09M58.00S,2024-04-07T19:43:01.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,3,6,2024-04-07T19:43:25Z,220000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,21.0,,,,,,,,,1.0,1.0,0.0
24,PT09M48.00S,2024-04-07T19:43:54.3Z,1,REGULAR,3pt,Jump Shot,[],1627832,88.25558475689881,3.1862745098039214,1610612745,3,6,2024-04-07T19:43:57Z,240000,False,-234.0,58.0,1,right,MISS F. VanVleet 24' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Left Corner 3,24+ Left,,,,24.12,Missed,,,,,,,,,,,,,,,
25,PT09M46.00S,2024-04-07T19:43:56.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,3,6,2024-04-07T19:43:57Z,250000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Left Corner 3,24+ Left,,,,,,,,,24.0,,,,,,,,,1.0,1.0,0.0
26,PT09M34.00S,2024-04-07T19:44:10.5Z,1,REGULAR,turnover,traveling,[],1627884,,,1610612742,3,6,2024-04-07T19:44:16Z,260000,False,,,0,,D. Jones Jr. traveling TURNOVER (1 TO),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,200832.0,,,,,,,
27,PT09M27.00S,2024-04-07T19:44:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641708,92.19776609724047,45.09803921568628,1610612745,3,8,2024-04-07T19:44:29Z,270000,False,-25.0,21.0,1,right,A. Thompson cutting Layup (2 PTS) (F. VanVleet 1 AST),"[1641708, 1627832]",1610612745.0,HOU,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,3.21,Made,2.0,,,,F. VanVleet,1627832.0,1.0,,,,,,,,
29,PT09M27.00S,2024-04-07T19:44:27.4Z,1,REGULAR,foul,personal,['1freethrow'],1629655,,,1610612745,3,8,2024-04-07T19:44:33Z,290000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Thompson 1 FT),"[1629655, 1641708]",1610612742.0,DAL,shooting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200832.0,1.0,0.0,Thompson,1641708.0,,,
31,PT09M27.00S,2024-04-07T19:44:49.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1641708,,,1610612745,3,9,2024-04-07T19:44:49Z,310000,False,,,0,,A. Thompson Free Throw 1 of 1 (3 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
32,PT09M15.00S,2024-04-07T19:45:02.1Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,3,9,2024-04-07T19:45:05Z,320000,False,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1628415]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,2.0,Brooks,1628415.0,,,,,,,,,,,,,,,,,
33,PT09M15.00S,2024-04-07T19:45:02.1Z,1,REGULAR,steal,,[],1628415,,,1610612745,3,9,2024-04-07T19:45:03Z,330000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
34,PT09M03.00S,2024-04-07T19:45:13.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627832,80.50262812089356,55.88235294117647,1610612745,3,9,2024-04-07T19:45:17Z,340000,False,29.0,131.0,1,right,MISS F. VanVleet 13' step back Shot,[1627832],1610612745.0,HOU,step back,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,13.41,Missed,,,,,,,,,,,,,,,
35,PT09M00.00S,2024-04-07T19:45:16.2Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,3,9,2024-04-07T19:45:17Z,350000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,34.0,,,,,,,,,1.0,1.0,0.0
36,PT08M52.00S,2024-04-07T19:45:24.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,18.478975032851512,50.49019607843137,1610612742,5,9,2024-04-07T19:45:45Z,360000,False,-2.0,121.0,1,left,L. Doncic 12' turnaround fadeaway Jump Shot (2 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,12.12,Made,2.0,,,,,,,,,,,,,,
37,PT08M40.00S,2024-04-07T19:45:36.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,93.24901445466492,48.529411764705884,1610612745,5,11,2024-04-07T19:45:40Z,370000,False,-7.0,11.0,1,right,J. Smith Jr. cutting Layup (2 PTS) (A. Thompson 1 AST),"[1631095, 1641708]",1610612745.0,HOU,cutting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,1.33,Made,2.0,,,,A. Thompson,1641708.0,1.0,,,,,,,,
39,PT08M25.00S,2024-04-07T19:45:50.9Z,1,REGULAR,3pt,Jump Shot,[],202681,25.312089356110377,85.7843137254902,1610612742,5,11,2024-04-07T19:45:55Z,390000,False,-179.0,185.0,1,left,MISS K. Irving 25' step back 3PT,[202681],1610612742.0,DAL,step back,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,,,,25.76,Missed,,,,,,,,,,,,,,,
40,PT08M23.00S,2024-04-07T19:45:52.9Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,5,11,2024-04-07T19:45:55Z,400000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,39.0,,,,,,,,,2.0,2.0,0.0
41,PT08M20.00S,2024-04-07T19:45:56.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,71.43561103810775,19.11764705882353,1610612745,5,14,2024-04-07T19:46:01Z,410000,False,-154.0,216.0,1,right,F. VanVleet 26' 3PT pullup (5 PTS) (J. Smith Jr. 1 AST),"[1627832, 1631095]",1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,26.55,Made,5.0,,,,J. Smith Jr.,1631095.0,1.0,,,,,,,,
43,PT08M19.00S,2024-04-07T19:46:01.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,5,14,2024-04-07T19:46:01Z,430000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2024-04-07T19:49:26.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,24.78646517739816,86.76470588235294,1610612742,5,14,2024-04-07T19:49:58Z,440000,False,-184.0,180.0,1,left,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,25.76,Missed,,,,,,,,,,,,,,,
45,PT07M52.00S,2024-04-07T19:49:28.3Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,5,14,2024-04-07T19:49:58Z,450000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,44.0,,,,,,,,,1.0,1.0,0.0
46,PT07M47.00S,2024-04-07T19:49:33.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,69.20170827858082,25.0,1610612745,5,17,2024-04-07T19:50:22Z,460000,False,-125.0,237.0,1,right,J. Green 26' 3PT running (5 PTS) (A. Thompson 2 AST),"[1630224, 1641708]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,26.79,Made,5.0,,,,A. Thompson,1641708.0,2.0,,,,,,,,
48,PT07M37.00S,2024-04-07T19:49:46.9Z,1,REGULAR,foul,offensive,[],202681,,,1610612742,5,17,2024-04-07T19:49:52Z,480000,False,,,0,,K. Irving offensive FOUL (1 PF),"[202681, 1627832]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,200833.0,1.0,0.0,VanVleet,1627832.0,,,
50,PT07M37.00S,2024-04-07T19:49:46.9Z,1,REGULAR,turnover,offensive foul,[],202681,,,1610612742,5,17,2024-04-07T19:49:46Z,500000,False,,,0,,K. Irving offensive foul TURNOVER (1 TO),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,1.0,,,,,,,,,,,,200833.0,,,,,,,
51,PT07M37.00S,2024-04-07T19:49:53.3Z,1,REGULAR,substitution,out,[],1627884,,,1610612745,5,17,2024-04-07T19:49:58Z,510000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M37.00S,2024-04-07T19:49:53.3Z,1,REGULAR,substitution,in,[],203957,,,1610612745,5,17,2024-04-07T19:49:58Z,520000,False,,,0,,SUB in: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M19.00S,2024-04-07T19:50:21.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,86.81011826544021,95.58823529411765,1610612745,5,17,2024-04-07T19:50:28Z,530000,False,228.0,71.0,1,right,MISS F. VanVleet step back 3PT,[1627832],1610612745.0,HOU,step back,,,VanVleet,F. VanVleet,,,,,Right Corner 3,24+ Right,,,,23.89,Missed,,,,,,,,,,,,,,,
54,PT07M18.00S,2024-04-07T19:50:22.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,5,17,2024-04-07T19:50:28Z,540000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Right Corner 3,24+ Right,,,,,,,,,53.0,,,,,,,,,2.0,2.0,0.0
55,PT07M18.00S,2024-04-07T19:50:28.6Z,1,REGULAR,foul,personal,[],1628415,,,1610612742,5,17,2024-04-07T19:50:33Z,550000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1629029]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200833.0,1.0,0.0,Doncic,1629029.0,,,
57,PT06M59.00S,2024-04-07T19:51:01.2Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,5,17,2024-04-07T19:51:06Z,570000,False,,,0,,L. Doncic lost ball TURNOVER (3 TO),"[1629029, 1630224]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,3.0,Green,1630224.0,,,,,,,,,,,,,,,,,
58,PT06M59.00S,2024-04-07T19:51:01.2Z,1,REGULAR,steal,,[],1630224,,,1610612745,5,17,2024-04-07T19:51:03Z,580000,False,,,0,,J. Green STEAL (2 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2024-04-07T19:51:04.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630224,93.77463863337714,50.73529411764706,1610612745,5,19,2024-04-07T19:52:34Z,590000,False,4.0,6.0,1,right,J. Green running finger roll Layup (7 PTS),[1630224],1610612745.0,HOU,running finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,0.7,Made,7.0,,,,,,,,,,,,,,
60,PT06M42.00S,2024-04-07T19:51:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,8.229303547963205,53.431372549019606,1610612742,5,19,2024-04-07T19:51:22Z,600000,False,-17.0,25.0,1,left,MISS P. Washington driving Layup - blocked,"[1629023, 1631095]",1610612742.0,DAL,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,3.03,Missed,,Smith Jr.,1631095.0,,,,,,,,,,,,
61,PT06M42.00S,2024-04-07T19:51:18.4Z,1,REGULAR,block,,[],1631095,,,1610612742,5,19,2024-04-07T19:51:20Z,610000,False,,,0,,J. Smith Jr. BLOCK (2 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2024-04-07T19:51:18.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,5,19,2024-04-07T19:51:22Z,620000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,60.0,,,,,,,,,,,
64,PT06M26.00S,2024-04-07T19:51:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,79.84559789750328,42.8921568627451,1610612745,5,21,2024-04-07T19:51:44Z,640000,False,-36.0,137.0,1,right,J. Green 14' pullup Jump Shot (9 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,14.15,Made,9.0,,,,,,,,,,,,,,
65,PT06M14.00S,2024-04-07T19:51:53.4Z,1,REGULAR,3pt,Jump Shot,[],1629023,5.601182654402102,97.05882352941177,1610612742,5,21,2024-04-07T19:51:56Z,650000,False,-235.0,0.0,1,left,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,,,,23.53,Missed,,,,,,,,,,,,,,,
66,PT06M12.00S,2024-04-07T19:51:55.4Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,5,21,2024-04-07T19:51:56Z,660000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,,,,,,,,,65.0,,,,,,,,,2.0,2.0,0.0
67,PT06M00.00S,2024-04-07T19:52:06.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,73.01248357424441,15.441176470588236,1610612745,5,24,2024-04-07T19:53:56Z,670000,False,-173.0,201.0,1,right,J. Green 26' 3PT pullup (12 PTS) (A. Thompson 3 AST),"[1630224, 1641708]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,26.52,Made,12.0,,,,A. Thompson,1641708.0,3.0,,,,,,,,
69,PT05M50.00S,2024-04-07T19:52:21.5Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612742,5,24,2024-04-07T19:52:30Z,690000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Irving 2 FT),"[1627832, 202681]",1610612745.0,HOU,shooting,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,200832.0,1.0,0.0,Irving,202681.0,,,
71,PT05M50.00S,2024-04-07T19:52:50.0Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612742,6,24,2024-04-07T19:52:50Z,710000,False,,,0,,K. Irving Free Throw 1 of 2 (4 PTS),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
72,PT05M50.00S,2024-04-07T19:52:51.9Z,1,REGULAR,substitution,out,[],1629655,,,1610612742,6,24,2024-04-07T19:53:04Z,720000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M50.00S,2024-04-07T19:52:51.9Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,6,24,2024-04-07T19:53:04Z,730000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M50.00S,2024-04-07T19:53:15.9Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612742,7,24,2024-04-07T19:53:15Z,740000,False,,,0,,K. Irving Free Throw 2 of 2 (5 PTS),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
76,PT05M38.00S,2024-04-07T19:53:37.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,64.60249671484888,22.058823529411764,1610612745,7,24,2024-04-07T19:53:43Z,760000,False,-140.0,280.0,1,right,MISS F. VanVleet 31' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,31.31,Missed,,,,,,,,,,,,,,,
77,PT05M33.00S,2024-04-07T19:53:42.8Z,1,REGULAR,rebound,defensive,[],203957,,,1610612742,7,24,2024-04-07T19:53:43Z,770000,False,,,0,,D. Exum REBOUND (Off:0 Def:1),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,76.0,,,,,,,,,1.0,1.0,0.0
78,PT05M28.00S,2024-04-07T19:53:49.0Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612742,7,24,2024-04-07T19:53:59Z,780000,False,,,0,,F. VanVleet shooting personal FOUL (2 PF) (Exum 2 FT),"[1627832, 203957]",1610612745.0,HOU,shooting,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,200833.0,2.0,0.0,Exum,203957.0,,,
80,PT05M28.00S,2024-04-07T19:54:13.2Z,1,REGULAR,freethrow,1 of 2,[],203957,,,1610612742,8,24,2024-04-07T19:54:13Z,800000,False,,,0,,D. Exum Free Throw 1 of 2 (1 PTS),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
81,PT05M28.00S,2024-04-07T19:54:15.7Z,1,REGULAR,substitution,out,[],202681,,,1610612742,8,24,2024-04-07T19:54:28Z,810000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M28.00S,2024-04-07T19:54:15.7Z,1,REGULAR,substitution,in,[],203501,,,1610612742,8,24,2024-04-07T19:54:28Z,820000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M28.00S,2024-04-07T19:54:32.1Z,1,REGULAR,freethrow,2 of 2,[],203957,,,1610612742,9,24,2024-04-07T19:54:32Z,830000,False,,,0,,D. Exum Free Throw 2 of 2 (2 PTS),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
84,PT05M16.00S,2024-04-07T19:54:46.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,76.16622864651774,86.76470588235294,1610612745,9,24,2024-04-07T19:54:51Z,840000,False,184.0,172.0,1,right,MISS J. Green 25' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,25.14,Missed,,,,,,,,,,,,,,,
85,PT05M12.00S,2024-04-07T19:54:50.3Z,1,REGULAR,rebound,defensive,[],203957,,,1610612742,9,24,2024-04-07T19:54:51Z,850000,False,,,0,,D. Exum REBOUND (Off:0 Def:2),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,84.0,,,,,,,,,2.0,2.0,0.0
86,PT05M01.00S,2024-04-07T19:55:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203957,6.915243101182654,45.83333333333333,1610612742,9,24,2024-04-07T19:55:04Z,860000,False,21.0,13.0,1,left,MISS D. Exum cutting finger roll Layup,[203957],1610612742.0,DAL,cutting finger roll,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,,,,2.43,Missed,,,,,,,,,,,,,,,
87,PT05M00.00S,2024-04-07T19:55:01.3Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,9,24,2024-04-07T19:55:04Z,870000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,86.0,,,,,,,,,3.0,3.0,0.0
