actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
40,PT09M03.00S,2024-03-22T00:45:27.2Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,1,8,2024-03-22T00:45:32Z,400000,False,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT09M00.00S,2024-03-22T00:45:29.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629023,6.783837056504599,50.245098039215684,1610612742,3,8,2024-03-22T00:45:37Z,410000,False,-1.0,11.0,1,left,P. Washington running DUNK (2 PTS) (K. Irving 1 AST),"[1629023, 202681]",1610612742.0,DAL,running,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.14,Made,2.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,
43,PT08M37.00S,2024-03-22T00:45:52.8Z,1,REGULAR,turnover,lost ball,[],1641707,,,1610612762,3,8,2024-03-22T00:46:00Z,430000,False,,,0,,T. Hendricks lost ball TURNOVER (1 TO),"[1641707, 1629029]",1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Doncic,1629029.0,,
44,PT08M37.00S,2024-03-22T00:45:52.8Z,1,REGULAR,steal,,[],1629029,,,1610612742,3,8,2024-03-22T00:45:54Z,440000,False,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M32.00S,2024-03-22T00:45:58.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627884,8.015768725361367,45.33930759803921,1610612742,5,8,2024-03-22T00:46:09Z,450000,False,23.0,23.0,1,left,D. Jones Jr. running Layup (2 PTS) (L. Doncic 1 AST),"[1627884, 1629029]",1610612742.0,DAL,running,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,3.26,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
47,PT08M18.00S,2024-03-22T00:46:11.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,66.75016425755584,52.22886029411765,1610612762,5,8,2024-03-22T00:46:22Z,470000,False,11.0,260.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,26.02,Missed,,,,,,,,,,,,,,,,,,
48,PT08M16.00S,2024-03-22T00:46:13.3Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,5,8,2024-03-22T00:46:22Z,480000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Center,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,
49,PT08M04.00S,2024-03-22T00:46:26.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,6.783837056504599,50.49019607843137,1610612742,7,8,2024-03-22T00:46:32Z,490000,False,-2.0,11.0,1,left,D. Gafford alley-oop DUNK (3 PTS) (L. Doncic 2 AST),"[1629655, 1629029]",1610612742.0,DAL,alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.16,Made,3.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,
51,PT07M42.00S,2024-03-22T00:46:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,82.34231274638634,40.931372549019606,1610612762,7,8,2024-03-22T00:46:57Z,510000,False,-45.0,113.0,1,right,MISS L. Markkanen 12' turnaround fadeaway Shot,[1628374],1610612762.0,UTA,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,12.22,Missed,,,,,,,,,,,,,,,,,,
52,PT07M39.00S,2024-03-22T00:46:51.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,7,8,2024-03-22T00:46:57Z,520000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
