actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
19,PT10M20.00S,2023-12-21T01:42:06.4Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,2,3,2023-12-21T01:42:12Z,190000,False,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,,,,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M17.00S,2023-12-21T01:42:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629611,95.3515111695138,50.49019607843137,1610612746,2,5,2023-12-21T01:42:18Z,200000,False,2.0,-9.0,1,right,T. Mann running Layup (2 PTS) (J. Harden 2 AST),"[1629611, 201935]",1610612746.0,LAC,running,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,0.91,Made,,,,,,,,2.0,J. Harden,201935.0,2.0,,,,,,,
22,PT10M05.00S,2023-12-21T01:42:21.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.042706964520367,21.323529411764707,1610612742,2,5,2023-12-21T01:43:45Z,220000,False,143.0,230.0,1,left,MISS L. Doncic 27' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,27.1,Missed,,,,,,,,,,,,,,,,,,
23,PT10M03.00S,2023-12-21T01:42:23.5Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612742,2,5,2023-12-21T01:42:23Z,230000,False,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Right Center,,,22.0,,,,1.0,0.0,1.0,,,,,,,,,,,
24,PT09M54.00S,2023-12-21T01:42:32.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629029,32.933639947437584,61.029411764705884,1610612742,2,5,2023-12-21T01:42:36Z,240000,False,-55.0,257.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
25,PT09M51.00S,2023-12-21T01:42:35.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,5,2023-12-21T01:42:36Z,250000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Center,,,24.0,,,,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M33.00S,2023-12-21T01:42:53.4Z,1,REGULAR,3pt,Jump Shot,[],202695,68.41327201051249,64.95098039215686,1610612746,2,5,2023-12-21T01:42:57Z,260000,False,75.0,244.0,1,right,MISS K. Leonard 25' step back 3PT,[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,,,,,,,,,,,,,,
27,PT09M32.00S,2023-12-21T01:42:54.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,2,5,2023-12-21T01:42:57Z,270000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Center,,,26.0,,,,,,,,,,,,,,,,,
29,PT09M25.00S,2023-12-21T01:43:13.5Z,1,REGULAR,foul,personal,['2freethrow'],1629599,,,1610612742,2,5,2023-12-21T01:52:39Z,290000,False,,,0,,A. Coffey shooting personal FOUL (1 PF) (Doncic 2 FT),"[1629599, 1629029]",1610612746.0,LAC,shooting,,,Coffey,A. Coffey,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,1628953.0,1.0,0.0,Doncic,1629029.0,,
31,PT09M25.00S,2023-12-21T01:43:39.6Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,2,5,2023-12-21T01:43:39Z,310000,False,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
32,PT09M25.00S,2023-12-21T01:43:39.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,2,5,2023-12-21T01:43:39Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,
33,PT09M25.00S,2023-12-21T01:43:55.6Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,3,5,2023-12-21T01:43:55Z,330000,False,,,0,,L. Doncic Free Throw 2 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
34,PT09M12.00S,2023-12-21T01:44:09.3Z,1,REGULAR,3pt,Jump Shot,[],1629611,94.30026281208936,3.9215686274509802,1610612746,3,8,2023-12-21T01:44:12Z,340000,False,-230.0,1.0,1,right,T. Mann 3PT  (5 PTS) (A. Coffey 1 AST),"[1629611, 1629599]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,23.04,Made,,,,,,,,5.0,A. Coffey,1629599.0,1.0,,,,,,,
36,PT09M01.00S,2023-12-21T01:44:20.2Z,1,REGULAR,3pt,Jump Shot,[],1627884,31.61957950065703,57.84313725490197,1610612742,6,8,2023-12-21T01:44:24Z,360000,False,-39.0,245.0,1,left,D. Jones Jr. 24' 3PT  (3 PTS) (L. Doncic 2 AST),"[1627884, 1629029]",1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Center,24.78,Made,,,,,,,,3.0,L. Doncic,1629029.0,2.0,,,,,,,
38,PT08M46.00S,2023-12-21T01:44:35.2Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,6,8,2023-12-21T01:44:38Z,380000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1627884]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Center,,,,1.0,Jones Jr.,1627884.0,,,,,,,,,,,,,,
39,PT08M46.00S,2023-12-21T01:44:35.2Z,1,REGULAR,steal,,[],1627884,,,1610612742,6,8,2023-12-21T01:44:36Z,390000,False,,,0,,D. Jones Jr. STEAL (1 STL),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M37.00S,2023-12-21T01:44:44.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,6.1268068331143235,97.54901960784314,1610612742,9,8,2023-12-21T01:44:47Z,400000,False,-238.0,5.0,1,left,G. Williams 3PT  (3 PTS) (L. Doncic 3 AST),"[1629684, 1629029]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,23.78,Made,,,,,,,,3.0,L. Doncic,1629029.0,3.0,,,,,,,
42,PT08M09.00S,2023-12-21T01:45:12.2Z,1,REGULAR,3pt,Jump Shot,[],1629599,94.69448094612353,4.166666666666666,1610612746,9,8,2023-12-21T01:45:38Z,420000,False,-229.0,-3.0,1,right,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
43,PT08M07.00S,2023-12-21T01:45:14.2Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612742,9,8,2023-12-21T01:45:15Z,430000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,,,42.0,,,,1.0,1.0,0.0,,,,,,,,,,,
44,PT07M53.00S,2023-12-21T01:45:28.4Z,1,REGULAR,3pt,Jump Shot,[],203957,6.915243101182654,95.34313725490196,1610612742,9,8,2023-12-21T01:45:33Z,440000,False,-227.0,13.0,1,left,MISS D. Exum 3PT,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,Left Corner 3,24+ Left,22.7,Missed,,,,,,,,,,,,,,,,,,
45,PT07M49.00S,2023-12-21T01:45:32.4Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612742,9,8,2023-12-21T01:45:33Z,450000,False,,,0,,D. Jones Jr. REBOUND (Off:2 Def:0),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Left Corner 3,24+ Left,,,44.0,,,,2.0,0.0,2.0,,,,,,,,,,,
46,PT07M49.00S,2023-12-21T01:45:32.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1627884,5.590000152587891,50.0,1610612742,11,8,2023-12-21T01:45:37Z,460000,False,0.0,0.0,1,left,D. Jones Jr. tip DUNK (5 PTS),[1627884],1610612742.0,DAL,tip,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,5.0,,,,,,,,,,
47,PT07M28.00S,2023-12-21T01:45:53.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,86.5473061760841,50.98039215686274,1610612746,11,10,2023-12-21T01:46:31Z,470000,False,5.0,74.0,1,right,K. Leonard 7' driving floating Jump Shot (2 PTS) (J. Harden 3 AST),"[202695, 201935]",1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,7.42,Made,,,,,,,,2.0,J. Harden,201935.0,3.0,,,,,,,
49,PT07M17.00S,2023-12-21T01:46:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,9.806176084099869,49.754901960784316,1610612742,11,10,2023-12-21T01:46:08Z,490000,False,1.0,40.0,1,left,MISS L. Doncic driving Layup - blocked,"[1629029, 201935]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,3.97,Missed,,,,,,,,,,,,,,,,,Harden,201935.0
50,PT07M17.00S,2023-12-21T01:46:05.5Z,1,REGULAR,block,,[],201935,,,1610612742,11,10,2023-12-21T01:46:07Z,500000,False,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT07M17.00S,2023-12-21T01:46:05.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,11,10,2023-12-21T01:46:08Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,49.0,,,,,,,,,,,,,,,,,
53,PT07M09.00S,2023-12-21T01:46:25.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629029,24.917871222076215,69.11764705882352,1610612742,11,10,2023-12-21T01:46:30Z,530000,False,-96.0,182.0,1,left,MISS L. Doncic 20' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,20.53,Missed,,,,,,,,,,,,,,,,,,
54,PT07M07.00S,2023-12-21T01:46:27.3Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,11,10,2023-12-21T01:46:30Z,540000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Left Center,,,53.0,,,,1.0,1.0,0.0,,,,,,,,,,,
55,PT06M58.00S,2023-12-21T01:46:37.3Z,1,REGULAR,3pt,Jump Shot,[],201935,82.07950065703022,95.34313725490196,1610612746,11,10,2023-12-21T01:46:41Z,550000,False,227.0,116.0,1,right,MISS J. Harden 25' step back 3PT,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.47,Missed,,,,,,,,,,,,,,,,,,
56,PT06M54.00S,2023-12-21T01:46:41.3Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612742,11,10,2023-12-21T01:46:41Z,560000,False,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,55.0,,,,2.0,2.0,0.0,,,,,,,,,,,
57,PT06M49.00S,2023-12-21T01:46:45.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203957,9.017739816031538,45.34313725490196,1610612742,11,10,2023-12-21T01:46:52Z,570000,False,23.0,32.0,1,left,MISS D. Exum running Layup - blocked,"[203957, 1629611]",1610612742.0,DAL,running,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,3.98,Missed,,,,,,,,,,,,,,,,,Mann,1629611.0
58,PT06M49.00S,2023-12-21T01:46:45.5Z,1,REGULAR,block,,[],1629611,,,1610612742,11,10,2023-12-21T01:46:47Z,580000,False,,,0,,T. Mann BLOCK (1 BLK),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M47.00S,2023-12-21T01:46:47.5Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,11,10,2023-12-21T01:46:52Z,590000,False,,,0,,A. Coffey REBOUND (Off:0 Def:2),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Restricted Area,0-8 Center,,,57.0,,,,2.0,2.0,0.0,,,,,,,,,,,
60,PT06M38.00S,2023-12-21T01:46:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,88.64980289093299,50.0,1610612746,11,10,2023-12-21T01:47:02Z,600000,False,0.0,54.0,1,right,MISS K. Leonard driving floating Shot,[202695],1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,5.42,Missed,,,,,,,,,,,,,,,,,,
61,PT06M37.00S,2023-12-21T01:46:58.4Z,1,REGULAR,rebound,offensive,[],202695,,,1610612746,11,10,2023-12-21T01:46:58Z,610000,False,,,0,,K. Leonard REBOUND (Off:1 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,60.0,,,,2.0,1.0,1.0,,,,,,,,,,,
62,PT06M36.00S,2023-12-21T01:47:01.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202695,92.85479632063075,50.245098039215684,1610612746,11,12,2023-12-21T01:47:08Z,620000,False,1.0,15.0,1,right,K. Leonard putback Layup (4 PTS),[202695],1610612746.0,LAC,putback,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,,4.0,,,,,,,,,,
63,PT06M36.00S,2023-12-21T01:47:03.3Z,1,REGULAR,foul,personal,['1freethrow'],203939,,,1610612746,11,12,2023-12-21T01:47:10Z,630000,False,,,0,,D. Powell shooting personal FOUL (1 PF) (Leonard 1 FT),"[203939, 202695]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627526.0,1.0,0.0,Leonard,202695.0,,
65,PT06M36.00S,2023-12-21T01:47:13.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,11,12,2023-12-21T01:50:55Z,650000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M36.00S,2023-12-21T01:47:17.8Z,1,REGULAR,substitution,out,[],203957,,,1610612746,11,12,2023-12-21T01:50:55Z,660000,False,,,0,,SUB out: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M36.00S,2023-12-21T01:47:17.8Z,1,REGULAR,substitution,in,[],203501,,,1610612746,11,12,2023-12-21T01:50:55Z,670000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M36.00S,2023-12-21T01:50:29.3Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],202695,,,1610612746,11,13,2023-12-21T01:50:29Z,680000,False,,,0,,K. Leonard Free Throw 1 of 1 (5 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
69,PT06M22.00S,2023-12-21T01:50:50.6Z,1,REGULAR,foul,technical,['1freethrow'],1627826,,,1610612742,11,13,2023-12-21T01:50:55Z,690000,False,,,0,,I. Zubac defensive-3-second technical FOUL (1 Tech),[1627826],1610612746.0,LAC,defensive-3-second,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,1627526.0,0.0,1.0,,,,
70,PT06M22.00S,2023-12-21T01:51:07.6Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,12,13,2023-12-21T01:51:07Z,700000,False,,,0,,L. Doncic technical Free Throw 1 of 1 (2 PTS),[1629029],1610612742.0,DAL,technical,,,Doncic,L. Doncic,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
71,PT06M22.00S,2023-12-21T01:51:08.6Z,1,REGULAR,substitution,out,[],1629611,,,1610612742,12,13,2023-12-21T01:51:16Z,710000,False,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2023-12-21T01:51:08.6Z,1,REGULAR,substitution,in,[],201566,,,1610612742,12,13,2023-12-21T01:51:16Z,720000,False,,,0,,SUB in: R. Westbrook,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M17.00S,2023-12-21T01:51:30.6Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,12,13,2023-12-21T01:51:34Z,730000,False,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1629599]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,2.0,Coffey,1629599.0,,,,,,,,,,,,,,
74,PT06M17.00S,2023-12-21T01:51:30.6Z,1,REGULAR,steal,,[],1629599,,,1610612746,12,13,2023-12-21T01:51:32Z,740000,False,,,0,,A. Coffey STEAL (1 STL),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
75,PT06M13.00S,2023-12-21T01:51:33.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629599,94.30026281208936,47.794117647058826,1610612746,12,15,2023-12-21T01:51:38Z,750000,False,-11.0,1.0,1,right,A. Coffey running finger roll Layup (5 PTS),[1629599],1610612746.0,LAC,running finger roll,,,Coffey,A. Coffey,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,,,,5.0,,,,,,,,,,
78,PT05M48.00S,2023-12-21T01:52:27.0Z,1,REGULAR,2pt,Jump Shot,[],203501,12.040078843626807,12.254901960784313,1610612742,12,15,2023-12-21T01:52:47Z,780000,False,189.0,61.0,1,left,MISS T. Hardaway Jr. 19' Jump Shot,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Right,19.82,Missed,,,,,,,,,,,,,,,,,,
79,PT05M44.00S,2023-12-21T01:52:29.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,12,15,2023-12-21T01:52:29Z,790000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Right,,,78.0,,,,2.0,2.0,0.0,,,,,,,,,,,
80,PT05M41.00S,2023-12-21T01:52:35.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,94.30026281208936,46.568627450980394,1610612746,12,17,2023-12-21T01:52:55Z,800000,False,-17.0,1.0,1,right,J. Harden running finger roll Layup (2 PTS),[201935],1610612746.0,LAC,running finger roll,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.72,Made,,,,,,,,2.0,,,,,,,,,,
81,PT05M41.00S,2023-12-21T01:52:38.4Z,1,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612746,12,17,2023-12-21T01:52:48Z,810000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Harden 1 FT),"[1629684, 201935]",1610612742.0,DAL,shooting,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628953.0,1.0,0.0,Harden,201935.0,,
83,PT05M41.00S,2023-12-21T01:53:04.2Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],201935,,,1610612746,12,18,2023-12-21T01:53:04Z,830000,False,,,0,,J. Harden Free Throw 1 of 1 (3 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
84,PT05M26.00S,2023-12-21T01:53:22.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203501,11.908672798948752,43.13725490196079,1610612742,12,18,2023-12-21T01:53:25Z,840000,False,34.0,59.0,1,left,MISS T. Hardaway Jr. 6' driving Hook,[203501],1610612742.0,DAL,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.86,Missed,,,,,,,,,,,,,,,,,,
85,PT05M23.00S,2023-12-21T01:53:25.3Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,12,18,2023-12-21T01:53:25Z,850000,False,,,0,,A. Coffey REBOUND (Off:0 Def:3),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),0-8 Center,,,84.0,,,,3.0,3.0,0.0,,,,,,,,,,,
86,PT05M13.00S,2023-12-21T01:53:34.8Z,1,REGULAR,3pt,Jump Shot,[],201566,92.19776609724047,96.32352941176471,1610612746,12,18,2023-12-21T01:53:38Z,860000,False,232.0,21.0,1,right,MISS R. Westbrook 3PT,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Right Corner 3,24+ Right,23.25,Missed,,,,,,,,,,,,,,,,,,
