actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
28,PT09M27.00S,2026-03-09T01:13:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,7.703679369250986,54.41176470588235,1610612741,4,4,2026-03-09T01:13:29Z,280000,False,-22.0,20.0,1,left,J. Giddey driving Layup (2 PTS),[1630581],1610612741.0,CHI,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.97,,,,,,,,,,,,
29,PT09M14.00S,2026-03-09T01:13:38.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,86.67871222076215,51.225490196078425,1610612758,4,4,2026-03-09T01:13:42Z,290000,False,6.0,73.0,1,right,MISS M. Raynaud 7' floating Shot,[1642875],1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,7.3,,,,,,,,,,,,
30,PT09M11.00S,2026-03-09T01:13:41.2Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,4,4,2026-03-09T01:13:42Z,300000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:2),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,
31,PT09M08.00S,2026-03-09T01:13:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,6.915243101182654,44.11764705882353,1610612741,4,6,2026-03-09T01:13:53Z,310000,False,29.0,13.0,1,left,J. Giddey running reverse Layup (4 PTS) (M. Buzelis 1 AST),"[1630581, 1641824]",1610612741.0,CHI,running reverse,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,3.19,,,,,,,M. Buzelis,1641824.0,1.0,,,
33,PT08M57.00S,2026-03-09T01:13:54.8Z,1,REGULAR,3pt,Jump Shot,[],201566,68.41327201051249,21.323529411764707,1610612758,7,6,2026-03-09T01:13:59Z,330000,False,-143.0,244.0,1,right,R. Westbrook 28' 3PT  (5 PTS) (P. Achiuwa 1 AST),"[201566, 1630173]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,28.34,,,,,,,P. Achiuwa,1630173.0,1.0,,,
35,PT08M48.00S,2026-03-09T01:14:04.3Z,1,REGULAR,3pt,Jump Shot,[],1630171,25.312089356110377,15.686274509803921,1610612741,7,9,2026-03-09T01:14:11Z,350000,False,172.0,185.0,1,left,I. Okoro 25' 3PT  (3 PTS) (T. Jones 1 AST),"[1630171, 1630200]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,25.26,,,,,,,T. Jones,1630200.0,1.0,,,
37,PT08M23.00S,2026-03-09T01:14:28.1Z,1,REGULAR,3pt,Jump Shot,[],1631342,87.99277266754271,4.901960784313726,1610612758,7,9,2026-03-09T01:14:34Z,370000,False,-225.0,60.0,1,right,MISS D. Plowden 3PT,[1631342],1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.34,,,,,,,,,,,,
38,PT08M20.00S,2026-03-09T01:14:31.1Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,7,9,2026-03-09T01:14:34Z,380000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Left Corner 3,24+ Left,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,
39,PT08M06.00S,2026-03-09T01:14:47.2Z,1,REGULAR,turnover,out-of-bounds,[],1641824,,,1610612741,7,9,2026-03-09T01:15:18Z,390000,False,,,0,,M. Buzelis bad pass out-of-bounds TURNOVER (1 TO),[1641824],1610612741.0,CHI,bad pass,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,1628172.0,,,,,,,,,,,,,,,,,1.0,,
40,PT07M48.00S,2026-03-09T01:15:18.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642875,89.43823915900131,49.26470588235294,1610612758,9,9,2026-03-09T01:15:23Z,400000,False,-4.0,47.0,1,right,M. Raynaud floating Jump Shot (2 PTS) (N. Clifford 1 AST),"[1642875, 1642363]",1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,4.69,,,,,,,N. Clifford,1642363.0,1.0,,,
42,PT07M27.00S,2026-03-09T01:15:40.6Z,1,REGULAR,turnover,lost ball,[],1627824,,,1610612741,9,9,2026-03-09T01:15:45Z,420000,False,,,0,,G. Yabusele lost ball TURNOVER (1 TO),"[1627824, 1642363]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Clifford,1642363.0
43,PT07M27.00S,2026-03-09T01:15:40.6Z,1,REGULAR,steal,,[],1642363,,,1610612758,9,9,2026-03-09T01:15:43Z,430000,False,,,0,,N. Clifford STEAL (1 STL),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
44,PT07M23.00S,2026-03-09T01:15:45.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631342,89.83245729303549,53.431372549019606,1610612758,11,9,2026-03-09T01:15:55Z,440000,False,17.0,43.0,1,right,D. Plowden running DUNK (2 PTS) (P. Achiuwa 2 AST),"[1631342, 1630173]",1610612758.0,SAC,running,,,Plowden,D. Plowden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,4.64,,,,,,,P. Achiuwa,1630173.0,2.0,,,
46,PT07M23.00S,2026-03-09T01:16:29.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,11,9,2026-03-09T01:16:29Z,460000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M23.00S,2026-03-09T01:18:24.9Z,1,REGULAR,substitution,out,[],1630200,,,1610612741,11,9,2026-03-09T01:18:42Z,470000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M23.00S,2026-03-09T01:18:24.9Z,1,REGULAR,substitution,out,[],1641824,,,1610612741,11,9,2026-03-09T01:18:42Z,480000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M23.00S,2026-03-09T01:18:24.9Z,1,REGULAR,substitution,in,[],1629012,,,1610612741,11,9,2026-03-09T01:18:42Z,490000,False,,,0,,SUB in: C. Sexton,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M23.00S,2026-03-09T01:18:24.9Z,1,REGULAR,substitution,in,[],1630188,,,1610612741,11,9,2026-03-09T01:18:42Z,500000,False,,,0,,SUB in: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M05.00S,2026-03-09T01:19:09.4Z,1,REGULAR,3pt,Jump Shot,[],1630188,30.17411300919842,25.98039215686275,1610612741,11,12,2026-03-09T01:19:16Z,510000,False,120.0,231.0,1,left,J. Smith 26' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630188, 1630581]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,26.04,,,,,,,J. Giddey,1630581.0,1.0,,,
53,PT06M50.00S,2026-03-09T01:19:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642363,90.75229960578186,50.98039215686274,1610612758,13,12,2026-03-09T01:19:32Z,530000,False,5.0,34.0,1,right,N. Clifford driving Layup (2 PTS) (M. Raynaud 1 AST),"[1642363, 1642875]",1610612758.0,SAC,driving,,,Clifford,N. Clifford,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.47,,,,,,,M. Raynaud,1642875.0,1.0,,,
56,PT06M25.00S,2026-03-09T01:19:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,12.434296977660972,44.11764705882353,1610612741,13,12,2026-03-09T02:03:19Z,560000,False,29.0,64.0,1,left,MISS G. Yabusele 7' driving Layup,[1627824],1610612741.0,CHI,driving,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,7.08,,,,,,,,,,,,
57,PT06M22.00S,2026-03-09T01:20:01.1Z,1,REGULAR,rebound,offensive,[],1627824,,,1610612741,13,12,2026-03-09T01:20:01Z,570000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,
58,PT06M21.00S,2026-03-09T01:20:02.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627824,9.280551905387648,47.30392156862745,1610612741,13,12,2026-03-09T01:20:10Z,580000,False,13.0,35.0,1,left,MISS G. Yabusele Layup - blocked,"[1627824, 1642363]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.72,,,,,Clifford,1642363.0,,,,,,
130,PT06M21.00S,2026-03-09T01:20:02.2Z,1,REGULAR,block,,[],1642363,,,1610612741,13,12,2026-03-09T01:28:18Z,585000,False,,,0,,N. Clifford BLOCK (1 BLK),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M18.00S,2026-03-09T01:20:05.2Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,13,12,2026-03-09T01:20:10Z,590000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,
60,PT06M16.00S,2026-03-09T01:20:07.9Z,1,REGULAR,turnover,bad pass,[],1642363,,,1610612758,13,12,2026-03-09T01:20:12Z,600000,False,,,0,,N. Clifford bad pass TURNOVER (1 TO),"[1642363, 1630581]",1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Giddey,1630581.0
61,PT06M16.00S,2026-03-09T01:20:07.9Z,1,REGULAR,steal,,[],1630581,,,1610612741,13,12,2026-03-09T01:28:00Z,610000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M10.00S,2026-03-09T01:20:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629012,7.5722733245729295,40.68627450980392,1610612741,13,14,2026-03-09T01:20:22Z,620000,False,47.0,19.0,1,left,C. Sexton running Layup (2 PTS) (J. Giddey 2 AST),"[1629012, 1630581]",1610612741.0,CHI,running,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,5.02,,,,,,,J. Giddey,1630581.0,2.0,,,
64,PT06M03.00S,2026-03-09T01:20:20.5Z,1,REGULAR,3pt,Jump Shot,[],1631342,69.46452036793693,22.30392156862745,1610612758,16,14,2026-03-09T01:20:26Z,640000,False,-138.0,235.0,1,right,D. Plowden 27' 3PT  (5 PTS) (M. Raynaud 2 AST),"[1631342, 1642875]",1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,27.23,,,,,,,M. Raynaud,1642875.0,2.0,,,
66,PT05M54.00S,2026-03-09T01:20:33.2Z,1,REGULAR,foul,personal,['2freethrow'],1642363,,,1610612741,16,14,2026-03-09T01:20:42Z,660000,False,,,0,,N. Clifford shooting personal FOUL (1 PF) (Sexton 2 FT),"[1642363, 1629012]",1610612758.0,SAC,shooting,,,Clifford,N. Clifford,,,,,Restricted Area,0-8 Center,1628172.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
68,PT05M54.00S,2026-03-09T01:21:03.3Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612741,16,15,2026-03-09T01:21:36Z,680000,False,,,0,,C. Sexton Free Throw 1 of 2 (3 PTS),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
69,PT05M54.00S,2026-03-09T01:21:04.1Z,1,REGULAR,substitution,out,[],1642363,,,1610612741,16,15,2026-03-09T01:21:18Z,690000,False,,,0,,SUB out: N. Clifford,[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M54.00S,2026-03-09T01:21:04.1Z,1,REGULAR,substitution,out,[],201566,,,1610612741,16,15,2026-03-09T01:21:18Z,700000,False,,,0,,SUB out: R. Westbrook,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M54.00S,2026-03-09T01:21:04.1Z,1,REGULAR,substitution,out,[],1627824,,,1610612741,16,15,2026-03-09T01:21:18Z,710000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M54.00S,2026-03-09T01:21:04.1Z,1,REGULAR,substitution,in,[],1628370,,,1610612741,16,15,2026-03-09T01:21:18Z,720000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M54.00S,2026-03-09T01:21:04.1Z,1,REGULAR,substitution,in,[],1630165,,,1610612741,16,15,2026-03-09T01:21:18Z,730000,False,,,0,,SUB in: K. Hayes,[1630165],1610612758.0,SAC,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M54.00S,2026-03-09T01:21:04.1Z,1,REGULAR,substitution,in,[],1630208,,,1610612741,16,15,2026-03-09T01:21:18Z,740000,False,,,0,,SUB in: N. Richards,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M54.00S,2026-03-09T01:21:03.3Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612741,16,15,2026-03-09T01:21:36Z,750000,False,,,0,,MISS C. Sexton Free Throw 2 of 2,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
76,PT05M51.00S,2026-03-09T01:21:06.3Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,16,15,2026-03-09T01:21:36Z,760000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,
77,PT05M32.00S,2026-03-09T01:21:47.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,82.47371879106439,39.950980392156865,1610612758,16,15,2026-03-09T01:22:00Z,770000,False,-50.0,112.0,1,right,MISS K. Hayes 12' pullup Shot,[1630165],1610612758.0,SAC,pullup,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,12.29,,,,,,,,,,,,
78,PT05M29.00S,2026-03-09T01:21:50.6Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,16,15,2026-03-09T01:21:50Z,780000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,
79,PT05M24.00S,2026-03-09T01:21:55.6Z,1,REGULAR,3pt,Jump Shot,[],1630171,30.17411300919842,27.450980392156865,1610612741,16,18,2026-03-09T01:23:49Z,790000,False,113.0,231.0,1,left,I. Okoro 25' 3PT pullup (6 PTS),[1630171],1610612741.0,CHI,pullup,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,,,Made,6.0,25.71,,,,,,,,,,,,
80,PT05M12.00S,2026-03-09T01:22:08.0Z,1,REGULAR,3pt,Jump Shot,[],1631342,66.17936925098554,33.57843137254902,1610612758,16,18,2026-03-09T01:22:12Z,800000,False,-82.0,265.0,1,right,MISS D. Plowden 27' 3PT,[1631342],1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,Above the Break 3,24+ Center,,,,,,Missed,,27.78,,,,,,,,,,,,
81,PT05M08.00S,2026-03-09T01:22:12.0Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612741,16,18,2026-03-09T01:22:12Z,810000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,
82,PT05M05.00S,2026-03-09T01:22:16.0Z,1,REGULAR,foul,personal,['2freethrow'],1631342,,,1610612741,16,18,2026-03-09T01:22:27Z,820000,False,,,0,,D. Plowden shooting personal FOUL (1 PF) (Sexton 2 FT),"[1631342, 1629012]",1610612758.0,SAC,shooting,,,Plowden,D. Plowden,,,,,Restricted Area,0-8 Center,202026.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
