actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
20,PT10M35.00S,2026-03-16T02:12:09.9Z,1,REGULAR,3pt,Jump Shot,[],1641729,28.86005256241787,74.75490196078431,1610612762,3,0,2026-03-16T02:12:14Z,200000,False,-124.0,219.0,1,left,MISS B. Sensabaugh 25' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,25.14,Missed,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2026-03-16T02:12:12.9Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,3,0,2026-03-16T02:12:14Z,210000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,
81,PT10M25.00S,2026-03-16T02:12:15.0Z,1,REGULAR,turnover,lost ball,[],1630173,,,1610612758,3,0,2026-03-16T02:22:21Z,215000,False,,,0,,P. Achiuwa lost ball TURNOVER (1 TO),"[1630173, 1642268]",1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Collier,1642268.0,,,
82,PT10M25.00S,2026-03-16T02:12:15.0Z,1,REGULAR,steal,,[],1642268,,,1610612762,3,0,2026-03-16T02:22:21Z,217500,False,,,0,,I. Collier STEAL (1 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M22.00S,2026-03-16T02:12:29.2Z,1,REGULAR,turnover,out-of-bounds,[],1642262,,,1610612762,3,0,2026-03-16T02:15:59Z,250000,False,,,0,,C. Williams bad pass out-of-bounds TURNOVER (1 TO),[1642262],1610612762.0,UTA,bad pass,,,Williams,C. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,201245.0,,,,,1.0,,,,,
26,PT10M08.00S,2026-03-16T02:12:49.9Z,1,REGULAR,foul,personal,['2freethrow'],1642262,,,1610612758,3,0,2026-03-16T02:13:00Z,260000,False,,,0,,C. Williams shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1642262, 201942]",1610612762.0,UTA,shooting,,,Williams,C. Williams,,,,,Mid-Range,16-24 Center,,,,,,,,,,2003.0,1.0,0.0,DeRozan,201942.0,,,,,,
28,PT10M08.00S,2026-03-16T02:13:11.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612758,4,0,2026-03-16T02:13:11Z,280000,False,,,0,,D. DeRozan Free Throw 1 of 2 (4 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
29,PT10M08.00S,2026-03-16T02:13:24.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612758,5,0,2026-03-16T02:13:24Z,290000,False,,,0,,D. DeRozan Free Throw 2 of 2 (5 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
30,PT09M57.00S,2026-03-16T02:13:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642268,5.995400788436268,49.754901960784316,1610612762,5,0,2026-03-16T02:13:41Z,300000,False,1.0,4.0,1,left,MISS I. Collier driving Layup,[1642268],1610612762.0,UTA,driving,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,0.41,Missed,,,,,,,,,,,,,,,,,,
31,PT09M55.00S,2026-03-16T02:13:38.1Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,5,0,2026-03-16T02:13:41Z,310000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:2),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,
32,PT09M46.00S,2026-03-16T02:13:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,82.34231274638634,51.71568627450981,1610612758,5,0,2026-03-16T02:13:54Z,320000,False,9.0,113.0,1,right,MISS K. Hayes 11' driving floating Shot,[1630165],1610612758.0,SAC,driving floating,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,11.38,Missed,,,,,,,,,,,,,,,,,,
33,PT09M43.00S,2026-03-16T02:13:49.8Z,1,REGULAR,rebound,defensive,[],1642262,,,1610612762,5,0,2026-03-16T02:13:49Z,330000,False,,,0,,C. Williams REBOUND (Off:0 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,
34,PT09M42.00S,2026-03-16T02:13:52.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641989,3.892904073587385,49.01960784313725,1610612762,5,2,2026-03-16T02:13:58Z,340000,False,5.0,-16.0,1,left,E. Harkless running Layup (2 PTS) (C. Williams 1 AST),"[1641989, 1642262]",1610612762.0,UTA,running,,,Harkless,E. Harkless,,,,,In The Paint (Non-RA),0-8 Center,1.66,Made,2.0,,,,,,,,,,,,,,,C. Williams,1642262.0,1.0
35,PT09M16.00S,2026-03-16T02:14:17.1Z,1,REGULAR,3pt,Jump Shot,[],201942,70.51576872536137,21.07843137254902,1610612758,8,2,2026-03-16T02:14:22Z,350000,False,-145.0,225.0,1,right,D. DeRozan 26' 3PT  (8 PTS) (K. Hayes 1 AST),"[201942, 1630165]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,26.72,Made,8.0,,,,,,,,,,,,,,,K. Hayes,1630165.0,1.0
37,PT09M00.00S,2026-03-16T02:14:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,12.040078843626807,53.18627450980392,1610612762,8,4,2026-03-16T02:17:45Z,370000,False,-16.0,61.0,1,left,I. Collier 6' pullup Jump Shot (2 PTS),[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,6.27,Made,2.0,,,,,,,,,,,,,,,,,
38,PT08M47.00S,2026-03-16T02:14:46.6Z,1,REGULAR,turnover,lost ball,[],1630165,,,1610612758,8,4,2026-03-16T02:14:50Z,380000,False,,,0,,K. Hayes lost ball TURNOVER (1 TO),"[1630165, 1643158]",1610612758.0,SAC,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,1.0,Garcia,1643158.0,,,
39,PT08M47.00S,2026-03-16T02:14:46.6Z,1,REGULAR,steal,,[],1643158,,,1610612762,8,4,2026-03-16T02:14:48Z,390000,False,,,0,,A. Garcia STEAL (1 STL),[1643158],1610612762.0,UTA,,,,Garcia,A. Garcia,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
40,PT08M42.00S,2026-03-16T02:14:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641729,6.389618922470433,48.03921568627451,1610612762,8,6,2026-03-16T02:14:58Z,400000,False,10.0,8.0,1,left,B. Sensabaugh running finger roll Layup (2 PTS) (I. Collier 1 AST),"[1641729, 1642268]",1610612762.0,UTA,running finger roll,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,1.24,Made,2.0,,,,,,,,,,,,,,,I. Collier,1642268.0,1.0
42,PT08M28.00S,2026-03-16T02:15:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,84.83902759526939,56.372549019607845,1610612758,8,6,2026-03-16T02:19:02Z,420000,False,32.0,90.0,1,right,MISS P. Achiuwa 9' driving finger roll Layup - blocked,"[1630173, 1642262]",1610612758.0,SAC,driving finger roll,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,9.55,Missed,,,,,,Williams,1642262.0,,,,,,,,,,,
120,PT08M28.00S,2026-03-16T02:15:05.8Z,1,REGULAR,block,,[],1642262,,,1610612758,8,6,2026-03-16T02:27:38Z,425000,False,,,0,,C. Williams BLOCK (1 BLK),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M26.00S,2026-03-16T02:15:07.8Z,1,REGULAR,rebound,defensive,[],1642262,,,1610612762,8,6,2026-03-16T02:15:10Z,430000,False,,,0,,C. Williams REBOUND (Off:0 Def:2),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,
44,PT08M22.00S,2026-03-16T02:15:15.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1642268,11.645860709592641,54.41176470588235,1610612762,8,8,2026-03-16T02:21:48Z,440000,False,-22.0,57.0,1,left,I. Collier 6' running pullup Jump Shot (4 PTS),[1642268],1610612762.0,UTA,running pullup,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,6.11,Made,4.0,,,,,,,,,,,,,,,,,
45,PT08M22.00S,2026-03-16T02:15:18.4Z,1,REGULAR,foul,personal,['1freethrow'],1642363,,,1610612762,8,8,2026-03-16T02:15:30Z,450000,False,,,0,,N. Clifford shooting personal FOUL (1 PF) (Collier 1 FT),"[1642363, 1642268]",1610612758.0,SAC,shooting,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2003.0,1.0,0.0,Collier,1642268.0,,,,,,
47,PT08M22.00S,2026-03-16T02:15:53.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1642268,,,1610612762,8,8,2026-03-16T02:22:04Z,470000,False,,,0,,MISS I. Collier Free Throw 1 of 1,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT08M20.00S,2026-03-16T02:15:55.8Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,8,8,2026-03-16T02:22:04Z,480000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:3),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,,,,,
49,PT08M11.00S,2026-03-16T02:16:04.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201942,91.01511169513797,50.98039215686274,1610612758,10,8,2026-03-16T02:16:10Z,490000,False,5.0,32.0,1,right,D. DeRozan driving DUNK (10 PTS) (M. Raynaud 1 AST),"[201942, 1642875]",1610612758.0,SAC,driving,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,3.24,Made,10.0,,,,,,,,,,,,,,,M. Raynaud,1642875.0,1.0
51,PT07M57.00S,2026-03-16T02:16:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641729,13.748357424441524,45.588235294117645,1610612762,10,8,2026-03-16T02:22:45Z,510000,False,22.0,77.0,1,left,MISS B. Sensabaugh 7' driving floating Shot,[1641729],1610612762.0,UTA,driving floating,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,7.98,Missed,,,,,,,,,,,,,,,,,,
52,PT07M54.00S,2026-03-16T02:16:22.3Z,1,REGULAR,rebound,offensive,[],1641729,,,1610612762,10,8,2026-03-16T02:22:45Z,520000,False,,,0,,B. Sensabaugh REBOUND (Off:1 Def:0),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,
53,PT07M54.00S,2026-03-16T02:16:23.1Z,1,REGULAR,foul,personal,['2freethrow'],1642875,,,1610612762,10,8,2026-03-16T02:16:35Z,530000,False,,,0,,M. Raynaud shooting personal FOUL (1 PF) (Sensabaugh 2 FT),"[1642875, 1641729]",1610612758.0,SAC,shooting,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,,,,,,,,,,201638.0,1.0,0.0,Sensabaugh,1641729.0,,,,,,
55,PT07M54.00S,2026-03-16T02:16:42.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641729,,,1610612762,10,9,2026-03-16T02:16:42Z,550000,False,,,0,,B. Sensabaugh Free Throw 1 of 2 (3 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
56,PT07M54.00S,2026-03-16T02:16:49.1Z,1,REGULAR,substitution,out,[],1642363,,,1610612762,10,9,2026-03-16T02:16:55Z,560000,False,,,0,,SUB out: N. Clifford,[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M54.00S,2026-03-16T02:16:49.1Z,1,REGULAR,substitution,in,[],1631342,,,1610612762,10,9,2026-03-16T02:16:55Z,570000,False,,,0,,SUB in: D. Plowden,[1631342],1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M54.00S,2026-03-16T02:17:05.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612762,10,9,2026-03-16T02:17:13Z,580000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,201638.0,,,,,,,,,,
60,PT07M54.00S,2026-03-16T02:16:42.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641729,,,1610612762,10,9,2026-03-16T02:17:20Z,590000,False,,,0,,MISS B. Sensabaugh Free Throw 2 of 2,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT07M50.00S,2026-03-16T02:16:46.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,10,9,2026-03-16T02:17:20Z,600000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:3),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,,,,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,,
62,PT07M43.00S,2026-03-16T02:17:25.8Z,1,REGULAR,turnover,bad pass,[],1642875,,,1610612758,10,9,2026-03-16T02:17:29Z,610000,False,,,0,,M. Raynaud bad pass TURNOVER (1 TO),"[1642875, 1642262]",1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,1.0,Williams,1642262.0,,,
63,PT07M43.00S,2026-03-16T02:17:25.8Z,1,REGULAR,steal,,[],1642262,,,1610612762,10,9,2026-03-16T02:17:28Z,620000,False,,,0,,C. Williams STEAL (1 STL),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
64,PT07M38.00S,2026-03-16T02:17:31.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642268,5.995400788436268,50.49019607843137,1610612762,10,11,2026-03-16T02:17:39Z,630000,False,-2.0,4.0,1,left,I. Collier running Layup (6 PTS) (C. Williams 2 AST),"[1642268, 1642262]",1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,0.46,Made,6.0,,,,,,,,,,,,,,,C. Williams,1642262.0,2.0
66,PT07M20.00S,2026-03-16T02:17:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,81.68528252299606,56.86274509803921,1610612758,12,11,2026-03-16T02:24:17Z,650000,False,34.0,120.0,1,right,K. Hayes 12' pullup Jump Shot (2 PTS) (D. DeRozan 1 AST),"[1630165, 201942]",1610612758.0,SAC,pullup,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,12.45,Made,2.0,,,,,,,,,,,,,,,D. DeRozan,201942.0,1.0
68,PT07M10.00S,2026-03-16T02:17:59.7Z,1,REGULAR,3pt,Jump Shot,[],1642268,27.020367936925098,77.69607843137256,1610612762,12,11,2026-03-16T02:24:35Z,670000,False,-138.0,201.0,1,left,MISS I. Collier 24' pullup 3PT,[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,24.45,Missed,,,,,,,,,,,,,,,,,,
69,PT07M08.00S,2026-03-16T02:18:01.7Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,12,11,2026-03-16T02:18:03Z,680000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:4),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,68.0,4.0,4.0,0.0,,,,,,,,,,,,,
70,PT06M55.00S,2026-03-16T02:18:14.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,84.83902759526939,57.84313725490197,1610612758,12,11,2026-03-16T02:18:17Z,690000,False,39.0,90.0,1,right,MISS K. Hayes 9' Jump Shot,[1630165],1610612758.0,SAC,,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,9.82,Missed,,,,,,,,,,,,,,,,,,
71,PT06M53.00S,2026-03-16T02:18:16.7Z,1,REGULAR,rebound,defensive,[],1643158,,,1610612762,12,11,2026-03-16T02:18:17Z,700000,False,,,0,,A. Garcia REBOUND (Off:0 Def:2),[1643158],1610612762.0,UTA,,,,Garcia,A. Garcia,,,,,In The Paint (Non-RA),8-16 Center,,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,
72,PT06M45.00S,2026-03-16T02:18:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641729,6.652431011826544,57.107843137254896,1610612762,12,11,2026-03-16T02:18:28Z,710000,False,-36.0,10.0,1,left,MISS B. Sensabaugh driving Layup,[1641729],1610612762.0,UTA,driving,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,,,,,,,,,,,,,,
73,PT06M42.00S,2026-03-16T02:18:27.4Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,12,11,2026-03-16T02:18:28Z,720000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:4),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,,,,72.0,4.0,4.0,0.0,,,,,,,,,,,,,
74,PT06M36.00S,2026-03-16T02:18:33.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,91.27792378449409,44.36274509803921,1610612758,14,11,2026-03-16T02:18:37Z,730000,False,-28.0,29.0,1,right,M. Raynaud Layup (2 PTS) (P. Achiuwa 1 AST),"[1642875, 1630173]",1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,4.08,Made,2.0,,,,,,,,,,,,,,,P. Achiuwa,1630173.0,1.0
76,PT06M22.00S,2026-03-16T02:18:49.1Z,1,REGULAR,foul,personal,[],1631342,,,1610612762,14,11,2026-03-16T02:21:21Z,750000,False,,,0,,D. Plowden personal FOUL (1 PF),"[1631342, 1641989]",1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,Mid-Range,8-16 Left,,,,,,,,,,201245.0,1.0,0.0,Harkless,1641989.0,,,,,,
78,PT06M22.00S,2026-03-16T02:19:00.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,14,11,2026-03-16T02:19:00Z,770000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M22.00S,2026-03-16T02:19:18.9Z,1,REGULAR,substitution,out,[],1630173,,,1610612762,14,11,2026-03-16T02:21:55Z,780000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M22.00S,2026-03-16T02:19:18.9Z,1,REGULAR,substitution,in,[],203926,,,1610612762,14,11,2026-03-16T02:21:55Z,790000,False,,,0,,SUB in: D. McDermott,[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M10.00S,2026-03-16T02:22:19.6Z,1,REGULAR,2pt,Jump Shot,[],1642268,15.193823915900131,66.91176470588235,1610612762,14,11,2026-03-16T02:27:13Z,800000,False,-85.0,90.0,1,left,MISS I. Collier 12' driving floating Shot,[1642268],1610612762.0,UTA,driving floating,,,Collier,I. Collier,,,,,Mid-Range,8-16 Left,12.37,Missed,,,,,,,,,,,,,,,,,,
