actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M27.00S,2026-01-17T03:12:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642273,91.93495400788436,51.71568627450981,1610612764,4,2,2026-01-17T03:12:46Z,180000,False,9.0,23.0,1,right,K. George driving Layup (2 PTS),[1642273],1610612764.0,WAS,driving,,,George,K. George,,,,,Restricted Area,0-8 Center,2.48,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M10.00S,2026-01-17T03:12:17.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,17.821944809461236,43.38235294117647,1610612758,4,2,2026-01-17T03:12:26Z,190000,False,33.0,115.0,1,left,MISS M. Raynaud 11' floating Shot,[1642875],1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),8-16 Center,11.97,Missed,,,,,,,,,,,,,,,,,,
20,PT10M07.00S,2026-01-17T03:12:20.5Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,4,2,2026-01-17T03:12:26Z,200000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,19.0,,,,,,1.0,1.0,0.0,,,,,
21,PT10M03.00S,2026-01-17T03:12:24.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630551,92.59198423127464,50.49019607843137,1610612764,4,4,2026-01-17T03:12:32Z,210000,False,2.0,17.0,1,right,J. Champagnie running DUNK (2 PTS) (B. Carrington 1 AST),"[1630551, 1642267]",1610612764.0,WAS,running,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,1.73,Made,2.0,B. Carrington,1642267.0,1.0,,,,,,,,,,,,,,
23,PT09M47.00S,2026-01-17T03:12:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,5.206964520367937,48.28431372549019,1610612758,6,4,2026-01-17T03:12:52Z,230000,False,9.0,-4.0,1,left,Z. LaVine cutting Layup (2 PTS) (R. Westbrook 1 AST),"[203897, 201566]",1610612758.0,SAC,cutting,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,0.93,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
25,PT09M33.00S,2026-01-17T03:12:55.5Z,1,REGULAR,3pt,Jump Shot,[],1642267,69.20170827858082,72.79411764705883,1610612764,6,7,2026-01-17T03:13:02Z,250000,False,114.0,237.0,1,right,B. Carrington 26' 3PT  (3 PTS) (A. Sarr 1 AST),"[1642267, 1642259]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,26.3,Made,3.0,A. Sarr,1642259.0,1.0,,,,,,,,,,,,,,
27,PT09M21.00S,2026-01-17T03:13:09.3Z,1,REGULAR,foul,personal,[],1642267,,,1610612758,6,7,2026-01-17T03:13:23Z,270000,False,,,0,,B. Carrington personal FOUL (1 PF),"[1642267, 201566]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,,,,,,,,1627964.0,1.0,0.0,Westbrook,201566.0,,,,,,,,
29,PT09M16.00S,2026-01-17T03:13:36.4Z,1,REGULAR,foul,personal,['2freethrow'],1642273,,,1610612758,6,7,2026-01-17T03:13:46Z,290000,False,,,0,,K. George shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1642273, 201942]",1610612764.0,WAS,shooting,,,George,K. George,,,,,Mid-Range,16-24 Right,,,,,,,,202058.0,1.0,0.0,DeRozan,201942.0,,,,,,,,
32,PT09M16.00S,2026-01-17T03:14:03.2Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612758,7,7,2026-01-17T03:14:03Z,310000,False,,,0,,D. DeRozan Free Throw 1 of 2 (3 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
33,PT09M16.00S,2026-01-17T03:14:14.5Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612758,8,7,2026-01-17T03:14:14Z,320000,False,,,0,,D. DeRozan Free Throw 2 of 2 (4 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
34,PT09M05.00S,2026-01-17T03:14:27.1Z,1,REGULAR,turnover,lost ball,[],1642848,,,1610612764,8,7,2026-01-17T03:14:38Z,330000,False,,,0,,T. Johnson lost ball TURNOVER (1 TO),"[1642848, 201566]",1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Westbrook,201566.0,,
35,PT09M05.00S,2026-01-17T03:14:27.1Z,1,REGULAR,steal,,[],201566,,,1610612758,8,7,2026-01-17T03:14:30Z,340000,False,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
36,PT08M59.00S,2026-01-17T03:14:32.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203897,7.835085413929041,47.794117647058826,1610612758,8,7,2026-01-17T03:15:00Z,350000,False,11.0,21.0,1,left,MISS Z. LaVine running alley-oop Layup,[203897],1610612758.0,SAC,running alley-oop,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
37,PT08M57.00S,2026-01-17T03:14:34.2Z,1,REGULAR,rebound,offensive,[],1642875,,,1610612758,8,7,2026-01-17T03:15:00Z,360000,False,,,0,,M. Raynaud REBOUND (Off:1 Def:0),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,,,,,,,36.0,,,,,,1.0,0.0,1.0,,,,,
38,PT08M57.00S,2026-01-17T03:14:37.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642875,5.590000152587891,50.0,1610612758,10,7,2026-01-17T03:14:37Z,370000,False,0.0,0.0,1,left,M. Raynaud putback DUNK (2 PTS),[1642875],1610612758.0,SAC,putback,,,Raynaud,M. Raynaud,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2026-01-17T03:14:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,91.40932982917214,47.549019607843135,1610612764,10,9,2026-01-17T03:15:05Z,380000,False,-12.0,28.0,1,right,J. Champagnie cutting Layup (4 PTS) (A. Sarr 2 AST),"[1630551, 1642259]",1610612764.0,WAS,cutting,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,3.09,Made,4.0,A. Sarr,1642259.0,2.0,,,,,,,,,,,,,,
41,PT08M29.00S,2026-01-17T03:15:09.9Z,1,REGULAR,3pt,Jump Shot,[],201566,21.369908015768726,89.70588235294117,1610612758,10,9,2026-01-17T03:15:20Z,400000,False,-199.0,148.0,1,left,MISS R. Westbrook 24' 3PT,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,24.78,Missed,,,,,,,,,,,,,,,,,,
42,PT08M23.00S,2026-01-17T03:15:15.9Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,10,9,2026-01-17T03:15:20Z,410000,False,,,0,,A. Sarr REBOUND (Off:0 Def:2),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,,,,41.0,,,,,,2.0,2.0,0.0,,,,,
43,PT08M19.00S,2026-01-17T03:15:19.1Z,1,REGULAR,3pt,Jump Shot,[],1642273,67.88764783180025,67.64705882352942,1610612764,10,9,2026-01-17T03:15:40Z,420000,False,88.0,249.0,1,right,MISS K. George 26' pullup 3PT,[1642273],1610612764.0,WAS,pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
44,PT08M12.00S,2026-01-17T03:15:26.1Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,10,9,2026-01-17T03:15:31Z,430000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,,,,43.0,,,,,,1.0,1.0,0.0,,,,,
45,PT08M08.00S,2026-01-17T03:15:30.2Z,1,REGULAR,3pt,Jump Shot,[],201566,4.681340341655716,95.34313725490196,1610612758,13,9,2026-01-17T03:15:39Z,440000,False,-227.0,-8.0,1,left,R. Westbrook 3PT  (3 PTS) (P. Achiuwa 1 AST),"[201566, 1630173]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Left Corner 3,24+ Left,22.69,Made,3.0,P. Achiuwa,1630173.0,1.0,,,,,,,,,,,,,,
47,PT07M50.00S,2026-01-17T03:15:49.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642259,92.46057818659659,56.86274509803921,1610612764,13,11,2026-01-17T03:16:14Z,460000,False,34.0,18.0,1,right,A. Sarr Layup (2 PTS) (K. George 1 AST),"[1642259, 1642273]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,3.89,Made,2.0,K. George,1642273.0,1.0,,,,,,,,,,,,,,
49,PT07M50.00S,2026-01-17T03:15:58.2Z,1,REGULAR,foul,personal,['1freethrow'],201942,,,1610612764,13,11,2026-01-17T03:16:06Z,480000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Sarr 1 FT),"[201942, 1642259]",1610612758.0,SAC,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,202058.0,1.0,0.0,Sarr,1642259.0,,,,,,,,
51,PT07M50.00S,2026-01-17T03:16:15.5Z,1,REGULAR,freethrow,1 of 1,[],1642259,,,1610612764,13,12,2026-01-17T03:16:15Z,500000,False,,,0,,A. Sarr Free Throw 1 of 1 (3 PTS),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
52,PT07M34.00S,2026-01-17T03:16:33.8Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612758,13,12,2026-01-17T03:16:39Z,510000,False,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1642267]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,Carrington,1642267.0,,
53,PT07M34.00S,2026-01-17T03:16:33.8Z,1,REGULAR,steal,,[],1642267,,,1610612764,13,12,2026-01-17T03:16:36Z,520000,False,,,0,,B. Carrington STEAL (1 STL),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
54,PT07M30.00S,2026-01-17T03:16:39.1Z,1,REGULAR,turnover,out-of-bounds,[],1642259,,,1610612764,13,12,2026-01-17T03:16:52Z,530000,False,,,0,,A. Sarr lost ball out-of-bounds TURNOVER (1 TO),[1642259],1610612764.0,WAS,lost ball,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,1627964.0,,,,,,,,1.0,,,,
55,PT07M19.00S,2026-01-17T03:16:57.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630173,4.5499342969776615,95.34313725490196,1610612758,16,12,2026-01-17T03:17:03Z,540000,False,-227.0,-10.0,1,left,P. Achiuwa 3PT  (5 PTS) (M. Raynaud 3 AST),"[1630173, 1642875]",1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Left Corner 3,24+ Left,22.69,Made,5.0,M. Raynaud,1642875.0,3.0,,,,,,,,,,,,,,
57,PT06M56.00S,2026-01-17T03:17:20.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642848,85.10183968462549,50.49019607843137,1610612764,16,14,2026-01-17T03:17:27Z,560000,False,2.0,88.0,1,right,T. Johnson 8' driving Hook (2 PTS),[1642848],1610612764.0,WAS,driving,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),8-16 Center,8.75,Made,2.0,,,,,,,,,,,,,,,,,
58,PT06M41.00S,2026-01-17T03:17:35.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630173,5.338370565045992,46.81372549019608,1610612758,18,14,2026-01-17T03:17:42Z,570000,False,16.0,-2.0,1,left,P. Achiuwa DUNK (7 PTS) (R. Westbrook 2 AST),"[1630173, 201566]",1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,1.61,Made,7.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,
60,PT06M36.00S,2026-01-17T03:17:44.1Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612764,18,14,2026-01-17T03:17:55Z,590000,False,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Carrington 2 FT),"[203897, 1642267]",1610612758.0,SAC,shooting,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,,1627541.0,1.0,0.0,Carrington,1642267.0,,,,,,,,
62,PT06M36.00S,2026-01-17T03:17:58.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,18,14,2026-01-17T03:17:58Z,610000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M36.00S,2026-01-17T03:18:07.3Z,1,REGULAR,substitution,out,[],1642273,,,1610612764,18,14,2026-01-17T03:20:26Z,620000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M36.00S,2026-01-17T03:18:07.3Z,1,REGULAR,substitution,in,[],1642860,,,1610612764,18,14,2026-01-17T03:20:26Z,630000,False,,,0,,SUB in: W. Riley,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M36.00S,2026-01-17T03:20:50.8Z,1,REGULAR,freethrow,1 of 2,[],1642267,,,1610612764,18,15,2026-01-17T03:20:50Z,640000,False,,,0,,B. Carrington Free Throw 1 of 2 (4 PTS),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
66,PT06M36.00S,2026-01-17T03:21:04.0Z,1,REGULAR,freethrow,2 of 2,[],1642267,,,1610612764,18,16,2026-01-17T03:21:04Z,650000,False,,,0,,B. Carrington Free Throw 2 of 2 (5 PTS),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
67,PT06M23.00S,2026-01-17T03:21:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,8.360709592641262,50.0,1610612758,20,16,2026-01-17T03:21:27Z,660000,False,0.0,26.0,1,left,D. DeRozan driving finger roll Layup (6 PTS),[201942],1610612758.0,SAC,driving finger roll,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,2.61,Made,6.0,,,,,,,,,,,,,,,,,
68,PT06M06.00S,2026-01-17T03:21:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,80.50262812089356,48.529411764705884,1610612764,20,18,2026-01-17T03:21:44Z,670000,False,-7.0,131.0,1,right,A. Sarr 13' turnaround fadeaway Jump Shot (5 PTS),[1642259],1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,13.1,Made,5.0,,,,,,,,,,,,,,,,,
70,PT05M52.00S,2026-01-17T03:21:51.0Z,1,REGULAR,foul,personal,['2freethrow'],1642267,,,1610612758,20,18,2026-01-17T03:22:05Z,690000,False,,,0,,B. Carrington shooting personal FOUL (2 PF) (Raynaud 2 FT),"[1642267, 1642875]",1610612764.0,WAS,shooting,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,,,,,1627541.0,2.0,0.0,Raynaud,1642875.0,,,,,,,,
72,PT05M52.00S,2026-01-17T03:22:18.3Z,1,REGULAR,freethrow,1 of 2,[],1642875,,,1610612758,20,18,2026-01-17T03:22:37Z,710000,False,,,0,,MISS M. Raynaud Free Throw 1 of 2,[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT05M52.00S,2026-01-17T03:22:18.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,20,18,2026-01-17T03:22:37Z,720000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,
74,PT05M52.00S,2026-01-17T03:22:18.3Z,1,REGULAR,freethrow,2 of 2,[],1642875,,,1610612758,20,18,2026-01-17T03:22:37Z,730000,False,,,0,,MISS M. Raynaud Free Throw 2 of 2,[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT05M48.00S,2026-01-17T03:22:22.3Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612764,20,18,2026-01-17T03:22:37Z,740000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,74.0,,,,,,1.0,1.0,0.0,,,,,
76,PT05M40.00S,2026-01-17T03:22:43.0Z,1,REGULAR,2pt,Jump Shot,[],1642259,88.12417871222075,82.1078431372549,1610612764,20,20,2026-01-17T03:22:55Z,750000,False,161.0,59.0,1,right,A. Sarr 17' Jump Shot (7 PTS),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,16-24 Right,17.1,Made,7.0,,,,,,,,,,,,,,,,,
77,PT05M23.00S,2026-01-17T03:23:00.4Z,1,REGULAR,2pt,Jump Shot,[],201942,6.258212877792378,75.0,1610612758,20,20,2026-01-17T03:23:11Z,760000,False,-125.0,6.0,1,left,MISS D. DeRozan 12' turnaround Shot,[201942],1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,12.52,Missed,,,,,,,,,,,,,,,,,,
78,PT05M17.00S,2026-01-17T03:23:06.4Z,1,REGULAR,rebound,offensive,[],1642875,,,1610612758,20,20,2026-01-17T03:23:11Z,770000,False,,,0,,M. Raynaud REBOUND (Off:2 Def:0),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Mid-Range,8-16 Left,,,,,,,77.0,,,,,,2.0,0.0,2.0,,,,,
79,PT05M17.00S,2026-01-17T03:23:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642875,5.590000152587891,50.0,1610612758,22,20,2026-01-17T03:23:06Z,780000,False,0.0,0.0,1,left,M. Raynaud tip Layup (4 PTS),[1642875],1610612758.0,SAC,tip,,,Raynaud,M. Raynaud,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
80,PT05M11.00S,2026-01-17T03:23:11.8Z,1,REGULAR,3pt,Jump Shot,[],1642848,67.36202365308804,63.725490196078425,1610612764,22,20,2026-01-17T03:23:22Z,790000,False,69.0,254.0,1,right,MISS T. Johnson 26' 3PT,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Center,26.34,Missed,,,,,,,,,,,,,,,,,,
81,PT05M11.00S,2026-01-17T03:23:11.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,22,20,2026-01-17T03:23:22Z,800000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,80.0,,,,,,,,,,,,,
83,PT05M11.00S,2026-01-17T03:23:20.4Z,1,REGULAR,substitution,out,[],201942,,,1610612758,22,20,2026-01-17T03:23:29Z,820000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M11.00S,2026-01-17T03:23:20.4Z,1,REGULAR,substitution,out,[],1642875,,,1610612758,22,20,2026-01-17T03:23:29Z,830000,False,,,0,,SUB out: M. Raynaud,[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M11.00S,2026-01-17T03:23:20.4Z,1,REGULAR,substitution,in,[],1627734,,,1610612758,22,20,2026-01-17T03:23:29Z,840000,False,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M11.00S,2026-01-17T03:23:20.4Z,1,REGULAR,substitution,in,[],1642363,,,1610612758,22,20,2026-01-17T03:23:29Z,850000,False,,,0,,SUB in: N. Clifford,[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M50.00S,2026-01-17T03:24:01.4Z,1,REGULAR,3pt,Jump Shot,[],201566,28.07161629434954,24.264705882352942,1610612758,22,20,2026-01-17T03:24:07Z,860000,False,129.0,211.0,1,left,MISS R. Westbrook 24' 3PT,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,24.75,Missed,,,,,,,,,,,,,,,,,,
88,PT04M47.00S,2026-01-17T03:24:04.4Z,1,REGULAR,rebound,offensive,[],1642363,,,1610612758,22,20,2026-01-17T03:24:07Z,870000,False,,,0,,N. Clifford REBOUND (Off:1 Def:0),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,Above the Break 3,24+ Right Center,,,,,,,87.0,,,,,,1.0,0.0,1.0,,,,,
