actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
18,PT10M20.00S,2026-01-19T02:14:52.9Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,2,4,2026-01-19T02:14:55Z,180000,False,,,0,,D. Clingan REBOUND (Off:0 Def:2),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,
19,PT10M11.00S,2026-01-19T02:15:02.0Z,1,REGULAR,3pt,Jump Shot,[],1631101,86.5473061760841,3.6764705882352944,1610612757,2,7,2026-01-19T02:15:14Z,190000,False,-232.0,74.0,1,right,S. Sharpe 24' 3PT step back (3 PTS) (D. Clingan 1 AST),"[1631101, 1642270]",1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,24.31,Made,3.0,,,,,,,,,,D. Clingan,1642270.0,1.0,,,,,
21,PT09M59.00S,2026-01-19T02:15:16.7Z,1,REGULAR,foul,personal,[],1631101,,,1610612758,2,7,2026-01-19T02:15:28Z,210000,False,,,0,,S. Sharpe personal FOUL (1 PF),"[1631101, 201942]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Center,,,,1627526.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,,,,
23,PT09M52.00S,2026-01-19T02:15:37.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,17.69053876478318,51.470588235294116,1610612758,4,7,2026-01-19T02:15:44Z,230000,False,-7.0,114.0,1,left,R. Westbrook 11' pullup Jump Shot (2 PTS),[201566],1610612758.0,SAC,pullup,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,11.4,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M42.00S,2026-01-19T02:15:48.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642270,89.43823915900131,49.754901960784316,1610612757,4,7,2026-01-19T02:18:17Z,240000,False,-1.0,47.0,1,right,MISS D. Clingan driving DUNK,[1642270],1610612757.0,POR,driving,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,4.68,Missed,,,,,,,,,,,,,,,,,,
25,PT09M41.00S,2026-01-19T02:15:49.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,4,7,2026-01-19T02:19:05Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,24.0,,,,,,,,,,,
26,PT09M41.00S,2026-01-19T02:15:54.6Z,1,REGULAR,foul,personal,[],1641739,,,1610612758,4,7,2026-01-19T02:18:58Z,260000,False,,,0,,T. Camara loose ball personal FOUL (1 PF),"[1641739, 1642875]",1610612757.0,POR,loose ball,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,204059.0,1.0,0.0,Raynaud,1642875.0,,,,,,,,,,,,
28,PT09M25.00S,2026-01-19T02:16:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,19.398817345597898,37.5,1610612758,4,7,2026-01-19T02:16:28Z,280000,False,62.0,130.0,1,left,MISS D. DeRozan 14' fadeaway Shot,[201942],1610612758.0,SAC,fadeaway,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,14.41,Missed,,,,,,,,,,,,,,,,,,
29,PT09M23.00S,2026-01-19T02:16:24.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,4,7,2026-01-19T02:16:28Z,290000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT09M17.00S,2026-01-19T02:16:32.6Z,1,REGULAR,3pt,Jump Shot,[],1630166,65.25952693823915,47.05882352941176,1610612757,4,7,2026-01-19T02:20:25Z,300000,False,-15.0,274.0,1,right,MISS D. Avdija 27' pullup 3PT,[1630166],1610612757.0,POR,pullup,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,27.45,Missed,,,,,,,,,,,,,,,,,,
31,PT09M15.00S,2026-01-19T02:16:34.6Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,4,7,2026-01-19T02:20:40Z,310000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Center,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT09M09.00S,2026-01-19T02:16:40.8Z,1,REGULAR,foul,offensive,[],1630173,,,1610612758,4,7,2026-01-19T02:21:24Z,320000,False,,,0,,P. Achiuwa charge offensive FOUL (1 PF),"[1630173, 1641739]",1610612758.0,SAC,charge,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,204059.0,1.0,0.0,Camara,1641739.0,,,,,,,,,,,,
34,PT09M09.00S,2026-01-19T02:16:40.8Z,1,REGULAR,turnover,offensive foul,[],1630173,,,1610612758,4,7,2026-01-19T02:16:40Z,340000,False,,,0,,P. Achiuwa offensive foul TURNOVER (1 TO),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,204059.0,,,,,,,,,,,,1.0,,,,
35,PT08M55.00S,2026-01-19T02:17:08.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630166,87.72996057818659,98.0392156862745,1610612757,4,10,2026-01-19T02:17:14Z,350000,False,240.0,63.0,1,right,D. Avdija 24' 3PT  (5 PTS) (D. Clingan 2 AST),"[1630166, 1642270]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Right Corner 3,24+ Right,24.83,Made,5.0,,,,,,,,,,D. Clingan,1642270.0,2.0,,,,,
37,PT08M36.00S,2026-01-19T02:17:27.6Z,1,REGULAR,3pt,Jump Shot,[],1642875,29.122864651773984,79.90196078431373,1610612758,4,10,2026-01-19T02:17:33Z,370000,False,-150.0,221.0,1,left,MISS M. Raynaud 26' 3PT,[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Left Center,26.71,Missed,,,,,,,,,,,,,,,,,,
38,PT08M35.00S,2026-01-19T02:17:28.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,4,10,2026-01-19T02:22:13Z,380000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,
39,PT08M20.00S,2026-01-19T02:17:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,91.01511169513797,39.950980392156865,1610612757,4,10,2026-01-19T02:17:50Z,390000,False,-50.0,32.0,1,right,MISS D. Avdija driving Layup,[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,5.95,Missed,,,,,,,,,,,,,,,,,,
40,PT08M17.00S,2026-01-19T02:17:46.9Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,4,10,2026-01-19T02:17:50Z,400000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,
41,PT08M09.00S,2026-01-19T02:17:56.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,17.821944809461236,52.450980392156865,1610612758,6,10,2026-01-19T02:23:14Z,410000,False,-12.0,115.0,1,left,R. Westbrook 11' driving floating Jump Shot (4 PTS),[201566],1610612758.0,SAC,driving floating,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,11.57,Made,4.0,,,,,,,,,,,,,,,,,
42,PT08M09.00S,2026-01-19T02:17:59.1Z,1,REGULAR,foul,personal,['1freethrow'],1631101,,,1610612758,6,10,2026-01-19T02:18:11Z,420000,False,,,0,,S. Sharpe shooting personal FOUL (2 PF) (Westbrook 1 FT),"[1631101, 201566]",1610612757.0,POR,shooting,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Center,,,,1627526.0,2.0,0.0,Westbrook,201566.0,,,,,,,,,,,,
44,PT08M09.00S,2026-01-19T02:18:28.5Z,1,REGULAR,freethrow,1 of 1,[],201566,,,1610612758,7,10,2026-01-19T02:18:28Z,440000,False,,,0,,R. Westbrook Free Throw 1 of 1 (5 PTS),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
45,PT07M52.00S,2026-01-19T02:18:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641739,92.46057818659659,56.127450980392155,1610612757,7,12,2026-01-19T02:18:55Z,450000,False,31.0,18.0,1,right,T. Camara Layup (4 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,3.57,Made,4.0,,,,,,,,,,,,,,,,,
46,PT07M40.00S,2026-01-19T02:19:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,15.850854139290407,64.2156862745098,1610612758,7,12,2026-01-19T02:24:34Z,460000,False,-71.0,96.0,1,left,MISS M. Raynaud 11' floating Shot,[1642875],1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),8-16 Left,11.99,Missed,,,,,,,,,,,,,,,,,,
47,PT07M38.00S,2026-01-19T02:19:02.5Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,7,12,2026-01-19T02:24:34Z,470000,False,,,0,,D. Clingan REBOUND (Off:0 Def:3),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,46.0,3.0,3.0,0.0,,,,,,,,
48,PT07M32.00S,2026-01-19T02:19:07.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631101,64.99671484888306,37.99019607843137,1610612757,7,12,2026-01-19T02:24:57Z,480000,False,-60.0,277.0,1,right,MISS S. Sharpe 28' running pullup 3PT,[1631101],1610612757.0,POR,running pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,28.29,Missed,,,,,,,,,,,,,,,,,,
49,PT07M29.00S,2026-01-19T02:19:10.3Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,7,12,2026-01-19T02:24:57Z,490000,False,,,0,,D. Avdija REBOUND (Off:1 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,,,,,,,,,48.0,3.0,2.0,1.0,,,,,,,,
50,PT07M25.00S,2026-01-19T02:19:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,92.06636005256242,55.392156862745104,1610612757,7,14,2026-01-19T02:25:50Z,500000,False,27.0,22.0,1,right,D. Avdija driving Layup (7 PTS),[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.49,Made,7.0,,,,,,,,,,,,,,,,,
51,PT07M24.00S,2026-01-19T02:19:18.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,7,14,2026-01-19T02:19:18Z,510000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M24.00S,2026-01-19T02:19:49.3Z,1,REGULAR,substitution,out,[],1631321,,,1610612758,7,14,2026-01-19T02:22:08Z,520000,False,,,0,,SUB out: S. Cissoko,[1631321],1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M24.00S,2026-01-19T02:19:49.3Z,1,REGULAR,substitution,out,[],1642270,,,1610612758,7,14,2026-01-19T02:22:08Z,530000,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M24.00S,2026-01-19T02:19:49.3Z,1,REGULAR,substitution,in,[],1642905,,,1610612758,7,14,2026-01-19T02:22:08Z,540000,False,,,0,,SUB in: Yang,[1642905],1610612757.0,POR,,,,Hansen,Yang,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M24.00S,2026-01-19T02:19:49.3Z,1,REGULAR,substitution,in,[],1641871,,,1610612758,7,14,2026-01-19T02:22:08Z,550000,False,,,0,,SUB in: D. Reath,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M12.00S,2026-01-19T02:22:25.0Z,1,REGULAR,3pt,Jump Shot,[],201566,26.757555847568987,17.892156862745097,1610612758,10,14,2026-01-19T02:22:30Z,560000,False,161.0,199.0,1,left,R. Westbrook 25' 3PT  (8 PTS) (D. DeRozan 1 AST),"[201566, 201942]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,25.57,Made,8.0,,,,,,,,,,D. DeRozan,201942.0,1.0,,,,,
58,PT06M55.00S,2026-01-19T02:22:42.2Z,1,REGULAR,3pt,Jump Shot,[],1641871,91.5407358738502,3.6764705882352944,1610612757,10,14,2026-01-19T02:22:54Z,580000,False,-232.0,27.0,1,right,MISS D. Reath 3PT,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Left Corner 3,24+ Left,23.32,Missed,,,,,,,,,,,,,,,,,,
59,PT06M53.00S,2026-01-19T02:22:44.2Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,10,14,2026-01-19T02:27:09Z,590000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:2),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Left Corner 3,24+ Left,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,
60,PT06M47.00S,2026-01-19T02:22:52.9Z,1,REGULAR,foul,personal,['2freethrow'],1642905,,,1610612758,10,14,2026-01-19T02:23:12Z,600000,False,,,0,,Yang shooting personal FOUL (1 PF) (LaVine 2 FT),"[1642905, 203897]",1610612757.0,POR,shooting,,,Hansen,Yang,,,,,In The Paint (Non-RA),0-8 Center,,,,204059.0,1.0,0.0,LaVine,203897.0,,,,,,,,,,,,
62,PT06M47.00S,2026-01-19T02:23:25.3Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612758,10,14,2026-01-19T02:23:25Z,620000,False,,,0,,MISS Z. LaVine Free Throw 1 of 2,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2026-01-19T02:23:25.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,10,14,2026-01-19T02:23:25Z,630000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,
64,PT06M47.00S,2026-01-19T02:23:41.0Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612758,11,14,2026-01-19T02:23:41Z,640000,False,,,0,,Z. LaVine Free Throw 2 of 2 (1 PTS),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
65,PT06M33.00S,2026-01-19T02:23:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642905,89.30683311432325,58.08823529411765,1610612757,11,14,2026-01-19T02:28:21Z,650000,False,40.0,48.0,1,right,MISS Yang 6' cutting Layup - blocked,"[1642905, 1642875]",1610612757.0,POR,cutting,,,Hansen,Yang,,,,,In The Paint (Non-RA),0-8 Center,6.27,Missed,,,,,,,,,,,,,,,Raynaud,1642875.0,,
66,PT06M33.00S,2026-01-19T02:23:58.2Z,1,REGULAR,block,,[],1642875,,,1610612757,11,14,2026-01-19T02:24:01Z,660000,False,,,0,,M. Raynaud BLOCK (1 BLK),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2026-01-19T02:23:59.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,11,14,2026-01-19T02:28:21Z,670000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,65.0,,,,,,,,,,,
69,PT06M30.00S,2026-01-19T02:24:15.6Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612757,11,14,2026-01-19T02:24:26Z,690000,False,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Avdija 2 FT),"[203897, 1630166]",1610612758.0,SAC,shooting,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Right,,,,204059.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,,,,
71,PT06M30.00S,2026-01-19T02:24:38.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630166,,,1610612757,11,15,2026-01-19T02:24:38Z,710000,False,,,0,,D. Avdija Free Throw 1 of 2 (8 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
72,PT06M30.00S,2026-01-19T02:24:39.6Z,1,REGULAR,substitution,out,[],1630173,,,1610612757,11,15,2026-01-19T02:24:48Z,720000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M30.00S,2026-01-19T02:24:39.6Z,1,REGULAR,substitution,in,[],1642928,,,1610612757,11,15,2026-01-19T02:24:48Z,730000,False,,,0,,SUB in: D. Cardwell,[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M30.00S,2026-01-19T02:25:02.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630166,,,1610612757,11,16,2026-01-19T02:25:02Z,740000,False,,,0,,D. Avdija Free Throw 2 of 2 (9 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
75,PT06M15.00S,2026-01-19T02:25:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,8.886333771353483,51.225490196078425,1610612758,13,16,2026-01-19T02:25:24Z,750000,False,-6.0,31.0,1,left,M. Raynaud driving Layup (2 PTS) (R. Westbrook 1 AST),"[1642875, 201566]",1610612758.0,SAC,driving,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,3.16,Made,2.0,,,,,,,,,,R. Westbrook,201566.0,1.0,,,,,
77,PT06M10.00S,2026-01-19T02:25:23.9Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,13,16,2026-01-19T02:29:52Z,770000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 1642928]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,,,Cardwell,1642928.0
78,PT06M10.00S,2026-01-19T02:25:23.9Z,1,REGULAR,steal,,[],1642928,,,1610612758,13,16,2026-01-19T02:25:26Z,780000,False,,,0,,D. Cardwell STEAL (1 STL),[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
79,PT06M09.00S,2026-01-19T02:25:28.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631101,,,1610612758,13,16,2026-01-19T02:25:54Z,790000,False,,,0,,S. Sharpe personal FOUL (3 PF) (Cardwell 2 FT),"[1631101, 1642928]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,204059.0,3.0,0.0,Cardwell,1642928.0,,,,,,,,,,,,
81,PT06M09.00S,2026-01-19T02:26:10.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1642928,,,1610612758,14,16,2026-01-19T02:26:10Z,810000,False,,,0,,D. Cardwell Free Throw 1 of 2 (1 PTS),[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
82,PT06M09.00S,2026-01-19T02:26:11.0Z,1,REGULAR,substitution,out,[],1631101,,,1610612758,14,16,2026-01-19T02:26:18Z,820000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M09.00S,2026-01-19T02:26:11.0Z,1,REGULAR,substitution,in,[],1631126,,,1610612758,14,16,2026-01-19T02:26:18Z,830000,False,,,0,,SUB in: C. Love,[1631126],1610612757.0,POR,,,,Love,C. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M09.00S,2026-01-19T02:26:29.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1642928,,,1610612758,15,16,2026-01-19T02:26:29Z,840000,False,,,0,,D. Cardwell Free Throw 2 of 2 (2 PTS),[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
85,PT05M53.00S,2026-01-19T02:26:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,92.32917214191852,54.65686274509803,1610612757,15,18,2026-01-19T02:31:32Z,850000,False,23.0,20.0,1,right,D. Avdija reverse Layup (11 PTS) (T. Camara 1 AST),"[1630166, 1641739]",1610612757.0,POR,reverse,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.04,Made,11.0,,,,,,,,,,T. Camara,1641739.0,1.0,,,,,
87,PT05M34.00S,2026-01-19T02:27:04.1Z,1,REGULAR,3pt,Jump Shot,[],201566,29.911300919842315,79.65686274509804,1610612758,18,18,2026-01-19T02:27:16Z,870000,False,-148.0,229.0,1,left,R. Westbrook 27' 3PT  (11 PTS) (Z. LaVine 1 AST),"[201566, 203897]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,27.26,Made,11.0,,,,,,,,,,Z. LaVine,203897.0,1.0,,,,,
