actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
27,PT09M56.00S,2026-01-13T03:12:45.2Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612758,2,6,2026-01-13T03:12:50Z,270000,False,,,0,,R. Westbrook bad pass TURNOVER (2 TO),"[201566, 1631222]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Left Center,,,,,,,2.0,LaRavia,1631222.0,,,,,,,,,,,
28,PT09M56.00S,2026-01-13T03:12:45.2Z,1,REGULAR,steal,,[],1631222,,,1610612747,2,6,2026-01-13T03:12:47Z,280000,False,,,0,,J. LaRavia STEAL (1 STL),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2026-01-13T03:12:50.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629029,92.32917214191852,55.14705882352941,1610612747,2,8,2026-01-13T03:12:57Z,290000,False,26.0,20.0,1,right,L. Dončić running Layup (2 PTS) (J. LaRavia 1 AST),"[1629029, 1631222]",1610612747.0,LAL,running,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,3.23,Made,2.0,J. LaRavia,1631222.0,1.0,,,,,,,,,,,,,,
31,PT09M51.00S,2026-01-13T03:12:56.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,2,8,2026-01-13T03:12:56Z,310000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M41.00S,2026-01-13T03:15:59.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,16.770696452036795,37.99019607843137,1610612758,4,8,2026-01-13T03:19:40Z,320000,False,60.0,105.0,1,left,R. Westbrook 12' pullup Jump Shot (2 PTS),[201566],1610612758.0,SAC,pullup,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,12.1,Made,2.0,,,,,,,,,,,,,,,,,
33,PT09M26.00S,2026-01-13T03:16:15.8Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,4,8,2026-01-13T03:20:08Z,330000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 201942]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,DeRozan,201942.0,,,,,,,,,,,
34,PT09M26.00S,2026-01-13T03:16:15.8Z,1,REGULAR,steal,,[],201942,,,1610612758,4,8,2026-01-13T03:16:17Z,340000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
36,PT09M09.00S,2026-01-13T03:16:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630173,10.068988173455978,45.588235294117645,1610612758,4,8,2026-01-13T03:21:59Z,360000,False,22.0,42.0,1,left,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1629028]",1610612758.0,SAC,driving,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,4.75,Missed,,,,,,,,,,,,,Ayton,1629028.0,,,,
37,PT09M09.00S,2026-01-13T03:16:42.8Z,1,REGULAR,block,,[],1629028,,,1610612758,4,8,2026-01-13T03:16:45Z,370000,False,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M08.00S,2026-01-13T03:16:43.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,4,8,2026-01-13T03:21:59Z,380000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,36.0,3.0,2.0,1.0,,,,,,,
39,PT08M59.00S,2026-01-13T03:16:49.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,91.5407358738502,55.88235294117647,1610612747,4,10,2026-01-13T03:16:58Z,390000,False,29.0,27.0,1,right,L. James running Layup (8 PTS) (M. Smart 2 AST),"[2544, 203935]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,3.99,Made,8.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
41,PT08M45.00S,2026-01-13T03:17:03.6Z,1,REGULAR,2pt,Jump Shot,[],201942,9.017739816031538,68.13725490196079,1610612758,6,10,2026-01-13T03:17:08Z,410000,False,-91.0,32.0,1,left,D. DeRozan 9' turnaround Jump Shot (2 PTS),[201942],1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,9.63,Made,2.0,,,,,,,,,,,,,,,,,
42,PT08M32.00S,2026-01-13T03:17:17.2Z,1,REGULAR,3pt,Jump Shot,[],2544,72.09264126149803,80.63725490196079,1610612747,6,10,2026-01-13T03:17:20Z,420000,False,153.0,210.0,1,right,MISS L. James 25' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
43,PT08M29.00S,2026-01-13T03:17:20.2Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,6,10,2026-01-13T03:17:20Z,430000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,
44,PT08M23.00S,2026-01-13T03:17:25.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201566,15.193823915900131,19.607843137254903,1610612758,6,10,2026-01-13T03:23:37Z,440000,False,152.0,90.0,1,left,MISS R. Westbrook 17' running pullup Shot,[201566],1610612758.0,SAC,running pullup,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Right,17.68,Missed,,,,,,,,,,,,,,,,,,
45,PT08M21.00S,2026-01-13T03:17:27.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,6,10,2026-01-13T03:17:30Z,450000,False,,,0,,D. Ayton REBOUND (Off:1 Def:3),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right,,,,,,,,,,44.0,4.0,3.0,1.0,,,,,,,
46,PT08M13.00S,2026-01-13T03:17:37.5Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612747,6,10,2026-01-13T03:17:53Z,460000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Ayton 2 FT),"[201942, 1629028]",1610612758.0,SAC,shooting,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,200834.0,,,1.0,0.0,Ayton,1629028.0
48,PT08M13.00S,2026-01-13T03:18:00.1Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612747,6,10,2026-01-13T03:18:00Z,480000,False,,,0,,MISS D. Ayton Free Throw 1 of 2,[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
49,PT08M13.00S,2026-01-13T03:18:00.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,6,10,2026-01-13T03:18:00Z,490000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,
50,PT08M13.00S,2026-01-13T03:18:11.9Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612747,6,11,2026-01-13T03:18:11Z,500000,False,,,0,,D. Ayton Free Throw 2 of 2 (1 PTS),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
51,PT07M47.00S,2026-01-13T03:18:38.5Z,1,REGULAR,3pt,Jump Shot,[],201566,27.283180026281208,76.47058823529412,1610612758,6,11,2026-01-13T03:24:44Z,510000,False,-132.0,204.0,1,left,MISS R. Westbrook 24' pullup 3PT,[201566],1610612758.0,SAC,pullup,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,24.32,Missed,,,,,,,,,,,,,,,,,,
52,PT07M44.00S,2026-01-13T03:18:42.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,6,11,2026-01-13T03:18:42Z,520000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,
55,PT07M36.00S,2026-01-13T03:18:50.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,72.09264126149803,19.11764705882353,1610612747,6,11,2026-01-13T03:29:07Z,550000,False,-154.0,210.0,1,right,MISS L. Dončić 26' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,26.05,Missed,,,,,,,,,,,,,,,,,,
56,PT07M35.00S,2026-01-13T03:18:51.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,6,11,2026-01-13T03:27:54Z,560000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,55.0,,,,,,,,,,
58,PT07M25.00S,2026-01-13T03:19:17.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629029,81.15965834428384,47.794117647058826,1610612747,6,13,2026-01-13T03:28:21Z,580000,False,-11.0,125.0,1,right,L. Dončić 12' driving floating Jump Shot (4 PTS),[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,12.51,Made,4.0,,,,,,,,,,,,,,,,,
59,PT07M07.00S,2026-01-13T03:19:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,7.178055190538765,56.86274509803921,1610612758,8,13,2026-01-13T03:28:47Z,590000,False,-34.0,15.0,1,left,M. Raynaud driving Layup (2 PTS) (Z. LaVine 1 AST),"[1642875, 203897]",1610612758.0,SAC,driving,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,3.74,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
61,PT06M51.00S,2026-01-13T03:19:50.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,81.42247043363994,73.77450980392157,1610612747,8,15,2026-01-13T03:19:56Z,610000,False,119.0,122.0,1,right,L. Dončić 17' turnaround fadeaway Jump Shot (6 PTS),[1629029],1610612747.0,LAL,turnaround fadeaway,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Right Center,17.04,Made,6.0,,,,,,,,,,,,,,,,,
62,PT06M39.00S,2026-01-13T03:20:03.2Z,1,REGULAR,2pt,Jump Shot,[],201942,21.23850197109067,42.40196078431372,1610612758,10,15,2026-01-13T03:29:32Z,620000,False,38.0,147.0,1,left,D. DeRozan 15' pullup Jump Shot (4 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,15.19,Made,4.0,,,,,,,,,,,,,,,,,
63,PT06M24.00S,2026-01-13T03:20:18.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,82.47371879106439,5.147058823529411,1610612747,10,15,2026-01-13T03:30:04Z,630000,False,-224.0,112.0,1,right,MISS L. Dončić 25' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,25.08,Missed,,,,,,,,,,,,,,,,,,
64,PT06M22.00S,2026-01-13T03:20:20.1Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,10,15,2026-01-13T03:20:23Z,640000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,
65,PT06M16.00S,2026-01-13T03:20:26.6Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",1630173,5.732588699080158,62.00980392156863,1610612758,10,15,2026-01-13T03:30:53Z,650000,False,-60.0,1.0,1,left,MISS P. Achiuwa 6' turnaround Hook,[1630173],1610612758.0,SAC,turnaround,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,6.0,Missed,,,,,,,,,,,,,,,,,,
66,PT06M14.00S,2026-01-13T03:20:28.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,10,15,2026-01-13T03:20:32Z,660000,False,,,0,,D. Ayton REBOUND (Off:1 Def:4),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,65.0,5.0,4.0,1.0,,,,,,,
67,PT06M07.00S,2026-01-13T03:20:35.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629029,89.56964520367937,42.8921568627451,1610612747,10,17,2026-01-13T03:31:36Z,670000,False,-36.0,46.0,1,right,L. Dončić driving floating bank Jump Shot (8 PTS),[1629029],1610612747.0,LAL,driving floating bank,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,5.77,Made,8.0,,,,,,,,,,,,,,,,,
68,PT05M54.00S,2026-01-13T03:20:50.5Z,1,REGULAR,turnover,out-of-bounds,[],1630173,,,1610612758,10,17,2026-01-13T03:20:59Z,680000,False,,,0,,P. Achiuwa lost ball out-of-bounds TURNOVER (1 TO),[1630173],1610612758.0,SAC,lost ball,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,,,,,1627534.0,,,,,,
69,PT05M54.00S,2026-01-13T03:20:53.4Z,1,REGULAR,substitution,out,[],2544,,,1610612747,10,17,2026-01-13T03:21:04Z,690000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M54.00S,2026-01-13T03:20:53.4Z,1,REGULAR,substitution,in,[],1629020,,,1610612747,10,17,2026-01-13T03:21:04Z,700000,False,,,0,,SUB in: J. Vanderbilt,[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M36.00S,2026-01-13T03:21:31.3Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612747,10,17,2026-01-13T03:21:36Z,710000,False,,,0,,L. Dončić bad pass TURNOVER (1 TO),"[1629029, 201942]",1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,,,,,,,1.0,DeRozan,201942.0,,,,,,,,,,,
72,PT05M36.00S,2026-01-13T03:21:31.3Z,1,REGULAR,steal,,[],201942,,,1610612758,10,17,2026-01-13T03:21:34Z,720000,False,,,0,,D. DeRozan STEAL (2 STL),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
73,PT05M29.00S,2026-01-13T03:21:37.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203897,22.552562417871222,88.23529411764706,1610612758,10,17,2026-01-13T03:33:41Z,730000,False,-191.0,159.0,1,left,MISS Z. LaVine 24' running pullup 3PT,[203897],1610612758.0,SAC,running pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
74,PT05M27.00S,2026-01-13T03:21:39.5Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612747,10,17,2026-01-13T03:21:46Z,740000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,
75,PT05M19.00S,2026-01-13T03:21:48.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,88.91261498028909,63.725490196078425,1610612747,10,19,2026-01-13T03:34:12Z,750000,False,69.0,52.0,1,right,D. Ayton 8' driving Hook (3 PTS) (L. Dončić 2 AST),"[1629028, 1629029]",1610612747.0,LAL,driving,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Right,8.59,Made,3.0,L. Dončić,1629029.0,2.0,,,,,,,,,,,,,,
77,PT05M02.00S,2026-01-13T03:22:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,10.068988173455978,36.51960784313725,1610612758,12,19,2026-01-13T03:22:08Z,770000,False,67.0,42.0,1,left,R. Westbrook 7' driving Layup (4 PTS),[201566],1610612758.0,SAC,driving,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,7.95,Made,4.0,,,,,,,,,,,,,,,,,
78,PT04M54.00S,2026-01-13T03:22:12.8Z,1,REGULAR,3pt,Jump Shot,[],1631222,74.06373193166885,85.5392156862745,1610612747,12,19,2026-01-13T03:22:16Z,780000,False,178.0,191.0,1,right,MISS J. LaRavia 26' 3PT,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,26.11,Missed,,,,,,,,,,,,,,,,,,
79,PT04M52.00S,2026-01-13T03:22:14.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,12,19,2026-01-13T03:22:16Z,790000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,78.0,2.0,1.0,1.0,,,,,,,
80,PT04M38.00S,2026-01-13T03:22:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,5.995400788436268,37.5,1610612758,14,19,2026-01-13T03:35:03Z,800000,False,62.0,4.0,1,left,D. DeRozan 6' driving finger roll Layup (6 PTS),[201942],1610612758.0,SAC,driving finger roll,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,6.26,Made,6.0,,,,,,,,,,,,,,,,,
