actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
42,PT07M20.00S,2025-11-12T04:21:50.6Z,1,REGULAR,3pt,Jump Shot,[],1627750,84.44480946123521,95.34313725490196,1610612743,10,15,2025-11-12T04:22:26Z,420000,False,227.0,94.0,1,right,MISS J. Murray 24' step back 3PT,[1627750],1610612743.0,DEN,step back,,,,,,,Murray,J. Murray,Above the Break 3,24+ Right,24.53,Missed,,,,,,,,,,,,,,,,,
43,PT07M19.00S,2025-11-12T04:21:51.6Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,10,15,2025-11-12T04:22:26Z,430000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,,,,,Gordon,A. Gordon,Above the Break 3,24+ Right,,,,,,,42.0,1.0,0.0,1.0,,,,,,,,,
44,PT07M18.00S,2025-11-12T04:22:01.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203932,94.40999984741211,50.0,1610612743,10,17,2025-11-12T04:22:33Z,440000,False,0.0,0.0,1,right,A. Gordon tip Layup (4 PTS),[203932],1610612743.0,DEN,tip,,,,,,,Gordon,A. Gordon,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,
45,PT07M00.00S,2025-11-12T04:22:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,4.418528252299605,52.20588235294118,1610612758,12,17,2025-11-12T04:23:33Z,450000,False,-11.0,-11.0,1,left,P. Achiuwa reverse Layup (2 PTS) (D. Sabonis 1 AST),"[1630173, 1627734]",1610612758.0,SAC,reverse,,,,,,,Achiuwa,P. Achiuwa,Restricted Area,0-8 Center,1.56,Made,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,
47,PT06M49.00S,2025-11-12T04:22:22.9Z,1,REGULAR,foul,offensive,[],203932,,,1610612743,12,17,2025-11-12T04:22:41Z,470000,False,,,0,,A. Gordon charge offensive FOUL (1 PF),"[203932, 201942]",1610612743.0,DEN,charge,,,,,,202026.0,Gordon,A. Gordon,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,DeRozan,201942.0,,,,,
49,PT06M49.00S,2025-11-12T04:22:22.9Z,1,REGULAR,turnover,offensive foul,[],203932,,,1610612743,12,17,2025-11-12T04:22:22Z,490000,False,,,0,,A. Gordon offensive foul TURNOVER (1 TO),[203932],1610612743.0,DEN,,,,,,,202026.0,Gordon,A. Gordon,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,,,,
51,PT06M49.00S,2025-11-12T04:22:40.4Z,1,REGULAR,substitution,out,[],203471,,,1610612758,12,17,2025-11-12T04:23:00Z,510000,False,,,0,,SUB out: D. Schröder,[203471],1610612758.0,SAC,,,,,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,
52,PT06M49.00S,2025-11-12T04:22:40.4Z,1,REGULAR,substitution,in,[],1628370,,,1610612758,12,17,2025-11-12T04:23:00Z,520000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,
53,PT06M49.00S,2025-11-12T04:22:40.4Z,1,REGULAR,substitution,in,[],201566,,,1610612758,12,17,2025-11-12T04:23:00Z,530000,False,,,0,,SUB in: R. Westbrook,[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,
59,PT06M49.00S,2025-11-12T04:22:40.4Z,1,REGULAR,substitution,out,[],201942,,,1610612758,12,17,2025-11-12T04:23:37Z,535000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,
54,PT06M33.00S,2025-11-12T04:23:03.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630173,2.578843626806833,95.58823529411765,1610612758,12,17,2025-11-12T04:23:18Z,540000,False,-228.0,-28.0,1,left,MISS P. Achiuwa 3PT,[1630173],1610612758.0,SAC,,,,,,,,Achiuwa,P. Achiuwa,Left Corner 3,24+ Left,22.97,Missed,,,,,,,,,,,,,,,,,
55,PT06M31.00S,2025-11-12T04:23:05.5Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,12,17,2025-11-12T04:24:03Z,550000,False,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,,,,,Gordon,A. Gordon,Left Corner 3,24+ Left,,,,,,,54.0,2.0,1.0,1.0,,,,,,,,,
60,PT06M14.00S,2025-11-12T04:23:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,84.83902759526939,48.03921568627451,1610612743,12,19,2025-11-12T04:30:07Z,590000,False,-10.0,90.0,1,right,N. Jokić 9' floating Jump Shot (6 PTS) (J. Murray 3 AST),"[203999, 1627750]",1610612743.0,DEN,floating,,,,,,,Jokić,N. Jokić,In The Paint (Non-RA),8-16 Center,9.05,Made,6.0,J. Murray,1627750.0,3.0,,,,,,,,,,,,,
62,PT06M04.00S,2025-11-12T04:23:46.0Z,1,REGULAR,3pt,Jump Shot,[],203897,27.94021024967148,19.607843137254903,1610612758,15,19,2025-11-12T04:26:14Z,610000,False,152.0,210.0,1,left,Z. LaVine 25' 3PT pullup (5 PTS) (R. Westbrook 1 AST),"[203897, 201566]",1610612758.0,SAC,pullup,,,,,,,LaVine,Z. LaVine,Above the Break 3,24+ Right Center,25.93,Made,5.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,
63,PT05M48.00S,2025-11-12T04:24:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,81.94809461235218,50.49019607843137,1610612743,15,21,2025-11-12T04:24:15Z,620000,False,2.0,117.0,1,right,N. Jokić 11' floating Jump Shot (8 PTS) (C. Johnson 1 AST),"[203999, 1629661]",1610612743.0,DEN,floating,,,,,,,Jokić,N. Jokić,In The Paint (Non-RA),8-16 Center,11.72,Made,8.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,
65,PT05M34.00S,2025-11-12T04:24:14.7Z,1,REGULAR,3pt,Jump Shot,[],1628370,32.40801576872536,60.29411764705882,1610612758,15,21,2025-11-12T04:24:21Z,640000,False,-51.0,252.0,1,left,MISS M. Monk 25' 3PT,[1628370],1610612758.0,SAC,,,,,,,,Monk,M. Monk,Above the Break 3,24+ Center,25.73,Missed,,,,,,,,,,,,,,,,,
66,PT05M30.00S,2025-11-12T04:24:18.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,15,21,2025-11-12T04:27:33Z,650000,False,,,0,,N. Jokić REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,Above the Break 3,24+ Center,,,,,,,65.0,3.0,3.0,0.0,,,,,,,,,
67,PT05M27.00S,2025-11-12T04:24:22.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627750,66.96780551905388,27.696078431372552,1610612743,15,24,2025-11-12T04:27:59Z,660000,False,-112.0,258.0,1,right,J. Murray 28' 3PT step back (6 PTS),[1627750],1610612743.0,DEN,step back,,,,,,,Murray,J. Murray,Above the Break 3,24+ Left Center,28.11,Made,6.0,,,,,,,,,,,,,,,,
68,PT05M25.00S,2025-11-12T04:24:32.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,15,24,2025-11-12T04:24:32Z,670000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M25.00S,2025-11-12T04:26:51.1Z,1,REGULAR,substitution,out,[],1630173,,,1610612758,15,24,2025-11-12T04:27:54Z,680000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,
72,PT05M25.00S,2025-11-12T04:26:51.1Z,1,REGULAR,substitution,out,[],1627750,,,1610612758,15,24,2025-11-12T04:27:54Z,690000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,
73,PT05M25.00S,2025-11-12T04:26:51.1Z,1,REGULAR,substitution,in,[],1631165,,,1610612758,15,24,2025-11-12T04:27:54Z,700000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,
74,PT05M25.00S,2025-11-12T04:26:51.1Z,1,REGULAR,substitution,in,[],203501,,,1610612758,15,24,2025-11-12T04:27:54Z,710000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,
75,PT05M08.00S,2025-11-12T04:28:23.2Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612758,15,24,2025-11-12T04:28:36Z,720000,False,,,0,,N. Jokić shooting personal FOUL (1 PF) (Sabonis 2 FT),"[203999, 1627734]",1610612743.0,DEN,shooting,,,,,,203592.0,Jokić,N. Jokić,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Sabonis,1627734.0,,,,,
77,PT05M08.00S,2025-11-12T04:28:49.7Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,15,24,2025-11-12T04:28:49Z,740000,False,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,,,,Missed,,,,,,,,,,,,,,,,,
78,PT05M08.00S,2025-11-12T04:28:49.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,15,24,2025-11-12T04:28:49Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,
79,PT05M08.00S,2025-11-12T04:29:08.8Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,16,24,2025-11-12T04:29:08Z,760000,False,,,0,,D. Sabonis Free Throw 2 of 2 (9 PTS),[1627734],1610612758.0,SAC,,,,,,,,Sabonis,D. Sabonis,,,,Made,9.0,,,,,,,,,,,,,,,,
80,PT04M55.00S,2025-11-12T04:29:27.5Z,1,REGULAR,turnover,traveling,[],203932,,,1610612743,16,24,2025-11-12T04:29:38Z,770000,False,,,0,,A. Gordon traveling TURNOVER (2 TO),[203932],1610612743.0,DEN,,,,,,,202026.0,Gordon,A. Gordon,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,2.0,,,,
81,PT04M46.00S,2025-11-12T04:29:50.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627734,8.754927726675426,52.69607843137255,1610612758,18,24,2025-11-12T04:30:19Z,780000,False,-13.0,30.0,1,left,D. Sabonis floating Jump Shot (11 PTS) (R. Westbrook 2 AST),"[1627734, 201566]",1610612758.0,SAC,floating,,,,,,,Sabonis,D. Sabonis,Restricted Area,0-8 Center,3.27,Made,11.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,
84,PT04M25.00S,2025-11-12T04:30:10.4Z,1,REGULAR,3pt,Jump Shot,[],203501,78.9257555847569,93.38235294117648,1610612743,18,24,2025-11-12T04:30:18Z,800000,False,217.0,146.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612743.0,DEN,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,Above the Break 3,24+ Right Center,26.12,Missed,,,,,,,,,,,,,,,,,
85,PT04M22.00S,2025-11-12T04:30:13.4Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,18,24,2025-11-12T04:30:39Z,810000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612758.0,SAC,,,,,,,,Westbrook,R. Westbrook,Above the Break 3,24+ Right Center,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,
86,PT04M15.00S,2025-11-12T04:30:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,15.456636005256241,56.127450980392155,1610612758,18,24,2025-11-12T04:31:09Z,820000,False,-31.0,93.0,1,left,MISS R. Westbrook 9' pullup Shot,[201566],1610612758.0,SAC,pullup,,,,,,,Westbrook,R. Westbrook,In The Paint (Non-RA),8-16 Center,9.77,Missed,,,,,,,,,,,,,,,,,
87,PT04M12.00S,2025-11-12T04:30:24.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,18,24,2025-11-12T04:31:09Z,830000,False,,,0,,N. Jokić REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,In The Paint (Non-RA),8-16 Center,,,,,,,86.0,4.0,4.0,0.0,,,,,,,,,
88,PT04M03.00S,2025-11-12T04:30:32.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,89.83245729303549,48.28431372549019,1610612743,18,24,2025-11-12T04:30:41Z,840000,False,-9.0,43.0,1,right,MISS T. Hardaway Jr. driving Layup,[203501],1610612743.0,DEN,driving,,,,,,,Hardaway Jr.,T. Hardaway Jr.,Restricted Area,0-8 Center,4.39,Missed,,,,,,,,,,,,,,,,,
89,PT04M02.00S,2025-11-12T04:30:33.9Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,18,24,2025-11-12T04:31:33Z,850000,False,,,0,,N. Jokić REBOUND (Off:1 Def:4),[203999],1610612743.0,DEN,,,,,,,,Jokić,N. Jokić,Restricted Area,0-8 Center,,,,,,,88.0,5.0,4.0,1.0,,,,,,,,,
90,PT04M01.00S,2025-11-12T04:30:39.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,94.40999984741211,50.0,1610612743,18,26,2025-11-12T04:31:40Z,860000,False,0.0,0.0,1,right,N. Jokić tip Layup (10 PTS),[203999],1610612743.0,DEN,tip,,,,,,,Jokić,N. Jokić,Restricted Area,0-8 Center,0.0,Made,10.0,,,,,,,,,,,,,,,,
91,PT03M50.00S,2025-11-12T04:30:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,15.193823915900131,48.529411764705884,1610612758,18,26,2025-11-12T04:32:03Z,870000,False,7.0,90.0,1,left,MISS M. Monk 9' driving floating Shot,[1628370],1610612758.0,SAC,driving floating,,,,,,,Monk,M. Monk,In The Paint (Non-RA),8-16 Center,9.06,Missed,,,,,,,,,,,,,,,,,
92,PT03M48.00S,2025-11-12T04:30:48.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,18,26,2025-11-12T04:31:36Z,880000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,91.0,,,,,,,,,,,,
122,PT03M48.00S,2025-11-12T04:31:12.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612743,18,26,2025-11-12T04:35:17Z,895000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
