actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M30.00S,2026-01-02T03:12:11.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,5,0,2026-01-02T03:12:11Z,170000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M26.00S,2026-01-02T03:12:15.5Z,1,REGULAR,3pt,Jump Shot,[],1631099,21.107095926412615,94.36274509803921,1610612758,8,0,2026-01-02T03:12:23Z,180000,False,-222.0,146.0,1,left,K. Murray 26' 3PT  (3 PTS) (D. DeRozan 1 AST),"[1631099, 201942]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,26.55,Made,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,
20,PT10M05.00S,2026-01-02T03:12:36.0Z,1,REGULAR,2pt,Jump Shot,[],1630202,91.67214191852825,31.127450980392158,1610612738,8,2,2026-01-02T03:12:41Z,200000,False,-94.0,26.0,1,right,P. Pritchard 9' pullup Jump Shot (2 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Left,,,9.79,Made,2.0,,,,,,,,,,,,,,,
21,PT09M53.00S,2026-01-02T03:12:51.1Z,1,REGULAR,3pt,Jump Shot,[],1631099,22.946780551905388,88.72549019607843,1610612758,8,2,2026-01-02T06:22:12Z,210000,False,-194.0,163.0,1,left,MISS K. Murray 25' pullup 3PT - blocked,"[1631099, 1630202]",1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,25.32,Missed,,,,,,,,,,,Pritchard,1630202.0,,,,
22,PT09M53.00S,2026-01-02T03:12:51.1Z,1,REGULAR,block,,[],1630202,,,1610612758,8,2,2026-01-02T03:12:55Z,220000,False,,,0,,P. Pritchard BLOCK (1 BLK),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
23,PT09M53.00S,2026-01-02T03:12:51.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,8,2,2026-01-02T03:13:02Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,21.0,,,,,,,,,
25,PT09M51.00S,2026-01-02T03:13:03.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631099,21.23850197109067,65.44117647058823,1610612758,8,2,2026-01-02T03:20:28Z,250000,False,-77.0,147.0,1,left,MISS K. Murray 16' Jump Shot,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left Center,,,16.61,Missed,,,,,,,,,,,,,,,,
26,PT09M47.00S,2026-01-02T03:13:07.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,8,2,2026-01-02T03:13:09Z,260000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
27,PT09M36.00S,2026-01-02T03:13:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,84.44480946123521,51.225490196078425,1610612738,8,4,2026-01-02T03:13:21Z,270000,False,6.0,94.0,1,right,P. Pritchard 9' pullup Jump Shot (4 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,,,9.39,Made,4.0,,,,,,,,,,,,,,,
28,PT09M19.00S,2026-01-02T03:13:35.3Z,1,REGULAR,3pt,Jump Shot,[],1630173,33.459264126149804,29.901960784313726,1610612758,11,4,2026-01-02T03:13:40Z,280000,False,100.0,262.0,1,left,P. Achiuwa 28' 3PT  (8 PTS) (R. Westbrook 1 AST),"[1630173, 201566]",1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,28.06,Made,8.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,
30,PT09M02.00S,2026-01-02T03:13:52.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,90.09526938239159,50.49019607843137,1610612738,11,6,2026-01-02T03:20:55Z,300000,False,2.0,41.0,1,right,J. Brown cutting DUNK (2 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,4.07,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,
32,PT08M49.00S,2026-01-02T03:14:05.2Z,1,REGULAR,3pt,Jump Shot,[],201566,32.802233902759525,60.5392156862745,1610612758,11,6,2026-01-02T03:21:22Z,320000,False,-53.0,256.0,1,left,MISS R. Westbrook 26' pullup 3PT,[201566],1610612758.0,SAC,pullup,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,26.12,Missed,,,,,,,,,,,,,,,,
33,PT08M45.00S,2026-01-02T03:14:09.2Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,11,6,2026-01-02T03:14:10Z,330000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Center,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,
34,PT08M30.00S,2026-01-02T03:14:24.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,63.6826544021025,46.32352941176471,1610612738,11,9,2026-01-02T03:14:29Z,340000,False,-18.0,289.0,1,right,P. Pritchard 28' 3PT  (7 PTS) (J. Brown 1 AST),"[1630202, 1627759]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,28.95,Made,7.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,
36,PT08M05.00S,2026-01-02T03:14:49.4Z,1,REGULAR,3pt,Jump Shot,[],201566,33.196452036793694,67.40196078431373,1610612758,11,9,2026-01-02T03:14:54Z,360000,False,-87.0,260.0,1,left,MISS R. Westbrook 27' 3PT,[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,27.37,Missed,,,,,,,,,,,,,,,,
37,PT08M01.00S,2026-01-02T03:14:53.4Z,1,REGULAR,rebound,offensive,[],201942,,,1610612758,11,9,2026-01-02T03:14:54Z,370000,False,,,0,,D. DeRozan REBOUND (Off:1 Def:0),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,36.0,1.0,0.0,1.0,,,,,,
38,PT08M00.00S,2026-01-02T03:14:55.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201942,12.565703022339028,61.274509803921575,1610612758,13,9,2026-01-02T03:15:00Z,380000,False,-56.0,66.0,1,left,D. DeRozan 8' turnaround fadeaway Jump Shot (2 PTS),[201942],1610612758.0,SAC,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Left,,,8.65,Made,2.0,,,,,,,,,,,,,,,
39,PT07M44.00S,2026-01-02T03:15:11.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,89.17542706964521,50.98039215686274,1610612738,13,11,2026-01-02T03:15:16Z,390000,False,5.0,49.0,1,right,N. Queta cutting DUNK (2 PTS) (D. White 2 AST),"[1629674, 1628401]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,4.95,Made,2.0,D. White,1628401.0,2.0,,,,,,,,,,,,
41,PT07M44.00S,2026-01-02T03:15:15.0Z,1,REGULAR,foul,personal,['1freethrow'],1642875,,,1610612738,13,11,2026-01-02T03:15:26Z,410000,False,,,0,,M. Raynaud shooting personal FOUL (1 PF) (Queta 1 FT),"[1642875, 1629674]",1610612758.0,SAC,shooting,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,1662.0,,,,,,,,,,,,,,,,1.0,0.0,Queta,1629674.0
43,PT07M44.00S,2026-01-02T03:15:38.6Z,1,REGULAR,freethrow,1 of 1,[],1629674,,,1610612738,13,12,2026-01-02T03:15:38Z,430000,False,,,0,,N. Queta Free Throw 1 of 1 (3 PTS),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
44,PT07M26.00S,2026-01-02T03:15:58.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,10.85742444152431,39.21568627450981,1610612758,15,12,2026-01-02T03:16:03Z,440000,False,54.0,50.0,1,left,M. Raynaud 7' Layup (2 PTS) (P. Achiuwa 1 AST),"[1642875, 1630173]",1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,7.32,Made,2.0,P. Achiuwa,1630173.0,1.0,,,,,,,,,,,,
46,PT07M17.00S,2026-01-02T03:16:08.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,64.47109067017082,63.23529411764706,1610612738,15,12,2026-01-02T03:21:52Z,460000,False,66.0,281.0,1,right,MISS J. Brown 28' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,28.92,Missed,,,,,,,,,,,,,,,,
47,PT07M13.00S,2026-01-02T03:16:14.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,15,12,2026-01-02T03:16:14Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,46.0,,,,,,,,,
49,PT07M04.00S,2026-01-02T03:16:35.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641775,88.12417871222075,42.15686274509804,1610612738,15,12,2026-01-02T03:16:45Z,490000,False,-39.0,59.0,1,right,MISS J. Walsh 7' driving Layup - blocked,"[1641775, 1630173]",1610612738.0,BOS,driving,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,7.09,Missed,,,,,,,,,,,Achiuwa,1630173.0,,,,
52,PT07M04.00S,2026-01-02T03:16:35.5Z,1,REGULAR,block,,[],1630173,,,1610612738,15,12,2026-01-02T03:16:45Z,495000,False,,,0,,P. Achiuwa BLOCK (1 BLK),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M00.00S,2026-01-02T03:16:39.5Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,15,12,2026-01-02T03:16:45Z,500000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,
51,PT06M55.00S,2026-01-02T03:16:44.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,7.966491458607096,59.068627450980394,1610612758,15,12,2026-01-02T03:22:04Z,510000,False,-45.0,22.0,1,left,MISS R. Westbrook running Layup,[201566],1610612758.0,SAC,running,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,5.05,Missed,,,,,,,,,,,,,,,,
53,PT06M55.00S,2026-01-02T03:16:44.1Z,1,REGULAR,rebound,offensive,[],1642875,,,1610612758,15,12,2026-01-02T03:16:59Z,520000,False,,,0,,M. Raynaud REBOUND (Off:1 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,
54,PT06M54.00S,2026-01-02T03:16:49.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642875,5.590000152587891,50.0,1610612758,17,12,2026-01-02T03:16:49Z,530000,False,0.0,0.0,1,left,M. Raynaud putback Layup (4 PTS),[1642875],1610612758.0,SAC,putback,,,Raynaud,M. Raynaud,,,,,Mid-Range,8-16 Left,,,0.0,Made,4.0,,,,,,,,,,,,,,,
55,PT06M54.00S,2026-01-02T03:16:53.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,17,12,2026-01-02T03:16:53Z,540000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M54.00S,2026-01-02T03:16:59.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,17,12,2026-01-02T03:19:43Z,550000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M54.00S,2026-01-02T03:16:59.7Z,1,REGULAR,substitution,out,[],1641775,,,1610612738,17,12,2026-01-02T03:19:43Z,560000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M54.00S,2026-01-02T03:16:59.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,17,12,2026-01-02T03:19:43Z,570000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M54.00S,2026-01-02T03:16:59.7Z,1,REGULAR,substitution,in,[],1629014,,,1610612738,17,12,2026-01-02T03:19:43Z,580000,False,,,0,,SUB in: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M39.00S,2026-01-02T03:20:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,86.94152431011827,44.11764705882353,1610612738,17,12,2026-01-02T03:20:12Z,590000,False,-29.0,70.0,1,right,MISS J. Brown 7' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,7.61,Missed,,,,,,,,,,,,,,,,
61,PT06M39.00S,2026-01-02T03:20:07.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,17,12,2026-01-02T03:20:07Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,60.0,,,,,,,,,
63,PT06M33.00S,2026-01-02T03:20:28.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,74.98357424441524,7.352941176470589,1610612738,17,12,2026-01-02T03:40:21Z,620000,False,-213.0,183.0,1,right,MISS P. Pritchard 28' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,28.08,Missed,,,,,,,,,,,,,,,,
64,PT06M29.00S,2026-01-02T03:20:32.2Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,17,12,2026-01-02T03:20:33Z,630000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,
65,PT06M23.00S,2026-01-02T03:20:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,9.280551905387648,47.549019607843135,1610612758,19,12,2026-01-02T03:20:45Z,640000,False,12.0,35.0,1,left,K. Murray driving Layup (5 PTS),[1631099],1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,3.68,Made,5.0,,,,,,,,,,,,,,,
66,PT06M05.00S,2026-01-02T03:20:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,79.84559789750328,59.55882352941176,1610612738,19,12,2026-01-02T03:40:55Z,650000,False,48.0,137.0,1,right,MISS A. Simons 14' fadeaway Shot,[1629014],1610612738.0,BOS,fadeaway,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,14.51,Missed,,,,,,,,,,,,,,,,
67,PT06M00.00S,2026-01-02T03:21:00.7Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,19,12,2026-01-02T03:21:01Z,660000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,
68,PT05M53.00S,2026-01-02T03:21:08.0Z,1,REGULAR,2pt,Jump Shot,[],1631099,5.075558475689881,72.54901960784314,1610612758,19,12,2026-01-02T03:21:14Z,670000,False,-113.0,-5.0,1,left,MISS K. Murray 11' turnaround fadeaway Shot,[1631099],1610612758.0,SAC,turnaround fadeaway,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,,,11.28,Missed,,,,,,,,,,,,,,,,
69,PT05M48.00S,2026-01-02T03:21:13.0Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,19,12,2026-01-02T03:21:14Z,680000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,8-16 Left,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,
70,PT05M44.00S,2026-01-02T03:21:16.9Z,1,REGULAR,3pt,Jump Shot,[],1630573,63.81406044678055,46.568627450980394,1610612738,19,15,2026-01-02T03:21:24Z,690000,False,-17.0,288.0,1,right,S. Hauser 28' 3PT  (3 PTS) (P. Pritchard 1 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,28.81,Made,3.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,
72,PT05M29.00S,2026-01-02T03:21:32.0Z,1,REGULAR,2pt,Jump Shot,[],201942,7.966491458607096,69.36274509803921,1610612758,21,15,2026-01-02T03:21:37Z,710000,False,-97.0,22.0,1,left,D. DeRozan 9' turnaround Jump Shot (4 PTS) (R. Westbrook 2 AST),"[201942, 201566]",1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,9.94,Made,4.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,
74,PT05M18.00S,2026-01-02T03:21:43.9Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,21,15,2026-01-02T03:21:53Z,730000,False,,,0,,J. Brown lost ball out-of-bounds TURNOVER (2 TO),[1627759],1610612738.0,BOS,lost ball,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,1628481.0,2.0,,,,,,,,,,,,,,,,,,
75,PT05M18.00S,2026-01-02T03:21:48.8Z,1,REGULAR,substitution,out,[],1629674,,,1610612758,21,15,2026-01-02T03:22:01Z,740000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M18.00S,2026-01-02T03:21:48.8Z,1,REGULAR,substitution,in,[],1630568,,,1610612758,21,15,2026-01-02T03:22:01Z,750000,False,,,0,,SUB in: L. Garza,[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M05.00S,2026-01-02T03:22:17.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631099,18.873193166885677,60.5392156862745,1610612758,21,15,2026-01-02T03:22:24Z,760000,False,-53.0,125.0,1,left,MISS K. Murray 13' pullup Shot,[1631099],1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,13.56,Missed,,,,,,,,,,,,,,,,
78,PT05M02.00S,2026-01-02T03:22:20.2Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,21,15,2026-01-02T03:22:24Z,770000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,
79,PT04M56.00S,2026-01-02T03:22:26.5Z,1,REGULAR,3pt,Jump Shot,[],1630568,69.59592641261499,79.65686274509804,1610612738,21,18,2026-01-02T03:22:31Z,780000,False,148.0,233.0,1,right,L. Garza 27' 3PT  (3 PTS) (P. Pritchard 2 AST),"[1630568, 1630202]",1610612738.0,BOS,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Right Center,,,27.64,Made,3.0,P. Pritchard,1630202.0,2.0,,,,,,,,,,,,
81,PT04M40.00S,2026-01-02T03:22:42.2Z,1,REGULAR,3pt,Jump Shot,[],1630173,12.434296977660972,96.81372549019608,1610612758,21,18,2026-01-02T03:22:47Z,800000,False,-234.0,64.0,1,left,MISS P. Achiuwa 24' 3PT,[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Left Corner 3,24+ Left,,,24.28,Missed,,,,,,,,,,,,,,,,
82,PT04M36.00S,2026-01-02T03:22:46.2Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612738,21,18,2026-01-02T03:22:47Z,810000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,Left Corner 3,24+ Left,,,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,
83,PT04M27.00S,2026-01-02T03:22:55.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,64.73390275952694,72.79411764705883,1610612738,21,21,2026-01-02T03:23:01Z,820000,False,114.0,279.0,1,right,A. Simons 30' 3PT pullup (3 PTS),[1629014],1610612738.0,BOS,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,30.14,Made,3.0,,,,,,,,,,,,,,,
85,PT04M25.00S,2026-01-02T03:23:03.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,21,21,2026-01-02T03:23:03Z,840000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
