actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
34,PT09M22.00S,2024-10-27T19:49:07.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,6,3,2024-10-27T19:49:07Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,33.0,,,,,,
36,PT09M16.00S,2024-10-27T19:49:26.5Z,1,REGULAR,turnover,lost ball,[],1628997,,,1610612755,6,3,2024-10-27T19:49:30Z,350000,False,,,0,,C. Martin lost ball TURNOVER (1 TO),"[1628997, 1626167]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Martin,C. Martin,,,,1.0,Turner,1626167.0,,,,,,,,,,,,
37,PT09M16.00S,2024-10-27T19:49:26.5Z,1,REGULAR,steal,,[],1626167,,,1610612754,6,3,2024-10-27T19:49:27Z,360000,False,,,0,,M. Turner STEAL (2 STL),[1626167],1610612754.0,IND,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,
64,PT09M11.00S,2024-10-27T19:49:37.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629614,91.27792378449409,54.65686274509803,1610612754,6,3,2024-10-27T19:54:44Z,385000,False,23.0,29.0,1,right,MISS A. Nembhard running Layup,[1629614],1610612754.0,IND,running,,,,,,Restricted Area,0-8 Center,3.76,Missed,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,
65,PT09M11.00S,2024-10-27T19:49:37.4Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612755,6,3,2024-10-27T19:54:27Z,387500,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Martin,C. Martin,,,,,,,,,,,,64.0,1.0,1.0,0.0,,,
40,PT09M01.00S,2024-10-27T19:49:42.8Z,1,REGULAR,foul,personal,[],1630169,,,1610612755,6,3,2024-10-27T19:54:27Z,390000,False,,,0,,T. Haliburton personal FOUL (1 PF),"[1630169, 1626162]",1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Haliburton,T. Haliburton,,,,,,,202027.0,1.0,1.0,Oubre Jr.,1626162.0,,,,,,,
42,PT08M51.00S,2024-10-27T19:50:09.2Z,1,REGULAR,3pt,Jump Shot,[],200768,26.49474375821288,8.088235294117647,1610612755,6,3,2024-10-27T19:54:27Z,410000,False,210.0,197.0,1,left,MISS K. Lowry 28' 3PT,[200768],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,28.74,Missed,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,
43,PT08M50.00S,2024-10-27T19:50:10.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,6,3,2024-10-27T19:50:14Z,420000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,,,Siakam,P. Siakam,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,
44,PT08M40.00S,2024-10-27T19:50:21.6Z,1,REGULAR,2pt,Jump Shot,[],1630174,87.59855453350855,27.450980392156865,1610612754,6,3,2024-10-27T19:50:27Z,430000,False,-113.0,64.0,1,right,MISS A. Nesmith 12' turnaround Shot,[1630174],1610612754.0,IND,turnaround,,,,,,Mid-Range,8-16 Left,12.97,Missed,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,
45,PT08M36.00S,2024-10-27T19:50:25.6Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,6,3,2024-10-27T19:50:27Z,440000,False,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,,Drummond,A. Drummond,,,,,,,,,,,,44.0,2.0,2.0,0.0,,,
